Year,Units,Type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1762
2021,Attributable deaths,Chronic obstructive pulmonary disease (COPD),r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1915
2022,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1888
2023,Attributable deaths,Chronic obstructive pulmonary disease (COPD),,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1414
2010,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5722
2011,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,5571
2012,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4347
2013,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4799
2014,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4738
2015,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4183
2016,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,4086
2017,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3816
2018,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3954
2019,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2558
2020,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2248
2021,Attributable deaths,Lung cancer,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2504
2022,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2209
2023,Attributable deaths,Lung cancer,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1587
2010,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3971
2011,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3743
2012,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2953
2013,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3224
2014,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3091
2015,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2820
2016,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2766
2017,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2578
2018,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2695
2019,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2045
2020,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1791
2021,Attributable deaths,Stroke,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1840
2022,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1777
2023,Attributable deaths,Stroke,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1312
2010,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,20954
2011,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,19059
2012,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15135
2013,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,16453
2014,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,15225
2015,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,14205
2016,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13053
2017,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,12653
2018,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,13080
2019,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9607
2020,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8687
2021,Attributable deaths,Ischemic heart diseases,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,9628
2022,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,8771
2023,Attributable deaths,Ischemic heart diseases,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,6104
2010,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3461
2011,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3418
2012,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2937
2013,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,3158
2014,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2921
2015,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2873
2016,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2627
2017,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2728
2018,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2798
2019,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2130
2020,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2073
2021,Attributable deaths,Diabetes mellitus type 2,r,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,2299
2022,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1886
2023,Attributable deaths,Diabetes mellitus type 2,,,,Attributable deaths due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,1329
2010,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,569664
2011,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,530867
2012,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,420885
2013,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,463638
2014,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,441793
2015,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,407680
2016,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,385002
2017,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,370220
2018,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,395679
2019,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,292504
2020,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,259962
2021,DALYs,,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,284414
2022,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,252864
2023,DALYs,,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older,184165
2010,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66424
2011,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63077
2012,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47972
2013,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,56426
2014,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,53325
2015,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51205
2016,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48305
2017,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48406
2018,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51739
2019,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,38537
2020,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,32168
2021,DALYs,Chronic obstructive pulmonary disease (COPD),r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,35278
2022,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,33261
2023,DALYs,Chronic obstructive pulmonary disease (COPD),,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,24924
2010,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,94139
2011,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,91468
2012,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,71168
2013,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78925
2014,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,77413
2015,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,68534
2016,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66403
2017,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,61698
2018,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,64046
2019,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,43246
2020,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,37771
2021,DALYs,Lung cancer,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,41526
2022,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,36083
2023,DALYs,Lung cancer,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,26021
2010,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,66616
2011,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,62435
2012,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,48512
2013,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,52989
2014,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,51339
2015,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,46528
2016,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,45160
2017,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,42271
2018,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,47695
2019,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,36242
2020,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,31966
2021,DALYs,Stroke,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,34077
2022,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,31025
2023,DALYs,Stroke,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,22952
2010,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,245246
2011,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,220119
2012,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,174295
2013,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,189410
2014,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,176540
2015,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,163375
2016,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,150936
2017,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,144459
2018,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,151706
2019,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,111394
2020,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,100090
2021,DALYs,Ischemic heart diseases,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,109710
2022,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,97540
2023,DALYs,Ischemic heart diseases,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,69579
2010,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,97239
2011,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,93768
2012,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78938
2013,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,85888
2014,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,83176
2015,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,78038
2016,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,74198
2017,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,73386
2018,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,80493
2019,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63085
2020,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,57967
2021,DALYs,Diabetes mellitus type 2,r,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,63823
2022,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,54955
2023,DALYs,Diabetes mellitus type 2,,,,DALYs due to long-term exposure to fine particulate matter (PM₂.₅) in the population aged 25 years and older by type of disease,40689
