Year,Zeitreihe,Erkrankung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,Stationäre Behandlung,Lepra,,,,7
2010,Stationäre Behandlung,Leishmaniose,,,,42
2011,Stationäre Behandlung,Leishmaniose,,,,25
2012,Stationäre Behandlung,Leishmaniose,,,,38
2013,Stationäre Behandlung,Leishmaniose,,,,47
2014,Stationäre Behandlung,Leishmaniose,,,,66
2015,Stationäre Behandlung,Leishmaniose,,,,106
2016,Stationäre Behandlung,Leishmaniose,,,,154
2017,Stationäre Behandlung,Leishmaniose,,,,123
2018,Stationäre Behandlung,Leishmaniose,,,,70
2019,Stationäre Behandlung,Leishmaniose,,,,64
2020,Stationäre Behandlung,Leishmaniose,,,,49
2021,Stationäre Behandlung,Leishmaniose,,,,56
2022,Stationäre Behandlung,Leishmaniose,,,,75
2023,Stationäre Behandlung,Leishmaniose,,,,105
2010,Stationäre Behandlung,Tollwut,,,,4
2011,Stationäre Behandlung,Tollwut,-,,,0
2012,Stationäre Behandlung,Tollwut,-,,,0
2013,Stationäre Behandlung,Tollwut,,,,2
2014,Stationäre Behandlung,Tollwut,,,,2
2015,Stationäre Behandlung,Tollwut,-,,,0
2016,Stationäre Behandlung,Tollwut,,,,3
2017,Stationäre Behandlung,Tollwut,-,,,0
2018,Stationäre Behandlung,Tollwut,,,,3
2019,Stationäre Behandlung,Tollwut,,,,2
2020,Stationäre Behandlung,Tollwut,-,,,0
2021,Stationäre Behandlung,Tollwut,-,,,0
2022,Stationäre Behandlung,Tollwut,-,,,0
2023,Stationäre Behandlung,Tollwut,,,,2
2010,Stationäre Behandlung,Frambösie,,,,2
2011,Stationäre Behandlung,Frambösie,,,,3
2012,Stationäre Behandlung,Frambösie,-,,,0
2013,Stationäre Behandlung,Frambösie,-,,,0
2014,Stationäre Behandlung,Frambösie,,,,2
2015,Stationäre Behandlung,Frambösie,,,,1
2016,Stationäre Behandlung,Frambösie,-,,,0
2017,Stationäre Behandlung,Frambösie,,,,1
2018,Stationäre Behandlung,Frambösie,,,,2
2019,Stationäre Behandlung,Frambösie,-,,,0
2020,Stationäre Behandlung,Frambösie,-,,,0
2021,Stationäre Behandlung,Frambösie,-,,,0
2022,Stationäre Behandlung,Frambösie,-,,,0
2023,Stationäre Behandlung,Frambösie,,,,1
2010,Stationäre Behandlung,Dengue,-,,,0
2011,Stationäre Behandlung,Dengue,-,,,0
2012,Stationäre Behandlung,Dengue,-,,,0
2013,Stationäre Behandlung,Dengue,-,,,0
2014,Stationäre Behandlung,Dengue,-,,,0
2015,Stationäre Behandlung,Dengue,-,,,0
2016,Stationäre Behandlung,Dengue,,,,260
2017,Stationäre Behandlung,Dengue,,,,217
2018,Stationäre Behandlung,Dengue,,,,174
2019,Stationäre Behandlung,Dengue,,,,354
2020,Stationäre Behandlung,Dengue,,,,50
2021,Stationäre Behandlung,Dengue,,,,22
2022,Stationäre Behandlung,Dengue,,,,109
2023,Stationäre Behandlung,Dengue,,,,277
2010,Stationäre Behandlung,Drakunkulose,.,,,0
2011,Stationäre Behandlung,Drakunkulose,.,,,0
2012,Stationäre Behandlung,Drakunkulose,.,,,0
2013,Stationäre Behandlung,Drakunkulose,,,,1
2014,Stationäre Behandlung,Drakunkulose,-,,,0
2015,Stationäre Behandlung,Drakunkulose,-,,,0
2016,Stationäre Behandlung,Drakunkulose,-,,,0
2017,Stationäre Behandlung,Drakunkulose,-,,,0
2018,Stationäre Behandlung,Drakunkulose,-,,,0
2019,Stationäre Behandlung,Drakunkulose,-,,,0
2020,Stationäre Behandlung,Drakunkulose,-,,,0
2021,Stationäre Behandlung,Drakunkulose,-,,,0
2022,Stationäre Behandlung,Drakunkulose,,,,1
2023,Stationäre Behandlung,Drakunkulose,,,,12
2010,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2011,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2012,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2013,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2014,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2015,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2016,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2017,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2018,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2019,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2020,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2021,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2022,Personen mit Behandlungsbedarf,Tollwut,-,,,0
2023,Personen mit Behandlungsbedarf,Tollwut,‒,,,0
