Year,Units,type of unpaid work,degree of urbanisation,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,percentage,domestic work,urban,25 to under 45 years,,,,,10.0
2022,percentage,domestic work,urban,25 to under 45 years,,,,,9.2
2013,percentage,domestic work,urban,45 to under 55 years,,,,,12.1
2022,percentage,domestic work,urban,45 to under 55 years,,,,,11.4
2013,percentage,domestic work,urban,55 to under 65 years,,,,,13.1
2022,percentage,domestic work,urban,55 to under 65 years,,,,,12.7
2013,percentage,domestic work,urban,65 years and older,,,,,15.4
2022,percentage,domestic work,urban,65 years and older,,,,,14.9
2013,percentage,domestic work,rural areas,15 years and older,,,,,11.9
2022,percentage,domestic work,rural areas,15 years and older,,,,,11.7
2013,percentage,domestic work,rural areas,15 to under 25 years,,,,,5.1
2022,percentage,domestic work,rural areas,15 to under 25 years,,,,,4.9
2013,percentage,domestic work,rural areas,25 to under 45 years,,,,,11.2
2022,percentage,domestic work,rural areas,25 to under 45 years,,,,,9.4
2013,percentage,domestic work,rural areas,45 to under 55 years,,,,,12.6
2022,percentage,domestic work,rural areas,45 to under 55 years,,,,,12.1
2013,percentage,domestic work,rural areas,55 to under 65 years,,,,,13.5
2022,percentage,domestic work,rural areas,55 to under 65 years,,,,,13.6
2013,percentage,domestic work,rural areas,65 years and older,,,,,15.2
2022,percentage,domestic work,rural areas,65 years and older,,,,,16.0
2013,percentage,domestic work,urban,15 years and older,female,,,,13.9
2022,percentage,domestic work,urban,15 years and older,female,,,,13.3
2013,percentage,domestic work,urban,15 to under 25 years,female,,,,6.5
2022,percentage,domestic work,urban,15 to under 25 years,female,,,,6.9
2013,percentage,domestic work,urban,25 to under 45 years,female,,,,12.5
2022,percentage,domestic work,urban,25 to under 45 years,female,,,,11.3
2013,percentage,domestic work,urban,45 to under 55 years,female,,,,14.8
2022,percentage,domestic work,urban,45 to under 55 years,female,,,,13.9
2013,percentage,domestic work,urban,55 to under 65 years,female,,,,15.9
2022,percentage,domestic work,urban,55 to under 65 years,female,,,,15.1
2013,percentage,domestic work,urban,65 years and older,female,,,,17.3
2022,percentage,domestic work,urban,65 years and older,female,,,,16.3
2013,percentage,domestic work,rural areas,15 years and older,female,,,,14.4
2022,percentage,domestic work,rural areas,15 years and older,female,,,,13.7
2013,percentage,domestic work,rural areas,15 to under 25 years,female,,,,5.9
2022,percentage,domestic work,rural areas,15 to under 25 years,female,,,,6.0
2013,percentage,domestic work,rural areas,25 to under 45 years,female,,,,14.4
2022,percentage,domestic work,rural areas,25 to under 45 years,female,,,,11.2
2013,percentage,domestic work,rural areas,45 to under 55 years,female,,,,15.5
2022,percentage,domestic work,rural areas,45 to under 55 years,female,,,,14.3
2013,percentage,domestic work,rural areas,55 to under 65 years,female,,,,15.2
2022,percentage,domestic work,rural areas,55 to under 65 years,female,,,,15.4
2013,percentage,domestic work,rural areas,65 years and older,female,,,,17.4
2022,percentage,domestic work,rural areas,65 years and older,female,,,,17.3
2013,percentage,domestic work,urban,15 years and older,male,,,,9.1
2022,percentage,domestic work,urban,15 years and older,male,,,,9.2
2013,percentage,domestic work,urban,15 to under 25 years,male,,,,4.0
2022,percentage,domestic work,urban,15 to under 25 years,male,,,,4.3
2013,percentage,domestic work,urban,25 to under 45 years,male,,,,7.4
2022,percentage,domestic work,urban,25 to under 45 years,male,,,,7.2
2013,percentage,domestic work,urban,45 to under 55 years,male,,,,9.4
2022,percentage,domestic work,urban,45 to under 55 years,male,,,,8.8
2013,percentage,domestic work,urban,55 to under 65 years,male,,,,10.4
2022,percentage,domestic work,urban,55 to under 65 years,male,,,,10.4
2013,percentage,domestic work,urban,65 years and older,male,,,,13.5
2022,percentage,domestic work,urban,65 years and older,male,,,,13.5
2013,percentage,domestic work,rural areas,15 years and older,male,,,,9.4
2022,percentage,domestic work,rural areas,15 years and older,male,,,,9.7
2013,percentage,domestic work,rural areas,15 to under 25 years,male,,,,4.3
2022,percentage,domestic work,rural areas,15 to under 25 years,male,,,,3.8
2013,percentage,domestic work,rural areas,25 to under 45 years,male,,,,8.1
2022,percentage,domestic work,rural areas,25 to under 45 years,male,,,,7.6
2013,percentage,domestic work,rural areas,45 to under 55 years,male,,,,9.7
2022,percentage,domestic work,rural areas,45 to under 55 years,male,,,,9.8
2013,percentage,domestic work,rural areas,55 to under 65 years,male,,,,11.7
2022,percentage,domestic work,rural areas,55 to under 65 years,male,,,,11.8
2013,percentage,domestic work,rural areas,65 years and older,male,,,,13.1
2022,percentage,domestic work,rural areas,65 years and older,male,,,,14.8
2013,percentage,care work,,,,,,,1.2
2022,percentage,care work,,,,,,,1.7
2013,percentage,care work,urban,,,,,,1.2
2022,percentage,care work,urban,,,,,,1.7
2013,percentage,care work,rural areas,,,,,,1.1
2022,percentage,care work,rural areas,,,,,,1.6
2013,percentage,care work,,15 years and older,,,,,1.3
2022,percentage,care work,,15 years and older,,,,,1.8
2013,percentage,care work,,25 to under 45 years,,,,,3.4
2022,percentage,care work,,25 to under 45 years,,,,,4.6
2013,percentage,care work,,45 to under 55 years,,,,,0.8
2022,percentage,care work,,45 to under 55 years,,,,,1.5
2022,percentage,care work,,55 to under 65 years,,,,,0.3
2013,percentage,care work,,,female,,,,1.6
2022,percentage,care work,,,female,,,,2.2
2013,percentage,care work,,,male,,,,0.8
2022,percentage,care work,,,male,,,,1.2
2013,percentage,care work,urban,,female,,,,1.6
2022,percentage,care work,urban,,female,,,,2.2
2013,percentage,care work,rural areas,,female,,,,1.5
2022,percentage,care work,rural areas,,female,,,,2.1
2013,percentage,care work,,15 years and older,female,,,,1.7
2022,percentage,care work,,15 years and older,female,,,,2.3
2013,percentage,care work,,25 to under 45 years,female,,,,5.0
2022,percentage,care work,,25 to under 45 years,female,,,,6.4
2013,percentage,care work,,45 to under 55 years,female,,,,0.9
2022,percentage,care work,,45 to under 55 years,female,,,,1.7
2022,percentage,care work,,55 to under 65 years,female,,,,0.3
2013,percentage,care work,urban,,male,,,,0.8
2022,percentage,care work,urban,,male,,,,1.2
2013,percentage,care work,rural areas,,male,,,,0.6
2022,percentage,care work,rural areas,,male,,,,1.0
2013,percentage,care work,,15 years and older,male,,,,0.8
2022,percentage,care work,,15 years and older,male,,,,1.2
2013,percentage,care work,,25 to under 45 years,male,,,,1.9
2022,percentage,care work,,25 to under 45 years,male,,,,2.8
2013,percentage,care work,,45 to under 55 years,male,,,,0.7
2022,percentage,care work,,45 to under 55 years,male,,,,1.4
2013,percentage,care work,,55 to under 65 years,male,,,,0.3
2022,percentage,care work,,55 to under 65 years,male,,,,0.3
2013,percentage,care work,urban,15 years and older,,,,,1.3
2022,percentage,care work,urban,15 years and older,,,,,1.8
2013,percentage,care work,urban,25 to under 45 years,,,,,3.5
2022,percentage,care work,urban,25 to under 45 years,,,,,4.7
2013,percentage,care work,urban,45 to under 55 years,,,,,0.9
2022,percentage,care work,urban,45 to under 55 years,,,,,1.5
2013,percentage,care work,rural areas,15 years and older,,,,,1.1
2022,percentage,care work,rural areas,15 years and older,,,,,1.6
2013,percentage,care work,rural areas,25 to under 45 years,,,,,3.3
2022,percentage,care work,rural areas,25 to under 45 years,,,,,4.3
2022,percentage,care work,rural areas,45 to under 55 years,,,,,1.4
2013,percentage,care work,urban,15 years and older,female,,,,1.7
2022,percentage,care work,urban,15 years and older,female,,,,2.3
2013,percentage,care work,urban,25 to under 45 years,female,,,,5.0
2022,percentage,care work,urban,25 to under 45 years,female,,,,6.4
2013,percentage,care work,rural areas,15 years and older,female,,,,1.6
2022,percentage,care work,rural areas,15 years and older,female,,,,2.2
2013,percentage,care work,rural areas,25 to under 45 years,female,,,,5.0
2022,percentage,care work,rural areas,25 to under 45 years,female,,,,6.2
2013,percentage,care work,rural areas,45 to under 55 years,female,,,,0.6
2022,percentage,care work,rural areas,45 to under 55 years,female,,,,1.5
2013,percentage,care work,urban,15 years and older,male,,,,0.8
2022,percentage,care work,urban,15 years and older,male,,,,1.3
2013,percentage,care work,urban,25 to under 45 years,male,,,,2.0
2022,percentage,care work,urban,25 to under 45 years,male,,,,2.9
2013,percentage,care work,urban,45 to under 55 years,male,,,,0.7
2022,percentage,care work,urban,45 to under 55 years,male,,,,1.4
2013,percentage,care work,rural areas,15 years and older,male,,,,0.6
2022,percentage,care work,rural areas,15 years and older,male,,,,1.1
2013,percentage,care work,rural areas,25 to under 45 years,male,,,,1.7
2022,percentage,care work,rural areas,25 to under 45 years,male,,,,2.3
2022,percentage,care work,rural areas,45 to under 55 years,male,,,,1.2
2013,houres per day,domestic and care work,,,,,,,3.0
2022,houres per day,domestic and care work,,,,,,,3.0
2013,houres per day,domestic and care work,urban,,,,,,3.0
2022,houres per day,domestic and care work,urban,,,,,,3.0
2013,houres per day,domestic and care work,rural areas,,,,,,3.0
2022,houres per day,domestic and care work,rural areas,,,,,,3.1
2013,houres per day,domestic and care work,,15 years and older,,,,,3.1
2022,houres per day,domestic and care work,,15 years and older,,,,,3.2
2013,houres per day,domestic and care work,,15 to under 25 years,,,,,1.3
2022,houres per day,domestic and care work,,15 to under 25 years,,,,,1.4
2013,houres per day,domestic and care work,,25 to under 45 years,,,,,3.3
2022,houres per day,domestic and care work,,25 to under 45 years,,,,,3.3
2013,houres per day,domestic and care work,,45 to under 55 years,,,,,3.1
2022,houres per day,domestic and care work,,45 to under 55 years,,,,,3.1
2013,houres per day,domestic and care work,,55 to under 65 years,,,,,3.2
2022,houres per day,domestic and care work,,55 to under 65 years,,,,,3.2
2013,houres per day,domestic and care work,,65 years and older,,,,,3.7
2022,houres per day,domestic and care work,,65 years and older,,,,,3.7
2013,houres per day,domestic and care work,,,female,,,,3.6
2022,houres per day,domestic and care work,,,female,,,,3.6
2013,houres per day,domestic and care work,,,male,,,,2.3
2022,houres per day,domestic and care work,,,male,,,,2.4
2013,houres per day,domestic and care work,urban,,female,,,,3.6
2022,houres per day,domestic and care work,urban,,female,,,,3.6
2013,houres per day,domestic and care work,rural areas,,female,,,,3.7
2022,houres per day,domestic and care work,rural areas,,female,,,,3.7
2013,houres per day,domestic and care work,,15 years and older,female,,,,3.8
2022,houres per day,domestic and care work,,15 years and older,female,,,,3.8
2013,houres per day,domestic and care work,,15 to under 25 years,female,,,,1.6
2022,houres per day,domestic and care work,,15 to under 25 years,female,,,,1.7
2013,houres per day,domestic and care work,,25 to under 45 years,female,,,,4.3
2022,houres per day,domestic and care work,,25 to under 45 years,female,,,,4.2
2013,houres per day,domestic and care work,,45 to under 55 years,female,,,,3.8
2022,houres per day,domestic and care work,,45 to under 55 years,female,,,,3.8
2013,houres per day,domestic and care work,,55 to under 65 years,female,,,,3.8
2022,houres per day,domestic and care work,,55 to under 65 years,female,,,,3.7
2013,houres per day,domestic and care work,,65 years and older,female,,,,4.2
2022,houres per day,domestic and care work,,65 years and older,female,,,,4.0
2013,houres per day,domestic and care work,urban,,male,,,,2.3
2022,houres per day,domestic and care work,urban,,male,,,,2.4
2013,houres per day,domestic and care work,rural areas,,male,,,,2.3
2022,houres per day,domestic and care work,rural areas,,male,,,,2.5
2013,houres per day,domestic and care work,,15 years and older,male,,,,2.4
2022,houres per day,domestic and care work,,15 years and older,male,,,,2.5
2013,houres per day,domestic and care work,,15 to under 25 years,male,,,,1.0
2022,houres per day,domestic and care work,,15 to under 25 years,male,,,,1.0
2013,houres per day,domestic and care work,,25 to under 45 years,male,,,,2.3
2022,houres per day,domestic and care work,,25 to under 45 years,male,,,,2.4
2013,houres per day,domestic and care work,,45 to under 55 years,male,,,,2.5
2022,houres per day,domestic and care work,,45 to under 55 years,male,,,,2.5
2013,houres per day,domestic and care work,,55 to under 65 years,male,,,,2.6
2022,houres per day,domestic and care work,,55 to under 65 years,male,,,,2.6
2013,houres per day,domestic and care work,,65 years and older,male,,,,3.3
2022,houres per day,domestic and care work,,65 years and older,male,,,,3.3
2013,houres per day,domestic and care work,urban,15 years and older,,,,,3.1
2022,houres per day,domestic and care work,urban,15 years and older,,,,,3.1
2013,houres per day,domestic and care work,urban,15 to under 25 years,,,,,1.3
2022,houres per day,domestic and care work,urban,15 to under 25 years,,,,,1.4
2013,houres per day,domestic and care work,urban,25 to under 45 years,,,,,3.2
2022,houres per day,domestic and care work,urban,25 to under 45 years,,,,,3.3
2013,houres per day,domestic and care work,urban,45 to under 55 years,,,,,3.1
2022,houres per day,domestic and care work,urban,45 to under 55 years,,,,,3.1
2013,houres per day,domestic and care work,urban,55 to under 65 years,,,,,3.2
2022,houres per day,domestic and care work,urban,55 to under 65 years,,,,,3.1
2013,houres per day,domestic and care work,urban,65 years and older,,,,,3.7
2022,houres per day,domestic and care work,urban,65 years and older,,,,,3.6
2013,houres per day,domestic and care work,rural areas,15 years and older,,,,,3.1
2022,houres per day,domestic and care work,rural areas,15 years and older,,,,,3.2
2013,houres per day,domestic and care work,rural areas,15 to under 25 years,,,,,1.3
2022,houres per day,domestic and care work,rural areas,15 to under 25 years,,,,,1.2
2013,houres per day,domestic and care work,rural areas,25 to under 45 years,,,,,3.5
2022,houres per day,domestic and care work,rural areas,25 to under 45 years,,,,,3.3
2013,houres per day,domestic and care work,rural areas,45 to under 55 years,,,,,3.2
2022,houres per day,domestic and care work,rural areas,45 to under 55 years,,,,,3.2
2013,houres per day,domestic and care work,rural areas,55 to under 65 years,,,,,3.3
2022,houres per day,domestic and care work,rural areas,55 to under 65 years,,,,,3.4
2013,houres per day,domestic and care work,rural areas,65 years and older,,,,,3.7
2022,houres per day,domestic and care work,rural areas,65 years and older,,,,,3.9
2013,houres per day,domestic and care work,urban,15 years and older,female,,,,3.8
2022,houres per day,domestic and care work,urban,15 years and older,female,,,,3.8
2013,houres per day,domestic and care work,urban,15 to under 25 years,female,,,,1.6
2022,houres per day,domestic and care work,urban,15 to under 25 years,female,,,,1.8
2013,houres per day,domestic and care work,urban,25 to under 45 years,female,,,,4.2
2022,houres per day,domestic and care work,urban,25 to under 45 years,female,,,,4.2
2013,houres per day,domestic and care work,urban,45 to under 55 years,female,,,,3.8
2022,houres per day,domestic and care work,urban,45 to under 55 years,female,,,,3.8
2013,houres per day,domestic and care work,urban,55 to under 65 years,female,,,,3.9
2022,houres per day,domestic and care work,urban,55 to under 65 years,female,,,,3.7
2013,houres per day,domestic and care work,urban,65 years and older,female,,,,4.2
2022,houres per day,domestic and care work,urban,65 years and older,female,,,,3.9
2013,houres per day,domestic and care work,rural areas,15 years and older,female,,,,3.8
2022,houres per day,domestic and care work,rural areas,15 years and older,female,,,,3.8
2013,houres per day,domestic and care work,rural areas,15 to under 25 years,female,,,,1.6
2022,houres per day,domestic and care work,rural areas,15 to under 25 years,female,,,,1.5
2013,houres per day,domestic and care work,rural areas,25 to under 45 years,female,,,,4.6
2022,houres per day,domestic and care work,rural areas,25 to under 45 years,female,,,,4.2
2013,houres per day,domestic and care work,rural areas,45 to under 55 years,female,,,,3.9
2022,houres per day,domestic and care work,rural areas,45 to under 55 years,female,,,,3.8
2013,houres per day,domestic and care work,rural areas,55 to under 65 years,female,,,,3.7
2022,houres per day,domestic and care work,rural areas,55 to under 65 years,female,,,,3.8
2013,houres per day,domestic and care work,rural areas,65 years and older,female,,,,4.2
2022,houres per day,domestic and care work,rural areas,65 years and older,female,,,,4.2
2013,houres per day,domestic and care work,urban,15 years and older,male,,,,2.4
2022,houres per day,domestic and care work,urban,15 years and older,male,,,,2.5
2013,houres per day,domestic and care work,urban,15 to under 25 years,male,,,,1.0
2022,houres per day,domestic and care work,urban,15 to under 25 years,male,,,,1.1
2013,houres per day,domestic and care work,urban,25 to under 45 years,male,,,,2.3
2022,houres per day,domestic and care work,urban,25 to under 45 years,male,,,,2.4
2013,houres per day,domestic and care work,urban,45 to under 55 years,male,,,,2.4
2022,houres per day,domestic and care work,urban,45 to under 55 years,male,,,,2.5
2013,houres per day,domestic and care work,urban,55 to under 65 years,male,,,,2.6
2022,houres per day,domestic and care work,urban,55 to under 65 years,male,,,,2.6
2013,houres per day,domestic and care work,urban,65 years and older,male,,,,3.3
2022,houres per day,domestic and care work,urban,65 years and older,male,,,,3.3
2013,houres per day,domestic and care work,rural areas,15 years and older,male,,,,2.4
2022,houres per day,domestic and care work,rural areas,15 years and older,male,,,,2.6
