Year,sector,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,financial services,.,,,
2013,financial services,,,,98.6
2014,financial services,,,,99.3
2015,financial services,,,,116.8
2016,financial services,,,,112.7
2017,financial services,,,,132.1
2018,financial services,,,,131.3
2019,financial services,,,,136.9
2020,financial services,,,,99.3
2021,financial services,,,,122.6
2022,financial services,,,,89.5
2023,financial services,,,,114.9
2024,financial services,,,,97.5
2010,"health, environment, sport and recreation",.,,,
2011,"health, environment, sport and recreation",.,,,
2012,"health, environment, sport and recreation",,,,90.3
2013,"health, environment, sport and recreation",,,,93.8
2014,"health, environment, sport and recreation",,,,94.1
2015,"health, environment, sport and recreation",,,,93.8
2016,"health, environment, sport and recreation",,,,89.7
2017,"health, environment, sport and recreation",,,,99.1
2018,"health, environment, sport and recreation",,,,86.7
2019,"health, environment, sport and recreation",,,,79.8
2020,"health, environment, sport and recreation",,,,75.2
2021,"health, environment, sport and recreation",,,,67.5
2022,"health, environment, sport and recreation",,,,89.3
2023,"health, environment, sport and recreation",,,,69.5
2024,"health, environment, sport and recreation",,,,111.6
2010,"social security, family and youth, labour market policy",.,,,
2011,"social security, family and youth, labour market policy",.,,,
2012,"social security, family and youth, labour market policy",.,,,
2013,"social security, family and youth, labour market policy",,,,100.4
2014,"social security, family and youth, labour market policy",,,,100.6
2015,"social security, family and youth, labour market policy",,,,99.6
2016,"social security, family and youth, labour market policy",,,,99.4
2017,"social security, family and youth, labour market policy",,,,99.0
2018,"social security, family and youth, labour market policy",,,,99.5
2019,"social security, family and youth, labour market policy",,,,98.7
2020,"social security, family and youth, labour market policy",,,,85.5
2021,"social security, family and youth, labour market policy",,,,98.8
2022,"social security, family and youth, labour market policy",,,,102.1
2023,"social security, family and youth, labour market policy",,,,100.5
2024,"social security, family and youth, labour market policy",,,,102.0
2010,transport and communications,.,,,
2011,transport and communications,.,,,
2012,transport and communications,,,,97.8
2013,transport and communications,,,,98.2
2014,transport and communications,,,,97.4
2015,transport and communications,,,,98.0
2016,transport and communications,,,,97.0
2017,transport and communications,,,,102.0
2018,transport and communications,,,,103.8
2019,transport and communications,,,,100.5
2020,transport and communications,,,,79.4
2021,transport and communications,,,,88.4
2022,transport and communications,,,,97.5
2023,transport and communications,,,,101.7
2024,transport and communications,,,,102.3
2010,"housing, urban development, regional planning and municipal community services",.,,,
2011,"housing, urban development, regional planning and municipal community services",.,,,
2012,"housing, urban development, regional planning and municipal community services",,,,101.1
2013,"housing, urban development, regional planning and municipal community services",,,,99.5
2014,"housing, urban development, regional planning and municipal community services",,,,91.7
2015,"housing, urban development, regional planning and municipal community services",,,,91.3
2016,"housing, urban development, regional planning and municipal community services",,,,97.0
2017,"housing, urban development, regional planning and municipal community services",,,,87.9
2018,"housing, urban development, regional planning and municipal community services",,,,83.0
2019,"housing, urban development, regional planning and municipal community services",,,,84.4
2020,"housing, urban development, regional planning and municipal community services",,,,69.2
2021,"housing, urban development, regional planning and municipal community services",,,,76.4
2022,"housing, urban development, regional planning and municipal community services",,,,74.0
2023,"housing, urban development, regional planning and municipal community services",,,,90.8
2024,"housing, urban development, regional planning and municipal community services",,,,101.1
