Year,Units,Age group,Sex,Value
2019,Percentage,15 to under 25 years,Male,78.103
2020,Percentage,15 to under 25 years,Male,79.082
2021,Percentage,15 to under 25 years,Male,75.818
2022,Percentage,15 to under 25 years,Male,76.334
2010,Number,15 to under 25 years,Male,3447.33
2011,Number,15 to under 25 years,Male,3363.98
2012,Number,15 to under 25 years,Male,3384.796
2013,Number,15 to under 25 years,Male,3437.589
2014,Number,15 to under 25 years,Male,3426.025
2015,Number,15 to under 25 years,Male,3447.811
2016,Number,15 to under 25 years,Male,3502.483
2017,Number,15 to under 25 years,Male,3524.012
2018,Number,15 to under 25 years,Male,3463.814
2019,Number,15 to under 25 years,Male,3418.042
2020,Number,15 to under 25 years,Male,3436.322
2021,Number,15 to under 25 years,Male,3252.423
2022,Number,15 to under 25 years,Male,3285.175
2010,Percentage,15 to under 65 years,,29.846
2011,Percentage,15 to under 65 years,,30.334
2012,Percentage,15 to under 65 years,,29.247
2013,Percentage,15 to under 65 years,,29.169
2014,Percentage,15 to under 65 years,,29.027
2015,Percentage,15 to under 65 years,,29.427
2016,Percentage,15 to under 65 years,,29.875
2017,Percentage,15 to under 65 years,,29.18
2018,Percentage,15 to under 65 years,,28.855
2019,Percentage,15 to under 65 years,,29.156
2020,Percentage,15 to under 65 years,,27.809
2021,Percentage,15 to under 65 years,,25.117
2022,Percentage,15 to under 65 years,,26.64
2010,Number,15 to under 65 years,,15981.51
2011,Number,15 to under 65 years,,15869.1
2012,Number,15 to under 65 years,,15319.632
2013,Number,15 to under 65 years,,15330.249
2014,Number,15 to under 65 years,,15299.075
2015,Number,15 to under 65 years,,15578.819
2016,Number,15 to under 65 years,,16064.831
2017,Number,15 to under 65 years,,15690.778
2018,Number,15 to under 65 years,,15436.899
2019,Number,15 to under 65 years,,15604.334
2020,Number,15 to under 65 years,,14803.204
2021,Number,15 to under 65 years,,13305.257
2022,Number,15 to under 65 years,,14201.915
2010,Percentage,15 to under 65 years,Female,29.312
2011,Percentage,15 to under 65 years,Female,29.642
2012,Percentage,15 to under 65 years,Female,28.629
2013,Percentage,15 to under 65 years,Female,28.556
2014,Percentage,15 to under 65 years,Female,28.463
2015,Percentage,15 to under 65 years,Female,28.771
2016,Percentage,15 to under 65 years,Female,29.119
2017,Percentage,15 to under 65 years,Female,28.47
2018,Percentage,15 to under 65 years,Female,28.314
2019,Percentage,15 to under 65 years,Female,28.859
2020,Percentage,15 to under 65 years,Female,27.693
2021,Percentage,15 to under 65 years,Female,25.238
2022,Percentage,15 to under 65 years,Female,27.01
2010,Number,15 to under 65 years,Female,7797.92
2011,Number,15 to under 65 years,Female,7737.98
2012,Number,15 to under 65 years,Female,7474.009
2013,Number,15 to under 65 years,Female,7473.806
2014,Number,15 to under 65 years,Female,7457.472
2015,Number,15 to under 65 years,Female,7556.339
2016,Number,15 to under 65 years,Female,7725.175
2017,Number,15 to under 65 years,Female,7535.23
2018,Number,15 to under 65 years,Female,7472.145
2019,Number,15 to under 65 years,Female,7631.708
2020,Number,15 to under 65 years,Female,7274.901
2021,Number,15 to under 65 years,Female,6596.327
2022,Number,15 to under 65 years,Female,7120.014
2010,Percentage,15 to under 65 years,Male,30.374
2011,Percentage,15 to under 65 years,Male,31.023
2012,Percentage,15 to under 65 years,Male,29.862
2013,Percentage,15 to under 65 years,Male,29.777
2014,Percentage,15 to under 65 years,Male,29.586
2015,Percentage,15 to under 65 years,Male,30.073
2016,Percentage,15 to under 65 years,Male,30.611
2017,Percentage,15 to under 65 years,Male,29.868
2018,Percentage,15 to under 65 years,Male,29.383
2019,Percentage,15 to under 65 years,Male,29.445
2020,Percentage,15 to under 65 years,Male,27.923
2021,Percentage,15 to under 65 years,Male,24.999
2022,Percentage,15 to under 65 years,Male,26.277
2010,Number,15 to under 65 years,Male,8183.59
2011,Number,15 to under 65 years,Male,8131.12
2012,Number,15 to under 65 years,Male,7845.624
2013,Number,15 to under 65 years,Male,7856.444
2014,Number,15 to under 65 years,Male,7841.603
2015,Number,15 to under 65 years,Male,8022.479
2016,Number,15 to under 65 years,Male,8339.656
2017,Number,15 to under 65 years,Male,8155.546
2018,Number,15 to under 65 years,Male,7964.755
2019,Number,15 to under 65 years,Male,7972.625
2020,Number,15 to under 65 years,Male,7528.302
2021,Number,15 to under 65 years,Male,6708.93
2022,Number,15 to under 65 years,Male,7081.901
2010,Percentage,25 to under 55 years,,23.367
2011,Percentage,25 to under 55 years,,24.092
2012,Percentage,25 to under 55 years,,22.708
2013,Percentage,25 to under 55 years,,22.553
2014,Percentage,25 to under 55 years,,22.407
2015,Percentage,25 to under 55 years,,22.911
2016,Percentage,25 to under 55 years,,23.594
2017,Percentage,25 to under 55 years,,22.651
2018,Percentage,25 to under 55 years,,22.363
2019,Percentage,25 to under 55 years,,22.85
2020,Percentage,25 to under 55 years,,21.078
2021,Percentage,25 to under 55 years,,18.246
2022,Percentage,25 to under 55 years,,20.039
2010,Number,25 to under 55 years,,8072.49
2011,Number,25 to under 55 years,,8081.67
2012,Number,25 to under 55 years,,7601.539
2013,Number,25 to under 55 years,,7533.867
2014,Number,25 to under 55 years,,7492.14
2015,Number,25 to under 55 years,,7671.548
2016,Number,25 to under 55 years,,8003.358
2017,Number,25 to under 55 years,,7637.577
2018,Number,25 to under 55 years,,7406.939
2019,Number,25 to under 55 years,,7507.174
2020,Number,25 to under 55 years,,6793.113
2021,Number,25 to under 55 years,,5816.606
2022,Number,25 to under 55 years,,6405.604
2010,Percentage,25 to under 55 years,Female,22.763
2011,Percentage,25 to under 55 years,Female,23.319
2012,Percentage,25 to under 55 years,Female,22.135
2013,Percentage,25 to under 55 years,Female,22.083
2014,Percentage,25 to under 55 years,Female,21.947
2015,Percentage,25 to under 55 years,Female,22.374
2016,Percentage,25 to under 55 years,Female,22.928
2017,Percentage,25 to under 55 years,Female,21.988
2018,Percentage,25 to under 55 years,Female,21.743
2019,Percentage,25 to under 55 years,Female,22.475
2020,Percentage,25 to under 55 years,Female,20.892
2021,Percentage,25 to under 55 years,Female,18.307
2022,Percentage,25 to under 55 years,Female,20.416
2010,Number,25 to under 55 years,Female,3895.33
2011,Number,25 to under 55 years,Female,3894.46
2012,Number,25 to under 55 years,Female,3682.614
2013,Number,25 to under 55 years,Female,3662.473
2014,Number,25 to under 55 years,Female,3641.728
2015,Number,25 to under 55 years,Female,3706.575
2016,Number,25 to under 55 years,Female,3832.687
2017,Number,25 to under 55 years,Female,3646.93
2018,Number,25 to under 55 years,Female,3549.924
2019,Number,25 to under 55 years,Female,3645.427
2020,Number,25 to under 55 years,Female,3317.206
2021,Number,25 to under 55 years,Female,2873.067
2022,Number,25 to under 55 years,Female,3221.147
2010,Percentage,25 to under 55 years,Male,23.959
2011,Percentage,25 to under 55 years,Male,24.859
2012,Percentage,25 to under 55 years,Male,23.274
2013,Percentage,25 to under 55 years,Male,23.018
2014,Percentage,25 to under 55 years,Male,22.861
2015,Percentage,25 to under 55 years,Male,23.437
2016,Percentage,25 to under 55 years,Male,24.241
2017,Percentage,25 to under 55 years,Male,23.293
2018,Percentage,25 to under 55 years,Male,22.965
2019,Percentage,25 to under 55 years,Male,23.216
2020,Percentage,25 to under 55 years,Male,21.259
2021,Percentage,25 to under 55 years,Male,18.188
2022,Percentage,25 to under 55 years,Male,19.671
2010,Number,25 to under 55 years,Male,4177.17
2011,Number,25 to under 55 years,Male,4187.21
2012,Number,25 to under 55 years,Male,3918.925
2013,Number,25 to under 55 years,Male,3871.395
2014,Number,25 to under 55 years,Male,3850.412
2015,Number,25 to under 55 years,Male,3964.973
2016,Number,25 to under 55 years,Male,4170.671
2017,Number,25 to under 55 years,Male,3990.645
2018,Number,25 to under 55 years,Male,3857.016
2019,Number,25 to under 55 years,Male,3861.746
2020,Number,25 to under 55 years,Male,3475.906
2021,Number,25 to under 55 years,Male,2943.539
2022,Number,25 to under 55 years,Male,3184.457
2010,Percentage,55 to under 65 years,,10.584
2011,Percentage,55 to under 65 years,,10.946
2012,Percentage,55 to under 65 years,,10.169
2013,Percentage,55 to under 65 years,,10.162
2014,Percentage,55 to under 65 years,,10.446
2015,Percentage,55 to under 65 years,,11.034
2016,Percentage,55 to under 65 years,,11.763
2017,Percentage,55 to under 65 years,,11.193
2018,Percentage,55 to under 65 years,,11.048
2019,Percentage,55 to under 65 years,,11.615
2020,Percentage,55 to under 65 years,,10.307
2021,Percentage,55 to under 65 years,,8.355
2022,Percentage,55 to under 65 years,,9.95
2010,Number,55 to under 65 years,,1054.18
2011,Number,55 to under 65 years,,1101.5
2012,Number,55 to under 65 years,,1051.761
2013,Number,55 to under 65 years,,1078.975
2014,Number,55 to under 65 years,,1129.07
2015,Number,55 to under 65 years,,1222.063
2016,Number,55 to under 65 years,,1335.488
2017,Number,55 to under 65 years,,1294.215
2018,Number,55 to under 65 years,,1319.774
2019,Number,55 to under 65 years,,1423.738
2020,Number,55 to under 65 years,,1299.728
2021,Number,55 to under 65 years,,1069.884
2022,Number,55 to under 65 years,,1294.679
2010,Percentage,55 to under 65 years,Female,9.801
2011,Percentage,55 to under 65 years,Female,10.161
2012,Percentage,55 to under 65 years,Female,9.622
2013,Percentage,55 to under 65 years,Female,9.759
2014,Percentage,55 to under 65 years,Female,10.229
2015,Percentage,55 to under 65 years,Female,10.823
2016,Percentage,55 to under 65 years,Female,11.618
2017,Percentage,55 to under 65 years,Female,11.171
2018,Percentage,55 to under 65 years,Female,11.192
2019,Percentage,55 to under 65 years,Female,11.805
2020,Percentage,55 to under 65 years,Female,10.775
2021,Percentage,55 to under 65 years,Female,8.643
2022,Percentage,55 to under 65 years,Female,10.414
2010,Number,55 to under 65 years,Female,495.08
2011,Number,55 to under 65 years,Female,521.57
2012,Number,55 to under 65 years,Female,509.859
2013,Number,55 to under 65 years,Female,531.515
2014,Number,55 to under 65 years,Female,563.904
2015,Number,55 to under 65 years,Female,612.367
2016,Number,55 to under 65 years,Female,668.985
2017,Number,55 to under 65 years,Female,653.326
2018,Number,55 to under 65 years,Female,675.849
2019,Number,55 to under 65 years,Female,730.901
2020,Number,55 to under 65 years,Female,683.654
2021,Number,55 to under 65 years,Female,556.916
2022,Number,55 to under 65 years,Female,682.409
2010,Percentage,55 to under 65 years,Male,11.389
2011,Percentage,55 to under 65 years,Male,11.763
2012,Percentage,55 to under 65 years,Male,10.743
2013,Percentage,55 to under 65 years,Male,10.586
2014,Percentage,55 to under 65 years,Male,10.672
2015,Percentage,55 to under 65 years,Male,11.255
2016,Percentage,55 to under 65 years,Male,11.913
2017,Percentage,55 to under 65 years,Male,11.216
2018,Percentage,55 to under 65 years,Male,10.9
2019,Percentage,55 to under 65 years,Male,11.422
2020,Percentage,55 to under 65 years,Male,9.833
2021,Percentage,55 to under 65 years,Male,8.062
2022,Percentage,55 to under 65 years,Male,9.48
2010,Number,55 to under 65 years,Male,559.09
2011,Number,55 to under 65 years,Male,579.93
2012,Number,55 to under 65 years,Male,541.903
2013,Number,55 to under 65 years,Male,547.46
2014,Number,55 to under 65 years,Male,565.166
2015,Number,55 to under 65 years,Male,609.695
2016,Number,55 to under 65 years,Male,666.502
2017,Number,55 to under 65 years,Male,640.889
2018,Number,55 to under 65 years,Male,643.925
2019,Number,55 to under 65 years,Male,692.837
2020,Number,55 to under 65 years,Male,616.074
2021,Number,55 to under 65 years,Male,512.968
2022,Number,55 to under 65 years,Male,612.27
