Year,Units,type of obligation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2016,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2017,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2018,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2019,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2020,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2021,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2022,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2023,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2024,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2025,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2026,"yes=1, no=0",contracting party,,,,(4) stockholm convention,1.0
2010,"yes=1, no=0",fulfilment of reporting obligation,,,,(4) stockholm convention,1.0
2011,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2012,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2013,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2014,"yes=1, no=0",fulfilment of reporting obligation,,,,(4) stockholm convention,1.0
2015,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2016,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2017,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2018,"yes=1, no=0",fulfilment of reporting obligation,,,,(4) stockholm convention,1.0
2019,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2020,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2021,"yes=1, no=0",fulfilment of reporting obligation,x,,,(4) stockholm convention,
2022,"yes=1, no=0",fulfilment of reporting obligation,,,,(4) stockholm convention,1.0
2015,percentage,compliance with the agreement,,,,(4) stockholm convention,100.0
2020,percentage,compliance with the agreement,,,,(4) stockholm convention,85.71
2025,percentage,compliance with the agreement,,,,(4) stockholm convention,88.89
2010,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2011,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2012,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2013,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2014,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2015,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2016,"yes=1, no=0",contracting party,‒,,,(5) minamata convention,0.0
2017,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2018,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2019,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2020,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2021,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2022,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2023,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2024,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2025,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2026,"yes=1, no=0",contracting party,,,,(5) minamata convention,1.0
2010,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2011,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2012,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2013,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2014,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2015,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2016,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2017,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2018,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2019,"yes=1, no=0",fulfilment of reporting obligation,,,,(5) minamata convention,1.0
2020,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2021,"yes=1, no=0",fulfilment of reporting obligation,,,,(5) minamata convention,1.0
2022,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2023,"yes=1, no=0",fulfilment of reporting obligation,,,,(5) minamata convention,1.0
2024,"yes=1, no=0",fulfilment of reporting obligation,x,,,(5) minamata convention,
2025,"yes=1, no=0",fulfilment of reporting obligation,‒,,,(5) minamata convention,0.0
2015,percentage,compliance with the agreement,,,,(5) minamata convention,0.0
2020,percentage,compliance with the agreement,,,,(5) minamata convention,33.33
2025,percentage,compliance with the agreement,,,,(5) minamata convention,66.67
