Year,Units,sex (all age groups),age (male and female),Value
2016,sexual exploitation (number),male,,24.0
2017,sexual exploitation (number),male,,5.0
2018,sexual exploitation (number),male,,
2010,sexual exploitation (number),,13 years and under,8.0
2011,sexual exploitation (number),,13 years and under,13.0
2012,sexual exploitation (number),,13 years and under,12.0
2013,sexual exploitation (number),,13 years and under,9.0
2014,sexual exploitation (number),,13 years and under,5.0
2015,sexual exploitation (number),,13 years and under,6.0
2016,sexual exploitation (number),,13 years and under,12.0
2017,sexual exploitation (number),,13 years and under,16.0
2018,sexual exploitation (number),,13 years and under,
2010,sexual exploitation (number),,14 to under 18 years,79.0
2011,sexual exploitation (number),,14 to under 18 years,77.0
2012,sexual exploitation (number),,14 to under 18 years,88.0
2013,sexual exploitation (number),,14 to under 18 years,61.0
2014,sexual exploitation (number),,14 to under 18 years,52.0
2015,sexual exploitation (number),,14 to under 18 years,71.0
2016,sexual exploitation (number),,14 to under 18 years,84.0
2017,sexual exploitation (number),,14 to under 18 years,46.0
2018,sexual exploitation (number),,14 to under 18 years,
2010,sexual exploitation (number),,18 to under 21 years,254.0
2011,sexual exploitation (number),,18 to under 21 years,269.0
2012,sexual exploitation (number),,18 to under 21 years,223.0
2013,sexual exploitation (number),,18 to under 21 years,209.0
2014,sexual exploitation (number),,18 to under 21 years,209.0
2015,sexual exploitation (number),,18 to under 21 years,148.0
2016,sexual exploitation (number),,18 to under 21 years,118.0
2017,sexual exploitation (number),,18 to under 21 years,157.0
2018,sexual exploitation (number),,18 to under 21 years,
2010,sexual exploitation (number),,21 to under 25 years,127.0
2011,sexual exploitation (number),,21 to under 25 years,135.0
2012,sexual exploitation (number),,21 to under 25 years,123.0
2013,sexual exploitation (number),,21 to under 25 years,111.0
2014,sexual exploitation (number),,21 to under 25 years,115.0
2015,sexual exploitation (number),,21 to under 25 years,68.0
2016,sexual exploitation (number),,21 to under 25 years,109.0
2017,sexual exploitation (number),,21 to under 25 years,110.0
2018,sexual exploitation (number),,21 to under 25 years,
2010,sexual exploitation (number),,25 years and over,134.0
2011,sexual exploitation (number),,25 years and over,133.0
2012,sexual exploitation (number),,25 years and over,156.0
2013,sexual exploitation (number),,25 years and over,142.0
2014,sexual exploitation (number),,25 years and over,164.0
2015,sexual exploitation (number),,25 years and over,98.0
2016,sexual exploitation (number),,25 years and over,142.0
2017,sexual exploitation (number),,25 years and over,149.0
2018,sexual exploitation (number),,25 years and over,
2010,sexual exploitation (number),,0 - unknown age,8.0
2011,sexual exploitation (number),,0 - unknown age,13.0
2012,sexual exploitation (number),,0 - unknown age,10.0
2013,sexual exploitation (number),,0 - unknown age,10.0
2014,sexual exploitation (number),,0 - unknown age,12.0
2015,sexual exploitation (number),,0 - unknown age,25.0
2016,sexual exploitation (number),,0 - unknown age,23.0
2017,sexual exploitation (number),,0 - unknown age,11.0
2018,sexual exploitation (number),,0 - unknown age,
2010,exploitation of labour (number),female,,10.0
2011,exploitation of labour (number),female,,24.0
2012,exploitation of labour (number),female,,
2013,exploitation of labour (number),female,,
2014,exploitation of labour (number),female,,
2015,exploitation of labour (number),female,,10.0
2016,exploitation of labour (number),female,,14.0
2017,exploitation of labour (number),female,,25.0
2018,exploitation of labour (number),female,,
2010,exploitation of labour (number),male,,31.0
2011,exploitation of labour (number),male,,8.0
2012,exploitation of labour (number),male,,
2013,exploitation of labour (number),male,,
2014,exploitation of labour (number),male,,
2015,exploitation of labour (number),male,,44.0
2016,exploitation of labour (number),male,,34.0
2017,exploitation of labour (number),male,,155.0
2018,exploitation of labour (number),male,,
