Year,Units,"sex (all age groups, with and without disabilities)","age (male and female, with and without disabilities)","disability (all age groups, male and female)",Value
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,92.2
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,90.5
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,91.6
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,65 years and over,,
2010,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,93.3
2011,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,91.6
2012,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,92.7
2013,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,90.2
2014,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,95.2
2015,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,91.5
2016,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,91.3
2017,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,92.2
2018,population that has convenient access to public transport (within 10 minutes walking distance) (%),,,mobility impaired people,
