Year,Units,sex,age group,form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,"per 100,000 inhabitants",female,,labour exploitation,,,,0.045
2020,"per 100,000 inhabitants",female,,labour exploitation,,,,0.043
2021,"per 100,000 inhabitants",female,,labour exploitation,,,,0.171
2022,"per 100,000 inhabitants",female,,labour exploitation,,,,0.631
2023,"per 100,000 inhabitants",female,,labour exploitation,|,,,0.124
2024,"per 100,000 inhabitants",female,,labour exploitation,,,,0.059
2010,"per 100,000 inhabitants",male,,labour exploitation,,,,0.077
2011,"per 100,000 inhabitants",male,,labour exploitation,,,,0.02
2012,"per 100,000 inhabitants",male,,labour exploitation,|,,,0.012
2013,"per 100,000 inhabitants",male,,labour exploitation,,,,0.119
2014,"per 100,000 inhabitants",male,,labour exploitation,,,,0.056
2015,"per 100,000 inhabitants",male,,labour exploitation,,,,0.11
2016,"per 100,000 inhabitants",male,,labour exploitation,,,,0.084
2017,"per 100,000 inhabitants",male,,labour exploitation,,,,0.378
2018,"per 100,000 inhabitants",male,,labour exploitation,,,,0.132
2019,"per 100,000 inhabitants",male,,labour exploitation,,,,0.059
2020,"per 100,000 inhabitants",male,,labour exploitation,,,,0.134
2021,"per 100,000 inhabitants",male,,labour exploitation,,,,0.18
2022,"per 100,000 inhabitants",male,,labour exploitation,,,,1.819
2023,"per 100,000 inhabitants",male,,labour exploitation,|,,,0.31
2024,"per 100,000 inhabitants",male,,labour exploitation,,,,0.352
2010,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2011,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2012,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2013,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2014,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2015,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2016,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2017,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2018,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2019,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2020,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2021,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2022,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2023,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2024,"per 100,000 inhabitants",unknown,,labour exploitation,.,,,
2010,"per 100,000 inhabitants",,,sexual exploitation,,,,0.746
2011,"per 100,000 inhabitants",,,sexual exploitation,,,,0.782
2012,"per 100,000 inhabitants",,,sexual exploitation,|,,,0.748
2013,"per 100,000 inhabitants",,,sexual exploitation,,,,0.673
2014,"per 100,000 inhabitants",,,sexual exploitation,,,,0.69
2015,"per 100,000 inhabitants",,,sexual exploitation,,,,0.512
2016,"per 100,000 inhabitants",,,sexual exploitation,,,,0.594
2017,"per 100,000 inhabitants",,,sexual exploitation,,,,0.593
2018,"per 100,000 inhabitants",,,sexual exploitation,,,,0.519
2019,"per 100,000 inhabitants",,,sexual exploitation,,,,0.514
2020,"per 100,000 inhabitants",,,sexual exploitation,,,,0.488
2021,"per 100,000 inhabitants",,,sexual exploitation,,,,0.501
2022,"per 100,000 inhabitants",,,sexual exploitation,,,,0.572
2023,"per 100,000 inhabitants",,,sexual exploitation,|,,,0.507
2024,"per 100,000 inhabitants",,,sexual exploitation,,,,0.557
2010,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.127
2011,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.128
2012,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,|,,,0.12
2013,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.106
2014,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.051
2015,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.061
2016,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.119
2017,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.155
2018,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.038
2019,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.047
2020,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.122
2021,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.009
2022,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.065
2023,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,|,,,0.009
2024,"per 100,000 inhabitants",,13 years and younger,sexual exploitation,,,,0.037
2010,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.439
2011,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.403
2012,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,|,,,2.744
2013,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.905
2014,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.615
2015,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.212
2016,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.617
2017,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.448
2018,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.055
2019,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.831
2020,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,2.18
2021,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.766
2022,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.627
2023,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,|,,,2.091
2024,"per 100,000 inhabitants",,14 to under 18 years,sexual exploitation,,,,1.42
2010,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.967
2011,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,9.825
2012,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,|,,,8.586
2013,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.472
2014,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,8.598
2015,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,5.966
2016,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,4.521
2017,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,5.929
2018,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,4.939
2019,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,2.936
2020,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.476
2021,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.134
2022,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.997
2023,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,|,,,2.781
2024,"per 100,000 inhabitants",,18 to under 21 years,sexual exploitation,,,,3.22
2010,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.207
2011,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.368
2012,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,|,,,3.033
2013,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.769
2014,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,3.007
2015,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,1.815
2016,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.928
2017,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.991
2018,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.524
2019,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.126
2020,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.091
2021,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.24
2022,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,2.465
2023,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,|,,,2.111
2024,"per 100,000 inhabitants",,21 to under 25 years,sexual exploitation,,,,1.814
2010,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.21
2011,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.216
2012,"per 100,000 inhabitants",,25 years and older,sexual exploitation,|,,,0.252
2013,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.228
2014,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.267
2015,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.158
2016,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.227
2017,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.238
2018,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.2
2019,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.325
2020,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.231
2021,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.286
2022,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.352
2023,"per 100,000 inhabitants",,25 years and older,sexual exploitation,|,,,0.306
2024,"per 100,000 inhabitants",,25 years and older,sexual exploitation,,,,0.4
2010,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2011,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2012,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2013,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2014,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2015,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2016,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2017,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2018,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2019,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2020,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2021,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2022,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2023,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2024,"per 100,000 inhabitants",,unknown age,sexual exploitation,.,,,
2010,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.41
2011,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.439
2012,"per 100,000 inhabitants",female,,sexual exploitation,|,,,1.417
2013,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.259
2014,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.289
2015,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.965
2016,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.119
2017,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.157
2018,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.985
2019,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.963
2020,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.904
2021,"per 100,000 inhabitants",female,,sexual exploitation,,,,0.919
2022,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.074
2023,"per 100,000 inhabitants",female,,sexual exploitation,|,,,0.951
2024,"per 100,000 inhabitants",female,,sexual exploitation,,,,1.062
2010,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.042
2011,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.085
2012,"per 100,000 inhabitants",male,,sexual exploitation,|,,,0.047
2013,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.058
2014,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.066
2015,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.028
2016,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.042
2017,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.01
2018,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.034
2019,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.054
2020,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.056
2021,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.056
2022,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.039
2023,"per 100,000 inhabitants",male,,sexual exploitation,|,,,0.031
2024,"per 100,000 inhabitants",male,,sexual exploitation,,,,0.029
2010,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2011,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2012,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2013,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2014,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2015,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2016,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2017,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2018,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2019,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2020,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2021,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2022,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2023,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2024,"per 100,000 inhabitants",unknown,,sexual exploitation,.,,,
2010,"per 100,000 inhabitants",female,,,,,,1.434
2011,"per 100,000 inhabitants",female,,,,,,1.496
2012,"per 100,000 inhabitants",female,,,|,,,1.434
2013,"per 100,000 inhabitants",female,,,,,,1.291
2014,"per 100,000 inhabitants",female,,,,,,1.298
2015,"per 100,000 inhabitants",female,,,,,,0.984
2016,"per 100,000 inhabitants",female,,,,,,1.15
2017,"per 100,000 inhabitants",female,,,,,,1.217
2018,"per 100,000 inhabitants",female,,,,,,1.004
2019,"per 100,000 inhabitants",female,,,,,,1.008
2020,"per 100,000 inhabitants",female,,,,,,0.947
2021,"per 100,000 inhabitants",female,,,,,,1.09
2022,"per 100,000 inhabitants",female,,,,,,1.705
2023,"per 100,000 inhabitants",female,,,|,,,1.075
2024,"per 100,000 inhabitants",female,,,,,,1.121
2010,"per 100,000 inhabitants",male,,,,,,0.12
2011,"per 100,000 inhabitants",male,,,,,,0.104
2012,"per 100,000 inhabitants",male,,,|,,,0.06
2013,"per 100,000 inhabitants",male,,,,,,0.178
2014,"per 100,000 inhabitants",male,,,,,,0.121
2015,"per 100,000 inhabitants",male,,,,,,0.138
2016,"per 100,000 inhabitants",male,,,,,,0.126
2017,"per 100,000 inhabitants",male,,,,,,0.388
2018,"per 100,000 inhabitants",male,,,,,,0.166
2019,"per 100,000 inhabitants",male,,,,,,0.112
2020,"per 100,000 inhabitants",male,,,,,,0.19
2021,"per 100,000 inhabitants",male,,,,,,0.236
2022,"per 100,000 inhabitants",male,,,,,,1.858
2023,"per 100,000 inhabitants",male,,,|,,,0.342
2024,"per 100,000 inhabitants",male,,,,,,0.381
2010,number,,,,,,,651.0
2011,number,,,,,,,671.0
2012,number,,,,,,,626.0
2013,number,,,,,,,603.0
2014,number,,,,,,,583.0
2015,number,,,,,,,470.0
2016,number,,,,,,,536.0
2017,number,,,,,,,669.0
2018,number,,,,,,,493.0
2019,number,,,,,,,470.0
2020,number,,,,,,,479.0
2021,number,,,,,,,564.0
2022,number,,,,,,,1495.0
2023,number,,,,r,,,611.0
2024,number,,,,,,,636.0
2010,number,,,labour exploitation,,,,41.0
2011,number,,,labour exploitation,,,,32.0
2012,number,,,labour exploitation,,,,14.0
2013,number,,,labour exploitation,,,,61.0
2014,number,,,labour exploitation,,,,26.0
2015,number,,,labour exploitation,,,,54.0
2016,number,,,labour exploitation,,,,48.0
2017,number,,,labour exploitation,,,,180.0
2018,number,,,labour exploitation,,,,63.0
2019,number,,,labour exploitation,,,,43.0
2020,number,,,labour exploitation,,,,73.0
2021,number,,,labour exploitation,,,,147.0
2022,number,,,labour exploitation,,,,1019.0
2023,number,,,labour exploitation,,,,183.0
2024,number,,,labour exploitation,,,,171.0
2010,number,female,,labour exploitation,,,,10.0
2011,number,female,,labour exploitation,,,,24.0
2012,number,female,,labour exploitation,,,,7.0
2013,number,female,,labour exploitation,,,,13.0
2014,number,female,,labour exploitation,,,,4.0
2015,number,female,,labour exploitation,,,,8.0
2016,number,female,,labour exploitation,,,,13.0
2017,number,female,,labour exploitation,,,,25.0
2018,number,female,,labour exploitation,,,,8.0
2019,number,female,,labour exploitation,,,,19.0
2020,number,female,,labour exploitation,,,,18.0
2021,number,female,,labour exploitation,,,,72.0
2022,number,female,,labour exploitation,,,,266.0
2023,number,female,,labour exploitation,,,,53.0
2024,number,female,,labour exploitation,,,,25.0
2010,number,male,,labour exploitation,,,,31.0
2011,number,male,,labour exploitation,,,,8.0
2012,number,male,,labour exploitation,,,,5.0
2013,number,male,,labour exploitation,,,,47.0
2014,number,male,,labour exploitation,,,,22.0
2015,number,male,,labour exploitation,,,,44.0
2016,number,male,,labour exploitation,,,,34.0
2017,number,male,,labour exploitation,,,,154.0
2018,number,male,,labour exploitation,,,,54.0
2019,number,male,,labour exploitation,,,,24.0
2020,number,male,,labour exploitation,,,,55.0
2021,number,male,,labour exploitation,,,,74.0
2022,number,male,,labour exploitation,,,,747.0
2023,number,male,,labour exploitation,,,,129.0
2024,number,male,,labour exploitation,,,,145.0
2010,number,unknown,,labour exploitation,.,,,
2011,number,unknown,,labour exploitation,.,,,
2012,number,unknown,,labour exploitation,,,,2.0
2013,number,unknown,,labour exploitation,,,,1.0
2014,number,unknown,,labour exploitation,,,,0.0
2015,number,unknown,,labour exploitation,,,,2.0
2016,number,unknown,,labour exploitation,,,,1.0
2017,number,unknown,,labour exploitation,,,,1.0
2018,number,unknown,,labour exploitation,,,,1.0
2019,number,unknown,,labour exploitation,,,,0.0
2020,number,unknown,,labour exploitation,,,,0.0
2021,number,unknown,,labour exploitation,,,,1.0
2022,number,unknown,,labour exploitation,,,,6.0
2023,number,unknown,,labour exploitation,,,,1.0
2024,number,unknown,,labour exploitation,,,,1.0
2010,number,,,sexual exploitation,,,,610.0
2011,number,,,sexual exploitation,,,,639.0
2012,number,,,sexual exploitation,,,,612.0
2013,number,,,sexual exploitation,,,,542.0
2014,number,,,sexual exploitation,,,,557.0
2015,number,,,sexual exploitation,,,,416.0
2016,number,,,sexual exploitation,,,,488.0
2017,number,,,sexual exploitation,,,,489.0
2018,number,,,sexual exploitation,,,,430.0
2019,number,,,sexual exploitation,,,,427.0
2020,number,,,sexual exploitation,,,,406.0
2021,number,,,sexual exploitation,,,,417.0
2022,number,,,sexual exploitation,,,,476.0
2023,number,,,sexual exploitation,r,,,428.0
2024,number,,,sexual exploitation,,,,465.0
2010,number,,13 years and younger,sexual exploitation,,,,13.0
2011,number,,13 years and younger,sexual exploitation,,,,13.0
2012,number,,13 years and younger,sexual exploitation,,,,12.0
2013,number,,13 years and younger,sexual exploitation,,,,9.0
2014,number,,13 years and younger,sexual exploitation,,,,5.0
2015,number,,13 years and younger,sexual exploitation,,,,6.0
2016,number,,13 years and younger,sexual exploitation,,,,12.0
2017,number,,13 years and younger,sexual exploitation,,,,16.0
2018,number,,13 years and younger,sexual exploitation,,,,4.0
2019,number,,13 years and younger,sexual exploitation,,,,5.0
2020,number,,13 years and younger,sexual exploitation,,,,13.0
2021,number,,13 years and younger,sexual exploitation,,,,1.0
2022,number,,13 years and younger,sexual exploitation,,,,7.0
2023,number,,13 years and younger,sexual exploitation,,,,1.0
2024,number,,13 years and younger,sexual exploitation,,,,4.0
2010,number,,14 to under 18 years,sexual exploitation,,,,79.0
2011,number,,14 to under 18 years,sexual exploitation,,,,77.0
2012,number,,14 to under 18 years,sexual exploitation,,,,88.0
2013,number,,14 to under 18 years,sexual exploitation,,,,61.0
2014,number,,14 to under 18 years,sexual exploitation,,,,52.0
2015,number,,14 to under 18 years,sexual exploitation,,,,71.0
2016,number,,14 to under 18 years,sexual exploitation,,,,84.0
2017,number,,14 to under 18 years,sexual exploitation,,,,46.0
2018,number,,14 to under 18 years,sexual exploitation,,,,64.0
2019,number,,14 to under 18 years,sexual exploitation,,,,56.0
2020,number,,14 to under 18 years,sexual exploitation,,,,66.0
2021,number,,14 to under 18 years,sexual exploitation,,,,53.0
2022,number,,14 to under 18 years,sexual exploitation,,,,49.0
2023,number,,14 to under 18 years,sexual exploitation,r,,,65.0
2024,number,,14 to under 18 years,sexual exploitation,,,,44.0
2010,number,,18 to under 21 years,sexual exploitation,,,,254.0
2011,number,,18 to under 21 years,sexual exploitation,,,,268.0
2012,number,,18 to under 21 years,sexual exploitation,,,,223.0
2013,number,,18 to under 21 years,sexual exploitation,,,,209.0
2014,number,,18 to under 21 years,sexual exploitation,,,,209.0
2015,number,,18 to under 21 years,sexual exploitation,,,,148.0
2016,number,,18 to under 21 years,sexual exploitation,,,,118.0
2017,number,,18 to under 21 years,sexual exploitation,,,,157.0
2018,number,,18 to under 21 years,sexual exploitation,,,,130.0
2019,number,,18 to under 21 years,sexual exploitation,,,,76.0
2020,number,,18 to under 21 years,sexual exploitation,,,,88.0
2021,number,,18 to under 21 years,sexual exploitation,,,,77.0
2022,number,,18 to under 21 years,sexual exploitation,,,,96.0
2023,number,,18 to under 21 years,sexual exploitation,r,,,68.0
2024,number,,18 to under 21 years,sexual exploitation,,,,78.0
2010,number,,21 to under 25 years,sexual exploitation,,,,127.0
2011,number,,21 to under 25 years,sexual exploitation,,,,135.0
2012,number,,21 to under 25 years,sexual exploitation,,,,123.0
2013,number,,21 to under 25 years,sexual exploitation,,,,111.0
2014,number,,21 to under 25 years,sexual exploitation,,,,115.0
2015,number,,21 to under 25 years,sexual exploitation,,,,68.0
2016,number,,21 to under 25 years,sexual exploitation,,,,109.0
2017,number,,21 to under 25 years,sexual exploitation,,,,110.0
2018,number,,21 to under 25 years,sexual exploitation,,,,93.0
2019,number,,21 to under 25 years,sexual exploitation,,,,79.0
2020,number,,21 to under 25 years,sexual exploitation,,,,78.0
2021,number,,21 to under 25 years,sexual exploitation,,,,83.0
2022,number,,21 to under 25 years,sexual exploitation,,,,91.0
2023,number,,21 to under 25 years,sexual exploitation,,,,78.0
2024,number,,21 to under 25 years,sexual exploitation,,,,65.0
2010,number,,25 years and older,sexual exploitation,,,,129.0
2011,number,,25 years and older,sexual exploitation,,,,133.0
2012,number,,25 years and older,sexual exploitation,,,,156.0
2013,number,,25 years and older,sexual exploitation,,,,142.0
2014,number,,25 years and older,sexual exploitation,,,,164.0
2015,number,,25 years and older,sexual exploitation,,,,98.0
2016,number,,25 years and older,sexual exploitation,,,,142.0
2017,number,,25 years and older,sexual exploitation,,,,149.0
2018,number,,25 years and older,sexual exploitation,,,,126.0
2019,number,,25 years and older,sexual exploitation,,,,205.0
2020,number,,25 years and older,sexual exploitation,,,,146.0
2021,number,,25 years and older,sexual exploitation,,,,181.0
2022,number,,25 years and older,sexual exploitation,,,,223.0
2023,number,,25 years and older,sexual exploitation,r,,,196.0
2024,number,,25 years and older,sexual exploitation,,,,254.0
2010,number,,unknown age,sexual exploitation,,,,8.0
2011,number,,unknown age,sexual exploitation,,,,13.0
2012,number,,unknown age,sexual exploitation,,,,10.0
2013,number,,unknown age,sexual exploitation,,,,10.0
2014,number,,unknown age,sexual exploitation,,,,12.0
2015,number,,unknown age,sexual exploitation,,,,25.0
2016,number,,unknown age,sexual exploitation,,,,23.0
2017,number,,unknown age,sexual exploitation,,,,11.0
2018,number,,unknown age,sexual exploitation,,,,13.0
2019,number,,unknown age,sexual exploitation,,,,6.0
2020,number,,unknown age,sexual exploitation,,,,15.0
2021,number,,unknown age,sexual exploitation,,,,22.0
2022,number,,unknown age,sexual exploitation,,,,10.0
2023,number,,unknown age,sexual exploitation,,,,20.0
2024,number,,unknown age,sexual exploitation,,,,20.0
2010,number,female,,sexual exploitation,,,,588.0
2011,number,female,,sexual exploitation,,,,599.0
2012,number,female,,sexual exploitation,,,,590.0
2013,number,female,,sexual exploitation,,,,518.0
2014,number,female,,sexual exploitation,,,,531.0
2015,number,female,,sexual exploitation,,,,399.0
2016,number,female,,sexual exploitation,,,,466.0
2017,number,female,,sexual exploitation,,,,484.0
2018,number,female,,sexual exploitation,,,,413.0
2019,number,female,,sexual exploitation,,,,405.0
2020,number,female,,sexual exploitation,,,,381.0
2021,number,female,,sexual exploitation,,,,387.0
2022,number,female,,sexual exploitation,,,,453.0
2023,number,female,,sexual exploitation,r,,,407.0
2024,number,female,,sexual exploitation,,,,449.0
2010,number,male,,sexual exploitation,,,,17.0
2011,number,male,,sexual exploitation,,,,34.0
2012,number,male,,sexual exploitation,,,,19.0
2013,number,male,,sexual exploitation,,,,23.0
2014,number,male,,sexual exploitation,,,,26.0
2015,number,male,,sexual exploitation,,,,11.0
2016,number,male,,sexual exploitation,,,,17.0
2017,number,male,,sexual exploitation,,,,4.0
2018,number,male,,sexual exploitation,,,,14.0
2019,number,male,,sexual exploitation,,,,22.0
2020,number,male,,sexual exploitation,,,,23.0
2021,number,male,,sexual exploitation,,,,23.0
2022,number,male,,sexual exploitation,,,,16.0
2023,number,male,,sexual exploitation,,,,13.0
