Year,sex,age group,feelings of insecurity,Series,Value
2020,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),4.3
2012,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),45.6
2017,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),39.9
2020,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),28.3
2012,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),43.1
2017,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),42.6
2020,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),46.9
2012,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.4
2017,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),12.0
2020,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),20.0
2012,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),2.9
2017,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.5
2020,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),4.8
2012,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),41.7
2017,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),37.6
2020,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),24.1
2012,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),43.2
2017,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),42.9
2020,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),50.3
2012,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),11.1
2017,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),13.9
2020,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),20.8
2012,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),4.1
2017,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.6
2020,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),4.8
2012,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),35.1
2017,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),32.8
2020,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (after dark),18.9
2012,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),42.3
2017,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),41.4
2020,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (after dark),49.4
2012,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),16.6
2017,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),18.4
2020,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),26.1
2012,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),6.1
2017,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),7.3
2020,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),5.7
2012,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),26.4
2017,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),25.9
2020,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (after dark),11.6
2012,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),38.0
2017,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),40.3
2020,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (after dark),48.4
2012,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),24.5
2017,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),23.1
2020,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (after dark),31.8
2012,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),11.1
2017,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),10.7
2020,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (after dark),8.2
2019,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),63.2
2021,,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),34.1
2021,,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),2.4
2021,,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.3
2021,,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),60.9
2021,female,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),36.3
2021,female,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),2.6
2021,female,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.3
2021,female,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),66.4
2021,male,,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),31.3
2021,male,,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),2.1
2021,male,,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.2
2021,male,,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),75.5
2021,,16 to under 25 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),22.2
2021,,16 to under 25 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),1.7
2021,,16 to under 25 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.6
2021,,16 to under 25 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),71.0
2021,,25 to under 35 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),25.4
2021,,25 to under 35 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),3.4
2021,,25 to under 35 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.2
2021,,25 to under 35 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),70.7
2021,,35 to under 45 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),27.6
2021,,35 to under 45 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),1.6
2021,,35 to under 45 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.1
2021,,35 to under 45 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),67.2
2021,,45 to under 55 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),30.6
2021,,45 to under 55 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),2.0
2021,,45 to under 55 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.1
2021,,45 to under 55 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),61.0
2021,,55 to under 65 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),36.4
2021,,55 to under 65 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),2.3
2021,,55 to under 65 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.3
2021,,55 to under 65 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),54.9
2021,,65 to under 75 years,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),43.4
2021,,65 to under 75 years,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),1.5
2021,,65 to under 75 years,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.2
2021,,65 to under 75 years,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),44.6
2021,,75 years and older,very safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),51.5
2021,,75 years and older,safe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),3.6
2021,,75 years and older,unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2019,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2020,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),0.3
2021,,75 years and older,very unsafe,feeling of (in)security of the population in its neighbourhood (during the day),
2010,,,,"population not living in an area with crime, violence or vandalism",88.0
2011,,,,"population not living in an area with crime, violence or vandalism",87.1
2012,,,,"population not living in an area with crime, violence or vandalism",87.5
2013,,,,"population not living in an area with crime, violence or vandalism",86.5
2014,,,,"population not living in an area with crime, violence or vandalism",86.9
2015,,,,"population not living in an area with crime, violence or vandalism",86.2
2016,,,,"population not living in an area with crime, violence or vandalism",85.9
2017,,,,"population not living in an area with crime, violence or vandalism",85.8
2018,,,,"population not living in an area with crime, violence or vandalism",86.7
2019,,,,"population not living in an area with crime, violence or vandalism",86.9
2020,,,,"population not living in an area with crime, violence or vandalism",91.8
