Year,Units,Purpose,Type of Official Development Assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2018,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,88.07
2019,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,89.54
2020,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,91.37
2021,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,57.34
2022,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,34.11
2023,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,19.77
2024,"Million USD, constant prices (2024)",Scholarships,Commitments,,,,19.05
2010,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1027.28
2011,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1007.94
2012,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1031.44
2013,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,982.49
2014,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1063.47
2015,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1194.58
2016,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1262.1
2017,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1373.05
2018,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1513.12
2019,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1744.27
2020,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,1935.96
2021,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,2113.49
2022,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,2117.23
2023,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,2208.52
2024,"Million USD, constant prices (2024)",Imputed student costs,Commitments,,,,2375.7
2010,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,199.78
2011,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,182.99
2012,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,169.1
2013,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,140.74
2014,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,82.32
2015,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,116.65
2016,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,104.19
2017,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,93.9
2018,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,89.08
2019,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,87.26
2020,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,93.85
2021,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,52.99
2022,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,25.16
2023,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,18.01
2024,"Million USD, constant prices (2024)",Scholarships,Gross disbursements,,,,20.12
2010,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1027.28
2011,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1007.94
2012,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1031.44
2013,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,982.49
2014,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1063.47
2015,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1194.58
2016,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1262.1
2017,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1373.05
2018,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1513.12
2019,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1744.27
2020,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,1935.96
2021,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,2113.49
2022,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,2117.23
2023,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,2208.52
2024,"Million USD, constant prices (2024)",Imputed student costs,Gross disbursements,,,,2375.7
