Year,substance,bound,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2014,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,49460
2015,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,46377
2016,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,44589
2017,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,43574
2018,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,42716
2019,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,42158
2020,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,36512
2021,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,37002
2022,alcohol and other psychoactive substances,,female,,,,inpatient treatment of substance use disorders,37277
2010,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,142373
2011,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,141363
2012,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,143488
2013,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,143201
2014,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,135845
2015,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,129808
2016,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,125878
2017,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,122260
2018,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,118531
2019,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,117263
2020,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,102532
2021,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,101031
2022,alcohol and other psychoactive substances,,male,,,,inpatient treatment of substance use disorders,102265
2010,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2011,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2012,alcohol and other psychoactive substances,,unknown,,,,inpatient treatment of substance use disorders,1
2013,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2014,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2015,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2016,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2017,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2018,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2019,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2020,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2021,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2022,alcohol and other psychoactive substances,,unknown,-,,,inpatient treatment of substance use disorders,0
2010,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255405
2011,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",274374
2012,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",259303
2013,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",255830
2014,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",273923
2015,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267747
2016,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",267572
2017,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",257949
2018,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",243326
2019,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",216660
2020,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215731
2021,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",209453
2022,,upper bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",197874
2010,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215078
2011,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",231052
2012,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",218360
2013,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",215436
2014,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",230672
2015,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225471
2016,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",225324
2017,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",217220
2018,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",204906
2019,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",182451
2020,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",181668
2021,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",176381
2022,,lower bound,,s,,,"estimate of high risk use (based on treatment entrants) of the substances opioids, cocaine, and other stimulants in the age group 15 to under 65 years",166631
