Year,timeseries,region,GeoCode,Value
2015,seats held by women in national parliament,hesse,code06,
2016,seats held by women in national parliament,hesse,code06,
2017,seats held by women in national parliament,hesse,code06,
2018,seats held by women in national parliament,hesse,code06,33.6
2019,seats held by women in national parliament,hesse,code06,
2020,seats held by women in national parliament,hesse,code06,
2021,seats held by women in national parliament,hesse,code06,
2010,seats held by women in national parliament,mecklenburg western pomerania,code13,
2011,seats held by women in national parliament,mecklenburg western pomerania,code13,28.2
2012,seats held by women in national parliament,mecklenburg western pomerania,code13,
2013,seats held by women in national parliament,mecklenburg western pomerania,code13,
2014,seats held by women in national parliament,mecklenburg western pomerania,code13,
2015,seats held by women in national parliament,mecklenburg western pomerania,code13,
2016,seats held by women in national parliament,mecklenburg western pomerania,code13,25.4
2017,seats held by women in national parliament,mecklenburg western pomerania,code13,
2018,seats held by women in national parliament,mecklenburg western pomerania,code13,
2019,seats held by women in national parliament,mecklenburg western pomerania,code13,
2020,seats held by women in national parliament,mecklenburg western pomerania,code13,
2021,seats held by women in national parliament,mecklenburg western pomerania,code13,
2010,seats held by women in national parliament,lower saxony,code03,
2011,seats held by women in national parliament,lower saxony,code03,
2012,seats held by women in national parliament,lower saxony,code03,
2013,seats held by women in national parliament,lower saxony,code03,29.2
2014,seats held by women in national parliament,lower saxony,code03,
2015,seats held by women in national parliament,lower saxony,code03,
2016,seats held by women in national parliament,lower saxony,code03,
2017,seats held by women in national parliament,lower saxony,code03,27.7
2018,seats held by women in national parliament,lower saxony,code03,
2019,seats held by women in national parliament,lower saxony,code03,
2020,seats held by women in national parliament,lower saxony,code03,
2021,seats held by women in national parliament,lower saxony,code03,
2010,seats held by women in national parliament,north rhine-westphalia,code05,27.1
2011,seats held by women in national parliament,north rhine-westphalia,code05,
2012,seats held by women in national parliament,north rhine-westphalia,code05,30.0
2013,seats held by women in national parliament,north rhine-westphalia,code05,
2014,seats held by women in national parliament,north rhine-westphalia,code05,
2015,seats held by women in national parliament,north rhine-westphalia,code05,
2016,seats held by women in national parliament,north rhine-westphalia,code05,
2017,seats held by women in national parliament,north rhine-westphalia,code05,27.1
2018,seats held by women in national parliament,north rhine-westphalia,code05,
2019,seats held by women in national parliament,north rhine-westphalia,code05,
2020,seats held by women in national parliament,north rhine-westphalia,code05,
2021,seats held by women in national parliament,north rhine-westphalia,code05,
2010,seats held by women in national parliament,rhineland palatinate,code07,
2011,seats held by women in national parliament,rhineland palatinate,code07,41.6
2012,seats held by women in national parliament,rhineland palatinate,code07,
2013,seats held by women in national parliament,rhineland palatinate,code07,
2014,seats held by women in national parliament,rhineland palatinate,code07,
2015,seats held by women in national parliament,rhineland palatinate,code07,
2016,seats held by women in national parliament,rhineland palatinate,code07,35.6
2017,seats held by women in national parliament,rhineland palatinate,code07,
2018,seats held by women in national parliament,rhineland palatinate,code07,
2019,seats held by women in national parliament,rhineland palatinate,code07,
2020,seats held by women in national parliament,rhineland palatinate,code07,
2021,seats held by women in national parliament,rhineland palatinate,code07,31.7
2010,seats held by women in national parliament,saarland,code10,
2011,seats held by women in national parliament,saarland,code10,
2012,seats held by women in national parliament,saarland,code10,39.2
2013,seats held by women in national parliament,saarland,code10,
2014,seats held by women in national parliament,saarland,code10,
2015,seats held by women in national parliament,saarland,code10,
2016,seats held by women in national parliament,saarland,code10,
2017,seats held by women in national parliament,saarland,code10,35.3
2018,seats held by women in national parliament,saarland,code10,
2019,seats held by women in national parliament,saarland,code10,
2020,seats held by women in national parliament,saarland,code10,
2021,seats held by women in national parliament,saarland,code10,
2010,seats held by women in national parliament,saxony,code14,
2011,seats held by women in national parliament,saxony,code14,
2012,seats held by women in national parliament,saxony,code14,
2013,seats held by women in national parliament,saxony,code14,
2014,seats held by women in national parliament,saxony,code14,31.7
2015,seats held by women in national parliament,saxony,code14,
2016,seats held by women in national parliament,saxony,code14,
2017,seats held by women in national parliament,saxony,code14,
2018,seats held by women in national parliament,saxony,code14,
2019,seats held by women in national parliament,saxony,code14,27.7
2020,seats held by women in national parliament,saxony,code14,
2021,seats held by women in national parliament,saxony,code14,
2010,seats held by women in national parliament,saxony-anhalt,code15,
2011,seats held by women in national parliament,saxony-anhalt,code15,31.4
2012,seats held by women in national parliament,saxony-anhalt,code15,
2013,seats held by women in national parliament,saxony-anhalt,code15,
2014,seats held by women in national parliament,saxony-anhalt,code15,
2015,seats held by women in national parliament,saxony-anhalt,code15,
2016,seats held by women in national parliament,saxony-anhalt,code15,26.4
2017,seats held by women in national parliament,saxony-anhalt,code15,
2018,seats held by women in national parliament,saxony-anhalt,code15,
2019,seats held by women in national parliament,saxony-anhalt,code15,
2020,seats held by women in national parliament,saxony-anhalt,code15,
2021,seats held by women in national parliament,saxony-anhalt,code15,27.8
2010,seats held by women in national parliament,schleswig-holstein,code01,
2011,seats held by women in national parliament,schleswig-holstein,code01,
2012,seats held by women in national parliament,schleswig-holstein,code01,31.9
2013,seats held by women in national parliament,schleswig-holstein,code01,
2014,seats held by women in national parliament,schleswig-holstein,code01,
2015,seats held by women in national parliament,schleswig-holstein,code01,
2016,seats held by women in national parliament,schleswig-holstein,code01,
2017,seats held by women in national parliament,schleswig-holstein,code01,30.1
2018,seats held by women in national parliament,schleswig-holstein,code01,
2019,seats held by women in national parliament,schleswig-holstein,code01,
2020,seats held by women in national parliament,schleswig-holstein,code01,
2021,seats held by women in national parliament,schleswig-holstein,code01,
2010,seats held by women in national parliament,thuringia,code16,
2011,seats held by women in national parliament,thuringia,code16,
2012,seats held by women in national parliament,thuringia,code16,
2013,seats held by women in national parliament,thuringia,code16,
2014,seats held by women in national parliament,thuringia,code16,38.5
2015,seats held by women in national parliament,thuringia,code16,
2016,seats held by women in national parliament,thuringia,code16,
2017,seats held by women in national parliament,thuringia,code16,
2018,seats held by women in national parliament,thuringia,code16,
2019,seats held by women in national parliament,thuringia,code16,31.1
2020,seats held by women in national parliament,thuringia,code16,
2021,seats held by women in national parliament,thuringia,code16,
2010,proportion of women in local governments,,,
2011,proportion of women in local governments,,,26.1
2012,proportion of women in local governments,,,
2013,proportion of women in local governments,,,
2014,proportion of women in local governments,,,
2015,proportion of women in local governments,,,27.1
2016,proportion of women in local governments,,,
2017,proportion of women in local governments,,,27.0
2018,proportion of women in local governments,,,
2019,proportion of women in local governments,,,27.8
2020,proportion of women in local governments,,,
2021,proportion of women in local governments,,,30.3
