Year,Art der Gewalt,Geschlecht,Altersklasse,Art der physischen Gewalt,Art der psychischen Gewalt,Art der sexuellen Gewalt,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2011,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2012,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,r,,,
2013,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2014,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2015,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2016,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2017,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2018,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2019,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2020,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,|,r,,2.2
2021,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2022,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2023,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2024,a) Physische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2010,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2011,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2012,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,r,,,
2013,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2014,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2015,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2016,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2017,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,,,,
2018,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2019,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2020,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,|,r,,1.5
2021,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2022,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2023,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2024,a) Physische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2010,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2011,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2012,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,r,,,
2013,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2014,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2015,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2016,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2017,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,r,,,
2018,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2019,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2020,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,|,r,,1.3
2021,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2022,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2023,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2024,a) Physische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2010,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2011,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2012,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2013,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2014,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2015,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2016,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2017,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,r,,,
2018,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2019,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2020,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,|,r,,1.2
2021,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2022,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2023,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2024,a) Physische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2010,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2011,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2012,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2013,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2014,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2015,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2016,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2017,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2018,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2019,a) Physische Gewalt,,75 Jahre und älter,,,,.,,,
2020,a) Physische Gewalt,,75 Jahre und älter,,,,,,,1.0
2021,a) Physische Gewalt,,75 Jahre und älter,,,,…,,,
2022,a) Physische Gewalt,,75 Jahre und älter,,,,…,,,
2023,a) Physische Gewalt,,75 Jahre und älter,,,,…,,,
2024,a) Physische Gewalt,,75 Jahre und älter,,,,…,,,
2010,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2011,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2012,a) Physische Gewalt,,,Körperverletzung,,,,,,2.7
2013,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2014,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2015,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2016,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2017,a) Physische Gewalt,,,Körperverletzung,,,,,,3.0
2018,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2019,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2020,a) Physische Gewalt,,,Körperverletzung,,,|,,,2.0
2021,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2022,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2023,a) Physische Gewalt,,,Körperverletzung,,,.,,,
2024,a) Physische Gewalt,,,Körperverletzung,,,,,,2.6
2010,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2011,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2012,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,,1.5
2013,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2014,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2015,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2016,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2017,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,,2.0
2018,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2019,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2020,a) Physische Gewalt,Weiblich,,Körperverletzung,,,|,,,1.3
2021,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2022,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2023,a) Physische Gewalt,Weiblich,,Körperverletzung,,,.,,,
2024,a) Physische Gewalt,Weiblich,,Körperverletzung,,,,,,2.0
2010,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2011,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2012,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,,4.0
2013,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2014,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2015,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2016,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2017,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,,4.0
2018,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2019,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2020,a) Physische Gewalt,Männlich,,Körperverletzung,,,|,,,2.8
2021,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2022,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2023,a) Physische Gewalt,Männlich,,Körperverletzung,,,.,,,
2024,a) Physische Gewalt,Männlich,,Körperverletzung,,,,,,3.1
2010,a) Physische Gewalt,,,Raub,,,.,,,
2011,a) Physische Gewalt,,,Raub,,,.,,,
2012,a) Physische Gewalt,,,Raub,,,,,,0.7
2013,a) Physische Gewalt,,,Raub,,,.,,,
2014,a) Physische Gewalt,,,Raub,,,.,,,
2015,a) Physische Gewalt,,,Raub,,,.,,,
2016,a) Physische Gewalt,,,Raub,,,.,,,
2017,a) Physische Gewalt,,,Raub,,,,,,1.0
2018,a) Physische Gewalt,,,Raub,,,.,,,
2019,a) Physische Gewalt,,,Raub,,,.,,,
2020,a) Physische Gewalt,,,Raub,,,|,r,,0.6
2021,a) Physische Gewalt,,,Raub,,,.,,,
2022,a) Physische Gewalt,,,Raub,,,.,,,
2023,a) Physische Gewalt,,,Raub,,,.,,,
2024,a) Physische Gewalt,,,Raub,,,,,,1.0
2010,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2011,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2012,a) Physische Gewalt,Weiblich,,Raub,,,,,,0.6
2013,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2014,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2015,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2016,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2017,a) Physische Gewalt,Weiblich,,Raub,,,,,,0.8
2018,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2019,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2020,a) Physische Gewalt,Weiblich,,Raub,,,|,,,0.5
2021,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2022,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2023,a) Physische Gewalt,Weiblich,,Raub,,,.,,,
2024,a) Physische Gewalt,Weiblich,,Raub,,,,,,0.8
2010,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2011,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2012,a) Physische Gewalt,Männlich,,Raub,,,,,,0.8
2013,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2014,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2015,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2016,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2017,a) Physische Gewalt,Männlich,,Raub,,,,,,1.3
2018,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2019,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2020,a) Physische Gewalt,Männlich,,Raub,,,|,,,0.7
2021,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2022,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2023,a) Physische Gewalt,Männlich,,Raub,,,.,,,
2024,a) Physische Gewalt,Männlich,,Raub,,,,,,1.1
2010,b) Psychische Gewalt,,,,,,.,,,
2011,b) Psychische Gewalt,,,,,,.,,,
2012,b) Psychische Gewalt,,,,,,.,,,
2013,b) Psychische Gewalt,,,,,,.,,,
2014,b) Psychische Gewalt,,,,,,.,,,
2015,b) Psychische Gewalt,,,,,,.,,,
2016,b) Psychische Gewalt,,,,,,.,,,
2017,b) Psychische Gewalt,,,,,,.,,,
2018,b) Psychische Gewalt,,,,,,.,,,
2019,b) Psychische Gewalt,,,,,,.,,,
2020,b) Psychische Gewalt,,,,,,,,,6.8
2021,b) Psychische Gewalt,,,,,,…,,,
2022,b) Psychische Gewalt,,,,,,…,,,
2023,b) Psychische Gewalt,,,,,,…,,,
2024,b) Psychische Gewalt,,,,,,…,,,
2010,b) Psychische Gewalt,Weiblich,,,,,.,,,
2011,b) Psychische Gewalt,Weiblich,,,,,.,,,
2012,b) Psychische Gewalt,Weiblich,,,,,.,,,
2013,b) Psychische Gewalt,Weiblich,,,,,.,,,
2014,b) Psychische Gewalt,Weiblich,,,,,.,,,
2015,b) Psychische Gewalt,Weiblich,,,,,.,,,
2016,b) Psychische Gewalt,Weiblich,,,,,.,,,
2017,b) Psychische Gewalt,Weiblich,,,,,.,,,
2018,b) Psychische Gewalt,Weiblich,,,,,.,,,
2019,b) Psychische Gewalt,Weiblich,,,,,.,,,
2020,b) Psychische Gewalt,Weiblich,,,,,,,,6.0
2021,b) Psychische Gewalt,Weiblich,,,,,…,,,
2022,b) Psychische Gewalt,Weiblich,,,,,…,,,
2023,b) Psychische Gewalt,Weiblich,,,,,…,,,
2024,b) Psychische Gewalt,Weiblich,,,,,…,,,
2010,b) Psychische Gewalt,Männlich,,,,,.,,,
2011,b) Psychische Gewalt,Männlich,,,,,.,,,
2012,b) Psychische Gewalt,Männlich,,,,,.,,,
2013,b) Psychische Gewalt,Männlich,,,,,.,,,
2014,b) Psychische Gewalt,Männlich,,,,,.,,,
2015,b) Psychische Gewalt,Männlich,,,,,.,,,
2016,b) Psychische Gewalt,Männlich,,,,,.,,,
2017,b) Psychische Gewalt,Männlich,,,,,.,,,
2018,b) Psychische Gewalt,Männlich,,,,,.,,,
2019,b) Psychische Gewalt,Männlich,,,,,.,,,
2020,b) Psychische Gewalt,Männlich,,,,,,,,7.6
2021,b) Psychische Gewalt,Männlich,,,,,…,,,
2022,b) Psychische Gewalt,Männlich,,,,,…,,,
2023,b) Psychische Gewalt,Männlich,,,,,…,,,
2024,b) Psychische Gewalt,Männlich,,,,,…,,,
2010,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,,,,5.7
2021,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,16 bis unter 25 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,,,,3.7
2021,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,25 bis unter 35 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,,,,2.2
2021,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,35 bis unter 45 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,,,,1.5
2021,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,45 bis unter 55 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,,,,1.3
2021,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,55 bis unter 65 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2011,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2012,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2013,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2014,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2015,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2016,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2017,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2018,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2019,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,.,,,
2020,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,,,,1.2
2021,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2022,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2023,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2024,b) Psychische Gewalt,,65 bis unter 75 Jahre,,,,…,,,
2010,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2011,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2012,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2013,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2014,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2015,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2016,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2017,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2018,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2019,b) Psychische Gewalt,,75 Jahre und älter,,,,.,,,
2020,b) Psychische Gewalt,,75 Jahre und älter,,,,,,,1.0
2021,b) Psychische Gewalt,,75 Jahre und älter,,,,…,,,
2022,b) Psychische Gewalt,,75 Jahre und älter,,,,…,,,
2023,b) Psychische Gewalt,,75 Jahre und älter,,,,…,,,
2024,b) Psychische Gewalt,,75 Jahre und älter,,,,…,,,
2010,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2011,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2012,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2013,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2014,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2015,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2016,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2017,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2018,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2019,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2020,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,,,,4.6
2021,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2022,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
2023,b) Psychische Gewalt,,,,Persönliche Beleidigung im Internet,,.,,,
