Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,22368.486
2017,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,22181.991
2018,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,21750.512
2019,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,21548.52
2020,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,25728.63
2021,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,27444.427
2022,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,34655.141
2023,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,38151.038
2024,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,30742.34
2025,Millionen EUR,Öffentliche Entwicklungsleistungen,Nettoauszahlungen,…,,,24853.138
2010,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,51.399
2011,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-103.682
2012,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-70.818
2013,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-64.06
2014,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,115.461
2015,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,1194.191
2016,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-414.262
2017,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-316.314
2018,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-99.524
2019,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,12.237
2020,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,370.699
2021,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,1075.589
2022,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,219.822
2023,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,35.331
2024,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,153.317
2025,Millionen EUR,Sonstige öffentliche Leistungen,Nettoauszahlungen,…,,,
2010,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,2798.952
2011,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,7392.317
2012,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,4879.647
2013,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,4083.012
2014,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-120.985
2015,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,.,,,
2016,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,3119.404
2017,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,5.622
2018,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,1176.4
2019,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1739.899
2020,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1072.491
2021,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1064.935
2022,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1305.845
2023,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,9695.916
2024,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,1437.365
2025,Millionen EUR,Öffentlich unterstützte Exportkredite,Nettoauszahlungen,…,,,
2010,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,17676.13
2011,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,21847.362
2012,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,11045.448
2013,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,24190.103
2014,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,26319.59
2015,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,.,,,
2016,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,18129.237
2017,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,24478.202
2018,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,20063.268
2019,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,16505.507
2020,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,12869.21
2021,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,29778.905
2022,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,13803.579
2023,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,18862.025
2024,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,27165.21
2025,Millionen EUR,Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,…,,,
2010,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1105.238
2011,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1149.062
2012,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1088.466
2013,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1066.219
2014,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1148.483
2015,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1244.961
2016,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1287.41
2017,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1321.772
2018,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1154.892
2019,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1364.709
2020,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1328.716
2021,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1279.059
2022,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1722.377
2023,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1457.977
2024,Millionen EUR,Private Fördermittel,Nettoauszahlungen,,,,1715.161
2025,Millionen EUR,Private Fördermittel,Nettoauszahlungen,…,,,
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,19132.62
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,21456.29
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,19224.13
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,22119.33
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,26947.88
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,27083.46
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,36155.15
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,36973.41
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,36911.09
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,36483.43
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,40861.19
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,42632.49
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,46924.38
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,48617.03
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,37921.05
2025,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,…,,,
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,15039.91
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,15359.57
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,15039.63
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,15696.98
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,17947.96
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,22849.73
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,31209.14
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,30500.13
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,29357.28
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,28510.59
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,33454.95
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,34750.89
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,41233.62
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,42544.56
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,,,,33249.34
2025,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Nettoauszahlungen,…,,,26151.12
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,78.85
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-157.12
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-105.8
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-93.83
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,165.97
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,1687.18
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-577.99
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-434.93
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,-134.33
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,16.19
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,482.02
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,1361.94
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,261.55
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,39.4
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,,,,165.82
2025,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Nettoauszahlungen,…,,,
2010,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,4293.78
2011,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,11202.33
2012,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,7290.02
2013,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,5980.46
2014,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-173.91
2015,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,.,,,
2016,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,4352.28
2017,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,7.73
2018,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,1587.82
2019,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-2302.04
2020,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1394.56
2021,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1348.45
2022,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,-1553.73
2023,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,10812.51
2024,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,,,,1554.58
2025,"Millionen USD, konstante Preise (2024)",Öffentlich unterstützte Exportkredite,Nettoauszahlungen,…,,,
2010,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,27116.37
2011,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,33107.53
2012,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,16501.51
2013,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,35431.67
2014,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,37833.17
2015,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,.,,,
2016,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,25294.42
2017,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,33657.41
2018,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,27079.96
2019,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,21838.24
2020,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,16733.84
2021,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,37706.87
2022,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,16423.87
2023,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,21034.2
2024,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,29380.5
2025,"Millionen USD, konstante Preise (2024)",Private Leistungen zu marktüblichen Bedingungen,Nettoauszahlungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1695.51
2011,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1741.29
2012,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1626.13
2013,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1561.71
2014,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1650.89
2015,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1758.91
2016,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1796.23
2017,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1817.43
2018,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1558.79
2019,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1805.63
2020,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1727.73
2021,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1619.58
2022,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,2049.33
2023,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1625.88
2024,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,1855.03
2025,"Millionen USD, konstante Preise (2024)",Private Fördermittel,Nettoauszahlungen,,,,
