Year,Units,Sex,Age group,Form of exploitation,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.06
2018,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.019
2019,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.045
2020,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.043
2021,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.171
2022,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.631
2023,"Per 100,000 inhabitants",Female,,Labour exploitation,|,,,0.124
2024,"Per 100,000 inhabitants",Female,,Labour exploitation,,,,0.059
2010,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.077
2011,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.02
2012,"Per 100,000 inhabitants",Male,,Labour exploitation,|,,,0.012
2013,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.119
2014,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.056
2015,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.11
2016,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.084
2017,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.378
2018,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.132
2019,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.059
2020,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.134
2021,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.18
2022,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,1.819
2023,"Per 100,000 inhabitants",Male,,Labour exploitation,|,,,0.31
2024,"Per 100,000 inhabitants",Male,,Labour exploitation,,,,0.352
2010,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2011,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2012,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2013,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2014,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2015,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2016,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2017,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2018,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2019,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2020,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2021,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2022,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2023,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2024,"Per 100,000 inhabitants",Unknown,,Labour exploitation,.,,,
2010,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.746
2011,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.782
2012,"Per 100,000 inhabitants",,,Sexual exploitation,|,,,0.748
2013,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.673
2014,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.69
2015,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.512
2016,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.594
2017,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.593
2018,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.519
2019,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.514
2020,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.488
2021,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.501
2022,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.572
2023,"Per 100,000 inhabitants",,,Sexual exploitation,|,,,0.507
2024,"Per 100,000 inhabitants",,,Sexual exploitation,,,,0.557
2010,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.127
2011,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.128
2012,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,|,,,0.12
2013,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.106
2014,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.051
2015,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.061
2016,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.119
2017,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.155
2018,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.038
2019,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.047
2020,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.122
2021,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.009
2022,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.065
2023,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,|,,,0.009
2024,"Per 100,000 inhabitants",,13 years and younger,Sexual exploitation,,,,0.037
2010,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.439
2011,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.403
2012,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,|,,,2.744
2013,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.905
2014,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.615
2015,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.212
2016,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.617
2017,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.448
2018,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.055
2019,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.831
2020,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,2.18
2021,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.766
2022,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.627
2023,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,|,,,2.091
2024,"Per 100,000 inhabitants",,14 to under 18 years,Sexual exploitation,,,,1.42
2010,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,8.967
2011,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,9.825
2012,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,|,,,8.586
2013,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,8.472
2014,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,8.598
2015,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,5.966
2016,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,4.521
2017,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,5.929
2018,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,4.939
2019,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,2.936
2020,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,3.476
2021,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,3.134
2022,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,3.997
2023,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,|,,,2.781
2024,"Per 100,000 inhabitants",,18 to under 21 years,Sexual exploitation,,,,3.22
2010,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,3.207
2011,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,3.368
2012,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,|,,,3.033
2013,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.769
2014,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,3.007
2015,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,1.815
2016,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.928
2017,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.991
2018,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.524
2019,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.126
2020,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.091
2021,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.24
2022,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,2.465
2023,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,|,,,2.111
2024,"Per 100,000 inhabitants",,21 to under 25 years,Sexual exploitation,,,,1.814
2010,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.21
2011,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.216
2012,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,|,,,0.252
2013,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.228
2014,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.267
2015,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.158
2016,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.227
2017,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.238
2018,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.2
2019,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.325
2020,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.231
2021,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.286
2022,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.352
2023,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,|,,,0.306
2024,"Per 100,000 inhabitants",,25 years and older,Sexual exploitation,,,,0.4
2010,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2011,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2012,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2013,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2014,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2015,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2016,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2017,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2018,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2019,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2020,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2021,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2022,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2023,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2024,"Per 100,000 inhabitants",,Unknown age,Sexual exploitation,.,,,
2010,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.41
2011,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.439
2012,"Per 100,000 inhabitants",Female,,Sexual exploitation,|,,,1.417
2013,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.259
2014,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.289
2015,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,0.965
2016,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.119
2017,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.157
2018,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,0.985
2019,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,0.963
2020,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,0.904
2021,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,0.919
2022,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.074
2023,"Per 100,000 inhabitants",Female,,Sexual exploitation,|,,,0.951
2024,"Per 100,000 inhabitants",Female,,Sexual exploitation,,,,1.062
2010,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.042
2011,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.085
2012,"Per 100,000 inhabitants",Male,,Sexual exploitation,|,,,0.047
2013,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.058
2014,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.066
2015,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.028
2016,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.042
2017,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.01
2018,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.034
2019,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.054
2020,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.056
2021,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.056
2022,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.039
2023,"Per 100,000 inhabitants",Male,,Sexual exploitation,|,,,0.031
2024,"Per 100,000 inhabitants",Male,,Sexual exploitation,,,,0.029
2010,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2011,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2012,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2013,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2014,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2015,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2016,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2017,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2018,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2019,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2020,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2021,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2022,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2023,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2024,"Per 100,000 inhabitants",Unknown,,Sexual exploitation,.,,,
2010,"Per 100,000 inhabitants",Female,,,,,,1.434
2011,"Per 100,000 inhabitants",Female,,,,,,1.496
2012,"Per 100,000 inhabitants",Female,,,|,,,1.434
2013,"Per 100,000 inhabitants",Female,,,,,,1.291
2014,"Per 100,000 inhabitants",Female,,,,,,1.298
2015,"Per 100,000 inhabitants",Female,,,,,,0.984
2016,"Per 100,000 inhabitants",Female,,,,,,1.15
2017,"Per 100,000 inhabitants",Female,,,,,,1.217
2018,"Per 100,000 inhabitants",Female,,,,,,1.004
2019,"Per 100,000 inhabitants",Female,,,,,,1.008
2020,"Per 100,000 inhabitants",Female,,,,,,0.947
2021,"Per 100,000 inhabitants",Female,,,,,,1.09
2022,"Per 100,000 inhabitants",Female,,,,,,1.705
2023,"Per 100,000 inhabitants",Female,,,|,,,1.075
2024,"Per 100,000 inhabitants",Female,,,,,,1.121
2010,"Per 100,000 inhabitants",Male,,,,,,0.12
2011,"Per 100,000 inhabitants",Male,,,,,,0.104
2012,"Per 100,000 inhabitants",Male,,,|,,,0.06
2013,"Per 100,000 inhabitants",Male,,,,,,0.178
2014,"Per 100,000 inhabitants",Male,,,,,,0.121
2015,"Per 100,000 inhabitants",Male,,,,,,0.138
2016,"Per 100,000 inhabitants",Male,,,,,,0.126
2017,"Per 100,000 inhabitants",Male,,,,,,0.388
2018,"Per 100,000 inhabitants",Male,,,,,,0.166
2019,"Per 100,000 inhabitants",Male,,,,,,0.112
2020,"Per 100,000 inhabitants",Male,,,,,,0.19
2021,"Per 100,000 inhabitants",Male,,,,,,0.236
2022,"Per 100,000 inhabitants",Male,,,,,,1.858
2023,"Per 100,000 inhabitants",Male,,,|,,,0.342
2024,"Per 100,000 inhabitants",Male,,,,,,0.381
2010,Number,,,,,,,651.0
2011,Number,,,,,,,671.0
2012,Number,,,,,,,626.0
2013,Number,,,,,,,603.0
2014,Number,,,,,,,583.0
2015,Number,,,,,,,470.0
2016,Number,,,,,,,536.0
2017,Number,,,,,,,669.0
2018,Number,,,,,,,493.0
2019,Number,,,,,,,470.0
2020,Number,,,,,,,479.0
2021,Number,,,,,,,564.0
2022,Number,,,,,,,1495.0
2023,Number,,,,r,,,611.0
2024,Number,,,,,,,636.0
2010,Number,,,Labour exploitation,,,,41.0
2011,Number,,,Labour exploitation,,,,32.0
2012,Number,,,Labour exploitation,,,,14.0
2013,Number,,,Labour exploitation,,,,61.0
2014,Number,,,Labour exploitation,,,,26.0
2015,Number,,,Labour exploitation,,,,54.0
2016,Number,,,Labour exploitation,,,,48.0
2017,Number,,,Labour exploitation,,,,180.0
2018,Number,,,Labour exploitation,,,,63.0
2019,Number,,,Labour exploitation,,,,43.0
2020,Number,,,Labour exploitation,,,,73.0
2021,Number,,,Labour exploitation,,,,147.0
2022,Number,,,Labour exploitation,,,,1019.0
2023,Number,,,Labour exploitation,,,,183.0
2024,Number,,,Labour exploitation,,,,171.0
2010,Number,Female,,Labour exploitation,,,,10.0
2011,Number,Female,,Labour exploitation,,,,24.0
2012,Number,Female,,Labour exploitation,,,,7.0
2013,Number,Female,,Labour exploitation,,,,13.0
2014,Number,Female,,Labour exploitation,,,,4.0
2015,Number,Female,,Labour exploitation,,,,8.0
2016,Number,Female,,Labour exploitation,,,,13.0
2017,Number,Female,,Labour exploitation,,,,25.0
2018,Number,Female,,Labour exploitation,,,,8.0
2019,Number,Female,,Labour exploitation,,,,19.0
2020,Number,Female,,Labour exploitation,,,,18.0
2021,Number,Female,,Labour exploitation,,,,72.0
2022,Number,Female,,Labour exploitation,,,,266.0
2023,Number,Female,,Labour exploitation,,,,53.0
2024,Number,Female,,Labour exploitation,,,,25.0
2010,Number,Male,,Labour exploitation,,,,31.0
2011,Number,Male,,Labour exploitation,,,,8.0
2012,Number,Male,,Labour exploitation,,,,5.0
2013,Number,Male,,Labour exploitation,,,,47.0
2014,Number,Male,,Labour exploitation,,,,22.0
2015,Number,Male,,Labour exploitation,,,,44.0
2016,Number,Male,,Labour exploitation,,,,34.0
2017,Number,Male,,Labour exploitation,,,,154.0
2018,Number,Male,,Labour exploitation,,,,54.0
2019,Number,Male,,Labour exploitation,,,,24.0
2020,Number,Male,,Labour exploitation,,,,55.0
2021,Number,Male,,Labour exploitation,,,,74.0
2022,Number,Male,,Labour exploitation,,,,747.0
2023,Number,Male,,Labour exploitation,,,,129.0
2024,Number,Male,,Labour exploitation,,,,145.0
2010,Number,Unknown,,Labour exploitation,.,,,
2011,Number,Unknown,,Labour exploitation,.,,,
2012,Number,Unknown,,Labour exploitation,,,,2.0
2013,Number,Unknown,,Labour exploitation,,,,1.0
2014,Number,Unknown,,Labour exploitation,,,,0.0
2015,Number,Unknown,,Labour exploitation,,,,2.0
2016,Number,Unknown,,Labour exploitation,,,,1.0
2017,Number,Unknown,,Labour exploitation,,,,1.0
2018,Number,Unknown,,Labour exploitation,,,,1.0
2019,Number,Unknown,,Labour exploitation,,,,0.0
2020,Number,Unknown,,Labour exploitation,,,,0.0
2021,Number,Unknown,,Labour exploitation,,,,1.0
2022,Number,Unknown,,Labour exploitation,,,,6.0
2023,Number,Unknown,,Labour exploitation,,,,1.0
2024,Number,Unknown,,Labour exploitation,,,,1.0
2010,Number,,,Sexual exploitation,,,,610.0
2011,Number,,,Sexual exploitation,,,,639.0
2012,Number,,,Sexual exploitation,,,,612.0
2013,Number,,,Sexual exploitation,,,,542.0
2014,Number,,,Sexual exploitation,,,,557.0
2015,Number,,,Sexual exploitation,,,,416.0
2016,Number,,,Sexual exploitation,,,,488.0
2017,Number,,,Sexual exploitation,,,,489.0
2018,Number,,,Sexual exploitation,,,,430.0
2019,Number,,,Sexual exploitation,,,,427.0
2020,Number,,,Sexual exploitation,,,,406.0
2021,Number,,,Sexual exploitation,,,,417.0
2022,Number,,,Sexual exploitation,,,,476.0
2023,Number,,,Sexual exploitation,r,,,428.0
2024,Number,,,Sexual exploitation,,,,465.0
2010,Number,,13 years and younger,Sexual exploitation,,,,13.0
2011,Number,,13 years and younger,Sexual exploitation,,,,13.0
2012,Number,,13 years and younger,Sexual exploitation,,,,12.0
2013,Number,,13 years and younger,Sexual exploitation,,,,9.0
2014,Number,,13 years and younger,Sexual exploitation,,,,5.0
2015,Number,,13 years and younger,Sexual exploitation,,,,6.0
2016,Number,,13 years and younger,Sexual exploitation,,,,12.0
2017,Number,,13 years and younger,Sexual exploitation,,,,16.0
2018,Number,,13 years and younger,Sexual exploitation,,,,4.0
2019,Number,,13 years and younger,Sexual exploitation,,,,5.0
2020,Number,,13 years and younger,Sexual exploitation,,,,13.0
2021,Number,,13 years and younger,Sexual exploitation,,,,1.0
2022,Number,,13 years and younger,Sexual exploitation,,,,7.0
2023,Number,,13 years and younger,Sexual exploitation,,,,1.0
2024,Number,,13 years and younger,Sexual exploitation,,,,4.0
2010,Number,,14 to under 18 years,Sexual exploitation,,,,79.0
2011,Number,,14 to under 18 years,Sexual exploitation,,,,77.0
2012,Number,,14 to under 18 years,Sexual exploitation,,,,88.0
2013,Number,,14 to under 18 years,Sexual exploitation,,,,61.0
2014,Number,,14 to under 18 years,Sexual exploitation,,,,52.0
2015,Number,,14 to under 18 years,Sexual exploitation,,,,71.0
2016,Number,,14 to under 18 years,Sexual exploitation,,,,84.0
2017,Number,,14 to under 18 years,Sexual exploitation,,,,46.0
2018,Number,,14 to under 18 years,Sexual exploitation,,,,64.0
2019,Number,,14 to under 18 years,Sexual exploitation,,,,56.0
2020,Number,,14 to under 18 years,Sexual exploitation,,,,66.0
2021,Number,,14 to under 18 years,Sexual exploitation,,,,53.0
2022,Number,,14 to under 18 years,Sexual exploitation,,,,49.0
2023,Number,,14 to under 18 years,Sexual exploitation,r,,,65.0
2024,Number,,14 to under 18 years,Sexual exploitation,,,,44.0
2010,Number,,18 to under 21 years,Sexual exploitation,,,,254.0
2011,Number,,18 to under 21 years,Sexual exploitation,,,,268.0
2012,Number,,18 to under 21 years,Sexual exploitation,,,,223.0
2013,Number,,18 to under 21 years,Sexual exploitation,,,,209.0
2014,Number,,18 to under 21 years,Sexual exploitation,,,,209.0
2015,Number,,18 to under 21 years,Sexual exploitation,,,,148.0
2016,Number,,18 to under 21 years,Sexual exploitation,,,,118.0
2017,Number,,18 to under 21 years,Sexual exploitation,,,,157.0
2018,Number,,18 to under 21 years,Sexual exploitation,,,,130.0
2019,Number,,18 to under 21 years,Sexual exploitation,,,,76.0
2020,Number,,18 to under 21 years,Sexual exploitation,,,,88.0
2021,Number,,18 to under 21 years,Sexual exploitation,,,,77.0
2022,Number,,18 to under 21 years,Sexual exploitation,,,,96.0
2023,Number,,18 to under 21 years,Sexual exploitation,r,,,68.0
2024,Number,,18 to under 21 years,Sexual exploitation,,,,78.0
2010,Number,,21 to under 25 years,Sexual exploitation,,,,127.0
2011,Number,,21 to under 25 years,Sexual exploitation,,,,135.0
2012,Number,,21 to under 25 years,Sexual exploitation,,,,123.0
2013,Number,,21 to under 25 years,Sexual exploitation,,,,111.0
2014,Number,,21 to under 25 years,Sexual exploitation,,,,115.0
2015,Number,,21 to under 25 years,Sexual exploitation,,,,68.0
2016,Number,,21 to under 25 years,Sexual exploitation,,,,109.0
2017,Number,,21 to under 25 years,Sexual exploitation,,,,110.0
2018,Number,,21 to under 25 years,Sexual exploitation,,,,93.0
2019,Number,,21 to under 25 years,Sexual exploitation,,,,79.0
2020,Number,,21 to under 25 years,Sexual exploitation,,,,78.0
2021,Number,,21 to under 25 years,Sexual exploitation,,,,83.0
2022,Number,,21 to under 25 years,Sexual exploitation,,,,91.0
2023,Number,,21 to under 25 years,Sexual exploitation,,,,78.0
2024,Number,,21 to under 25 years,Sexual exploitation,,,,65.0
2010,Number,,25 years and older,Sexual exploitation,,,,129.0
2011,Number,,25 years and older,Sexual exploitation,,,,133.0
2012,Number,,25 years and older,Sexual exploitation,,,,156.0
2013,Number,,25 years and older,Sexual exploitation,,,,142.0
2014,Number,,25 years and older,Sexual exploitation,,,,164.0
2015,Number,,25 years and older,Sexual exploitation,,,,98.0
2016,Number,,25 years and older,Sexual exploitation,,,,142.0
2017,Number,,25 years and older,Sexual exploitation,,,,149.0
2018,Number,,25 years and older,Sexual exploitation,,,,126.0
2019,Number,,25 years and older,Sexual exploitation,,,,205.0
2020,Number,,25 years and older,Sexual exploitation,,,,146.0
2021,Number,,25 years and older,Sexual exploitation,,,,181.0
2022,Number,,25 years and older,Sexual exploitation,,,,223.0
2023,Number,,25 years and older,Sexual exploitation,r,,,196.0
2024,Number,,25 years and older,Sexual exploitation,,,,254.0
2010,Number,,Unknown age,Sexual exploitation,,,,8.0
2011,Number,,Unknown age,Sexual exploitation,,,,13.0
2012,Number,,Unknown age,Sexual exploitation,,,,10.0
