Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,Milliarden EUR,Bruttoanlageinvestitionen,,,,736.5
2021,Milliarden EUR,Bruttoanlageinvestitionen,,,,780.0
2022,Milliarden EUR,Bruttoanlageinvestitionen,,,,865.4
2023,Milliarden EUR,Bruttoanlageinvestitionen,p,,,898.0
2024,Milliarden EUR,Bruttoanlageinvestitionen,p,,,898.3
2025,Milliarden EUR,Bruttoanlageinvestitionen,p,,,915.1
2010,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,49385.0
2011,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50163.0
2012,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50098.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50243.0
2014,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,51075.0
2015,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,51811.0
2016,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,52493.0
2017,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53225.0
2018,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53913.0
2019,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,54333.0
2020,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,52028.0
2021,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53379.0
2022,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,54505.0
2023,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,54831.0
2024,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,55237.0
2025,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,54949.0
2010,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,58581.0
2011,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59328.0
2012,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59143.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59148.0
2014,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59859.0
2015,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60460.0
2016,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60978.0
2017,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,61484.0
2018,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,61964.0
2019,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,62141.0
2020,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59066.0
2021,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60410.0
2022,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,61501.0
2023,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61603.0
2024,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61817.0
2025,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61309.0
2010,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,93.5
2011,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,95.5
2012,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,96.1
2013,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,96.3
2014,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,96.8
2015,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,97.1
2016,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,97.7
2017,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,99.5
2018,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,99.1
2019,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,99.8
2020,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,100.0
2021,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,101.3
2022,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,103.7
2023,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,99.5
2024,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,98.7
2025,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,99.5
2010,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,89.5
2011,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,91.7
2012,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,92.4
2013,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,92.8
2014,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,93.8
2015,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,94.5
2016,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,95.8
2017,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,97.8
2018,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,98.3
2019,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,99.0
2020,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,100.0
2021,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,101.6
2022,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,101.7
2023,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,100.5
2024,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,100.2
2025,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,101.2
2010,Anzahl in 1 000,Erwerbstätige,,,,41099.0
2011,Anzahl in 1 000,Erwerbstätige,,,,41570.0
2012,Anzahl in 1 000,Erwerbstätige,,,,42065.0
2013,Anzahl in 1 000,Erwerbstätige,,,,42378.0
2014,Anzahl in 1 000,Erwerbstätige,,,,42756.0
2015,Anzahl in 1 000,Erwerbstätige,,,,43137.0
2016,Anzahl in 1 000,Erwerbstätige,,,,43686.0
2017,Anzahl in 1 000,Erwerbstätige,,,,44290.0
2018,Anzahl in 1 000,Erwerbstätige,,,,44878.0
2019,Anzahl in 1 000,Erwerbstätige,,,,45291.0
2020,Anzahl in 1 000,Erwerbstätige,,,,44966.0
2021,Anzahl in 1 000,Erwerbstätige,,,,45041.0
2022,Anzahl in 1 000,Erwerbstätige,,,,45622.0
2023,Anzahl in 1 000,Erwerbstätige,p,,,45909.0
2024,Anzahl in 1 000,Erwerbstätige,p,,,45960.0
2025,Anzahl in 1 000,Erwerbstätige,p,,,45878.0
2010,2020 = 100,Reales BIP pro Kopf,r,,,90.8
2011,2020 = 100,Reales BIP pro Kopf,r,,,94.2
2012,2020 = 100,Reales BIP pro Kopf,r,,,94.5
2013,2020 = 100,Reales BIP pro Kopf,r,,,94.8
2014,2020 = 100,Reales BIP pro Kopf,r,,,96.7
2015,2020 = 100,Reales BIP pro Kopf,r,,,97.7
2016,2020 = 100,Reales BIP pro Kopf,r,,,99.3
2017,2020 = 100,Reales BIP pro Kopf,r,,,101.9
2018,2020 = 100,Reales BIP pro Kopf,r,,,103.0
2019,2020 = 100,Reales BIP pro Kopf,r,,,104.1
2020,2020 = 100,Reales BIP pro Kopf,,,,100.0
2021,2020 = 100,Reales BIP pro Kopf,,,,104.1
2022,2020 = 100,Reales BIP pro Kopf,,,,105.4
2023,2020 = 100,Reales BIP pro Kopf,p,,,103.4
2024,2020 = 100,Reales BIP pro Kopf,p,,,103.1
2025,2020 = 100,Reales BIP pro Kopf,p,,,103.1
2010,Milliarden EUR,Außenbeitrag,,,,133.5
2011,Milliarden EUR,Außenbeitrag,,,,133.3
2012,Milliarden EUR,Außenbeitrag,r,,,169.0
2013,Milliarden EUR,Außenbeitrag,r,,,1653.0
2014,Milliarden EUR,Außenbeitrag,r,,,194.6
2015,Milliarden EUR,Außenbeitrag,r,,,228.1
2016,Milliarden EUR,Außenbeitrag,r,,,230.2
2017,Milliarden EUR,Außenbeitrag,r,,,227.8
2018,Milliarden EUR,Außenbeitrag,r,,,195.8
2019,Milliarden EUR,Außenbeitrag,r,,,191.4
2020,Milliarden EUR,Außenbeitrag,r,,,174.2
2021,Milliarden EUR,Außenbeitrag,r,,,178.4
2022,Milliarden EUR,Außenbeitrag,,,,82.3
2023,Milliarden EUR,Außenbeitrag,p,,,155.3
2024,Milliarden EUR,Außenbeitrag,p,,,156.7
2025,Milliarden EUR,Außenbeitrag,p,,,100.3
