Year,Value,Units,Series
2012,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2013,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2014,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2015,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2016,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2017,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2018,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2019,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2020,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2021,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2022,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2023,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2024,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2025,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
2026,1,"yes=1, no=0",(4) existence of framework or measures reported to the access and benefit-sharing clearing-house
