Year,Aufgabenbereiche,Gerichtsebene,Series,Value
2019,Polizei,,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,0.59
2010,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.32
2011,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.32
2012,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.32
2013,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.33
2014,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.33
2015,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.33
2016,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.34
2017,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.35
2018,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.35
2019,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.35
2010,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.24
2011,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.24
2012,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.23
2013,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.22
2014,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.25
2015,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.25
2016,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.26
2017,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.15
2018,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.23
2019,"Gesundheit, Umwelt, Sport und Erholung",,Stellenverteilung von Frauen im öffentlichen Dienst im Vergleich zur nationalen Stellenverteilung,1.24
2010,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.84
2011,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.85
2012,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.87
2013,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.88
2014,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.89
2015,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.93
2016,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.95
2017,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.97
2018,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.98
2019,,,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,1.0
2010,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.5
2011,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.5
2012,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.55
2013,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.52
2014,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.58
2015,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.58
2016,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.68
2017,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.68
2018,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.74
2019,,Oberste/Verfassungsgerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.74
2010,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.64
2011,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.66
2012,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.67
2013,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.68
2014,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.7
2015,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.73
2016,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.76
2017,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.79
2018,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.8
2019,,Übergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.81
2010,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.89
2011,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.9
2012,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.92
2013,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.93
2014,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.94
2015,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,0.98
2016,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,1.0
2017,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,1.02
2018,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,1.02
2019,,Untergeordnete Gerichte,Verhältnis von Frauenanteil in der Justiz zum Frauenanteil in der Gesamtbevölkerung,1.04
