Year,Substanz,Grenze,Geschlecht,Series,Value
2015,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2016,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2017,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2018,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2019,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2020,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2021,Drogen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2010,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,191512.0
2011,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,192159.0
2012,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,195976.0
2013,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,194412.0
2014,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,185305.0
2015,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,176185.0
2016,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,170467.0
2017,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,165834.0
2018,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,161247.0
2019,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,159421.0
2020,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,139044.0
2021,Alkohol und andere psychoaktive Substanzen,,,Stationäre Behandlung bei Störungen durch Substanzgebrauch,138033.0
2010,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49139.0
2011,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,50796.0
2012,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,52487.0
2013,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,51211.0
2014,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,49460.0
2015,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,46377.0
2016,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,44589.0
2017,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,43574.0
2018,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,42716.0
2019,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,42158.0
2020,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,36512.0
2021,Alkohol und andere psychoaktive Substanzen,,Weiblich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,37002.0
2010,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,142373.0
2011,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,141363.0
2012,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,143488.0
2013,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,143201.0
2014,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,135845.0
2015,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,129808.0
2016,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,125878.0
2017,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,122260.0
2018,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,118531.0
2019,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,117263.0
2020,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,102532.0
2021,Alkohol und andere psychoaktive Substanzen,,Männlich,Stationäre Behandlung bei Störungen durch Substanzgebrauch,101031.0
2010,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2011,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2012,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,1.0
2013,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2014,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2015,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2016,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2017,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2018,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2019,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2020,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2021,Alkohol und andere psychoaktive Substanzen,,Unbekannt,Stationäre Behandlung bei Störungen durch Substanzgebrauch,
2010,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",215078.0
2011,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",231052.0
2012,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",218360.0
2013,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",215436.0
2014,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",230672.0
2015,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",225471.0
2016,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",225324.0
2017,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",217220.0
2018,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",204906.0
2019,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",190930.0
2020,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",
2021,,Untere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",
2010,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",255405.0
2011,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",274374.0
2012,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",259303.0
2013,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",255830.0
2014,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",273923.0
2015,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",267747.0
2016,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",267572.0
2017,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",257949.0
2018,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",243326.0
2019,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",226730.0
2020,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",
2021,,Obere Grenze,,"Schätzung des riskanten Konsums (auf Basis von Zugängen zu Behandlung) der Substanzen Opioide, Kokain und anderer Stimulanzien im Alter von 15 bis unter 65 Jahren",
