Year,timeseries,urbanisation,sex,Series,Value
2018,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.0
2019,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.2
2020,population not having indoor flushing toilet for the sole use of their household,,,housing deprivation,0.0
2010,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,1.7
2011,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.9
2012,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,1.0
2013,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.2
2014,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.1
2018,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.1
2019,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.2
2020,population not having indoor flushing toilet for the sole use of their household,,female,housing deprivation,0.0
2010,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,1.6
2011,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.8
2012,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.9
2013,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.1
2014,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.0
2015,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.1
2016,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.1
2017,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.1
2018,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.0
2019,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.3
2020,population not having indoor flushing toilet for the sole use of their household,,male,housing deprivation,0.0
2010,population considering their dwelling as too dark,,,housing deprivation,4.2
2011,population considering their dwelling as too dark,,,housing deprivation,4.1
2012,population considering their dwelling as too dark,,,housing deprivation,3.9
2013,population considering their dwelling as too dark,,,housing deprivation,4.4
2014,population considering their dwelling as too dark,,,housing deprivation,4.4
2015,population considering their dwelling as too dark,,,housing deprivation,4.0
2016,population considering their dwelling as too dark,,,housing deprivation,3.9
2017,population considering their dwelling as too dark,,,housing deprivation,4.0
2018,population considering their dwelling as too dark,,,housing deprivation,4.4
2019,population considering their dwelling as too dark,,,housing deprivation,4.0
2020,population considering their dwelling as too dark,,,housing deprivation,
2010,population considering their dwelling as too dark,,female,housing deprivation,3.9
2011,population considering their dwelling as too dark,,female,housing deprivation,3.9
2012,population considering their dwelling as too dark,,female,housing deprivation,3.9
2013,population considering their dwelling as too dark,,female,housing deprivation,4.5
2014,population considering their dwelling as too dark,,female,housing deprivation,4.3
2015,population considering their dwelling as too dark,,female,housing deprivation,3.9
2016,population considering their dwelling as too dark,,female,housing deprivation,3.8
2017,population considering their dwelling as too dark,,female,housing deprivation,3.9
2018,population considering their dwelling as too dark,,female,housing deprivation,4.4
2019,population considering their dwelling as too dark,,female,housing deprivation,4.2
2020,population considering their dwelling as too dark,,female,housing deprivation,
2010,population considering their dwelling as too dark,,male,housing deprivation,4.5
2011,population considering their dwelling as too dark,,male,housing deprivation,4.2
2012,population considering their dwelling as too dark,,male,housing deprivation,3.9
2013,population considering their dwelling as too dark,,male,housing deprivation,4.3
2014,population considering their dwelling as too dark,,male,housing deprivation,4.5
2015,population considering their dwelling as too dark,,male,housing deprivation,4.1
2016,population considering their dwelling as too dark,,male,housing deprivation,3.9
2017,population considering their dwelling as too dark,,male,housing deprivation,4.0
2018,population considering their dwelling as too dark,,male,housing deprivation,4.4
2019,population considering their dwelling as too dark,,male,housing deprivation,3.8
2020,population considering their dwelling as too dark,,male,housing deprivation,
