Year,Units,Type of classification,Level of risk of extinction,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Percentage,National classification,Conservation Population,.,,,
2023,Percentage,National classification,Conservation Population,,,,19.3
2010,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2011,Percentage,National classification,Phenotypic Conservation Populations,,,,6.8
2012,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2013,Percentage,National classification,Phenotypic Conservation Populations,,,,6.7
2014,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2015,Percentage,National classification,Phenotypic Conservation Populations,,,,6.5
2016,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2017,Percentage,National classification,Phenotypic Conservation Populations,,,,6.5
2018,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2019,Percentage,National classification,Phenotypic Conservation Populations,,,,7.5
2020,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2021,Percentage,National classification,Phenotypic Conservation Populations,,,,8.6
2022,Percentage,National classification,Phenotypic Conservation Populations,.,,,
2023,Percentage,National classification,Phenotypic Conservation Populations,,,,8.4
2010,Number,FAO classification,At risk,.,,,
2011,Number,FAO classification,At risk,.,,,
2012,Number,FAO classification,At risk,.,,,
2013,Number,FAO classification,At risk,.,,,
2014,Number,FAO classification,At risk,.,,,
2015,Number,FAO classification,At risk,,,,35.0
2016,Number,FAO classification,At risk,.,,,
2017,Number,FAO classification,At risk,.,,,
2018,Number,FAO classification,At risk,.,,,
2019,Number,FAO classification,At risk,,,,70.0
2020,Number,FAO classification,At risk,.,,,
2021,Number,FAO classification,At risk,.,,,
2022,Number,FAO classification,At risk,.,,,
2023,Number,FAO classification,At risk,,,,73.0
2010,Number,FAO classification,Not at risk,.,,,
2011,Number,FAO classification,Not at risk,.,,,
2012,Number,FAO classification,Not at risk,.,,,
2013,Number,FAO classification,Not at risk,.,,,
2014,Number,FAO classification,Not at risk,.,,,
2015,Number,FAO classification,Not at risk,,,,42.0
2016,Number,FAO classification,Not at risk,.,,,
2017,Number,FAO classification,Not at risk,.,,,
2018,Number,FAO classification,Not at risk,.,,,
2019,Number,FAO classification,Not at risk,,,,10.0
2020,Number,FAO classification,Not at risk,.,,,
2021,Number,FAO classification,Not at risk,.,,,
2022,Number,FAO classification,Not at risk,.,,,
2023,Number,FAO classification,Not at risk,,,,10.0
2010,Number,National classification,Not at risk,.,,,
2011,Number,National classification,Not at risk,,,,22.0
2012,Number,National classification,Not at risk,.,,,
2013,Number,National classification,Not at risk,,,,23.0
2014,Number,National classification,Not at risk,.,,,
2015,Number,National classification,Not at risk,,,,22.0
2016,Number,National classification,Not at risk,.,,,
2017,Number,National classification,Not at risk,,,,23.0
2018,Number,National classification,Not at risk,.,,,
2019,Number,National classification,Not at risk,,,,24.0
2020,Number,National classification,Not at risk,.,,,
2021,Number,National classification,Not at risk,,,,23.0
2022,Number,National classification,Not at risk,.,,,
2023,Number,National classification,Not at risk,,,,24.0
2010,Number,National classification,Monitoring Population,.,,,
2011,Number,National classification,Monitoring Population,,,,29.0
2012,Number,National classification,Monitoring Population,.,,,
2013,Number,National classification,Monitoring Population,,,,32.0
2014,Number,National classification,Monitoring Population,.,,,
2015,Number,National classification,Monitoring Population,,,,36.0
2016,Number,National classification,Monitoring Population,.,,,
2017,Number,National classification,Monitoring Population,,,,36.0
2018,Number,National classification,Monitoring Population,.,,,
2019,Number,National classification,Monitoring Population,,,,36.0
2020,Number,National classification,Monitoring Population,.,,,
2021,Number,National classification,Monitoring Population,,,,36.0
2022,Number,National classification,Monitoring Population,.,,,
2023,Number,National classification,Monitoring Population,,,,36.0
2010,Number,National classification,Conservation Population,.,,,
2011,Number,National classification,Conservation Population,,,,18.0
2012,Number,National classification,Conservation Population,.,,,
2013,Number,National classification,Conservation Population,,,,15.0
2014,Number,National classification,Conservation Population,.,,,
2015,Number,National classification,Conservation Population,,,,14.0
2016,Number,National classification,Conservation Population,.,,,
2017,Number,National classification,Conservation Population,,,,13.0
2018,Number,National classification,Conservation Population,.,,,
2019,Number,National classification,Conservation Population,,,,14.0
2020,Number,National classification,Conservation Population,.,,,
2021,Number,National classification,Conservation Population,,,,15.0
2022,Number,National classification,Conservation Population,.,,,
2023,Number,National classification,Conservation Population,,,,16.0
2010,Number,National classification,Phenotypic Conservation Populations,.,,,
2011,Number,National classification,Phenotypic Conservation Populations,,,,5.0
2012,Number,National classification,Phenotypic Conservation Populations,.,,,
2013,Number,National classification,Phenotypic Conservation Populations,,,,5.0
2014,Number,National classification,Phenotypic Conservation Populations,.,,,
2015,Number,National classification,Phenotypic Conservation Populations,,,,5.0
2016,Number,National classification,Phenotypic Conservation Populations,.,,,
2017,Number,National classification,Phenotypic Conservation Populations,,,,5.0
2018,Number,National classification,Phenotypic Conservation Populations,.,,,
2019,Number,National classification,Phenotypic Conservation Populations,,,,6.0
2020,Number,National classification,Phenotypic Conservation Populations,.,,,
2021,Number,National classification,Phenotypic Conservation Populations,,,,7.0
2022,Number,National classification,Phenotypic Conservation Populations,.,,,
2023,Number,National classification,Phenotypic Conservation Populations,,,,7.0
