Year,Degree of urbanisation,Sex,Series,Value
2012,Rural areas,,Housing cost overburden rate,13.9
2013,Rural areas,,Housing cost overburden rate,13.3
2014,Rural areas,,Housing cost overburden rate,12.7
2015,Rural areas,,Housing cost overburden rate,12.0
2016,Rural areas,,Housing cost overburden rate,12.2
2017,Rural areas,,Housing cost overburden rate,11.0
2018,Rural areas,,Housing cost overburden rate,10.4
2019,Rural areas,,Housing cost overburden rate,12.4
2020,Rural areas,,Housing cost overburden rate,6.8
2021,Rural areas,,Housing cost overburden rate,8.5
2010,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.3
2011,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2012,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2013,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2015,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.8
2016,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2017,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.5
2018,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2019,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2020,,,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2010,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2011,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",14.1
2012,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2013,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.6
2015,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2016,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2017,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2018,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2019,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2020,,Female,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2010,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.0
2011,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2012,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2013,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.1
2015,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.4
2016,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2017,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2018,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2019,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.7
2020,,Male,"Population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.8
2010,,,"Population having neither a bath, nor a shower in their dwelling",0.5
2011,,,"Population having neither a bath, nor a shower in their dwelling",0.1
2012,,,"Population having neither a bath, nor a shower in their dwelling",0.1
2013,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2014,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2015,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2016,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2017,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2018,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2019,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2020,,,"Population having neither a bath, nor a shower in their dwelling",0.0
2010,,Female,"Population having neither a bath, nor a shower in their dwelling",0.5
2011,,Female,"Population having neither a bath, nor a shower in their dwelling",0.1
2012,,Female,"Population having neither a bath, nor a shower in their dwelling",0.1
2013,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2014,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2015,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2016,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2017,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2018,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2019,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2020,,Female,"Population having neither a bath, nor a shower in their dwelling",0.0
2010,,Male,"Population having neither a bath, nor a shower in their dwelling",0.6
2011,,Male,"Population having neither a bath, nor a shower in their dwelling",0.1
2012,,Male,"Population having neither a bath, nor a shower in their dwelling",0.1
2013,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2014,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2015,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2016,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2017,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2018,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2019,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2020,,Male,"Population having neither a bath, nor a shower in their dwelling",0.0
2010,,,Population not having indoor flushing toilet for the sole use of their household,1.6
2011,,,Population not having indoor flushing toilet for the sole use of their household,0.9
2012,,,Population not having indoor flushing toilet for the sole use of their household,0.9
2013,,,Population not having indoor flushing toilet for the sole use of their household,0.1
2014,,,Population not having indoor flushing toilet for the sole use of their household,0.0
2015,,,Population not having indoor flushing toilet for the sole use of their household,0.1
2016,,,Population not having indoor flushing toilet for the sole use of their household,0.1
2017,,,Population not having indoor flushing toilet for the sole use of their household,0.1
2018,,,Population not having indoor flushing toilet for the sole use of their household,0.0
2019,,,Population not having indoor flushing toilet for the sole use of their household,0.2
2020,,,Population not having indoor flushing toilet for the sole use of their household,0.0
2010,,Female,Population not having indoor flushing toilet for the sole use of their household,1.7
2011,,Female,Population not having indoor flushing toilet for the sole use of their household,0.9
2012,,Female,Population not having indoor flushing toilet for the sole use of their household,1.0
2013,,Female,Population not having indoor flushing toilet for the sole use of their household,0.2
2014,,Female,Population not having indoor flushing toilet for the sole use of their household,0.0
2015,,Female,Population not having indoor flushing toilet for the sole use of their household,0.1
2016,,Female,Population not having indoor flushing toilet for the sole use of their household,0.1
2017,,Female,Population not having indoor flushing toilet for the sole use of their household,0.1
2018,,Female,Population not having indoor flushing toilet for the sole use of their household,0.1
2019,,Female,Population not having indoor flushing toilet for the sole use of their household,0.2
2020,,Female,Population not having indoor flushing toilet for the sole use of their household,0.0
2010,,Male,Population not having indoor flushing toilet for the sole use of their household,1.6
2011,,Male,Population not having indoor flushing toilet for the sole use of their household,0.8
2012,,Male,Population not having indoor flushing toilet for the sole use of their household,0.9
2013,,Male,Population not having indoor flushing toilet for the sole use of their household,0.1
2014,,Male,Population not having indoor flushing toilet for the sole use of their household,0.0
2015,,Male,Population not having indoor flushing toilet for the sole use of their household,0.1
2016,,Male,Population not having indoor flushing toilet for the sole use of their household,0.1
2017,,Male,Population not having indoor flushing toilet for the sole use of their household,0.1
2018,,Male,Population not having indoor flushing toilet for the sole use of their household,0.0
2019,,Male,Population not having indoor flushing toilet for the sole use of their household,0.3
2020,,Male,Population not having indoor flushing toilet for the sole use of their household,0.0
2010,,,Population considering their dwelling as too dark,4.2
2011,,,Population considering their dwelling as too dark,4.1
2012,,,Population considering their dwelling as too dark,3.9
2013,,,Population considering their dwelling as too dark,4.4
2014,,,Population considering their dwelling as too dark,4.4
2015,,,Population considering their dwelling as too dark,4.0
2016,,,Population considering their dwelling as too dark,3.9
2017,,,Population considering their dwelling as too dark,4.0
2018,,,Population considering their dwelling as too dark,4.4
2019,,,Population considering their dwelling as too dark,4.0
2010,,Female,Population considering their dwelling as too dark,3.9
2011,,Female,Population considering their dwelling as too dark,3.9
2012,,Female,Population considering their dwelling as too dark,3.9
2013,,Female,Population considering their dwelling as too dark,4.5
2014,,Female,Population considering their dwelling as too dark,4.3
2015,,Female,Population considering their dwelling as too dark,3.9
2016,,Female,Population considering their dwelling as too dark,3.8
2017,,Female,Population considering their dwelling as too dark,3.9
2018,,Female,Population considering their dwelling as too dark,4.4
2019,,Female,Population considering their dwelling as too dark,4.2
2010,,Male,Population considering their dwelling as too dark,4.5
2011,,Male,Population considering their dwelling as too dark,4.2
2012,,Male,Population considering their dwelling as too dark,3.9
2013,,Male,Population considering their dwelling as too dark,4.3
2014,,Male,Population considering their dwelling as too dark,4.5
2015,,Male,Population considering their dwelling as too dark,4.1
2016,,Male,Population considering their dwelling as too dark,3.9
2017,,Male,Population considering their dwelling as too dark,4.0
2018,,Male,Population considering their dwelling as too dark,4.4
2019,,Male,Population considering their dwelling as too dark,3.8
