Year,Art der Erkrankung,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,b) Bösartige Neubildungen,Weiblich,,,,6.13
2013,b) Bösartige Neubildungen,Weiblich,,,,6.1
2014,b) Bösartige Neubildungen,Weiblich,,,,5.92
2015,b) Bösartige Neubildungen,Weiblich,,,,5.94
2016,b) Bösartige Neubildungen,Weiblich,,,,5.97
2017,b) Bösartige Neubildungen,Weiblich,,,,5.85
2018,b) Bösartige Neubildungen,Weiblich,,,,5.82
2019,b) Bösartige Neubildungen,Weiblich,,,,5.69
2020,b) Bösartige Neubildungen,Weiblich,,,,5.57
2021,b) Bösartige Neubildungen,Weiblich,,,,5.46
2022,b) Bösartige Neubildungen,Weiblich,,,,5.52
2023,b) Bösartige Neubildungen,Weiblich,,,,5.41
2024,b) Bösartige Neubildungen,Weiblich,,,,5.29
2010,c) Diabetes mellitus,Weiblich,,,,0.2
2011,c) Diabetes mellitus,Weiblich,,,,0.21
2012,c) Diabetes mellitus,Weiblich,,,,0.21
2013,c) Diabetes mellitus,Weiblich,,,,0.2
2014,c) Diabetes mellitus,Weiblich,,,,0.2
2015,c) Diabetes mellitus,Weiblich,,,,0.2
2016,c) Diabetes mellitus,Weiblich,,,,0.19
2017,c) Diabetes mellitus,Weiblich,,,,0.21
2018,c) Diabetes mellitus,Weiblich,,,,0.21
2019,c) Diabetes mellitus,Weiblich,,,,0.19
2020,c) Diabetes mellitus,Weiblich,,,,0.2
2021,c) Diabetes mellitus,Weiblich,,,,0.2
2022,c) Diabetes mellitus,Weiblich,,,,0.19
2023,c) Diabetes mellitus,Weiblich,,,,0.2
2024,c) Diabetes mellitus,Weiblich,,,,0.19
2010,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.56
2011,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.57
2012,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.54
2013,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.63
2014,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.59
2015,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.66
2016,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.67
2017,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.71
2018,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.73
2019,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.71
2020,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.67
2021,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.63
2022,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.74
2023,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.78
2024,d) Chronische Atemwegserkrankungen,Weiblich,,,,0.76
2010,,Männlich,,,,16.33
2011,,Männlich,,,,15.69
2012,,Männlich,,,,15.44
2013,,Männlich,,,,15.4
2014,,Männlich,,,,14.75
2015,,Männlich,,,,15.04
2016,,Männlich,,,,14.7
2017,,Männlich,,,,14.29
2018,,Männlich,,,,14.24
2019,,Männlich,,,,13.73
2020,,Männlich,,,,13.72
2021,,Männlich,,,,13.58
2022,,Männlich,,,,13.51
2023,,Männlich,,,,13.26
2024,,Männlich,,,,13.03
2010,a) Krankheiten des Kreislaufsystems,Männlich,,,,6.64
2011,a) Krankheiten des Kreislaufsystems,Männlich,,,,6.12
2012,a) Krankheiten des Kreislaufsystems,Männlich,,,,6.08
2013,a) Krankheiten des Kreislaufsystems,Männlich,,,,6.01
2014,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.73
2015,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.95
2016,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.71
2017,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.55
2018,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.53
2019,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.25
2020,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.35
2021,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.43
2022,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.38
2023,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.29
2024,a) Krankheiten des Kreislaufsystems,Männlich,,,,5.1
2010,b) Bösartige Neubildungen,Männlich,,,,9.01
2011,b) Bösartige Neubildungen,Männlich,,,,8.82
2012,b) Bösartige Neubildungen,Männlich,,,,8.62
2013,b) Bösartige Neubildungen,Männlich,,,,8.55
2014,b) Bösartige Neubildungen,Männlich,,,,8.21
2015,b) Bösartige Neubildungen,Männlich,,,,8.19
2016,b) Bösartige Neubildungen,Männlich,,,,8.11
2017,b) Bösartige Neubildungen,Männlich,,,,7.77
2018,b) Bösartige Neubildungen,Männlich,,,,7.74
2019,b) Bösartige Neubildungen,Männlich,,,,7.5
2020,b) Bösartige Neubildungen,Männlich,,,,7.41
2021,b) Bösartige Neubildungen,Männlich,,,,7.2
2022,b) Bösartige Neubildungen,Männlich,,,,7.08
2023,b) Bösartige Neubildungen,Männlich,,,,6.88
2024,b) Bösartige Neubildungen,Männlich,,,,6.77
2010,c) Diabetes mellitus,Männlich,,,,0.51
2011,c) Diabetes mellitus,Männlich,,,,0.49
2012,c) Diabetes mellitus,Männlich,,,,0.5
2013,c) Diabetes mellitus,Männlich,,,,0.51
2014,c) Diabetes mellitus,Männlich,,,,0.47
2015,c) Diabetes mellitus,Männlich,,,,0.51
2016,c) Diabetes mellitus,Männlich,,,,0.48
2017,c) Diabetes mellitus,Männlich,,,,0.52
2018,c) Diabetes mellitus,Männlich,,,,0.5
2019,c) Diabetes mellitus,Männlich,,,,0.48
2020,c) Diabetes mellitus,Männlich,,,,0.5
2021,c) Diabetes mellitus,Männlich,,,,0.5
2022,c) Diabetes mellitus,Männlich,,,,0.51
2023,c) Diabetes mellitus,Männlich,,,,0.5
2024,c) Diabetes mellitus,Männlich,,,,0.52
2010,d) Chronische Atemwegserkrankungen,Männlich,,,,1.0
2011,d) Chronische Atemwegserkrankungen,Männlich,,,,1.02
2012,d) Chronische Atemwegserkrankungen,Männlich,,,,0.98
2013,d) Chronische Atemwegserkrankungen,Männlich,,,,1.06
2014,d) Chronische Atemwegserkrankungen,Männlich,,,,1.01
2015,d) Chronische Atemwegserkrankungen,Männlich,,,,1.11
2016,d) Chronische Atemwegserkrankungen,Männlich,,,,1.07
2017,d) Chronische Atemwegserkrankungen,Männlich,,,,1.09
2018,d) Chronische Atemwegserkrankungen,Männlich,,,,1.11
2019,d) Chronische Atemwegserkrankungen,Männlich,,,,1.09
2020,d) Chronische Atemwegserkrankungen,Männlich,,,,1.04
2021,d) Chronische Atemwegserkrankungen,Männlich,,,,1.03
2022,d) Chronische Atemwegserkrankungen,Männlich,,,,1.12
2023,d) Chronische Atemwegserkrankungen,Männlich,,,,1.15
2024,d) Chronische Atemwegserkrankungen,Männlich,,,,1.18
