Year,Units,Art des Finanzstroms,Art der öffentlichen Entwicklungsleistung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2018,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,44.5
2019,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,1.4
2020,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,61.3
2021,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,4.3
2022,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,7.2
2023,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2024,Millionen EUR,Sonstige öffentliche Leistungen,Zusagen,,,,
2010,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2011,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2012,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2013,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2014,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2015,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2016,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2017,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2018,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,44.5
2019,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1.4
2020,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,61.3
2021,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,4.3
2022,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,7.2
2023,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2024,Millionen EUR,Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,442.0
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,391.4
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,320.4
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,500.4
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,939.5
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,896.5
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,850.9
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,853.0
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,738.5
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1189.0
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1255.6
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1468.6
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,1197.3
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,612.6
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Zusagen,,,,523.7
2010,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,310.9
2011,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,375.5
2012,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,325.9
2013,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,457.2
2014,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,385.9
2015,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,685.3
2016,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,723.8
2017,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,783.3
2018,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,651.2
2019,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,709.9
2020,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1038.2
2021,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,908.9
2022,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,1528.5
2023,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,738.0
2024,"Millionen USD, konstante Preise (2024)",Öffentliche Entwicklungsleistungen,Bruttoauszahlungen,,,,613.3
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Zusagen,,,,
2010,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2011,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2012,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2013,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2014,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2015,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2016,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2017,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2018,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
2024,"Millionen USD, konstante Preise (2024)",Sonstige öffentliche Leistungen,Bruttoauszahlungen,,,,
