Year,Meer,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,59.3
2024,Nordsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,63.0
2010,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,14.3
2011,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.9
2012,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,57.1
2013,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.9
2014,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,71.4
2015,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,14.3
2016,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,14.3
2017,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,28.6
2018,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,28.6
2019,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,28.6
2020,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,14.3
2021,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,42.9
2022,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,57.1
2023,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,71.4
2024,Ostsee,,,,Nachhaltig befischte Fischbestände in Nord- und Ostsee an allen MSY-untersuchten Beständen,85.7
2010,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2011,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2012,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2013,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2014,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2015,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2016,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,33.0
2017,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2018,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2019,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2020,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2021,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2022,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
2023,,,,,MSY-untersuchte Fischbestände an allen bewirtschafteten Beständen,34.0
