Year,Type of violence,Sex,Age group,Type of physical violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,(a) Physical violence,,35 to under 45 years,,,.,,,
2020,(a) Physical violence,,35 to under 45 years,,,,,,40.3
2021,(a) Physical violence,,35 to under 45 years,,,…,,,
2022,(a) Physical violence,,35 to under 45 years,,,…,,,
2023,(a) Physical violence,,35 to under 45 years,,,…,,,
2024,(a) Physical violence,,35 to under 45 years,,,…,,,
2010,(a) Physical violence,,45 to under 55 years,,,.,,,
2011,(a) Physical violence,,45 to under 55 years,,,.,,,
2012,(a) Physical violence,,45 to under 55 years,,,.,,,
2013,(a) Physical violence,,45 to under 55 years,,,.,,,
2014,(a) Physical violence,,45 to under 55 years,,,.,,,
2015,(a) Physical violence,,45 to under 55 years,,,.,,,
2016,(a) Physical violence,,45 to under 55 years,,,.,,,
2017,(a) Physical violence,,45 to under 55 years,,,.,,,
2018,(a) Physical violence,,45 to under 55 years,,,.,,,
2019,(a) Physical violence,,45 to under 55 years,,,.,,,
2020,(a) Physical violence,,45 to under 55 years,,,,,,37.6
2021,(a) Physical violence,,45 to under 55 years,,,…,,,
2022,(a) Physical violence,,45 to under 55 years,,,…,,,
2023,(a) Physical violence,,45 to under 55 years,,,…,,,
2024,(a) Physical violence,,45 to under 55 years,,,…,,,
2010,(a) Physical violence,,55 to under 65 years,,,.,,,
2011,(a) Physical violence,,55 to under 65 years,,,.,,,
2012,(a) Physical violence,,55 to under 65 years,,,.,,,
2013,(a) Physical violence,,55 to under 65 years,,,.,,,
2014,(a) Physical violence,,55 to under 65 years,,,.,,,
2015,(a) Physical violence,,55 to under 65 years,,,.,,,
2016,(a) Physical violence,,55 to under 65 years,,,.,,,
2017,(a) Physical violence,,55 to under 65 years,,,.,,,
2018,(a) Physical violence,,55 to under 65 years,,,.,,,
2019,(a) Physical violence,,55 to under 65 years,,,.,,,
2020,(a) Physical violence,,55 to under 65 years,,,,,,32.2
2021,(a) Physical violence,,55 to under 65 years,,,…,,,
2022,(a) Physical violence,,55 to under 65 years,,,…,,,
2023,(a) Physical violence,,55 to under 65 years,,,…,,,
2024,(a) Physical violence,,55 to under 65 years,,,…,,,
2010,(a) Physical violence,,65 to under 75 years,,,.,,,
2011,(a) Physical violence,,65 to under 75 years,,,.,,,
2012,(a) Physical violence,,65 to under 75 years,,,.,,,
2013,(a) Physical violence,,65 to under 75 years,,,.,,,
2014,(a) Physical violence,,65 to under 75 years,,,.,,,
2015,(a) Physical violence,,65 to under 75 years,,,.,,,
2016,(a) Physical violence,,65 to under 75 years,,,.,,,
2017,(a) Physical violence,,65 to under 75 years,,,.,,,
2018,(a) Physical violence,,65 to under 75 years,,,.,,,
2019,(a) Physical violence,,65 to under 75 years,,,.,,,
2020,(a) Physical violence,,65 to under 75 years,,,,,,81.8
2021,(a) Physical violence,,65 to under 75 years,,,…,,,
2022,(a) Physical violence,,65 to under 75 years,,,…,,,
2023,(a) Physical violence,,65 to under 75 years,,,…,,,
2024,(a) Physical violence,,65 to under 75 years,,,…,,,
2010,(a) Physical violence,,75 years and older,,,.,,,
2011,(a) Physical violence,,75 years and older,,,.,,,
2012,(a) Physical violence,,75 years and older,,,.,,,
2013,(a) Physical violence,,75 years and older,,,.,,,
2014,(a) Physical violence,,75 years and older,,,.,,,
2015,(a) Physical violence,,75 years and older,,,.,,,
2016,(a) Physical violence,,75 years and older,,,.,,,
2017,(a) Physical violence,,75 years and older,,,.,,,
2018,(a) Physical violence,,75 years and older,,,.,,,
2019,(a) Physical violence,,75 years and older,,,.,,,
2020,(a) Physical violence,,75 years and older,,,,,,52.7
2021,(a) Physical violence,,75 years and older,,,…,,,
2022,(a) Physical violence,,75 years and older,,,…,,,
2023,(a) Physical violence,,75 years and older,,,…,,,
2024,(a) Physical violence,,75 years and older,,,…,,,
2010,(a) Physical violence,,,Physical assault,,.,,,
2011,(a) Physical violence,,,Physical assault,,.,,,
2012,(a) Physical violence,,,Physical assault,,,,,32.9
2013,(a) Physical violence,,,Physical assault,,.,,,
2014,(a) Physical violence,,,Physical assault,,.,,,
2015,(a) Physical violence,,,Physical assault,,.,,,
2016,(a) Physical violence,,,Physical assault,,.,,,
2017,(a) Physical violence,,,Physical assault,,,,,36.6
2018,(a) Physical violence,,,Physical assault,,.,,,
2019,(a) Physical violence,,,Physical assault,,.,,,
2020,(a) Physical violence,,,Physical assault,,|,,,33.5
2021,(a) Physical violence,,,Physical assault,,.,,,
2022,(a) Physical violence,,,Physical assault,,.,,,
2023,(a) Physical violence,,,Physical assault,,.,,,
2024,(a) Physical violence,,,Physical assault,,,,,29.1
2010,(a) Physical violence,Female,,Physical assault,,.,,,
2011,(a) Physical violence,Female,,Physical assault,,.,,,
2012,(a) Physical violence,Female,,Physical assault,,,,,34.1
2013,(a) Physical violence,Female,,Physical assault,,.,,,
2014,(a) Physical violence,Female,,Physical assault,,.,,,
2015,(a) Physical violence,Female,,Physical assault,,.,,,
2016,(a) Physical violence,Female,,Physical assault,,.,,,
2017,(a) Physical violence,Female,,Physical assault,,,,,40.0
2018,(a) Physical violence,Female,,Physical assault,,.,,,
2019,(a) Physical violence,Female,,Physical assault,,.,,,
2020,(a) Physical violence,Female,,Physical assault,,|,,,21.3
2021,(a) Physical violence,Female,,Physical assault,,.,,,
2022,(a) Physical violence,Female,,Physical assault,,.,,,
2023,(a) Physical violence,Female,,Physical assault,,.,,,
2024,(a) Physical violence,Female,,Physical assault,,…,,,38.9
2010,(a) Physical violence,Male,,Physical assault,,.,,,
2011,(a) Physical violence,Male,,Physical assault,,.,,,
2012,(a) Physical violence,Male,,Physical assault,,,,,32.3
2013,(a) Physical violence,Male,,Physical assault,,.,,,
2014,(a) Physical violence,Male,,Physical assault,,.,,,
2015,(a) Physical violence,Male,,Physical assault,,.,,,
2016,(a) Physical violence,Male,,Physical assault,,.,,,
2017,(a) Physical violence,Male,,Physical assault,,,,,34.6
2018,(a) Physical violence,Male,,Physical assault,,.,,,
2019,(a) Physical violence,Male,,Physical assault,,.,,,
2020,(a) Physical violence,Male,,Physical assault,,|,,,40.3
2021,(a) Physical violence,Male,,Physical assault,,.,,,
2022,(a) Physical violence,Male,,Physical assault,,.,,,
2023,(a) Physical violence,Male,,Physical assault,,.,,,
2024,(a) Physical violence,Male,,Physical assault,,,,,31.5
2010,(a) Physical violence,,,Robbery,,.,,,
2011,(a) Physical violence,,,Robbery,,.,,,
2012,(a) Physical violence,,,Robbery,,,,,33.6
2013,(a) Physical violence,,,Robbery,,.,,,
2014,(a) Physical violence,,,Robbery,,.,,,
2015,(a) Physical violence,,,Robbery,,.,,,
2016,(a) Physical violence,,,Robbery,,.,,,
2017,(a) Physical violence,,,Robbery,,,,,32.0
2018,(a) Physical violence,,,Robbery,,.,,,
2019,(a) Physical violence,,,Robbery,,.,,,
2020,(a) Physical violence,,,Robbery,,|,,,24.0
2021,(a) Physical violence,,,Robbery,,.,,,
2022,(a) Physical violence,,,Robbery,,.,,,
2023,(a) Physical violence,,,Robbery,,.,,,
2024,(a) Physical violence,,,Robbery,,,,,40.3
2010,(a) Physical violence,Female,,Robbery,,.,,,
2011,(a) Physical violence,Female,,Robbery,,.,,,
2012,(a) Physical violence,Female,,Robbery,,,,,42.8
2013,(a) Physical violence,Female,,Robbery,,.,,,
2014,(a) Physical violence,Female,,Robbery,,.,,,
2015,(a) Physical violence,Female,,Robbery,,.,,,
2016,(a) Physical violence,Female,,Robbery,,.,,,
2017,(a) Physical violence,Female,,Robbery,,,,,38.8
2018,(a) Physical violence,Female,,Robbery,,.,,,
2019,(a) Physical violence,Female,,Robbery,,.,,,
2020,(a) Physical violence,Female,,Robbery,,|,,,13.1
2021,(a) Physical violence,Female,,Robbery,,.,,,
2022,(a) Physical violence,Female,,Robbery,,.,,,
2023,(a) Physical violence,Female,,Robbery,,.,,,
2024,(a) Physical violence,Female,,Robbery,,,,,26.4
2010,(a) Physical violence,Male,,Robbery,,.,,,
2011,(a) Physical violence,Male,,Robbery,,.,,,
2012,(a) Physical violence,Male,,Robbery,,,,,28.3
2013,(a) Physical violence,Male,,Robbery,,.,,,
2014,(a) Physical violence,Male,,Robbery,,.,,,
2015,(a) Physical violence,Male,,Robbery,,.,,,
2016,(a) Physical violence,Male,,Robbery,,.,,,
2017,(a) Physical violence,Male,,Robbery,,,,,27.3
2018,(a) Physical violence,Male,,Robbery,,.,,,
2019,(a) Physical violence,Male,,Robbery,,.,,,
2020,(a) Physical violence,Male,,Robbery,,|,,,37.2
2021,(a) Physical violence,Male,,Robbery,,.,,,
2022,(a) Physical violence,Male,,Robbery,,.,,,
2023,(a) Physical violence,Male,,Robbery,,.,,,
2024,(a) Physical violence,Male,,Robbery,,,,,51.3
2010,(b) Psychological violence,,,,,.,,,
2011,(b) Psychological violence,,,,,.,,,
2012,(b) Psychological violence,,,,,.,,,
2013,(b) Psychological violence,,,,,.,,,
2014,(b) Psychological violence,,,,,.,,,
2015,(b) Psychological violence,,,,,.,,,
2016,(b) Psychological violence,,,,,.,,,
2017,(b) Psychological violence,,,,,.,,,
2018,(b) Psychological violence,,,,,.,,,
2019,(b) Psychological violence,,,,,.,,,
2020,(b) Psychological violence,,,,,,,,3.6
2021,(b) Psychological violence,,,,,…,,,
2022,(b) Psychological violence,,,,,…,,,
2023,(b) Psychological violence,,,,,…,,,
2024,(b) Psychological violence,,,,,…,,,
2010,(b) Psychological violence,Female,,,,.,,,
2011,(b) Psychological violence,Female,,,,.,,,
2012,(b) Psychological violence,Female,,,,.,,,
2013,(b) Psychological violence,Female,,,,.,,,
2014,(b) Psychological violence,Female,,,,.,,,
2015,(b) Psychological violence,Female,,,,.,,,
2016,(b) Psychological violence,Female,,,,.,,,
2017,(b) Psychological violence,Female,,,,.,,,
2018,(b) Psychological violence,Female,,,,.,,,
2019,(b) Psychological violence,Female,,,,.,,,
2020,(b) Psychological violence,Female,,,,,,,5.2
2021,(b) Psychological violence,Female,,,,…,,,
2022,(b) Psychological violence,Female,,,,…,,,
2023,(b) Psychological violence,Female,,,,…,,,
2024,(b) Psychological violence,Female,,,,…,,,
2010,(b) Psychological violence,Male,,,,.,,,
2011,(b) Psychological violence,Male,,,,.,,,
2012,(b) Psychological violence,Male,,,,.,,,
2013,(b) Psychological violence,Male,,,,.,,,
2014,(b) Psychological violence,Male,,,,.,,,
2015,(b) Psychological violence,Male,,,,.,,,
2016,(b) Psychological violence,Male,,,,.,,,
2017,(b) Psychological violence,Male,,,,.,,,
2018,(b) Psychological violence,Male,,,,.,,,
2019,(b) Psychological violence,Male,,,,.,,,
2020,(b) Psychological violence,Male,,,,,,,2.8
2021,(b) Psychological violence,Male,,,,…,,,
2022,(b) Psychological violence,Male,,,,…,,,
2023,(b) Psychological violence,Male,,,,…,,,
2024,(b) Psychological violence,Male,,,,…,,,
2010,(b) Psychological violence,,16 to under 25 years,,,.,,,
2011,(b) Psychological violence,,16 to under 25 years,,,.,,,
2012,(b) Psychological violence,,16 to under 25 years,,,.,,,
2013,(b) Psychological violence,,16 to under 25 years,,,.,,,
2014,(b) Psychological violence,,16 to under 25 years,,,.,,,
2015,(b) Psychological violence,,16 to under 25 years,,,.,,,
2016,(b) Psychological violence,,16 to under 25 years,,,.,,,
2017,(b) Psychological violence,,16 to under 25 years,,,.,,,
2018,(b) Psychological violence,,16 to under 25 years,,,.,,,
2019,(b) Psychological violence,,16 to under 25 years,,,.,,,
2020,(b) Psychological violence,,16 to under 25 years,,,,,,1.9
2021,(b) Psychological violence,,16 to under 25 years,,,…,,,
2022,(b) Psychological violence,,16 to under 25 years,,,…,,,
2023,(b) Psychological violence,,16 to under 25 years,,,…,,,
2024,(b) Psychological violence,,16 to under 25 years,,,…,,,
2010,(b) Psychological violence,,25 to under 35 years,,,.,,,
2011,(b) Psychological violence,,25 to under 35 years,,,.,,,
2012,(b) Psychological violence,,25 to under 35 years,,,.,,,
2013,(b) Psychological violence,,25 to under 35 years,,,.,,,
2014,(b) Psychological violence,,25 to under 35 years,,,.,,,
2015,(b) Psychological violence,,25 to under 35 years,,,.,,,
2016,(b) Psychological violence,,25 to under 35 years,,,.,,,
2017,(b) Psychological violence,,25 to under 35 years,,,.,,,
2018,(b) Psychological violence,,25 to under 35 years,,,.,,,
2019,(b) Psychological violence,,25 to under 35 years,,,.,,,
2020,(b) Psychological violence,,25 to under 35 years,,,,,,3.6
2021,(b) Psychological violence,,25 to under 35 years,,,…,,,
2022,(b) Psychological violence,,25 to under 35 years,,,…,,,
2023,(b) Psychological violence,,25 to under 35 years,,,…,,,
2024,(b) Psychological violence,,25 to under 35 years,,,…,,,
2010,(b) Psychological violence,,35 to under 45 years,,,.,,,
2011,(b) Psychological violence,,35 to under 45 years,,,.,,,
2012,(b) Psychological violence,,35 to under 45 years,,,.,,,
2013,(b) Psychological violence,,35 to under 45 years,,,.,,,
2014,(b) Psychological violence,,35 to under 45 years,,,.,,,
2015,(b) Psychological violence,,35 to under 45 years,,,.,,,
2016,(b) Psychological violence,,35 to under 45 years,,,.,,,
2017,(b) Psychological violence,,35 to under 45 years,,,.,,,
2018,(b) Psychological violence,,35 to under 45 years,,,.,,,
2019,(b) Psychological violence,,35 to under 45 years,,,.,,,
2020,(b) Psychological violence,,35 to under 45 years,,,,,,1.3
2021,(b) Psychological violence,,35 to under 45 years,,,…,,,
2022,(b) Psychological violence,,35 to under 45 years,,,…,,,
2023,(b) Psychological violence,,35 to under 45 years,,,…,,,
2024,(b) Psychological violence,,35 to under 45 years,,,…,,,
2010,(b) Psychological violence,,45 to under 55 years,,,.,,,
2011,(b) Psychological violence,,45 to under 55 years,,,.,,,
2012,(b) Psychological violence,,45 to under 55 years,,,.,,,
2013,(b) Psychological violence,,45 to under 55 years,,,.,,,
2014,(b) Psychological violence,,45 to under 55 years,,,.,,,
2015,(b) Psychological violence,,45 to under 55 years,,,.,,,
2016,(b) Psychological violence,,45 to under 55 years,,,.,,,
2017,(b) Psychological violence,,45 to under 55 years,,,.,,,
2018,(b) Psychological violence,,45 to under 55 years,,,.,,,
2019,(b) Psychological violence,,45 to under 55 years,,,.,,,
2020,(b) Psychological violence,,45 to under 55 years,,,,,,5.6
2021,(b) Psychological violence,,45 to under 55 years,,,…,,,
2022,(b) Psychological violence,,45 to under 55 years,,,…,,,
2023,(b) Psychological violence,,45 to under 55 years,,,…,,,
2024,(b) Psychological violence,,45 to under 55 years,,,…,,,
2010,(b) Psychological violence,,55 to under 65 years,,,.,,,
2011,(b) Psychological violence,,55 to under 65 years,,,.,,,
2012,(b) Psychological violence,,55 to under 65 years,,,.,,,
2013,(b) Psychological violence,,55 to under 65 years,,,.,,,
2014,(b) Psychological violence,,55 to under 65 years,,,.,,,
2015,(b) Psychological violence,,55 to under 65 years,,,.,,,
2016,(b) Psychological violence,,55 to under 65 years,,,.,,,
2017,(b) Psychological violence,,55 to under 65 years,,,.,,,
2018,(b) Psychological violence,,55 to under 65 years,,,.,,,
2019,(b) Psychological violence,,55 to under 65 years,,,.,,,
2020,(b) Psychological violence,,55 to under 65 years,,,,,,4.6
2021,(b) Psychological violence,,55 to under 65 years,,,…,,,
2022,(b) Psychological violence,,55 to under 65 years,,,…,,,
2023,(b) Psychological violence,,55 to under 65 years,,,…,,,
2024,(b) Psychological violence,,55 to under 65 years,,,…,,,
2010,(b) Psychological violence,,65 to under 75 years,,,.,,,
2011,(b) Psychological violence,,65 to under 75 years,,,.,,,
2012,(b) Psychological violence,,65 to under 75 years,,,.,,,
2013,(b) Psychological violence,,65 to under 75 years,,,.,,,
2014,(b) Psychological violence,,65 to under 75 years,,,.,,,
2015,(b) Psychological violence,,65 to under 75 years,,,.,,,
2016,(b) Psychological violence,,65 to under 75 years,,,.,,,
2017,(b) Psychological violence,,65 to under 75 years,,,.,,,
2018,(b) Psychological violence,,65 to under 75 years,,,.,,,
2019,(b) Psychological violence,,65 to under 75 years,,,.,,,
2020,(b) Psychological violence,,65 to under 75 years,,,,,,26.0
2021,(b) Psychological violence,,65 to under 75 years,,,…,,,
2022,(b) Psychological violence,,65 to under 75 years,,,…,,,
2023,(b) Psychological violence,,65 to under 75 years,,,…,,,
2024,(b) Psychological violence,,65 to under 75 years,,,…,,,
2010,(b) Psychological violence,,75 years and older,,,.,,,
2011,(b) Psychological violence,,75 years and older,,,.,,,
2012,(b) Psychological violence,,75 years and older,,,.,,,
2013,(b) Psychological violence,,75 years and older,,,.,,,
2014,(b) Psychological violence,,75 years and older,,,.,,,
2015,(b) Psychological violence,,75 years and older,,,.,,,
2016,(b) Psychological violence,,75 years and older,,,.,,,
2017,(b) Psychological violence,,75 years and older,,,.,,,
2018,(b) Psychological violence,,75 years and older,,,.,,,
2019,(b) Psychological violence,,75 years and older,,,.,,,
2020,(b) Psychological violence,,75 years and older,,,,,,59.0
2021,(b) Psychological violence,,75 years and older,,,…,,,
2022,(b) Psychological violence,,75 years and older,,,…,,,
2023,(b) Psychological violence,,75 years and older,,,…,,,
2024,(b) Psychological violence,,75 years and older,,,…,,,
2010,(c) Sexual violence,,,,,.,,,
2011,(c) Sexual violence,,,,,.,,,
2012,(c) Sexual violence,,,,,.,,,
2013,(c) Sexual violence,,,,,.,,,
2014,(c) Sexual violence,,,,,.,,,
2015,(c) Sexual violence,,,,,.,,,
2016,(c) Sexual violence,,,,,.,,,
2017,(c) Sexual violence,,,,,.,,,
2018,(c) Sexual violence,,,,,.,,,
2019,(c) Sexual violence,,,,,.,,,
2020,(c) Sexual violence,,,,,,,,2.4
2021,(c) Sexual violence,,,,,…,,,
2022,(c) Sexual violence,,,,,…,,,
2023,(c) Sexual violence,,,,,…,,,
2024,(c) Sexual violence,,,,,…,,,
2010,(c) Sexual violence,Female,,,,.,,,
2011,(c) Sexual violence,Female,,,,.,,,
2012,(c) Sexual violence,Female,,,,.,,,
2013,(c) Sexual violence,Female,,,,.,,,
2014,(c) Sexual violence,Female,,,,.,,,
2015,(c) Sexual violence,Female,,,,.,,,
2016,(c) Sexual violence,Female,,,,.,,,
2017,(c) Sexual violence,Female,,,,.,,,
2018,(c) Sexual violence,Female,,,,.,,,
2019,(c) Sexual violence,Female,,,,.,,,
2020,(c) Sexual violence,Female,,,,,,,2.1
2021,(c) Sexual violence,Female,,,,…,,,
2022,(c) Sexual violence,Female,,,,…,,,
2023,(c) Sexual violence,Female,,,,…,,,
2024,(c) Sexual violence,Female,,,,…,,,
2010,(c) Sexual violence,Male,,,,.,,,
2011,(c) Sexual violence,Male,,,,.,,,
2012,(c) Sexual violence,Male,,,,.,,,
2013,(c) Sexual violence,Male,,,,.,,,
2014,(c) Sexual violence,Male,,,,.,,,
2015,(c) Sexual violence,Male,,,,.,,,
2016,(c) Sexual violence,Male,,,,.,,,
2017,(c) Sexual violence,Male,,,,.,,,
2018,(c) Sexual violence,Male,,,,.,,,
2019,(c) Sexual violence,Male,,,,.,,,
2020,(c) Sexual violence,Male,,,,,,,12.6
2021,(c) Sexual violence,Male,,,,…,,,
2022,(c) Sexual violence,Male,,,,…,,,
2023,(c) Sexual violence,Male,,,,…,,,
2024,(c) Sexual violence,Male,,,,…,,,
2010,(c) Sexual violence,,16 to under 25 years,,,.,,,
2011,(c) Sexual violence,,16 to under 25 years,,,.,,,
2012,(c) Sexual violence,,16 to under 25 years,,,.,,,
2013,(c) Sexual violence,,16 to under 25 years,,,.,,,
2014,(c) Sexual violence,,16 to under 25 years,,,.,,,
2015,(c) Sexual violence,,16 to under 25 years,,,.,,,
2016,(c) Sexual violence,,16 to under 25 years,,,.,,,
2017,(c) Sexual violence,,16 to under 25 years,,,.,,,
2018,(c) Sexual violence,,16 to under 25 years,,,.,,,
2019,(c) Sexual violence,,16 to under 25 years,,,.,,,
2020,(c) Sexual violence,,16 to under 25 years,,,,,,1.8
2021,(c) Sexual violence,,16 to under 25 years,,,…,,,
2022,(c) Sexual violence,,16 to under 25 years,,,…,,,
2023,(c) Sexual violence,,16 to under 25 years,,,…,,,
2024,(c) Sexual violence,,16 to under 25 years,,,…,,,
2010,(c) Sexual violence,,25 to under 35 years,,,.,,,
2011,(c) Sexual violence,,25 to under 35 years,,,.,,,
2012,(c) Sexual violence,,25 to under 35 years,,,.,,,
2013,(c) Sexual violence,,25 to under 35 years,,,.,,,
2014,(c) Sexual violence,,25 to under 35 years,,,.,,,
2015,(c) Sexual violence,,25 to under 35 years,,,.,,,
2016,(c) Sexual violence,,25 to under 35 years,,,.,,,
2017,(c) Sexual violence,,25 to under 35 years,,,.,,,
2018,(c) Sexual violence,,25 to under 35 years,,,.,,,
2019,(c) Sexual violence,,25 to under 35 years,,,.,,,
2020,(c) Sexual violence,,25 to under 35 years,,,,,,1.4
2021,(c) Sexual violence,,25 to under 35 years,,,…,,,
2022,(c) Sexual violence,,25 to under 35 years,,,…,,,
2023,(c) Sexual violence,,25 to under 35 years,,,…,,,
2024,(c) Sexual violence,,25 to under 35 years,,,…,,,
2010,(c) Sexual violence,,35 to under 45 years,,,.,,,
2011,(c) Sexual violence,,35 to under 45 years,,,.,,,
2012,(c) Sexual violence,,35 to under 45 years,,,.,,,
2013,(c) Sexual violence,,35 to under 45 years,,,.,,,
2014,(c) Sexual violence,,35 to under 45 years,,,.,,,
2015,(c) Sexual violence,,35 to under 45 years,,,.,,,
2016,(c) Sexual violence,,35 to under 45 years,,,.,,,
2017,(c) Sexual violence,,35 to under 45 years,,,.,,,
2018,(c) Sexual violence,,35 to under 45 years,,,.,,,
2019,(c) Sexual violence,,35 to under 45 years,,,.,,,
2020,(c) Sexual violence,,35 to under 45 years,,,,,,5.6
2021,(c) Sexual violence,,35 to under 45 years,,,…,,,
2022,(c) Sexual violence,,35 to under 45 years,,,…,,,
2023,(c) Sexual violence,,35 to under 45 years,,,…,,,
2024,(c) Sexual violence,,35 to under 45 years,,,…,,,
2010,(c) Sexual violence,,45 to under 55 years,,,.,,,
2011,(c) Sexual violence,,45 to under 55 years,,,.,,,
2012,(c) Sexual violence,,45 to under 55 years,,,.,,,
2013,(c) Sexual violence,,45 to under 55 years,,,.,,,
2014,(c) Sexual violence,,45 to under 55 years,,,.,,,
2015,(c) Sexual violence,,45 to under 55 years,,,.,,,
2016,(c) Sexual violence,,45 to under 55 years,,,.,,,
2017,(c) Sexual violence,,45 to under 55 years,,,.,,,
2018,(c) Sexual violence,,45 to under 55 years,,,.,,,
2019,(c) Sexual violence,,45 to under 55 years,,,.,,,
2020,(c) Sexual violence,,45 to under 55 years,,,,,,1.9
2021,(c) Sexual violence,,45 to under 55 years,,,…,,,
2022,(c) Sexual violence,,45 to under 55 years,,,…,,,
2023,(c) Sexual violence,,45 to under 55 years,,,…,,,
2024,(c) Sexual violence,,45 to under 55 years,,,…,,,
2010,(c) Sexual violence,,55 to under 65 years,,,.,,,
2011,(c) Sexual violence,,55 to under 65 years,,,.,,,
2012,(c) Sexual violence,,55 to under 65 years,,,.,,,
2013,(c) Sexual violence,,55 to under 65 years,,,.,,,
2014,(c) Sexual violence,,55 to under 65 years,,,.,,,
2015,(c) Sexual violence,,55 to under 65 years,,,.,,,
2016,(c) Sexual violence,,55 to under 65 years,,,.,,,
2017,(c) Sexual violence,,55 to under 65 years,,,.,,,
2018,(c) Sexual violence,,55 to under 65 years,,,.,,,
2019,(c) Sexual violence,,55 to under 65 years,,,.,,,
