Year,type of violence,sex,age group,type of physical violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,(a) physical violence,,35 to under 45 years,,,…,,,
2010,(a) physical violence,,45 to under 55 years,,,.,,,
2011,(a) physical violence,,45 to under 55 years,,,.,,,
2012,(a) physical violence,,45 to under 55 years,,,.,,,
2013,(a) physical violence,,45 to under 55 years,,,.,,,
2014,(a) physical violence,,45 to under 55 years,,,.,,,
2015,(a) physical violence,,45 to under 55 years,,,.,,,
2016,(a) physical violence,,45 to under 55 years,,,.,,,
2017,(a) physical violence,,45 to under 55 years,,,.,,,
2018,(a) physical violence,,45 to under 55 years,,,.,,,
2019,(a) physical violence,,45 to under 55 years,,,.,,,
2020,(a) physical violence,,45 to under 55 years,,,,,,37.6
2021,(a) physical violence,,45 to under 55 years,,,…,,,
2022,(a) physical violence,,45 to under 55 years,,,…,,,
2023,(a) physical violence,,45 to under 55 years,,,…,,,
2024,(a) physical violence,,45 to under 55 years,,,…,,,
2010,(a) physical violence,,55 to under 65 years,,,.,,,
2011,(a) physical violence,,55 to under 65 years,,,.,,,
2012,(a) physical violence,,55 to under 65 years,,,.,,,
2013,(a) physical violence,,55 to under 65 years,,,.,,,
2014,(a) physical violence,,55 to under 65 years,,,.,,,
2015,(a) physical violence,,55 to under 65 years,,,.,,,
2016,(a) physical violence,,55 to under 65 years,,,.,,,
2017,(a) physical violence,,55 to under 65 years,,,.,,,
2018,(a) physical violence,,55 to under 65 years,,,.,,,
2019,(a) physical violence,,55 to under 65 years,,,.,,,
2020,(a) physical violence,,55 to under 65 years,,,,,,32.2
2021,(a) physical violence,,55 to under 65 years,,,…,,,
2022,(a) physical violence,,55 to under 65 years,,,…,,,
2023,(a) physical violence,,55 to under 65 years,,,…,,,
2024,(a) physical violence,,55 to under 65 years,,,…,,,
2010,(a) physical violence,,65 to under 75 years,,,.,,,
2011,(a) physical violence,,65 to under 75 years,,,.,,,
2012,(a) physical violence,,65 to under 75 years,,,.,,,
2013,(a) physical violence,,65 to under 75 years,,,.,,,
2014,(a) physical violence,,65 to under 75 years,,,.,,,
2015,(a) physical violence,,65 to under 75 years,,,.,,,
2016,(a) physical violence,,65 to under 75 years,,,.,,,
2017,(a) physical violence,,65 to under 75 years,,,.,,,
2018,(a) physical violence,,65 to under 75 years,,,.,,,
2019,(a) physical violence,,65 to under 75 years,,,.,,,
2020,(a) physical violence,,65 to under 75 years,,,,,,81.8
2021,(a) physical violence,,65 to under 75 years,,,…,,,
2022,(a) physical violence,,65 to under 75 years,,,…,,,
2023,(a) physical violence,,65 to under 75 years,,,…,,,
2024,(a) physical violence,,65 to under 75 years,,,…,,,
2010,(a) physical violence,,75 years and older,,,.,,,
2011,(a) physical violence,,75 years and older,,,.,,,
2012,(a) physical violence,,75 years and older,,,.,,,
2013,(a) physical violence,,75 years and older,,,.,,,
2014,(a) physical violence,,75 years and older,,,.,,,
2015,(a) physical violence,,75 years and older,,,.,,,
2016,(a) physical violence,,75 years and older,,,.,,,
2017,(a) physical violence,,75 years and older,,,.,,,
2018,(a) physical violence,,75 years and older,,,.,,,
2019,(a) physical violence,,75 years and older,,,.,,,
2020,(a) physical violence,,75 years and older,,,,,,52.7
2021,(a) physical violence,,75 years and older,,,…,,,
2022,(a) physical violence,,75 years and older,,,…,,,
2023,(a) physical violence,,75 years and older,,,…,,,
2024,(a) physical violence,,75 years and older,,,…,,,
2010,(a) physical violence,,,physical assault,,.,,,
2011,(a) physical violence,,,physical assault,,.,,,
2012,(a) physical violence,,,physical assault,,,,,32.9
2013,(a) physical violence,,,physical assault,,.,,,
2014,(a) physical violence,,,physical assault,,.,,,
2015,(a) physical violence,,,physical assault,,.,,,
2016,(a) physical violence,,,physical assault,,.,,,
2017,(a) physical violence,,,physical assault,,,,,36.6
2018,(a) physical violence,,,physical assault,,.,,,
2019,(a) physical violence,,,physical assault,,.,,,
2020,(a) physical violence,,,physical assault,,|,,,33.5
2021,(a) physical violence,,,physical assault,,.,,,
2022,(a) physical violence,,,physical assault,,.,,,
2023,(a) physical violence,,,physical assault,,.,,,
2024,(a) physical violence,,,physical assault,,,,,29.1
2010,(a) physical violence,female,,physical assault,,.,,,
2011,(a) physical violence,female,,physical assault,,.,,,
2012,(a) physical violence,female,,physical assault,,,,,34.1
2013,(a) physical violence,female,,physical assault,,.,,,
2014,(a) physical violence,female,,physical assault,,.,,,
2015,(a) physical violence,female,,physical assault,,.,,,
2016,(a) physical violence,female,,physical assault,,.,,,
2017,(a) physical violence,female,,physical assault,,,,,40.0
2018,(a) physical violence,female,,physical assault,,.,,,
2019,(a) physical violence,female,,physical assault,,.,,,
2020,(a) physical violence,female,,physical assault,,|,,,21.3
2021,(a) physical violence,female,,physical assault,,.,,,
2022,(a) physical violence,female,,physical assault,,.,,,
2023,(a) physical violence,female,,physical assault,,.,,,
2024,(a) physical violence,female,,physical assault,,…,,,38.9
2010,(a) physical violence,male,,physical assault,,.,,,
2011,(a) physical violence,male,,physical assault,,.,,,
2012,(a) physical violence,male,,physical assault,,,,,32.3
2013,(a) physical violence,male,,physical assault,,.,,,
2014,(a) physical violence,male,,physical assault,,.,,,
2015,(a) physical violence,male,,physical assault,,.,,,
2016,(a) physical violence,male,,physical assault,,.,,,
2017,(a) physical violence,male,,physical assault,,,,,34.6
2018,(a) physical violence,male,,physical assault,,.,,,
2019,(a) physical violence,male,,physical assault,,.,,,
2020,(a) physical violence,male,,physical assault,,|,,,40.3
2021,(a) physical violence,male,,physical assault,,.,,,
2022,(a) physical violence,male,,physical assault,,.,,,
2023,(a) physical violence,male,,physical assault,,.,,,
2024,(a) physical violence,male,,physical assault,,,,,31.5
2010,(a) physical violence,,,robbery,,.,,,
2011,(a) physical violence,,,robbery,,.,,,
2012,(a) physical violence,,,robbery,,,,,33.6
2013,(a) physical violence,,,robbery,,.,,,
2014,(a) physical violence,,,robbery,,.,,,
2015,(a) physical violence,,,robbery,,.,,,
2016,(a) physical violence,,,robbery,,.,,,
2017,(a) physical violence,,,robbery,,,,,32.0
2018,(a) physical violence,,,robbery,,.,,,
2019,(a) physical violence,,,robbery,,.,,,
2020,(a) physical violence,,,robbery,,|,,,24.0
2021,(a) physical violence,,,robbery,,.,,,
2022,(a) physical violence,,,robbery,,.,,,
2023,(a) physical violence,,,robbery,,.,,,
2024,(a) physical violence,,,robbery,,,,,40.3
2010,(a) physical violence,female,,robbery,,.,,,
2011,(a) physical violence,female,,robbery,,.,,,
2012,(a) physical violence,female,,robbery,,,,,42.8
2013,(a) physical violence,female,,robbery,,.,,,
2014,(a) physical violence,female,,robbery,,.,,,
2015,(a) physical violence,female,,robbery,,.,,,
2016,(a) physical violence,female,,robbery,,.,,,
2017,(a) physical violence,female,,robbery,,,,,38.8
2018,(a) physical violence,female,,robbery,,.,,,
2019,(a) physical violence,female,,robbery,,.,,,
2020,(a) physical violence,female,,robbery,,|,,,13.1
2021,(a) physical violence,female,,robbery,,.,,,
2022,(a) physical violence,female,,robbery,,.,,,
2023,(a) physical violence,female,,robbery,,.,,,
2024,(a) physical violence,female,,robbery,,,,,26.4
2010,(a) physical violence,male,,robbery,,.,,,
2011,(a) physical violence,male,,robbery,,.,,,
2012,(a) physical violence,male,,robbery,,,,,28.3
2013,(a) physical violence,male,,robbery,,.,,,
2014,(a) physical violence,male,,robbery,,.,,,
2015,(a) physical violence,male,,robbery,,.,,,
2016,(a) physical violence,male,,robbery,,.,,,
2017,(a) physical violence,male,,robbery,,,,,27.3
2018,(a) physical violence,male,,robbery,,.,,,
2019,(a) physical violence,male,,robbery,,.,,,
2020,(a) physical violence,male,,robbery,,|,,,37.2
2021,(a) physical violence,male,,robbery,,.,,,
2022,(a) physical violence,male,,robbery,,.,,,
2023,(a) physical violence,male,,robbery,,.,,,
2024,(a) physical violence,male,,robbery,,,,,51.3
2010,(b) psychological violence,,,,,.,,,
2011,(b) psychological violence,,,,,.,,,
2012,(b) psychological violence,,,,,.,,,
2013,(b) psychological violence,,,,,.,,,
2014,(b) psychological violence,,,,,.,,,
2015,(b) psychological violence,,,,,.,,,
2016,(b) psychological violence,,,,,.,,,
2017,(b) psychological violence,,,,,.,,,
2018,(b) psychological violence,,,,,.,,,
2019,(b) psychological violence,,,,,.,,,
2020,(b) psychological violence,,,,,,,,3.6
2021,(b) psychological violence,,,,,…,,,
2022,(b) psychological violence,,,,,…,,,
2023,(b) psychological violence,,,,,…,,,
2024,(b) psychological violence,,,,,…,,,
2010,(b) psychological violence,female,,,,.,,,
2011,(b) psychological violence,female,,,,.,,,
2012,(b) psychological violence,female,,,,.,,,
2013,(b) psychological violence,female,,,,.,,,
2014,(b) psychological violence,female,,,,.,,,
2015,(b) psychological violence,female,,,,.,,,
2016,(b) psychological violence,female,,,,.,,,
2017,(b) psychological violence,female,,,,.,,,
2018,(b) psychological violence,female,,,,.,,,
2019,(b) psychological violence,female,,,,.,,,
2020,(b) psychological violence,female,,,,,,,5.2
2021,(b) psychological violence,female,,,,…,,,
2022,(b) psychological violence,female,,,,…,,,
2023,(b) psychological violence,female,,,,…,,,
2024,(b) psychological violence,female,,,,…,,,
2010,(b) psychological violence,male,,,,.,,,
2011,(b) psychological violence,male,,,,.,,,
2012,(b) psychological violence,male,,,,.,,,
2013,(b) psychological violence,male,,,,.,,,
2014,(b) psychological violence,male,,,,.,,,
2015,(b) psychological violence,male,,,,.,,,
2016,(b) psychological violence,male,,,,.,,,
2017,(b) psychological violence,male,,,,.,,,
2018,(b) psychological violence,male,,,,.,,,
2019,(b) psychological violence,male,,,,.,,,
2020,(b) psychological violence,male,,,,,,,2.8
2021,(b) psychological violence,male,,,,…,,,
2022,(b) psychological violence,male,,,,…,,,
2023,(b) psychological violence,male,,,,…,,,
2024,(b) psychological violence,male,,,,…,,,
2010,(b) psychological violence,,16 to under 25 years,,,.,,,
2011,(b) psychological violence,,16 to under 25 years,,,.,,,
2012,(b) psychological violence,,16 to under 25 years,,,.,,,
2013,(b) psychological violence,,16 to under 25 years,,,.,,,
2014,(b) psychological violence,,16 to under 25 years,,,.,,,
2015,(b) psychological violence,,16 to under 25 years,,,.,,,
2016,(b) psychological violence,,16 to under 25 years,,,.,,,
2017,(b) psychological violence,,16 to under 25 years,,,.,,,
2018,(b) psychological violence,,16 to under 25 years,,,.,,,
2019,(b) psychological violence,,16 to under 25 years,,,.,,,
2020,(b) psychological violence,,16 to under 25 years,,,,,,1.9
2021,(b) psychological violence,,16 to under 25 years,,,…,,,
2022,(b) psychological violence,,16 to under 25 years,,,…,,,
2023,(b) psychological violence,,16 to under 25 years,,,…,,,
2024,(b) psychological violence,,16 to under 25 years,,,…,,,
2010,(b) psychological violence,,25 to under 35 years,,,.,,,
2011,(b) psychological violence,,25 to under 35 years,,,.,,,
2012,(b) psychological violence,,25 to under 35 years,,,.,,,
2013,(b) psychological violence,,25 to under 35 years,,,.,,,
2014,(b) psychological violence,,25 to under 35 years,,,.,,,
2015,(b) psychological violence,,25 to under 35 years,,,.,,,
2016,(b) psychological violence,,25 to under 35 years,,,.,,,
2017,(b) psychological violence,,25 to under 35 years,,,.,,,
2018,(b) psychological violence,,25 to under 35 years,,,.,,,
2019,(b) psychological violence,,25 to under 35 years,,,.,,,
2020,(b) psychological violence,,25 to under 35 years,,,,,,3.6
2021,(b) psychological violence,,25 to under 35 years,,,…,,,
2022,(b) psychological violence,,25 to under 35 years,,,…,,,
2023,(b) psychological violence,,25 to under 35 years,,,…,,,
2024,(b) psychological violence,,25 to under 35 years,,,…,,,
2010,(b) psychological violence,,35 to under 45 years,,,.,,,
2011,(b) psychological violence,,35 to under 45 years,,,.,,,
2012,(b) psychological violence,,35 to under 45 years,,,.,,,
2013,(b) psychological violence,,35 to under 45 years,,,.,,,
2014,(b) psychological violence,,35 to under 45 years,,,.,,,
2015,(b) psychological violence,,35 to under 45 years,,,.,,,
2016,(b) psychological violence,,35 to under 45 years,,,.,,,
2017,(b) psychological violence,,35 to under 45 years,,,.,,,
2018,(b) psychological violence,,35 to under 45 years,,,.,,,
2019,(b) psychological violence,,35 to under 45 years,,,.,,,
2020,(b) psychological violence,,35 to under 45 years,,,,,,1.3
2021,(b) psychological violence,,35 to under 45 years,,,…,,,
2022,(b) psychological violence,,35 to under 45 years,,,…,,,
2023,(b) psychological violence,,35 to under 45 years,,,…,,,
2024,(b) psychological violence,,35 to under 45 years,,,…,,,
2010,(b) psychological violence,,45 to under 55 years,,,.,,,
2011,(b) psychological violence,,45 to under 55 years,,,.,,,
2012,(b) psychological violence,,45 to under 55 years,,,.,,,
2013,(b) psychological violence,,45 to under 55 years,,,.,,,
2014,(b) psychological violence,,45 to under 55 years,,,.,,,
2015,(b) psychological violence,,45 to under 55 years,,,.,,,
2016,(b) psychological violence,,45 to under 55 years,,,.,,,
2017,(b) psychological violence,,45 to under 55 years,,,.,,,
2018,(b) psychological violence,,45 to under 55 years,,,.,,,
2019,(b) psychological violence,,45 to under 55 years,,,.,,,
2020,(b) psychological violence,,45 to under 55 years,,,,,,5.6
2021,(b) psychological violence,,45 to under 55 years,,,…,,,
2022,(b) psychological violence,,45 to under 55 years,,,…,,,
2023,(b) psychological violence,,45 to under 55 years,,,…,,,
2024,(b) psychological violence,,45 to under 55 years,,,…,,,
2010,(b) psychological violence,,55 to under 65 years,,,.,,,
2011,(b) psychological violence,,55 to under 65 years,,,.,,,
2012,(b) psychological violence,,55 to under 65 years,,,.,,,
2013,(b) psychological violence,,55 to under 65 years,,,.,,,
2014,(b) psychological violence,,55 to under 65 years,,,.,,,
2015,(b) psychological violence,,55 to under 65 years,,,.,,,
2016,(b) psychological violence,,55 to under 65 years,,,.,,,
2017,(b) psychological violence,,55 to under 65 years,,,.,,,
2018,(b) psychological violence,,55 to under 65 years,,,.,,,
2019,(b) psychological violence,,55 to under 65 years,,,.,,,
2020,(b) psychological violence,,55 to under 65 years,,,,,,4.6
2021,(b) psychological violence,,55 to under 65 years,,,…,,,
2022,(b) psychological violence,,55 to under 65 years,,,…,,,
2023,(b) psychological violence,,55 to under 65 years,,,…,,,
2024,(b) psychological violence,,55 to under 65 years,,,…,,,
2010,(b) psychological violence,,65 to under 75 years,,,.,,,
2011,(b) psychological violence,,65 to under 75 years,,,.,,,
2012,(b) psychological violence,,65 to under 75 years,,,.,,,
2013,(b) psychological violence,,65 to under 75 years,,,.,,,
2014,(b) psychological violence,,65 to under 75 years,,,.,,,
2015,(b) psychological violence,,65 to under 75 years,,,.,,,
2016,(b) psychological violence,,65 to under 75 years,,,.,,,
2017,(b) psychological violence,,65 to under 75 years,,,.,,,
2018,(b) psychological violence,,65 to under 75 years,,,.,,,
2019,(b) psychological violence,,65 to under 75 years,,,.,,,
2020,(b) psychological violence,,65 to under 75 years,,,,,,26.0
2021,(b) psychological violence,,65 to under 75 years,,,…,,,
2022,(b) psychological violence,,65 to under 75 years,,,…,,,
2023,(b) psychological violence,,65 to under 75 years,,,…,,,
2024,(b) psychological violence,,65 to under 75 years,,,…,,,
2010,(b) psychological violence,,75 years and older,,,.,,,
2011,(b) psychological violence,,75 years and older,,,.,,,
2012,(b) psychological violence,,75 years and older,,,.,,,
2013,(b) psychological violence,,75 years and older,,,.,,,
2014,(b) psychological violence,,75 years and older,,,.,,,
2015,(b) psychological violence,,75 years and older,,,.,,,
2016,(b) psychological violence,,75 years and older,,,.,,,
2017,(b) psychological violence,,75 years and older,,,.,,,
2018,(b) psychological violence,,75 years and older,,,.,,,
2019,(b) psychological violence,,75 years and older,,,.,,,
2020,(b) psychological violence,,75 years and older,,,,,,59.0
2021,(b) psychological violence,,75 years and older,,,…,,,
2022,(b) psychological violence,,75 years and older,,,…,,,
2023,(b) psychological violence,,75 years and older,,,…,,,
2024,(b) psychological violence,,75 years and older,,,…,,,
2010,(c) sexual violence,,,,,.,,,
2011,(c) sexual violence,,,,,.,,,
2012,(c) sexual violence,,,,,.,,,
2013,(c) sexual violence,,,,,.,,,
2014,(c) sexual violence,,,,,.,,,
2015,(c) sexual violence,,,,,.,,,
2016,(c) sexual violence,,,,,.,,,
2017,(c) sexual violence,,,,,.,,,
2018,(c) sexual violence,,,,,.,,,
2019,(c) sexual violence,,,,,.,,,
2020,(c) sexual violence,,,,,,,,2.4
2021,(c) sexual violence,,,,,…,,,
2022,(c) sexual violence,,,,,…,,,
2023,(c) sexual violence,,,,,…,,,
2024,(c) sexual violence,,,,,…,,,
2010,(c) sexual violence,female,,,,.,,,
2011,(c) sexual violence,female,,,,.,,,
2012,(c) sexual violence,female,,,,.,,,
2013,(c) sexual violence,female,,,,.,,,
2014,(c) sexual violence,female,,,,.,,,
2015,(c) sexual violence,female,,,,.,,,
2016,(c) sexual violence,female,,,,.,,,
2017,(c) sexual violence,female,,,,.,,,
2018,(c) sexual violence,female,,,,.,,,
2019,(c) sexual violence,female,,,,.,,,
2020,(c) sexual violence,female,,,,,,,2.1
2021,(c) sexual violence,female,,,,…,,,
2022,(c) sexual violence,female,,,,…,,,
2023,(c) sexual violence,female,,,,…,,,
2024,(c) sexual violence,female,,,,…,,,
2010,(c) sexual violence,male,,,,.,,,
2011,(c) sexual violence,male,,,,.,,,
2012,(c) sexual violence,male,,,,.,,,
2013,(c) sexual violence,male,,,,.,,,
2014,(c) sexual violence,male,,,,.,,,
2015,(c) sexual violence,male,,,,.,,,
2016,(c) sexual violence,male,,,,.,,,
2017,(c) sexual violence,male,,,,.,,,
2018,(c) sexual violence,male,,,,.,,,
2019,(c) sexual violence,male,,,,.,,,
2020,(c) sexual violence,male,,,,,,,12.6
2021,(c) sexual violence,male,,,,…,,,
2022,(c) sexual violence,male,,,,…,,,
2023,(c) sexual violence,male,,,,…,,,
2024,(c) sexual violence,male,,,,…,,,
2010,(c) sexual violence,,16 to under 25 years,,,.,,,
2011,(c) sexual violence,,16 to under 25 years,,,.,,,
2012,(c) sexual violence,,16 to under 25 years,,,.,,,
2013,(c) sexual violence,,16 to under 25 years,,,.,,,
2014,(c) sexual violence,,16 to under 25 years,,,.,,,
2015,(c) sexual violence,,16 to under 25 years,,,.,,,
2016,(c) sexual violence,,16 to under 25 years,,,.,,,
2017,(c) sexual violence,,16 to under 25 years,,,.,,,
2018,(c) sexual violence,,16 to under 25 years,,,.,,,
2019,(c) sexual violence,,16 to under 25 years,,,.,,,
2020,(c) sexual violence,,16 to under 25 years,,,,,,1.8
2021,(c) sexual violence,,16 to under 25 years,,,…,,,
2022,(c) sexual violence,,16 to under 25 years,,,…,,,
2023,(c) sexual violence,,16 to under 25 years,,,…,,,
2024,(c) sexual violence,,16 to under 25 years,,,…,,,
2010,(c) sexual violence,,25 to under 35 years,,,.,,,
2011,(c) sexual violence,,25 to under 35 years,,,.,,,
2012,(c) sexual violence,,25 to under 35 years,,,.,,,
2013,(c) sexual violence,,25 to under 35 years,,,.,,,
2014,(c) sexual violence,,25 to under 35 years,,,.,,,
2015,(c) sexual violence,,25 to under 35 years,,,.,,,
2016,(c) sexual violence,,25 to under 35 years,,,.,,,
2017,(c) sexual violence,,25 to under 35 years,,,.,,,
2018,(c) sexual violence,,25 to under 35 years,,,.,,,
2019,(c) sexual violence,,25 to under 35 years,,,.,,,
2020,(c) sexual violence,,25 to under 35 years,,,,,,1.4
2021,(c) sexual violence,,25 to under 35 years,,,…,,,
2022,(c) sexual violence,,25 to under 35 years,,,…,,,
2023,(c) sexual violence,,25 to under 35 years,,,…,,,
2024,(c) sexual violence,,25 to under 35 years,,,…,,,
2010,(c) sexual violence,,35 to under 45 years,,,.,,,
2011,(c) sexual violence,,35 to under 45 years,,,.,,,
2012,(c) sexual violence,,35 to under 45 years,,,.,,,
2013,(c) sexual violence,,35 to under 45 years,,,.,,,
2014,(c) sexual violence,,35 to under 45 years,,,.,,,
2015,(c) sexual violence,,35 to under 45 years,,,.,,,
2016,(c) sexual violence,,35 to under 45 years,,,.,,,
2017,(c) sexual violence,,35 to under 45 years,,,.,,,
2018,(c) sexual violence,,35 to under 45 years,,,.,,,
2019,(c) sexual violence,,35 to under 45 years,,,.,,,
2020,(c) sexual violence,,35 to under 45 years,,,,,,5.6
2021,(c) sexual violence,,35 to under 45 years,,,…,,,
2022,(c) sexual violence,,35 to under 45 years,,,…,,,
2023,(c) sexual violence,,35 to under 45 years,,,…,,,
2024,(c) sexual violence,,35 to under 45 years,,,…,,,
2010,(c) sexual violence,,45 to under 55 years,,,.,,,
2011,(c) sexual violence,,45 to under 55 years,,,.,,,
2012,(c) sexual violence,,45 to under 55 years,,,.,,,
2013,(c) sexual violence,,45 to under 55 years,,,.,,,
2014,(c) sexual violence,,45 to under 55 years,,,.,,,
2015,(c) sexual violence,,45 to under 55 years,,,.,,,
2016,(c) sexual violence,,45 to under 55 years,,,.,,,
2017,(c) sexual violence,,45 to under 55 years,,,.,,,
2018,(c) sexual violence,,45 to under 55 years,,,.,,,
2019,(c) sexual violence,,45 to under 55 years,,,.,,,
2020,(c) sexual violence,,45 to under 55 years,,,,,,1.9
2021,(c) sexual violence,,45 to under 55 years,,,…,,,
2022,(c) sexual violence,,45 to under 55 years,,,…,,,
2023,(c) sexual violence,,45 to under 55 years,,,…,,,
2024,(c) sexual violence,,45 to under 55 years,,,…,,,
2010,(c) sexual violence,,55 to under 65 years,,,.,,,
2011,(c) sexual violence,,55 to under 65 years,,,.,,,
2012,(c) sexual violence,,55 to under 65 years,,,.,,,
2013,(c) sexual violence,,55 to under 65 years,,,.,,,
2014,(c) sexual violence,,55 to under 65 years,,,.,,,
2015,(c) sexual violence,,55 to under 65 years,,,.,,,
2016,(c) sexual violence,,55 to under 65 years,,,.,,,
2017,(c) sexual violence,,55 to under 65 years,,,.,,,
2018,(c) sexual violence,,55 to under 65 years,,,.,,,
2019,(c) sexual violence,,55 to under 65 years,,,.,,,
2020,(c) sexual violence,,55 to under 65 years,,,,,,0.6
2021,(c) sexual violence,,55 to under 65 years,,,…,,,
2022,(c) sexual violence,,55 to under 65 years,,,…,,,
2023,(c) sexual violence,,55 to under 65 years,,,…,,,
2024,(c) sexual violence,,55 to under 65 years,,,…,,,
2010,(c) sexual violence,,65 to under 75 years,,,.,,,
2011,(c) sexual violence,,65 to under 75 years,,,.,,,
2012,(c) sexual violence,,65 to under 75 years,,,.,,,
2013,(c) sexual violence,,65 to under 75 years,,,.,,,
2014,(c) sexual violence,,65 to under 75 years,,,.,,,
2015,(c) sexual violence,,65 to under 75 years,,,.,,,
2016,(c) sexual violence,,65 to under 75 years,,,.,,,
2017,(c) sexual violence,,65 to under 75 years,,,.,,,
2018,(c) sexual violence,,65 to under 75 years,,,.,,,
2019,(c) sexual violence,,65 to under 75 years,,,.,,,
2020,(c) sexual violence,,65 to under 75 years,,,.,,,
2021,(c) sexual violence,,65 to under 75 years,,,…,,,
2022,(c) sexual violence,,65 to under 75 years,,,…,,,
2023,(c) sexual violence,,65 to under 75 years,,,…,,,
2024,(c) sexual violence,,65 to under 75 years,,,…,,,
2010,(c) sexual violence,,75 years and older,,,.,,,
2011,(c) sexual violence,,75 years and older,,,.,,,
2012,(c) sexual violence,,75 years and older,,,.,,,
2013,(c) sexual violence,,75 years and older,,,.,,,
2014,(c) sexual violence,,75 years and older,,,.,,,
2015,(c) sexual violence,,75 years and older,,,.,,,
2016,(c) sexual violence,,75 years and older,,,.,,,
