Year,Type of violence,Sex,Age group,Type of physical violence,Type of psychological violence,Type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2016,(a) Physical violence,,35 to under 45 years,,,,.,,,
2017,(a) Physical violence,,35 to under 45 years,,,,.,,,
2018,(a) Physical violence,,35 to under 45 years,,,,.,,,
2019,(a) Physical violence,,35 to under 45 years,,,,.,,,
2020,(a) Physical violence,,35 to under 45 years,,,,|,r,,2.2
2021,(a) Physical violence,,35 to under 45 years,,,,…,,,
2022,(a) Physical violence,,35 to under 45 years,,,,…,,,
2023,(a) Physical violence,,35 to under 45 years,,,,…,,,
2024,(a) Physical violence,,35 to under 45 years,,,,…,,,
2010,(a) Physical violence,,45 to under 55 years,,,,.,,,
2011,(a) Physical violence,,45 to under 55 years,,,,.,,,
2012,(a) Physical violence,,45 to under 55 years,,,,r,,,
2013,(a) Physical violence,,45 to under 55 years,,,,.,,,
2014,(a) Physical violence,,45 to under 55 years,,,,.,,,
2015,(a) Physical violence,,45 to under 55 years,,,,.,,,
2016,(a) Physical violence,,45 to under 55 years,,,,.,,,
2017,(a) Physical violence,,45 to under 55 years,,,,,,,
2018,(a) Physical violence,,45 to under 55 years,,,,.,,,
2019,(a) Physical violence,,45 to under 55 years,,,,.,,,
2020,(a) Physical violence,,45 to under 55 years,,,,|,r,,1.5
2021,(a) Physical violence,,45 to under 55 years,,,,…,,,
2022,(a) Physical violence,,45 to under 55 years,,,,…,,,
2023,(a) Physical violence,,45 to under 55 years,,,,…,,,
2024,(a) Physical violence,,45 to under 55 years,,,,…,,,
2010,(a) Physical violence,,55 to under 65 years,,,,.,,,
2011,(a) Physical violence,,55 to under 65 years,,,,.,,,
2012,(a) Physical violence,,55 to under 65 years,,,,r,,,
2013,(a) Physical violence,,55 to under 65 years,,,,.,,,
2014,(a) Physical violence,,55 to under 65 years,,,,.,,,
2015,(a) Physical violence,,55 to under 65 years,,,,.,,,
2016,(a) Physical violence,,55 to under 65 years,,,,.,,,
2017,(a) Physical violence,,55 to under 65 years,,,,r,,,
2018,(a) Physical violence,,55 to under 65 years,,,,.,,,
2019,(a) Physical violence,,55 to under 65 years,,,,.,,,
2020,(a) Physical violence,,55 to under 65 years,,,,|,r,,1.3
2021,(a) Physical violence,,55 to under 65 years,,,,…,,,
2022,(a) Physical violence,,55 to under 65 years,,,,…,,,
2023,(a) Physical violence,,55 to under 65 years,,,,…,,,
2024,(a) Physical violence,,55 to under 65 years,,,,…,,,
2010,(a) Physical violence,,65 to under 75 years,,,,.,,,
2011,(a) Physical violence,,65 to under 75 years,,,,.,,,
2012,(a) Physical violence,,65 to under 75 years,,,,.,,,
2013,(a) Physical violence,,65 to under 75 years,,,,.,,,
2014,(a) Physical violence,,65 to under 75 years,,,,.,,,
2015,(a) Physical violence,,65 to under 75 years,,,,.,,,
2016,(a) Physical violence,,65 to under 75 years,,,,.,,,
2017,(a) Physical violence,,65 to under 75 years,,,,r,,,
2018,(a) Physical violence,,65 to under 75 years,,,,.,,,
2019,(a) Physical violence,,65 to under 75 years,,,,.,,,
2020,(a) Physical violence,,65 to under 75 years,,,,|,r,,1.2
2021,(a) Physical violence,,65 to under 75 years,,,,…,,,
2022,(a) Physical violence,,65 to under 75 years,,,,…,,,
2023,(a) Physical violence,,65 to under 75 years,,,,…,,,
2024,(a) Physical violence,,65 to under 75 years,,,,…,,,
2010,(a) Physical violence,,75 years and older,,,,.,,,
2011,(a) Physical violence,,75 years and older,,,,.,,,
2012,(a) Physical violence,,75 years and older,,,,.,,,
2013,(a) Physical violence,,75 years and older,,,,.,,,
2014,(a) Physical violence,,75 years and older,,,,.,,,
2015,(a) Physical violence,,75 years and older,,,,.,,,
2016,(a) Physical violence,,75 years and older,,,,.,,,
2017,(a) Physical violence,,75 years and older,,,,.,,,
2018,(a) Physical violence,,75 years and older,,,,.,,,
2019,(a) Physical violence,,75 years and older,,,,.,,,
2020,(a) Physical violence,,75 years and older,,,,,,,1.0
2021,(a) Physical violence,,75 years and older,,,,…,,,
2022,(a) Physical violence,,75 years and older,,,,…,,,
2023,(a) Physical violence,,75 years and older,,,,…,,,
2024,(a) Physical violence,,75 years and older,,,,…,,,
2010,(a) Physical violence,,,Physical assault,,,.,,,
2011,(a) Physical violence,,,Physical assault,,,.,,,
2012,(a) Physical violence,,,Physical assault,,,,,,2.7
2013,(a) Physical violence,,,Physical assault,,,.,,,
2014,(a) Physical violence,,,Physical assault,,,.,,,
2015,(a) Physical violence,,,Physical assault,,,.,,,
2016,(a) Physical violence,,,Physical assault,,,.,,,
2017,(a) Physical violence,,,Physical assault,,,,,,3.0
2018,(a) Physical violence,,,Physical assault,,,.,,,
2019,(a) Physical violence,,,Physical assault,,,.,,,
2020,(a) Physical violence,,,Physical assault,,,|,,,2.0
2021,(a) Physical violence,,,Physical assault,,,.,,,
2022,(a) Physical violence,,,Physical assault,,,.,,,
2023,(a) Physical violence,,,Physical assault,,,.,,,
2024,(a) Physical violence,,,Physical assault,,,,,,2.6
2010,(a) Physical violence,Female,,Physical assault,,,.,,,
2011,(a) Physical violence,Female,,Physical assault,,,.,,,
2012,(a) Physical violence,Female,,Physical assault,,,,,,1.5
2013,(a) Physical violence,Female,,Physical assault,,,.,,,
2014,(a) Physical violence,Female,,Physical assault,,,.,,,
2015,(a) Physical violence,Female,,Physical assault,,,.,,,
2016,(a) Physical violence,Female,,Physical assault,,,.,,,
2017,(a) Physical violence,Female,,Physical assault,,,,,,2.0
2018,(a) Physical violence,Female,,Physical assault,,,.,,,
2019,(a) Physical violence,Female,,Physical assault,,,.,,,
2020,(a) Physical violence,Female,,Physical assault,,,|,,,1.3
2021,(a) Physical violence,Female,,Physical assault,,,.,,,
2022,(a) Physical violence,Female,,Physical assault,,,.,,,
2023,(a) Physical violence,Female,,Physical assault,,,.,,,
2024,(a) Physical violence,Female,,Physical assault,,,,,,2.0
2010,(a) Physical violence,Male,,Physical assault,,,.,,,
2011,(a) Physical violence,Male,,Physical assault,,,.,,,
2012,(a) Physical violence,Male,,Physical assault,,,,,,4.0
2013,(a) Physical violence,Male,,Physical assault,,,.,,,
2014,(a) Physical violence,Male,,Physical assault,,,.,,,
2015,(a) Physical violence,Male,,Physical assault,,,.,,,
2016,(a) Physical violence,Male,,Physical assault,,,.,,,
2017,(a) Physical violence,Male,,Physical assault,,,,,,4.0
2018,(a) Physical violence,Male,,Physical assault,,,.,,,
2019,(a) Physical violence,Male,,Physical assault,,,.,,,
2020,(a) Physical violence,Male,,Physical assault,,,|,,,2.8
2021,(a) Physical violence,Male,,Physical assault,,,.,,,
2022,(a) Physical violence,Male,,Physical assault,,,.,,,
2023,(a) Physical violence,Male,,Physical assault,,,.,,,
2024,(a) Physical violence,Male,,Physical assault,,,,,,3.1
2010,(a) Physical violence,,,Robbery,,,.,,,
2011,(a) Physical violence,,,Robbery,,,.,,,
2012,(a) Physical violence,,,Robbery,,,,,,0.7
2013,(a) Physical violence,,,Robbery,,,.,,,
2014,(a) Physical violence,,,Robbery,,,.,,,
2015,(a) Physical violence,,,Robbery,,,.,,,
2016,(a) Physical violence,,,Robbery,,,.,,,
2017,(a) Physical violence,,,Robbery,,,,,,1.0
2018,(a) Physical violence,,,Robbery,,,.,,,
2019,(a) Physical violence,,,Robbery,,,.,,,
2020,(a) Physical violence,,,Robbery,,,|,r,,0.6
2021,(a) Physical violence,,,Robbery,,,.,,,
2022,(a) Physical violence,,,Robbery,,,.,,,
2023,(a) Physical violence,,,Robbery,,,.,,,
2024,(a) Physical violence,,,Robbery,,,,,,1.0
2010,(a) Physical violence,Female,,Robbery,,,.,,,
2011,(a) Physical violence,Female,,Robbery,,,.,,,
2012,(a) Physical violence,Female,,Robbery,,,,,,0.6
2013,(a) Physical violence,Female,,Robbery,,,.,,,
2014,(a) Physical violence,Female,,Robbery,,,.,,,
2015,(a) Physical violence,Female,,Robbery,,,.,,,
2016,(a) Physical violence,Female,,Robbery,,,.,,,
2017,(a) Physical violence,Female,,Robbery,,,,,,0.8
2018,(a) Physical violence,Female,,Robbery,,,.,,,
2019,(a) Physical violence,Female,,Robbery,,,.,,,
2020,(a) Physical violence,Female,,Robbery,,,|,,,0.5
2021,(a) Physical violence,Female,,Robbery,,,.,,,
2022,(a) Physical violence,Female,,Robbery,,,.,,,
2023,(a) Physical violence,Female,,Robbery,,,.,,,
2024,(a) Physical violence,Female,,Robbery,,,,,,0.8
2010,(a) Physical violence,Male,,Robbery,,,.,,,
2011,(a) Physical violence,Male,,Robbery,,,.,,,
2012,(a) Physical violence,Male,,Robbery,,,,,,0.8
2013,(a) Physical violence,Male,,Robbery,,,.,,,
2014,(a) Physical violence,Male,,Robbery,,,.,,,
2015,(a) Physical violence,Male,,Robbery,,,.,,,
2016,(a) Physical violence,Male,,Robbery,,,.,,,
2017,(a) Physical violence,Male,,Robbery,,,,,,1.3
2018,(a) Physical violence,Male,,Robbery,,,.,,,
2019,(a) Physical violence,Male,,Robbery,,,.,,,
2020,(a) Physical violence,Male,,Robbery,,,|,,,0.7
2021,(a) Physical violence,Male,,Robbery,,,.,,,
2022,(a) Physical violence,Male,,Robbery,,,.,,,
2023,(a) Physical violence,Male,,Robbery,,,.,,,
2024,(a) Physical violence,Male,,Robbery,,,,,,1.1
2010,(b) Psychological violence,,,,,,.,,,
2011,(b) Psychological violence,,,,,,.,,,
2012,(b) Psychological violence,,,,,,.,,,
2013,(b) Psychological violence,,,,,,.,,,
2014,(b) Psychological violence,,,,,,.,,,
2015,(b) Psychological violence,,,,,,.,,,
2016,(b) Psychological violence,,,,,,.,,,
2017,(b) Psychological violence,,,,,,.,,,
2018,(b) Psychological violence,,,,,,.,,,
2019,(b) Psychological violence,,,,,,.,,,
2020,(b) Psychological violence,,,,,,,,,6.8
2021,(b) Psychological violence,,,,,,…,,,
2022,(b) Psychological violence,,,,,,…,,,
2023,(b) Psychological violence,,,,,,…,,,
2024,(b) Psychological violence,,,,,,…,,,
2010,(b) Psychological violence,Female,,,,,.,,,
2011,(b) Psychological violence,Female,,,,,.,,,
2012,(b) Psychological violence,Female,,,,,.,,,
2013,(b) Psychological violence,Female,,,,,.,,,
2014,(b) Psychological violence,Female,,,,,.,,,
2015,(b) Psychological violence,Female,,,,,.,,,
2016,(b) Psychological violence,Female,,,,,.,,,
2017,(b) Psychological violence,Female,,,,,.,,,
2018,(b) Psychological violence,Female,,,,,.,,,
2019,(b) Psychological violence,Female,,,,,.,,,
2020,(b) Psychological violence,Female,,,,,,,,6.0
2021,(b) Psychological violence,Female,,,,,…,,,
2022,(b) Psychological violence,Female,,,,,…,,,
2023,(b) Psychological violence,Female,,,,,…,,,
2024,(b) Psychological violence,Female,,,,,…,,,
2010,(b) Psychological violence,Male,,,,,.,,,
2011,(b) Psychological violence,Male,,,,,.,,,
2012,(b) Psychological violence,Male,,,,,.,,,
2013,(b) Psychological violence,Male,,,,,.,,,
2014,(b) Psychological violence,Male,,,,,.,,,
2015,(b) Psychological violence,Male,,,,,.,,,
2016,(b) Psychological violence,Male,,,,,.,,,
2017,(b) Psychological violence,Male,,,,,.,,,
2018,(b) Psychological violence,Male,,,,,.,,,
2019,(b) Psychological violence,Male,,,,,.,,,
2020,(b) Psychological violence,Male,,,,,,,,7.6
2021,(b) Psychological violence,Male,,,,,…,,,
2022,(b) Psychological violence,Male,,,,,…,,,
2023,(b) Psychological violence,Male,,,,,…,,,
2024,(b) Psychological violence,Male,,,,,…,,,
2010,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2011,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2012,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2013,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2014,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2015,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2016,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2017,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2018,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2019,(b) Psychological violence,,16 to under 25 years,,,,.,,,
2020,(b) Psychological violence,,16 to under 25 years,,,,,,,5.7
2021,(b) Psychological violence,,16 to under 25 years,,,,…,,,
2022,(b) Psychological violence,,16 to under 25 years,,,,…,,,
2023,(b) Psychological violence,,16 to under 25 years,,,,…,,,
2024,(b) Psychological violence,,16 to under 25 years,,,,…,,,
2010,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2011,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2012,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2013,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2014,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2015,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2016,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2017,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2018,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2019,(b) Psychological violence,,25 to under 35 years,,,,.,,,
2020,(b) Psychological violence,,25 to under 35 years,,,,,,,3.7
2021,(b) Psychological violence,,25 to under 35 years,,,,…,,,
2022,(b) Psychological violence,,25 to under 35 years,,,,…,,,
2023,(b) Psychological violence,,25 to under 35 years,,,,…,,,
2024,(b) Psychological violence,,25 to under 35 years,,,,…,,,
2010,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2011,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2012,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2013,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2014,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2015,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2016,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2017,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2018,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2019,(b) Psychological violence,,35 to under 45 years,,,,.,,,
2020,(b) Psychological violence,,35 to under 45 years,,,,,,,2.2
2021,(b) Psychological violence,,35 to under 45 years,,,,…,,,
2022,(b) Psychological violence,,35 to under 45 years,,,,…,,,
2023,(b) Psychological violence,,35 to under 45 years,,,,…,,,
2024,(b) Psychological violence,,35 to under 45 years,,,,…,,,
2010,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2011,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2012,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2013,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2014,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2015,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2016,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2017,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2018,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2019,(b) Psychological violence,,45 to under 55 years,,,,.,,,
2020,(b) Psychological violence,,45 to under 55 years,,,,,,,1.5
2021,(b) Psychological violence,,45 to under 55 years,,,,…,,,
2022,(b) Psychological violence,,45 to under 55 years,,,,…,,,
2023,(b) Psychological violence,,45 to under 55 years,,,,…,,,
2024,(b) Psychological violence,,45 to under 55 years,,,,…,,,
2010,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2011,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2012,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2013,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2014,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2015,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2016,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2017,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2018,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2019,(b) Psychological violence,,55 to under 65 years,,,,.,,,
2020,(b) Psychological violence,,55 to under 65 years,,,,,,,1.3
2021,(b) Psychological violence,,55 to under 65 years,,,,…,,,
2022,(b) Psychological violence,,55 to under 65 years,,,,…,,,
2023,(b) Psychological violence,,55 to under 65 years,,,,…,,,
2024,(b) Psychological violence,,55 to under 65 years,,,,…,,,
2010,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2011,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2012,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2013,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2014,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2015,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2016,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2017,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2018,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2019,(b) Psychological violence,,65 to under 75 years,,,,.,,,
2020,(b) Psychological violence,,65 to under 75 years,,,,,,,1.2
2021,(b) Psychological violence,,65 to under 75 years,,,,…,,,
2022,(b) Psychological violence,,65 to under 75 years,,,,…,,,
2023,(b) Psychological violence,,65 to under 75 years,,,,…,,,
2024,(b) Psychological violence,,65 to under 75 years,,,,…,,,
2010,(b) Psychological violence,,75 years and older,,,,.,,,
2011,(b) Psychological violence,,75 years and older,,,,.,,,
2012,(b) Psychological violence,,75 years and older,,,,.,,,
2013,(b) Psychological violence,,75 years and older,,,,.,,,
2014,(b) Psychological violence,,75 years and older,,,,.,,,
2015,(b) Psychological violence,,75 years and older,,,,.,,,
2016,(b) Psychological violence,,75 years and older,,,,.,,,
2017,(b) Psychological violence,,75 years and older,,,,.,,,
2018,(b) Psychological violence,,75 years and older,,,,.,,,
2019,(b) Psychological violence,,75 years and older,,,,.,,,
2020,(b) Psychological violence,,75 years and older,,,,,,,1.0
2021,(b) Psychological violence,,75 years and older,,,,…,,,
2022,(b) Psychological violence,,75 years and older,,,,…,,,
2023,(b) Psychological violence,,75 years and older,,,,…,,,
2024,(b) Psychological violence,,75 years and older,,,,…,,,
2010,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2011,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2012,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2013,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2014,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2015,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2016,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2017,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2018,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2019,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2020,(b) Psychological violence,,,,Personal offense on the Internet,,,,,4.6
2021,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2022,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2023,(b) Psychological violence,,,,Personal offense on the Internet,,.,,,
2024,(b) Psychological violence,,,,Personal offense on the Internet,,,,,5.2
2010,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2011,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2012,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2013,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2014,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2015,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2016,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2017,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2018,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2019,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2020,(b) Psychological violence,Female,,,Personal offense on the Internet,,,,,4.5
2021,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2022,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2023,(b) Psychological violence,Female,,,Personal offense on the Internet,,.,,,
2024,(b) Psychological violence,Female,,,Personal offense on the Internet,,,,,3.9
2010,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2011,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2012,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2013,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2014,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2015,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2016,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2017,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2018,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2019,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2020,(b) Psychological violence,Male,,,Personal offense on the Internet,,,,,4.8
2021,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2022,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2023,(b) Psychological violence,Male,,,Personal offense on the Internet,,.,,,
2024,(b) Psychological violence,Male,,,Personal offense on the Internet,,,,,6.1
2010,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2011,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2012,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2013,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2014,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2015,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2016,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2017,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2018,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2019,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2020,(b) Psychological violence,,,,Threat of violence offline,,,,,3.3
2021,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2022,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2023,(b) Psychological violence,,,,Threat of violence offline,,.,,,
2024,(b) Psychological violence,,,,Threat of violence offline,,,,,4.6
2010,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2011,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2012,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2013,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2014,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2015,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2016,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2017,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2018,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2019,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2020,(b) Psychological violence,Female,,,Threat of violence offline,,,,,2.6
2021,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2022,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2023,(b) Psychological violence,Female,,,Threat of violence offline,,.,,,
2024,(b) Psychological violence,Female,,,Threat of violence offline,,,,,3.0
2010,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2011,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2012,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2013,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2014,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2015,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
2016,(b) Psychological violence,Male,,,Threat of violence offline,,.,,,
