Year,Form of abuse,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2019,Physical abuse,15 to under 18 years,Male,,,,0.04
2020,Physical abuse,15 to under 18 years,Male,,,,0.04
2021,Physical abuse,15 to under 18 years,Male,,,,0.04
2022,Physical abuse,15 to under 18 years,Male,,,,0.05
2023,Physical abuse,15 to under 18 years,Male,,,,0.05
2024,Physical abuse,15 to under 18 years,Male,,,,0.06
2010,Psychological abuse,1 to under 18 years,,.,,,
2011,Psychological abuse,1 to under 18 years,,.,,,
2012,Psychological abuse,1 to under 18 years,,,,,0.03
2013,Psychological abuse,1 to under 18 years,,,,,0.03
2014,Psychological abuse,1 to under 18 years,,,,,0.04
2015,Psychological abuse,1 to under 18 years,,,,,0.04
2016,Psychological abuse,1 to under 18 years,,,,,0.05
2017,Psychological abuse,1 to under 18 years,,,,,0.05
2018,Psychological abuse,1 to under 18 years,,,,,0.06
2019,Psychological abuse,1 to under 18 years,,,,,0.07
2020,Psychological abuse,1 to under 18 years,,,,,0.08
2021,Psychological abuse,1 to under 18 years,,,,,0.08
2022,Psychological abuse,1 to under 18 years,,,,,0.09
2023,Psychological abuse,1 to under 18 years,,,,,0.09
2024,Psychological abuse,1 to under 18 years,,,,,0.11
2010,Psychological abuse,1 to under 18 years,Female,.,,,
2011,Psychological abuse,1 to under 18 years,Female,.,,,
2012,Psychological abuse,1 to under 18 years,Female,,,,0.04
2013,Psychological abuse,1 to under 18 years,Female,,,,0.04
2014,Psychological abuse,1 to under 18 years,Female,,,,0.04
2015,Psychological abuse,1 to under 18 years,Female,,,,0.05
2016,Psychological abuse,1 to under 18 years,Female,,,,0.05
2017,Psychological abuse,1 to under 18 years,Female,,,,0.05
2018,Psychological abuse,1 to under 18 years,Female,,,,0.06
2019,Psychological abuse,1 to under 18 years,Female,,,,0.07
2020,Psychological abuse,1 to under 18 years,Female,,,,0.08
2021,Psychological abuse,1 to under 18 years,Female,,,,0.09
2022,Psychological abuse,1 to under 18 years,Female,,,,0.09
2023,Psychological abuse,1 to under 18 years,Female,r,,,0.1
2024,Psychological abuse,1 to under 18 years,Female,,,,0.12
2010,Psychological abuse,1 to under 18 years,Male,.,,,
2011,Psychological abuse,1 to under 18 years,Male,.,,,
2012,Psychological abuse,1 to under 18 years,Male,,,,0.03
2013,Psychological abuse,1 to under 18 years,Male,,,,0.03
2014,Psychological abuse,1 to under 18 years,Male,,,,0.04
2015,Psychological abuse,1 to under 18 years,Male,,,,0.04
2016,Psychological abuse,1 to under 18 years,Male,,,,0.04
2017,Psychological abuse,1 to under 18 years,Male,,,,0.05
2018,Psychological abuse,1 to under 18 years,Male,,,,0.06
2019,Psychological abuse,1 to under 18 years,Male,,,,0.06
2020,Psychological abuse,1 to under 18 years,Male,,,,0.07
2021,Psychological abuse,1 to under 18 years,Male,,,,0.07
2022,Psychological abuse,1 to under 18 years,Male,,,,0.08
2023,Psychological abuse,1 to under 18 years,Male,r,,,0.08
2024,Psychological abuse,1 to under 18 years,Male,,,,0.1
2010,Psychological abuse,1 to under 15 years,,.,,,
2011,Psychological abuse,1 to under 15 years,,.,,,
2012,Psychological abuse,1 to under 15 years,,,,,0.03
2013,Psychological abuse,1 to under 15 years,,,,,0.03
2014,Psychological abuse,1 to under 15 years,,,,,0.04
2015,Psychological abuse,1 to under 15 years,,,,,0.04
2016,Psychological abuse,1 to under 15 years,,,,,0.05
2017,Psychological abuse,1 to under 15 years,,,,,0.05
2018,Psychological abuse,1 to under 15 years,,,,,0.06
2019,Psychological abuse,1 to under 15 years,,,,,0.07
2020,Psychological abuse,1 to under 15 years,,,,,0.08
2021,Psychological abuse,1 to under 15 years,,,,,0.08
2022,Psychological abuse,1 to under 15 years,,,,,0.09
2023,Psychological abuse,1 to under 15 years,,,,,0.09
2024,Psychological abuse,1 to under 15 years,,,,,0.11
2010,Psychological abuse,1 to under 15 years,Female,.,,,
2011,Psychological abuse,1 to under 15 years,Female,.,,,
2012,Psychological abuse,1 to under 15 years,Female,,,,0.04
2013,Psychological abuse,1 to under 15 years,Female,,,,0.04
2014,Psychological abuse,1 to under 15 years,Female,,,,0.04
2015,Psychological abuse,1 to under 15 years,Female,,,,0.04
2016,Psychological abuse,1 to under 15 years,Female,,,,0.05
2017,Psychological abuse,1 to under 15 years,Female,,,,0.05
2018,Psychological abuse,1 to under 15 years,Female,,,,0.06
2019,Psychological abuse,1 to under 15 years,Female,,,,0.07
2020,Psychological abuse,1 to under 15 years,Female,,,,0.08
2021,Psychological abuse,1 to under 15 years,Female,,,,0.08
2022,Psychological abuse,1 to under 15 years,Female,,,,0.09
2023,Psychological abuse,1 to under 15 years,Female,,,,0.09
2024,Psychological abuse,1 to under 15 years,Female,,,,0.12
2010,Psychological abuse,1 to under 15 years,Male,.,,,
2011,Psychological abuse,1 to under 15 years,Male,.,,,
2012,Psychological abuse,1 to under 15 years,Male,,,,0.03
2013,Psychological abuse,1 to under 15 years,Male,,,,0.03
2014,Psychological abuse,1 to under 15 years,Male,,,,0.04
2015,Psychological abuse,1 to under 15 years,Male,,,,0.04
2016,Psychological abuse,1 to under 15 years,Male,,,,0.05
2017,Psychological abuse,1 to under 15 years,Male,,,,0.05
2018,Psychological abuse,1 to under 15 years,Male,,,,0.12
2019,Psychological abuse,1 to under 15 years,Male,,,,0.07
2020,Psychological abuse,1 to under 15 years,Male,,,,0.08
2021,Psychological abuse,1 to under 15 years,Male,,,,0.08
2022,Psychological abuse,1 to under 15 years,Male,,,,0.09
2023,Psychological abuse,1 to under 15 years,Male,,,,0.09
2024,Psychological abuse,1 to under 15 years,Male,,,,0.11
2010,Psychological abuse,15 to under 18 years,,.,,,
2011,Psychological abuse,15 to under 18 years,,.,,,
2012,Psychological abuse,15 to under 18 years,,,,,0.03
2013,Psychological abuse,15 to under 18 years,,,,,0.03
2014,Psychological abuse,15 to under 18 years,,,,,0.04
2015,Psychological abuse,15 to under 18 years,,,,,0.04
2016,Psychological abuse,15 to under 18 years,,,,,0.04
2017,Psychological abuse,15 to under 18 years,,,,,0.04
2018,Psychological abuse,15 to under 18 years,,,,,0.05
2019,Psychological abuse,15 to under 18 years,,,,,0.06
2020,Psychological abuse,15 to under 18 years,,,,,0.06
2021,Psychological abuse,15 to under 18 years,,,,,0.07
2022,Psychological abuse,15 to under 18 years,,,,,0.08
2023,Psychological abuse,15 to under 18 years,,,,,0.08
2024,Psychological abuse,15 to under 18 years,,,,,0.1
2010,Psychological abuse,15 to under 18 years,Female,.,,,
2011,Psychological abuse,15 to under 18 years,Female,.,,,
2012,Psychological abuse,15 to under 18 years,Female,,,,0.05
2013,Psychological abuse,15 to under 18 years,Female,,,,0.05
2014,Psychological abuse,15 to under 18 years,Female,,,,0.05
2015,Psychological abuse,15 to under 18 years,Female,,,,0.05
2016,Psychological abuse,15 to under 18 years,Female,,,,0.06
2017,Psychological abuse,15 to under 18 years,Female,,,,0.06
2018,Psychological abuse,15 to under 18 years,Female,,,,0.07
2019,Psychological abuse,15 to under 18 years,Female,,,,0.08
2020,Psychological abuse,15 to under 18 years,Female,,,,0.09
2021,Psychological abuse,15 to under 18 years,Female,,,,0.1
2022,Psychological abuse,15 to under 18 years,Female,,,,0.11
2023,Psychological abuse,15 to under 18 years,Female,,,,0.12
2024,Psychological abuse,15 to under 18 years,Female,,,,0.14
2010,Psychological abuse,15 to under 18 years,Male,.,,,
2011,Psychological abuse,15 to under 18 years,Male,.,,,
2012,Psychological abuse,15 to under 18 years,Male,,,,0.02
2013,Psychological abuse,15 to under 18 years,Male,,,,0.02
2014,Psychological abuse,15 to under 18 years,Male,,,,0.03
2015,Psychological abuse,15 to under 18 years,Male,,,,0.03
2016,Psychological abuse,15 to under 18 years,Male,,,,0.03
2017,Psychological abuse,15 to under 18 years,Male,,,,0.03
2018,Psychological abuse,15 to under 18 years,Male,,,,0.03
2019,Psychological abuse,15 to under 18 years,Male,,,,0.04
2020,Psychological abuse,15 to under 18 years,Male,,,,0.04
2021,Psychological abuse,15 to under 18 years,Male,,,,0.04
2022,Psychological abuse,15 to under 18 years,Male,,,,0.05
2023,Psychological abuse,15 to under 18 years,Male,,,,0.05
2024,Psychological abuse,15 to under 18 years,Male,,,,0.06
