Year,Units,Time series,Type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2026,"yes=1, no=0",,,,,,(2) Contracting party to the Nagoya Protocol,1.0
2007,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,
2008,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,
2009,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,
2010,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2011,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2012,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2013,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2014,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2015,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,0.0
2016,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2017,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2018,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2019,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2020,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2021,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2022,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2023,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2024,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2025,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2026,"yes=1, no=0",,,,,,(3) Existence of framework or measures reported through the Online Reporting System on Compliance of the ITPGRFA,1.0
2007,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,
2008,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,
2009,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,
2010,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2011,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2012,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2013,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2014,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2015,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2016,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2017,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2018,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2019,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2020,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2021,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2022,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2023,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2024,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2025,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2026,"yes=1, no=0",,,,,,(4) Existence of framework or measures reported to the Access and Benefit-Sharing Clearing-House,1.0
2007,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),35.0
2008,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),409.0
2009,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),905.0
2010,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),1495.0
2011,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),2687.0
2012,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),3916.0
2013,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),5034.0
2014,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),6089.0
2015,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),7311.0
2016,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),8367.0
2017,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),8754.0
2018,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9153.0
2019,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9518.0
2020,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),9903.0
2021,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),10564.0
2022,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),11398.0
2023,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),13261.0
2024,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),15195.0
2025,Cumulative number,[a] Germany as receiver,,,,,(5) Standard Material Transfer Agreements (SMTAs),16574.0
2026,Cumulative number,[a] Germany as receiver,,p,,,(5) Standard Material Transfer Agreements (SMTAs),16677.0
2007,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[a] Germany as receiver,Commercial company,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2017,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2018,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),19.0
2019,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),30.0
2020,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38.0
2021,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38.0
2022,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38.0
2023,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),38.0
2024,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),41.0
2025,Cumulative number,[a] Germany as receiver,Commercial company,,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2026,Cumulative number,[a] Germany as receiver,Commercial company,p,,,(5) Standard Material Transfer Agreements (SMTAs),44.0
2007,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[a] Germany as receiver,Gene bank,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2020,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2021,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2022,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2023,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2024,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),7.0
2025,Cumulative number,[a] Germany as receiver,Gene bank,,,,(5) Standard Material Transfer Agreements (SMTAs),10.0
2026,Cumulative number,[a] Germany as receiver,Gene bank,p,,,(5) Standard Material Transfer Agreements (SMTAs),10.0
2007,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,National agricultural research centre,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2015,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2016,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2017,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2018,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2019,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2020,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2.0
2021,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2.0
2022,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),2.0
2023,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2024,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2025,Cumulative number,[a] Germany as receiver,National agricultural research centre,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2026,Cumulative number,[a] Germany as receiver,National agricultural research centre,p,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2007,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[a] Germany as receiver,Non-governmental organization,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2020,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2021,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2022,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2023,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2024,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2025,Cumulative number,[a] Germany as receiver,Non-governmental organization,,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2026,Cumulative number,[a] Germany as receiver,Non-governmental organization,p,,,(5) Standard Material Transfer Agreements (SMTAs),6.0
2007,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[a] Germany as receiver,Other,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),2.0
2017,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2018,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2019,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2020,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2021,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2022,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2023,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),4.0
2024,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2025,Cumulative number,[a] Germany as receiver,Other,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2026,Cumulative number,[a] Germany as receiver,Other,p,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2007,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,University,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,University,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,University,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,University,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),1.0
2015,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),3.0
2016,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),5.0
2017,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8.0
2018,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8.0
2019,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8.0
2020,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),8.0
2021,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),9.0
2022,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),9.0
2023,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),11.0
2024,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),13.0
2025,Cumulative number,[a] Germany as receiver,University,,,,(5) Standard Material Transfer Agreements (SMTAs),13.0
2026,Cumulative number,[a] Germany as receiver,University,p,,,(5) Standard Material Transfer Agreements (SMTAs),13.0
2007,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2.0
2008,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),23.0
2009,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),54.0
2010,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),84.0
2011,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),382.0
2012,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),1299.0
2013,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2107.0
2014,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),2843.0
2015,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),3604.0
2016,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4214.0
2017,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4328.0
2018,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4441.0
2019,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4575.0
2020,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4678.0
2021,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4800.0
2022,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4877.0
2023,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4918.0
2024,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4932.0
2025,Cumulative number,[a] Germany as receiver,Individual,,,,(5) Standard Material Transfer Agreements (SMTAs),4935.0
2026,Cumulative number,[a] Germany as receiver,Individual,p,,,(5) Standard Material Transfer Agreements (SMTAs),4935.0
2007,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2008,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2009,Cumulative number,[a] Germany as receiver,INCREASE project,,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2010,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2011,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2012,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2013,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2014,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2015,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2016,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2017,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2018,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
2019,Cumulative number,[a] Germany as receiver,INCREASE project,‒,,,(5) Standard Material Transfer Agreements (SMTAs),0.0
