Year,Time series,Age group,Sex,Value
2011,Victims of non-sexual harassment,13 years and younger,Female,263
2012,Victims of non-sexual harassment,13 years and younger,Female,310
2013,Victims of non-sexual harassment,13 years and younger,Female,273
2014,Victims of non-sexual harassment,13 years and younger,Female,260
2015,Victims of non-sexual harassment,13 years and younger,Female,221
2016,Victims of non-sexual harassment,13 years and younger,Female,221
2017,Victims of non-sexual harassment,13 years and younger,Female,901
2018,Victims of non-sexual harassment,13 years and younger,Female,1335
2019,Victims of non-sexual harassment,13 years and younger,Female,1380
2020,Victims of non-sexual harassment,13 years and younger,Female,1175
2021,Victims of non-sexual harassment,13 years and younger,Female,1243
2022,Victims of non-sexual harassment,13 years and younger,Female,1851
2023,Victims of non-sexual harassment,13 years and younger,Female,1980
2010,Victims of non-sexual harassment,13 years and younger,Male,171
2011,Victims of non-sexual harassment,13 years and younger,Male,153
2012,Victims of non-sexual harassment,13 years and younger,Male,122
2013,Victims of non-sexual harassment,13 years and younger,Male,154
2014,Victims of non-sexual harassment,13 years and younger,Male,117
2015,Victims of non-sexual harassment,13 years and younger,Male,122
2016,Victims of non-sexual harassment,13 years and younger,Male,115
2017,Victims of non-sexual harassment,13 years and younger,Male,221
2018,Victims of non-sexual harassment,13 years and younger,Male,233
2019,Victims of non-sexual harassment,13 years and younger,Male,295
2020,Victims of non-sexual harassment,13 years and younger,Male,328
2021,Victims of non-sexual harassment,13 years and younger,Male,303
2022,Victims of non-sexual harassment,13 years and younger,Male,397
2023,Victims of non-sexual harassment,13 years and younger,Male,519
2010,Victims of non-sexual harassment,14 to under 18 years,,1289
2011,Victims of non-sexual harassment,14 to under 18 years,,1227
2012,Victims of non-sexual harassment,14 to under 18 years,,1101
2013,Victims of non-sexual harassment,14 to under 18 years,,1143
2014,Victims of non-sexual harassment,14 to under 18 years,,1063
2015,Victims of non-sexual harassment,14 to under 18 years,,817
2016,Victims of non-sexual harassment,14 to under 18 years,,806
2017,Victims of non-sexual harassment,14 to under 18 years,,3347
2018,Victims of non-sexual harassment,14 to under 18 years,,4355
2019,Victims of non-sexual harassment,14 to under 18 years,,4414
2020,Victims of non-sexual harassment,14 to under 18 years,,4043
2021,Victims of non-sexual harassment,14 to under 18 years,,4177
2022,Victims of non-sexual harassment,14 to under 18 years,,5462
2023,Victims of non-sexual harassment,14 to under 18 years,,6041
2010,Victims of non-sexual harassment,14 to under 18 years,Female,1132
2011,Victims of non-sexual harassment,14 to under 18 years,Female,1087
2012,Victims of non-sexual harassment,14 to under 18 years,Female,991
2013,Victims of non-sexual harassment,14 to under 18 years,Female,1015
2014,Victims of non-sexual harassment,14 to under 18 years,Female,943
2015,Victims of non-sexual harassment,14 to under 18 years,Female,716
2016,Victims of non-sexual harassment,14 to under 18 years,Female,710
2017,Victims of non-sexual harassment,14 to under 18 years,Female,3085
2018,Victims of non-sexual harassment,14 to under 18 years,Female,4033
2019,Victims of non-sexual harassment,14 to under 18 years,Female,4051
2020,Victims of non-sexual harassment,14 to under 18 years,Female,3680
2021,Victims of non-sexual harassment,14 to under 18 years,Female,3814
2022,Victims of non-sexual harassment,14 to under 18 years,Female,5045
2023,Victims of non-sexual harassment,14 to under 18 years,Female,5505
2010,Victims of non-sexual harassment,14 to under 18 years,Male,157
2011,Victims of non-sexual harassment,14 to under 18 years,Male,140
2012,Victims of non-sexual harassment,14 to under 18 years,Male,110
2013,Victims of non-sexual harassment,14 to under 18 years,Male,128
2014,Victims of non-sexual harassment,14 to under 18 years,Male,120
2015,Victims of non-sexual harassment,14 to under 18 years,Male,101
2016,Victims of non-sexual harassment,14 to under 18 years,Male,96
2017,Victims of non-sexual harassment,14 to under 18 years,Male,262
2018,Victims of non-sexual harassment,14 to under 18 years,Male,322
2019,Victims of non-sexual harassment,14 to under 18 years,Male,363
2020,Victims of non-sexual harassment,14 to under 18 years,Male,363
2021,Victims of non-sexual harassment,14 to under 18 years,Male,363
2022,Victims of non-sexual harassment,14 to under 18 years,Male,417
2023,Victims of non-sexual harassment,14 to under 18 years,Male,536
2010,Victims of non-sexual harassment,18 to under 21 years,,2467
2011,Victims of non-sexual harassment,18 to under 21 years,,2202
2012,Victims of non-sexual harassment,18 to under 21 years,,2036
2013,Victims of non-sexual harassment,18 to under 21 years,,1769
2014,Victims of non-sexual harassment,18 to under 21 years,,1654
2015,Victims of non-sexual harassment,18 to under 21 years,,1402
2016,Victims of non-sexual harassment,18 to under 21 years,,1253
2017,Victims of non-sexual harassment,18 to under 21 years,,2956
2018,Victims of non-sexual harassment,18 to under 21 years,,3815
2019,Victims of non-sexual harassment,18 to under 21 years,,3569
2020,Victims of non-sexual harassment,18 to under 21 years,,3541
2021,Victims of non-sexual harassment,18 to under 21 years,,3722
2022,Victims of non-sexual harassment,18 to under 21 years,,4424
2023,Victims of non-sexual harassment,18 to under 21 years,,4676
2010,Victims of non-sexual harassment,18 to under 21 years,Female,2185
2011,Victims of non-sexual harassment,18 to under 21 years,Female,1946
2012,Victims of non-sexual harassment,18 to under 21 years,Female,1804
2013,Victims of non-sexual harassment,18 to under 21 years,Female,1586
2014,Victims of non-sexual harassment,18 to under 21 years,Female,1477
2015,Victims of non-sexual harassment,18 to under 21 years,Female,1265
2016,Victims of non-sexual harassment,18 to under 21 years,Female,1136
2017,Victims of non-sexual harassment,18 to under 21 years,Female,2763
2018,Victims of non-sexual harassment,18 to under 21 years,Female,3522
2019,Victims of non-sexual harassment,18 to under 21 years,Female,3290
2020,Victims of non-sexual harassment,18 to under 21 years,Female,3268
2021,Victims of non-sexual harassment,18 to under 21 years,Female,3414
2022,Victims of non-sexual harassment,18 to under 21 years,Female,4111
2023,Victims of non-sexual harassment,18 to under 21 years,Female,4281
2010,Victims of non-sexual harassment,18 to under 21 years,Male,282
2011,Victims of non-sexual harassment,18 to under 21 years,Male,256
2012,Victims of non-sexual harassment,18 to under 21 years,Male,232
2013,Victims of non-sexual harassment,18 to under 21 years,Male,183
2014,Victims of non-sexual harassment,18 to under 21 years,Male,177
2015,Victims of non-sexual harassment,18 to under 21 years,Male,137
2016,Victims of non-sexual harassment,18 to under 21 years,Male,117
2017,Victims of non-sexual harassment,18 to under 21 years,Male,193
2018,Victims of non-sexual harassment,18 to under 21 years,Male,293
2019,Victims of non-sexual harassment,18 to under 21 years,Male,279
2020,Victims of non-sexual harassment,18 to under 21 years,Male,273
2021,Victims of non-sexual harassment,18 to under 21 years,Male,308
2022,Victims of non-sexual harassment,18 to under 21 years,Male,313
2023,Victims of non-sexual harassment,18 to under 21 years,Male,395
2010,Victims of non-sexual harassment,21 to under 60 years,,23019
2011,Victims of non-sexual harassment,21 to under 60 years,,21536
2012,Victims of non-sexual harassment,21 to under 60 years,,21296
2013,Victims of non-sexual harassment,21 to under 60 years,,20738
2014,Victims of non-sexual harassment,21 to under 60 years,,18814
2015,Victims of non-sexual harassment,21 to under 60 years,,17239
2016,Victims of non-sexual harassment,21 to under 60 years,,16303
2017,Victims of non-sexual harassment,21 to under 60 years,,21108
2018,Victims of non-sexual harassment,21 to under 60 years,,23526
2019,Victims of non-sexual harassment,21 to under 60 years,,23340
2020,Victims of non-sexual harassment,21 to under 60 years,,23889
2021,Victims of non-sexual harassment,21 to under 60 years,,24682
2022,Victims of non-sexual harassment,21 to under 60 years,,27616
2023,Victims of non-sexual harassment,21 to under 60 years,,30249
2010,Victims of non-sexual harassment,21 to under 60 years,Female,18342
2011,Victims of non-sexual harassment,21 to under 60 years,Female,17238
2012,Victims of non-sexual harassment,21 to under 60 years,Female,17207
2013,Victims of non-sexual harassment,21 to under 60 years,Female,16679
2014,Victims of non-sexual harassment,21 to under 60 years,Female,15118
2015,Victims of non-sexual harassment,21 to under 60 years,Female,13916
2016,Victims of non-sexual harassment,21 to under 60 years,Female,13260
2017,Victims of non-sexual harassment,21 to under 60 years,Female,17822
2018,Victims of non-sexual harassment,21 to under 60 years,Female,20058
2019,Victims of non-sexual harassment,21 to under 60 years,Female,19927
2020,Victims of non-sexual harassment,21 to under 60 years,Female,20226
2021,Victims of non-sexual harassment,21 to under 60 years,Female,20754
2022,Victims of non-sexual harassment,21 to under 60 years,Female,23437
2023,Victims of non-sexual harassment,21 to under 60 years,Female,25603
2010,Victims of non-sexual harassment,21 to under 60 years,Male,4677
2011,Victims of non-sexual harassment,21 to under 60 years,Male,4298
2012,Victims of non-sexual harassment,21 to under 60 years,Male,4089
2013,Victims of non-sexual harassment,21 to under 60 years,Male,4059
2014,Victims of non-sexual harassment,21 to under 60 years,Male,3696
2015,Victims of non-sexual harassment,21 to under 60 years,Male,3323
2016,Victims of non-sexual harassment,21 to under 60 years,Male,3043
2017,Victims of non-sexual harassment,21 to under 60 years,Male,3286
2018,Victims of non-sexual harassment,21 to under 60 years,Male,3468
2019,Victims of non-sexual harassment,21 to under 60 years,Male,3413
2020,Victims of non-sexual harassment,21 to under 60 years,Male,3663
2021,Victims of non-sexual harassment,21 to under 60 years,Male,3928
2022,Victims of non-sexual harassment,21 to under 60 years,Male,4179
2023,Victims of non-sexual harassment,21 to under 60 years,Male,4646
2010,Victims of non-sexual harassment,60 years and older,,1652
2011,Victims of non-sexual harassment,60 years and older,,1495
2012,Victims of non-sexual harassment,60 years and older,,1495
2013,Victims of non-sexual harassment,60 years and older,,1440
2014,Victims of non-sexual harassment,60 years and older,,1395
2015,Victims of non-sexual harassment,60 years and older,,1269
2016,Victims of non-sexual harassment,60 years and older,,1251
2017,Victims of non-sexual harassment,60 years and older,,1447
2018,Victims of non-sexual harassment,60 years and older,,1643
2019,Victims of non-sexual harassment,60 years and older,,1645
2020,Victims of non-sexual harassment,60 years and older,,1690
2021,Victims of non-sexual harassment,60 years and older,,1799
2022,Victims of non-sexual harassment,60 years and older,,1989
2023,Victims of non-sexual harassment,60 years and older,,2301
2010,Victims of non-sexual harassment,60 years and older,Female,978
2011,Victims of non-sexual harassment,60 years and older,Female,880
2012,Victims of non-sexual harassment,60 years and older,Female,905
2013,Victims of non-sexual harassment,60 years and older,Female,902
2014,Victims of non-sexual harassment,60 years and older,Female,884
2015,Victims of non-sexual harassment,60 years and older,Female,823
2016,Victims of non-sexual harassment,60 years and older,Female,788
2017,Victims of non-sexual harassment,60 years and older,Female,1038
2018,Victims of non-sexual harassment,60 years and older,Female,1156
2019,Victims of non-sexual harassment,60 years and older,Female,1190
2020,Victims of non-sexual harassment,60 years and older,Female,1208
2021,Victims of non-sexual harassment,60 years and older,Female,1247
2022,Victims of non-sexual harassment,60 years and older,Female,1426
2023,Victims of non-sexual harassment,60 years and older,Female,1636
2010,Victims of non-sexual harassment,60 years and older,Male,674
2011,Victims of non-sexual harassment,60 years and older,Male,615
2012,Victims of non-sexual harassment,60 years and older,Male,590
2013,Victims of non-sexual harassment,60 years and older,Male,538
2014,Victims of non-sexual harassment,60 years and older,Male,511
2015,Victims of non-sexual harassment,60 years and older,Male,446
2016,Victims of non-sexual harassment,60 years and older,Male,463
2017,Victims of non-sexual harassment,60 years and older,Male,409
2018,Victims of non-sexual harassment,60 years and older,Male,487
2019,Victims of non-sexual harassment,60 years and older,Male,455
2020,Victims of non-sexual harassment,60 years and older,Male,482
2021,Victims of non-sexual harassment,60 years and older,Male,552
2022,Victims of non-sexual harassment,60 years and older,Male,563
2023,Victims of non-sexual harassment,60 years and older,Male,665
2010,Victims of sexual harassment,,,7523
2011,Victims of sexual harassment,,,8011
2012,Victims of sexual harassment,,,8306
2013,Victims of sexual harassment,,,8161
2014,Victims of sexual harassment,,,8356
2015,Victims of sexual harassment,,,8262
2016,Victims of sexual harassment,,,8599
2017,Victims of sexual harassment,,,8395
2018,Victims of sexual harassment,,,8872
2019,Victims of sexual harassment,,,8069
2020,Victims of sexual harassment,,,9333
2021,Victims of sexual harassment,,,9051
2022,Victims of sexual harassment,,,9658
2023,Victims of sexual harassment,,,10182
2010,Victims of sexual harassment,,Female,6624
2011,Victims of sexual harassment,,Female,7050
2012,Victims of sexual harassment,,Female,7400
2013,Victims of sexual harassment,,Female,7269
2014,Victims of sexual harassment,,Female,7381
2015,Victims of sexual harassment,,Female,7296
2016,Victims of sexual harassment,,Female,7525
2017,Victims of sexual harassment,,Female,7314
2018,Victims of sexual harassment,,Female,7680
2019,Victims of sexual harassment,,Female,6875
2020,Victims of sexual harassment,,Female,7980
2021,Victims of sexual harassment,,Female,7688
2022,Victims of sexual harassment,,Female,8169
2023,Victims of sexual harassment,,Female,8465
2010,Victims of sexual harassment,,Male,899
2011,Victims of sexual harassment,,Male,961
2012,Victims of sexual harassment,,Male,906
2013,Victims of sexual harassment,,Male,892
2014,Victims of sexual harassment,,Male,975
2015,Victims of sexual harassment,,Male,966
2016,Victims of sexual harassment,,Male,1074
2017,Victims of sexual harassment,,Male,1081
2018,Victims of sexual harassment,,Male,1192
2019,Victims of sexual harassment,,Male,1194
2020,Victims of sexual harassment,,Male,1353
2021,Victims of sexual harassment,,Male,1363
2022,Victims of sexual harassment,,Male,1489
2023,Victims of sexual harassment,,Male,1717
2010,Victims of sexual harassment,13 years and younger,,0
2011,Victims of sexual harassment,13 years and younger,,0
2012,Victims of sexual harassment,13 years and younger,,0
2013,Victims of sexual harassment,13 years and younger,,0
2014,Victims of sexual harassment,13 years and younger,,0
2015,Victims of sexual harassment,13 years and younger,,0
2016,Victims of sexual harassment,13 years and younger,,0
2017,Victims of sexual harassment,13 years and younger,,3
2018,Victims of sexual harassment,13 years and younger,,4
2019,Victims of sexual harassment,13 years and younger,,5
2020,Victims of sexual harassment,13 years and younger,,2
2021,Victims of sexual harassment,13 years and younger,,49
2022,Victims of sexual harassment,13 years and younger,,151
2023,Victims of sexual harassment,13 years and younger,,131
2010,Victims of sexual harassment,13 years and younger,Female,0
2011,Victims of sexual harassment,13 years and younger,Female,0
2012,Victims of sexual harassment,13 years and younger,Female,0
2013,Victims of sexual harassment,13 years and younger,Female,0
2014,Victims of sexual harassment,13 years and younger,Female,0
2015,Victims of sexual harassment,13 years and younger,Female,0
2016,Victims of sexual harassment,13 years and younger,Female,0
2017,Victims of sexual harassment,13 years and younger,Female,2
2018,Victims of sexual harassment,13 years and younger,Female,3
2019,Victims of sexual harassment,13 years and younger,Female,5
2020,Victims of sexual harassment,13 years and younger,Female,1
2021,Victims of sexual harassment,13 years and younger,Female,33
2022,Victims of sexual harassment,13 years and younger,Female,124
2023,Victims of sexual harassment,13 years and younger,Female,108
2010,Victims of sexual harassment,13 years and younger,Male,0
2011,Victims of sexual harassment,13 years and younger,Male,0
2012,Victims of sexual harassment,13 years and younger,Male,0
2013,Victims of sexual harassment,13 years and younger,Male,0
2014,Victims of sexual harassment,13 years and younger,Male,0
2015,Victims of sexual harassment,13 years and younger,Male,0
2016,Victims of sexual harassment,13 years and younger,Male,0
2017,Victims of sexual harassment,13 years and younger,Male,1
2018,Victims of sexual harassment,13 years and younger,Male,1
2019,Victims of sexual harassment,13 years and younger,Male,0
2020,Victims of sexual harassment,13 years and younger,Male,1
2021,Victims of sexual harassment,13 years and younger,Male,16
2022,Victims of sexual harassment,13 years and younger,Male,27
2023,Victims of sexual harassment,13 years and younger,Male,23
2010,Victims of sexual harassment,14 to under 18 years,,1267
2011,Victims of sexual harassment,14 to under 18 years,,1362
2012,Victims of sexual harassment,14 to under 18 years,,1356
2013,Victims of sexual harassment,14 to under 18 years,,1384
2014,Victims of sexual harassment,14 to under 18 years,,1368
2015,Victims of sexual harassment,14 to under 18 years,,1245
2016,Victims of sexual harassment,14 to under 18 years,,1149
2017,Victims of sexual harassment,14 to under 18 years,,1118
2018,Victims of sexual harassment,14 to under 18 years,,1133
2019,Victims of sexual harassment,14 to under 18 years,,941
2020,Victims of sexual harassment,14 to under 18 years,,1072
2021,Victims of sexual harassment,14 to under 18 years,,1075
2022,Victims of sexual harassment,14 to under 18 years,,1249
2023,Victims of sexual harassment,14 to under 18 years,,1213
2010,Victims of sexual harassment,14 to under 18 years,Female,1112
2011,Victims of sexual harassment,14 to under 18 years,Female,1217
2012,Victims of sexual harassment,14 to under 18 years,Female,1221
2013,Victims of sexual harassment,14 to under 18 years,Female,1235
2014,Victims of sexual harassment,14 to under 18 years,Female,1228
2015,Victims of sexual harassment,14 to under 18 years,Female,1151
2016,Victims of sexual harassment,14 to under 18 years,Female,1024
2017,Victims of sexual harassment,14 to under 18 years,Female,969
2018,Victims of sexual harassment,14 to under 18 years,Female,981
2019,Victims of sexual harassment,14 to under 18 years,Female,821
2020,Victims of sexual harassment,14 to under 18 years,Female,933
2021,Victims of sexual harassment,14 to under 18 years,Female,941
2022,Victims of sexual harassment,14 to under 18 years,Female,1082
2023,Victims of sexual harassment,14 to under 18 years,Female,1025
2010,Victims of sexual harassment,14 to under 18 years,Male,155
2011,Victims of sexual harassment,14 to under 18 years,Male,145
2012,Victims of sexual harassment,14 to under 18 years,Male,135
2013,Victims of sexual harassment,14 to under 18 years,Male,149
2014,Victims of sexual harassment,14 to under 18 years,Male,140
2015,Victims of sexual harassment,14 to under 18 years,Male,94
2016,Victims of sexual harassment,14 to under 18 years,Male,125
2017,Victims of sexual harassment,14 to under 18 years,Male,149
2018,Victims of sexual harassment,14 to under 18 years,Male,152
2019,Victims of sexual harassment,14 to under 18 years,Male,120
2020,Victims of sexual harassment,14 to under 18 years,Male,139
2021,Victims of sexual harassment,14 to under 18 years,Male,134
2022,Victims of sexual harassment,14 to under 18 years,Male,167
2023,Victims of sexual harassment,14 to under 18 years,Male,188
2010,Victims of sexual harassment,18 to under 21 years,,796
2011,Victims of sexual harassment,18 to under 21 years,,811
2012,Victims of sexual harassment,18 to under 21 years,,808
2013,Victims of sexual harassment,18 to under 21 years,,752
2014,Victims of sexual harassment,18 to under 21 years,,809
2015,Victims of sexual harassment,18 to under 21 years,,803
2016,Victims of sexual harassment,18 to under 21 years,,776
2017,Victims of sexual harassment,18 to under 21 years,,942
2018,Victims of sexual harassment,18 to under 21 years,,885
2019,Victims of sexual harassment,18 to under 21 years,,729
2020,Victims of sexual harassment,18 to under 21 years,,974
2021,Victims of sexual harassment,18 to under 21 years,,885
2022,Victims of sexual harassment,18 to under 21 years,,927
2023,Victims of sexual harassment,18 to under 21 years,,937
2010,Victims of sexual harassment,18 to under 21 years,Female,728
2011,Victims of sexual harassment,18 to under 21 years,Female,747
2012,Victims of sexual harassment,18 to under 21 years,Female,752
2013,Victims of sexual harassment,18 to under 21 years,Female,694
2014,Victims of sexual harassment,18 to under 21 years,Female,754
2015,Victims of sexual harassment,18 to under 21 years,Female,740
2016,Victims of sexual harassment,18 to under 21 years,Female,702
2017,Victims of sexual harassment,18 to under 21 years,Female,868
2018,Victims of sexual harassment,18 to under 21 years,Female,788
2019,Victims of sexual harassment,18 to under 21 years,Female,644
2020,Victims of sexual harassment,18 to under 21 years,Female,881
2021,Victims of sexual harassment,18 to under 21 years,Female,791
2022,Victims of sexual harassment,18 to under 21 years,Female,828
2023,Victims of sexual harassment,18 to under 21 years,Female,828
2010,Victims of sexual harassment,18 to under 21 years,Male,68
2011,Victims of sexual harassment,18 to under 21 years,Male,64
2012,Victims of sexual harassment,18 to under 21 years,Male,56
2013,Victims of sexual harassment,18 to under 21 years,Male,58
2014,Victims of sexual harassment,18 to under 21 years,Male,55
2015,Victims of sexual harassment,18 to under 21 years,Male,63
2016,Victims of sexual harassment,18 to under 21 years,Male,74
2017,Victims of sexual harassment,18 to under 21 years,Male,74
2018,Victims of sexual harassment,18 to under 21 years,Male,97
2019,Victims of sexual harassment,18 to under 21 years,Male,85
2020,Victims of sexual harassment,18 to under 21 years,Male,93
2021,Victims of sexual harassment,18 to under 21 years,Male,94
2022,Victims of sexual harassment,18 to under 21 years,Male,99
2023,Victims of sexual harassment,18 to under 21 years,Male,109
2010,Victims of sexual harassment,21 to under 60 years,,4797
2011,Victims of sexual harassment,21 to under 60 years,,5125
2012,Victims of sexual harassment,21 to under 60 years,,5438
2013,Victims of sexual harassment,21 to under 60 years,,5293
2014,Victims of sexual harassment,21 to under 60 years,,5463
2015,Victims of sexual harassment,21 to under 60 years,,5446
2016,Victims of sexual harassment,21 to under 60 years,,5894
2017,Victims of sexual harassment,21 to under 60 years,,5581
2018,Victims of sexual harassment,21 to under 60 years,,6041
2019,Victims of sexual harassment,21 to under 60 years,,5656
2020,Victims of sexual harassment,21 to under 60 years,,6488
2021,Victims of sexual harassment,21 to under 60 years,,6252
2022,Victims of sexual harassment,21 to under 60 years,,6545
2023,Victims of sexual harassment,21 to under 60 years,,6992
2010,Victims of sexual harassment,21 to under 60 years,Female,4192
2011,Victims of sexual harassment,21 to under 60 years,Female,4468
2012,Victims of sexual harassment,21 to under 60 years,Female,4801
2013,Victims of sexual harassment,21 to under 60 years,Female,4672
2014,Victims of sexual harassment,21 to under 60 years,Female,4761
2015,Victims of sexual harassment,21 to under 60 years,Female,4734
2016,Victims of sexual harassment,21 to under 60 years,Female,5097
2017,Victims of sexual harassment,21 to under 60 years,Female,4816
2018,Victims of sexual harassment,21 to under 60 years,Female,5219
2019,Victims of sexual harassment,21 to under 60 years,Female,4743
2020,Victims of sexual harassment,21 to under 60 years,Female,5489
2021,Victims of sexual harassment,21 to under 60 years,Female,5234
2022,Victims of sexual harassment,21 to under 60 years,Female,5464
2023,Victims of sexual harassment,21 to under 60 years,Female,5760
2010,Victims of sexual harassment,21 to under 60 years,Male,605
2011,Victims of sexual harassment,21 to under 60 years,Male,657
2012,Victims of sexual harassment,21 to under 60 years,Male,637
2013,Victims of sexual harassment,21 to under 60 years,Male,621
2014,Victims of sexual harassment,21 to under 60 years,Male,702
2015,Victims of sexual harassment,21 to under 60 years,Male,712
2016,Victims of sexual harassment,21 to under 60 years,Male,797
2017,Victims of sexual harassment,21 to under 60 years,Male,765
2018,Victims of sexual harassment,21 to under 60 years,Male,822
2019,Victims of sexual harassment,21 to under 60 years,Male,913
2020,Victims of sexual harassment,21 to under 60 years,Male,999
2021,Victims of sexual harassment,21 to under 60 years,Male,1018
2022,Victims of sexual harassment,21 to under 60 years,Male,1081
2023,Victims of sexual harassment,21 to under 60 years,Male,1232
2010,Victims of sexual harassment,60 years and older,,663
2011,Victims of sexual harassment,60 years and older,,713
2012,Victims of sexual harassment,60 years and older,,704
2013,Victims of sexual harassment,60 years and older,,732
2014,Victims of sexual harassment,60 years and older,,716
2015,Victims of sexual harassment,60 years and older,,768
2016,Victims of sexual harassment,60 years and older,,780
2017,Victims of sexual harassment,60 years and older,,751
2018,Victims of sexual harassment,60 years and older,,809
2019,Victims of sexual harassment,60 years and older,,738
2020,Victims of sexual harassment,60 years and older,,797
2021,Victims of sexual harassment,60 years and older,,790
2022,Victims of sexual harassment,60 years and older,,786
2023,Victims of sexual harassment,60 years and older,,909
2010,Victims of sexual harassment,60 years and older,Female,592
2011,Victims of sexual harassment,60 years and older,Female,618
2012,Victims of sexual harassment,60 years and older,Female,626
2013,Victims of sexual harassment,60 years and older,Female,668
2014,Victims of sexual harassment,60 years and older,Female,638
2015,Victims of sexual harassment,60 years and older,Female,671
2016,Victims of sexual harassment,60 years and older,Female,702
2017,Victims of sexual harassment,60 years and older,Female,659
2018,Victims of sexual harassment,60 years and older,Female,689
2019,Victims of sexual harassment,60 years and older,Female,662
2020,Victims of sexual harassment,60 years and older,Female,676
2021,Victims of sexual harassment,60 years and older,Female,689
2022,Victims of sexual harassment,60 years and older,Female,671
2023,Victims of sexual harassment,60 years and older,Female,744
2010,Victims of sexual harassment,60 years and older,Male,71
2011,Victims of sexual harassment,60 years and older,Male,95
2012,Victims of sexual harassment,60 years and older,Male,78
2013,Victims of sexual harassment,60 years and older,Male,64
2014,Victims of sexual harassment,60 years and older,Male,78
2015,Victims of sexual harassment,60 years and older,Male,97
2016,Victims of sexual harassment,60 years and older,Male,78
2017,Victims of sexual harassment,60 years and older,Male,92
2018,Victims of sexual harassment,60 years and older,Male,120
2019,Victims of sexual harassment,60 years and older,Male,76
2020,Victims of sexual harassment,60 years and older,Male,121
2021,Victims of sexual harassment,60 years and older,Male,101
2022,Victims of sexual harassment,60 years and older,Male,115
2023,Victims of sexual harassment,60 years and older,Male,165
