Year,Units,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,Männlich,,,,9.9
2022,Prozent,Haus- und Pflegearbeit,,15 Jahre und älter,Männlich,,,,10.5
2013,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,Männlich,,,,4.1
2022,Prozent,Haus- und Pflegearbeit,,15 bis unter 25 Jahre,Männlich,,,,4.3
2013,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,9.5
2022,Prozent,Haus- und Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,10.1
2013,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,10.2
2022,Prozent,Haus- und Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,10.4
2013,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,10.9
2022,Prozent,Haus- und Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,10.9
2013,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,Männlich,,,,13.6
2022,Prozent,Haus- und Pflegearbeit,,65 Jahre und älter,Männlich,,,,13.9
2013,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,,,,,12.8
2022,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,,,,,13.1
2013,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,,,,,5.5
2022,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,,,,,5.9
2013,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,13.4
2022,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,13.9
2013,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,12.9
2022,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,12.9
2013,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,,,,,13.4
2022,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,,,,,13.0
2013,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,,,,,15.6
2022,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,,,,,15.0
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,13.0
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,13.4
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,5.4
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,5.0
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,14.5
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,13.7
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,13.2
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,13.4
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,13.6
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,14.0
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,,,,,15.4
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,,,,,16.2
2013,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,15.7
2022,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,15.7
2013,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,Weiblich,,,,6.9
2022,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,Weiblich,,,,7.3
2013,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,17.5
2022,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,17.7
2013,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,15.7
2022,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,15.6
2013,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,Weiblich,,,,16.1
2022,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,Weiblich,,,,15.3
2013,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,Weiblich,,,,17.5
2022,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,Weiblich,,,,16.4
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,16.0
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,15.9
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,6.5
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,6.2
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,19.3
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,17.5
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,16.1
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,15.8
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.4
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.8
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.6
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.4
2013,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,9.9
2022,Prozent,Haus- und Pflegearbeit,Städte,15 Jahre und älter,Männlich,,,,10.5
2013,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,Männlich,,,,4.1
2022,Prozent,Haus- und Pflegearbeit,Städte,15 bis unter 25 Jahre,Männlich,,,,4.4
2013,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,9.4
2022,Prozent,Haus- und Pflegearbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,10.2
2013,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,10.2
2022,Prozent,Haus- und Pflegearbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,10.2
2013,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,Männlich,,,,10.7
2022,Prozent,Haus- und Pflegearbeit,Städte,55 bis unter 65 Jahre,Männlich,,,,10.6
2013,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,Männlich,,,,13.7
2022,Prozent,Haus- und Pflegearbeit,Städte,65 Jahre und älter,Männlich,,,,13.7
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,10.1
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,10.8
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,4.3
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,3.8
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,9.8
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,9.9
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,10.2
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,11.0
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,11.9
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,12.2
2013,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,13.2
2022,Prozent,Haus- und Pflegearbeit,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,14.9
2013,Prozent,Hausarbeit,,,,,,,11.2
2022,Prozent,Hausarbeit,,,,,,,10.9
2013,Prozent,Hausarbeit,Städte,,,,,,11.1
2022,Prozent,Hausarbeit,Städte,,,,,,10.9
2013,Prozent,Hausarbeit,Ländliche Gebiete,,,,,,11.5
2022,Prozent,Hausarbeit,Ländliche Gebiete,,,,,,11.3
2013,Prozent,Hausarbeit,,15 Jahre und älter,,,,,11.6
2022,Prozent,Hausarbeit,,15 Jahre und älter,,,,,11.3
2013,Prozent,Hausarbeit,,15 bis unter 25 Jahre,,,,,5.2
2022,Prozent,Hausarbeit,,15 bis unter 25 Jahre,,,,,5.4
2013,Prozent,Hausarbeit,,25 bis unter 45 Jahre,,,,,10.2
2022,Prozent,Hausarbeit,,25 bis unter 45 Jahre,,,,,9.3
2013,Prozent,Hausarbeit,,45 bis unter 55 Jahre,,,,,12.2
2022,Prozent,Hausarbeit,,45 bis unter 55 Jahre,,,,,11.5
2013,Prozent,Hausarbeit,,55 bis unter 65 Jahre,,,,,13.2
2022,Prozent,Hausarbeit,,55 bis unter 65 Jahre,,,,,12.9
2013,Prozent,Hausarbeit,,65 Jahre und älter,,,,,15.4
2022,Prozent,Hausarbeit,,65 Jahre und älter,,,,,15.1
2013,Prozent,Hausarbeit,,,Weiblich,,,,13.6
2022,Prozent,Hausarbeit,,,Weiblich,,,,12.9
2013,Prozent,Hausarbeit,,,Männlich,,,,8.8
2022,Prozent,Hausarbeit,,,Männlich,,,,9.0
2013,Prozent,Hausarbeit,Städte,,Weiblich,,,,13.5
2022,Prozent,Hausarbeit,Städte,,Weiblich,,,,12.8
2013,Prozent,Hausarbeit,Ländliche Gebiete,,Weiblich,,,,13.9
2022,Prozent,Hausarbeit,Ländliche Gebiete,,Weiblich,,,,13.3
2013,Prozent,Hausarbeit,,15 Jahre und älter,Weiblich,,,,14.0
2022,Prozent,Hausarbeit,,15 Jahre und älter,Weiblich,,,,13.4
2013,Prozent,Hausarbeit,,15 bis unter 25 Jahre,Weiblich,,,,6.4
2022,Prozent,Hausarbeit,,15 bis unter 25 Jahre,Weiblich,,,,6.7
2013,Prozent,Hausarbeit,,25 bis unter 45 Jahre,Weiblich,,,,12.9
2022,Prozent,Hausarbeit,,25 bis unter 45 Jahre,Weiblich,,,,11.3
2013,Prozent,Hausarbeit,,45 bis unter 55 Jahre,Weiblich,,,,14.9
2022,Prozent,Hausarbeit,,45 bis unter 55 Jahre,Weiblich,,,,14.0
2013,Prozent,Hausarbeit,,55 bis unter 65 Jahre,Weiblich,,,,15.7
2022,Prozent,Hausarbeit,,55 bis unter 65 Jahre,Weiblich,,,,15.2
2013,Prozent,Hausarbeit,,65 Jahre und älter,Weiblich,,,,17.3
2022,Prozent,Hausarbeit,,65 Jahre und älter,Weiblich,,,,16.5
2013,Prozent,Hausarbeit,Städte,,Männlich,,,,8.8
2022,Prozent,Hausarbeit,Städte,,Männlich,,,,8.9
2013,Prozent,Hausarbeit,Ländliche Gebiete,,Männlich,,,,9.1
2022,Prozent,Hausarbeit,Ländliche Gebiete,,Männlich,,,,9.3
2013,Prozent,Hausarbeit,,15 Jahre und älter,Männlich,,,,9.1
2022,Prozent,Hausarbeit,,15 Jahre und älter,Männlich,,,,9.3
2013,Prozent,Hausarbeit,,15 bis unter 25 Jahre,Männlich,,,,4.0
2022,Prozent,Hausarbeit,,15 bis unter 25 Jahre,Männlich,,,,4.1
2013,Prozent,Hausarbeit,,25 bis unter 45 Jahre,Männlich,,,,7.5
2022,Prozent,Hausarbeit,,25 bis unter 45 Jahre,Männlich,,,,7.3
2013,Prozent,Hausarbeit,,45 bis unter 55 Jahre,Männlich,,,,9.5
2022,Prozent,Hausarbeit,,45 bis unter 55 Jahre,Männlich,,,,9.0
2013,Prozent,Hausarbeit,,55 bis unter 65 Jahre,Männlich,,,,10.6
2022,Prozent,Hausarbeit,,55 bis unter 65 Jahre,Männlich,,,,10.6
2013,Prozent,Hausarbeit,,65 Jahre und älter,Männlich,,,,13.4
2022,Prozent,Hausarbeit,,65 Jahre und älter,Männlich,,,,13.7
2013,Prozent,Hausarbeit,Städte,15 Jahre und älter,,,,,11.5
2022,Prozent,Hausarbeit,Städte,15 Jahre und älter,,,,,11.3
2013,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,,,,,5.2
2022,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,,,,,5.6
2013,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,,,,,10.0
2022,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,,,,,9.2
2013,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,,,,,12.1
2022,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,,,,,11.4
2013,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,,,,,13.1
2022,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,,,,,12.7
2013,Prozent,Hausarbeit,Städte,65 Jahre und älter,,,,,15.4
2022,Prozent,Hausarbeit,Städte,65 Jahre und älter,,,,,14.9
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,,,,,11.9
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,,,,,11.7
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,5.1
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,4.9
2013,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,11.2
2022,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,9.4
2013,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,12.6
2022,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,12.1
2013,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,13.5
2022,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,,,,,13.6
2013,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,,,,,15.2
2022,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,,,,,16.0
2013,Prozent,Hausarbeit,Städte,15 Jahre und älter,Weiblich,,,,13.9
2022,Prozent,Hausarbeit,Städte,15 Jahre und älter,Weiblich,,,,13.3
2013,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,Weiblich,,,,6.5
2022,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,Weiblich,,,,6.9
2013,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,12.5
2022,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,Weiblich,,,,11.3
2013,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,14.8
2022,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,Weiblich,,,,13.9
2013,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,Weiblich,,,,15.9
2022,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,Weiblich,,,,15.1
2013,Prozent,Hausarbeit,Städte,65 Jahre und älter,Weiblich,,,,17.3
2022,Prozent,Hausarbeit,Städte,65 Jahre und älter,Weiblich,,,,16.3
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,14.4
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,Weiblich,,,,13.7
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,5.9
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Weiblich,,,,6.0
2013,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,14.4
2022,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Weiblich,,,,11.2
2013,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,15.5
2022,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Weiblich,,,,14.3
2013,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.2
2022,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Weiblich,,,,15.4
2013,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.4
2022,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,Weiblich,,,,17.3
2013,Prozent,Hausarbeit,Städte,15 Jahre und älter,Männlich,,,,9.1
2022,Prozent,Hausarbeit,Städte,15 Jahre und älter,Männlich,,,,9.2
2013,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,Männlich,,,,4.0
2022,Prozent,Hausarbeit,Städte,15 bis unter 25 Jahre,Männlich,,,,4.3
2013,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,7.4
2022,Prozent,Hausarbeit,Städte,25 bis unter 45 Jahre,Männlich,,,,7.2
2013,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,9.4
2022,Prozent,Hausarbeit,Städte,45 bis unter 55 Jahre,Männlich,,,,8.8
2013,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,Männlich,,,,10.4
2022,Prozent,Hausarbeit,Städte,55 bis unter 65 Jahre,Männlich,,,,10.4
2013,Prozent,Hausarbeit,Städte,65 Jahre und älter,Männlich,,,,13.5
2022,Prozent,Hausarbeit,Städte,65 Jahre und älter,Männlich,,,,13.5
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,9.4
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 Jahre und älter,Männlich,,,,9.7
2013,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,4.3
2022,Prozent,Hausarbeit,Ländliche Gebiete,15 bis unter 25 Jahre,Männlich,,,,3.8
2013,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,8.1
2022,Prozent,Hausarbeit,Ländliche Gebiete,25 bis unter 45 Jahre,Männlich,,,,7.6
2013,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,9.7
2022,Prozent,Hausarbeit,Ländliche Gebiete,45 bis unter 55 Jahre,Männlich,,,,9.8
2013,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,11.7
2022,Prozent,Hausarbeit,Ländliche Gebiete,55 bis unter 65 Jahre,Männlich,,,,11.8
2013,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,13.1
2022,Prozent,Hausarbeit,Ländliche Gebiete,65 Jahre und älter,Männlich,,,,14.8
2013,Prozent,Pflegearbeit,,,,,,,1.2
2022,Prozent,Pflegearbeit,,,,,,,1.7
2013,Prozent,Pflegearbeit,Städte,,,,,,1.2
2022,Prozent,Pflegearbeit,Städte,,,,,,1.7
2013,Prozent,Pflegearbeit,Ländliche Gebiete,,,,,,1.1
2022,Prozent,Pflegearbeit,Ländliche Gebiete,,,,,,1.6
2013,Prozent,Pflegearbeit,,15 Jahre und älter,,,,,1.3
2022,Prozent,Pflegearbeit,,15 Jahre und älter,,,,,1.8
2013,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,,,,,3.4
2022,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,,,,,4.6
2013,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,,,,,0.8
2022,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,,,,,1.5
2022,Prozent,Pflegearbeit,,55 bis unter 65 Jahre,,,,,0.3
2013,Prozent,Pflegearbeit,,,Weiblich,,,,1.6
2022,Prozent,Pflegearbeit,,,Weiblich,,,,2.2
2013,Prozent,Pflegearbeit,,,Männlich,,,,0.8
2022,Prozent,Pflegearbeit,,,Männlich,,,,1.2
2013,Prozent,Pflegearbeit,Städte,,Weiblich,,,,1.6
2022,Prozent,Pflegearbeit,Städte,,Weiblich,,,,2.2
2013,Prozent,Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,1.5
2022,Prozent,Pflegearbeit,Ländliche Gebiete,,Weiblich,,,,2.1
2013,Prozent,Pflegearbeit,,15 Jahre und älter,Weiblich,,,,1.7
2022,Prozent,Pflegearbeit,,15 Jahre und älter,Weiblich,,,,2.3
2013,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,5.0
2022,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,Weiblich,,,,6.4
2013,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,0.9
2022,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,Weiblich,,,,1.7
2022,Prozent,Pflegearbeit,,55 bis unter 65 Jahre,Weiblich,,,,0.3
2013,Prozent,Pflegearbeit,Städte,,Männlich,,,,0.8
2022,Prozent,Pflegearbeit,Städte,,Männlich,,,,1.2
2013,Prozent,Pflegearbeit,Ländliche Gebiete,,Männlich,,,,0.6
2022,Prozent,Pflegearbeit,Ländliche Gebiete,,Männlich,,,,1.0
2013,Prozent,Pflegearbeit,,15 Jahre und älter,Männlich,,,,0.8
2022,Prozent,Pflegearbeit,,15 Jahre und älter,Männlich,,,,1.2
2013,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,1.9
2022,Prozent,Pflegearbeit,,25 bis unter 45 Jahre,Männlich,,,,2.8
2013,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,0.7
2022,Prozent,Pflegearbeit,,45 bis unter 55 Jahre,Männlich,,,,1.4
2013,Prozent,Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,0.3
2022,Prozent,Pflegearbeit,,55 bis unter 65 Jahre,Männlich,,,,0.3
2013,Prozent,Pflegearbeit,Städte,15 Jahre und älter,,,,,1.3
2022,Prozent,Pflegearbeit,Städte,15 Jahre und älter,,,,,1.8
2013,Prozent,Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,3.5
2022,Prozent,Pflegearbeit,Städte,25 bis unter 45 Jahre,,,,,4.7
2013,Prozent,Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,0.9
2022,Prozent,Pflegearbeit,Städte,45 bis unter 55 Jahre,,,,,1.5
2013,Prozent,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,1.1
2022,Prozent,Pflegearbeit,Ländliche Gebiete,15 Jahre und älter,,,,,1.6
2013,Prozent,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,3.3
2022,Prozent,Pflegearbeit,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,4.3
2022,Prozent,Pflegearbeit,Ländliche Gebiete,45 bis unter 55 Jahre,,,,,1.4
2013,Prozent,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,1.7
2022,Prozent,Pflegearbeit,Städte,15 Jahre und älter,Weiblich,,,,2.3
