Year,Units,Art der Belästigung,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,25.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,25.1
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,26.1
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,25.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,26.8
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,24.8
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,26.8
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,27.3
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,,,,29.9
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,,|,,,32.9
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,71.8
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,69.7
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,48.2
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,|,,,65.1
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,60.2
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,45.9
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,46.0
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,47.2
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,48.2
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,47.6
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,42.5
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,46.2
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,47.0
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,,,,52.3
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Weiblich,|,,,54.9
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,9.5
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.5
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,5.1
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,|,,,7.8
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,7.3
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,6.1
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,5.8
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,6.7
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,4.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,7.4
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.1
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.5
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,,,,8.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,14 bis unter 18 Jahre,Männlich,|,,,12.4
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,87.1
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,80.7
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,78.4
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,|,,,71.7
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,68.0
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,56.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,48.0
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,50.6
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,55.5
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,49.4
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,54.7
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,56.7
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,55.0
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,,,,58.1
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,,|,,,65.8
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,158.1
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,146.2
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,142.5
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,|,,,131.9
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,125.1
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,105.4
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,91.8
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,96.9
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,104.3
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,93.4
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,103.6
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,103.8
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,101.3
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,,,,103.6
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Weiblich,|,,,119.4
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,19.4
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,18.3
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,17.4
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,,,14.5
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,14.2
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,10.7
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,8.5
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,9.0
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,11.8
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,9.6
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,10.1
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,13.1
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,11.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,,,,15.7
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,18 bis unter 21 Jahre,Männlich,|,,,16.3
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,52.0
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,48.7
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,48.1
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,|,,,47.8
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,43.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.6
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.3
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,36.8
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.7
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,37.8
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,39.8
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,42.2
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,44.5
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,,,,47.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,,|,,,51.5
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,83.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,79.1
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,78.9
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,,,77.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,70.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,61.5
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,61.7
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,60.9
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,62.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,63.2
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,66.0
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,69.4
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,73.8
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,,,,78.6
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Weiblich,|,,,85.4
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,20.9
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,19.2
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,18.2
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,|,,,18.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,16.9
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,14.3
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.7
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.5
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.6
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,13.3
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,14.4
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,15.8
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,16.1
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,,,,17.8
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,21 bis unter 60 Jahre,Männlich,|,,,18.7
2010,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.8
2011,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.0
2012,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.9
2013,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,|,,,6.6
2014,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.4
2015,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.7
2016,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.6
2017,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.2
2018,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2019,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2020,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.4
2021,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,5.9
2022,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,6.4
2023,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,,,,7.1
2024,Je 100 000 Einwohner/-innen,Nicht-sexuelle Belästigung,60 Jahre und älter,,|,,,7.1
