Year,Time series,Type of disease,Value
2020,Inpatient treatment of neglected tropical diseases,Buruli ulcer,28
2021,Inpatient treatment of neglected tropical diseases,Buruli ulcer,25
2010,Inpatient treatment of neglected tropical diseases,Echinococcosis,323
2011,Inpatient treatment of neglected tropical diseases,Echinococcosis,373
2012,Inpatient treatment of neglected tropical diseases,Echinococcosis,359
2013,Inpatient treatment of neglected tropical diseases,Echinococcosis,332
2014,Inpatient treatment of neglected tropical diseases,Echinococcosis,387
2015,Inpatient treatment of neglected tropical diseases,Echinococcosis,439
2016,Inpatient treatment of neglected tropical diseases,Echinococcosis,577
2017,Inpatient treatment of neglected tropical diseases,Echinococcosis,531
2018,Inpatient treatment of neglected tropical diseases,Echinococcosis,494
2019,Inpatient treatment of neglected tropical diseases,Echinococcosis,529
2020,Inpatient treatment of neglected tropical diseases,Echinococcosis,498
2021,Inpatient treatment of neglected tropical diseases,Echinococcosis,468
2010,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,1
2011,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,0
2012,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,3
2013,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,0
2014,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,2
2015,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,0
2016,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,1
2017,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,2
2018,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,1
2019,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,3
2020,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,1
2021,Inpatient treatment of neglected tropical diseases,Human African Trypanosomiasis,0
2010,Inpatient treatment of neglected tropical diseases,Leprosy,4
2011,Inpatient treatment of neglected tropical diseases,Leprosy,7
2012,Inpatient treatment of neglected tropical diseases,Leprosy,11
2013,Inpatient treatment of neglected tropical diseases,Leprosy,6
2014,Inpatient treatment of neglected tropical diseases,Leprosy,11
2015,Inpatient treatment of neglected tropical diseases,Leprosy,5
2016,Inpatient treatment of neglected tropical diseases,Leprosy,8
2017,Inpatient treatment of neglected tropical diseases,Leprosy,3
2018,Inpatient treatment of neglected tropical diseases,Leprosy,2
2019,Inpatient treatment of neglected tropical diseases,Leprosy,7
2020,Inpatient treatment of neglected tropical diseases,Leprosy,2
2021,Inpatient treatment of neglected tropical diseases,Leprosy,5
2010,Inpatient treatment of neglected tropical diseases,Leishmaniases,42
2011,Inpatient treatment of neglected tropical diseases,Leishmaniases,25
2012,Inpatient treatment of neglected tropical diseases,Leishmaniases,38
2013,Inpatient treatment of neglected tropical diseases,Leishmaniases,47
2014,Inpatient treatment of neglected tropical diseases,Leishmaniases,66
2015,Inpatient treatment of neglected tropical diseases,Leishmaniases,106
2016,Inpatient treatment of neglected tropical diseases,Leishmaniases,154
2017,Inpatient treatment of neglected tropical diseases,Leishmaniases,123
2018,Inpatient treatment of neglected tropical diseases,Leishmaniases,70
2019,Inpatient treatment of neglected tropical diseases,Leishmaniases,64
2020,Inpatient treatment of neglected tropical diseases,Leishmaniases,49
2021,Inpatient treatment of neglected tropical diseases,Leishmaniases,56
2010,Inpatient treatment of neglected tropical diseases,Rabies,4
2011,Inpatient treatment of neglected tropical diseases,Rabies,0
2012,Inpatient treatment of neglected tropical diseases,Rabies,0
2013,Inpatient treatment of neglected tropical diseases,Rabies,2
2014,Inpatient treatment of neglected tropical diseases,Rabies,2
2015,Inpatient treatment of neglected tropical diseases,Rabies,0
2016,Inpatient treatment of neglected tropical diseases,Rabies,3
2017,Inpatient treatment of neglected tropical diseases,Rabies,0
2018,Inpatient treatment of neglected tropical diseases,Rabies,3
2019,Inpatient treatment of neglected tropical diseases,Rabies,2
2020,Inpatient treatment of neglected tropical diseases,Rabies,0
2021,Inpatient treatment of neglected tropical diseases,Rabies,0
2010,Inpatient treatment of neglected tropical diseases,Yaws,2
2011,Inpatient treatment of neglected tropical diseases,Yaws,3
2012,Inpatient treatment of neglected tropical diseases,Yaws,0
2013,Inpatient treatment of neglected tropical diseases,Yaws,0
2014,Inpatient treatment of neglected tropical diseases,Yaws,2
2015,Inpatient treatment of neglected tropical diseases,Yaws,1
2016,Inpatient treatment of neglected tropical diseases,Yaws,0
2017,Inpatient treatment of neglected tropical diseases,Yaws,1
2018,Inpatient treatment of neglected tropical diseases,Yaws,2
2019,Inpatient treatment of neglected tropical diseases,Yaws,0
2020,Inpatient treatment of neglected tropical diseases,Yaws,0
2021,Inpatient treatment of neglected tropical diseases,Yaws,0
2010,Inpatient treatment of neglected tropical diseases,Dengue,0
2011,Inpatient treatment of neglected tropical diseases,Dengue,0
2012,Inpatient treatment of neglected tropical diseases,Dengue,0
2013,Inpatient treatment of neglected tropical diseases,Dengue,0
2014,Inpatient treatment of neglected tropical diseases,Dengue,0
2015,Inpatient treatment of neglected tropical diseases,Dengue,0
2016,Inpatient treatment of neglected tropical diseases,Dengue,260
2017,Inpatient treatment of neglected tropical diseases,Dengue,217
2018,Inpatient treatment of neglected tropical diseases,Dengue,174
2019,Inpatient treatment of neglected tropical diseases,Dengue,354
2020,Inpatient treatment of neglected tropical diseases,Dengue,50
2021,Inpatient treatment of neglected tropical diseases,Dengue,22
2010,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2011,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2012,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2013,Inpatient treatment of neglected tropical diseases,Dracunculiasis,1
2014,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2015,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2016,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2017,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2018,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2019,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2020,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2021,Inpatient treatment of neglected tropical diseases,Dracunculiasis,0
2010,People requiring interventions against neglected tropical diseases,Rabies,0
2011,People requiring interventions against neglected tropical diseases,Rabies,0
2012,People requiring interventions against neglected tropical diseases,Rabies,0
2013,People requiring interventions against neglected tropical diseases,Rabies,0
2014,People requiring interventions against neglected tropical diseases,Rabies,0
2015,People requiring interventions against neglected tropical diseases,Rabies,0
2016,People requiring interventions against neglected tropical diseases,Rabies,0
2017,People requiring interventions against neglected tropical diseases,Rabies,0
2018,People requiring interventions against neglected tropical diseases,Rabies,0
2019,People requiring interventions against neglected tropical diseases,Rabies,0
2020,People requiring interventions against neglected tropical diseases,Rabies,0
2021,People requiring interventions against neglected tropical diseases,Rabies,0
