Year,Units,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Percentage,Domestic work,Rural areas,,Male,,,,9.1
2022,Percentage,Domestic work,Rural areas,,Male,,,,9.3
2013,Percentage,Domestic work,,15 years and older,Male,,,,9.1
2022,Percentage,Domestic work,,15 years and older,Male,,,,9.3
2013,Percentage,Domestic work,,15 to under 25 years,Male,,,,4.0
2022,Percentage,Domestic work,,15 to under 25 years,Male,,,,4.1
2013,Percentage,Domestic work,,25 to under 45 years,Male,,,,7.5
2022,Percentage,Domestic work,,25 to under 45 years,Male,,,,7.3
2013,Percentage,Domestic work,,45 to under 55 years,Male,,,,9.5
2022,Percentage,Domestic work,,45 to under 55 years,Male,,,,9.0
2013,Percentage,Domestic work,,55 to under 65 years,Male,,,,10.6
2022,Percentage,Domestic work,,55 to under 65 years,Male,,,,10.6
2013,Percentage,Domestic work,,65 years and older,Male,,,,13.4
2022,Percentage,Domestic work,,65 years and older,Male,,,,13.7
2013,Percentage,Domestic work,Urban,15 years and older,,,,,11.5
2022,Percentage,Domestic work,Urban,15 years and older,,,,,11.3
2013,Percentage,Domestic work,Urban,15 to under 25 years,,,,,5.2
2022,Percentage,Domestic work,Urban,15 to under 25 years,,,,,5.6
2013,Percentage,Domestic work,Urban,25 to under 45 years,,,,,10.0
2022,Percentage,Domestic work,Urban,25 to under 45 years,,,,,9.2
2013,Percentage,Domestic work,Urban,45 to under 55 years,,,,,12.1
2022,Percentage,Domestic work,Urban,45 to under 55 years,,,,,11.4
2013,Percentage,Domestic work,Urban,55 to under 65 years,,,,,13.1
2022,Percentage,Domestic work,Urban,55 to under 65 years,,,,,12.7
2013,Percentage,Domestic work,Urban,65 years and older,,,,,15.4
2022,Percentage,Domestic work,Urban,65 years and older,,,,,14.9
2013,Percentage,Domestic work,Rural areas,15 years and older,,,,,11.9
2022,Percentage,Domestic work,Rural areas,15 years and older,,,,,11.7
2013,Percentage,Domestic work,Rural areas,15 to under 25 years,,,,,5.1
2022,Percentage,Domestic work,Rural areas,15 to under 25 years,,,,,4.9
2013,Percentage,Domestic work,Rural areas,25 to under 45 years,,,,,11.2
2022,Percentage,Domestic work,Rural areas,25 to under 45 years,,,,,9.4
2013,Percentage,Domestic work,Rural areas,45 to under 55 years,,,,,12.6
2022,Percentage,Domestic work,Rural areas,45 to under 55 years,,,,,12.1
2013,Percentage,Domestic work,Rural areas,55 to under 65 years,,,,,13.5
2022,Percentage,Domestic work,Rural areas,55 to under 65 years,,,,,13.6
2013,Percentage,Domestic work,Rural areas,65 years and older,,,,,15.2
2022,Percentage,Domestic work,Rural areas,65 years and older,,,,,16.0
2013,Percentage,Domestic work,Urban,15 years and older,Female,,,,13.9
2022,Percentage,Domestic work,Urban,15 years and older,Female,,,,13.3
2013,Percentage,Domestic work,Urban,15 to under 25 years,Female,,,,6.5
2022,Percentage,Domestic work,Urban,15 to under 25 years,Female,,,,6.9
2013,Percentage,Domestic work,Urban,25 to under 45 years,Female,,,,12.5
2022,Percentage,Domestic work,Urban,25 to under 45 years,Female,,,,11.3
2013,Percentage,Domestic work,Urban,45 to under 55 years,Female,,,,14.8
2022,Percentage,Domestic work,Urban,45 to under 55 years,Female,,,,13.9
2013,Percentage,Domestic work,Urban,55 to under 65 years,Female,,,,15.9
2022,Percentage,Domestic work,Urban,55 to under 65 years,Female,,,,15.1
2013,Percentage,Domestic work,Urban,65 years and older,Female,,,,17.3
2022,Percentage,Domestic work,Urban,65 years and older,Female,,,,16.3
2013,Percentage,Domestic work,Rural areas,15 years and older,Female,,,,14.4
2022,Percentage,Domestic work,Rural areas,15 years and older,Female,,,,13.7
2013,Percentage,Domestic work,Rural areas,15 to under 25 years,Female,,,,5.9
2022,Percentage,Domestic work,Rural areas,15 to under 25 years,Female,,,,6.0
2013,Percentage,Domestic work,Rural areas,25 to under 45 years,Female,,,,14.4
2022,Percentage,Domestic work,Rural areas,25 to under 45 years,Female,,,,11.2
2013,Percentage,Domestic work,Rural areas,45 to under 55 years,Female,,,,15.5
2022,Percentage,Domestic work,Rural areas,45 to under 55 years,Female,,,,14.3
2013,Percentage,Domestic work,Rural areas,55 to under 65 years,Female,,,,15.2
2022,Percentage,Domestic work,Rural areas,55 to under 65 years,Female,,,,15.4
2013,Percentage,Domestic work,Rural areas,65 years and older,Female,,,,17.4
2022,Percentage,Domestic work,Rural areas,65 years and older,Female,,,,17.3
2013,Percentage,Domestic work,Urban,15 years and older,Male,,,,9.1
2022,Percentage,Domestic work,Urban,15 years and older,Male,,,,9.2
2013,Percentage,Domestic work,Urban,15 to under 25 years,Male,,,,4.0
2022,Percentage,Domestic work,Urban,15 to under 25 years,Male,,,,4.3
2013,Percentage,Domestic work,Urban,25 to under 45 years,Male,,,,7.4
2022,Percentage,Domestic work,Urban,25 to under 45 years,Male,,,,7.2
2013,Percentage,Domestic work,Urban,45 to under 55 years,Male,,,,9.4
2022,Percentage,Domestic work,Urban,45 to under 55 years,Male,,,,8.8
2013,Percentage,Domestic work,Urban,55 to under 65 years,Male,,,,10.4
2022,Percentage,Domestic work,Urban,55 to under 65 years,Male,,,,10.4
2013,Percentage,Domestic work,Urban,65 years and older,Male,,,,13.5
2022,Percentage,Domestic work,Urban,65 years and older,Male,,,,13.5
2013,Percentage,Domestic work,Rural areas,15 years and older,Male,,,,9.4
2022,Percentage,Domestic work,Rural areas,15 years and older,Male,,,,9.7
2013,Percentage,Domestic work,Rural areas,15 to under 25 years,Male,,,,4.3
2022,Percentage,Domestic work,Rural areas,15 to under 25 years,Male,,,,3.8
2013,Percentage,Domestic work,Rural areas,25 to under 45 years,Male,,,,8.1
2022,Percentage,Domestic work,Rural areas,25 to under 45 years,Male,,,,7.6
2013,Percentage,Domestic work,Rural areas,45 to under 55 years,Male,,,,9.7
2022,Percentage,Domestic work,Rural areas,45 to under 55 years,Male,,,,9.8
2013,Percentage,Domestic work,Rural areas,55 to under 65 years,Male,,,,11.7
2022,Percentage,Domestic work,Rural areas,55 to under 65 years,Male,,,,11.8
2013,Percentage,Domestic work,Rural areas,65 years and older,Male,,,,13.1
2022,Percentage,Domestic work,Rural areas,65 years and older,Male,,,,14.8
2013,Percentage,Care work,,,,,,,1.2
2022,Percentage,Care work,,,,,,,1.7
2013,Percentage,Care work,Urban,,,,,,1.2
2022,Percentage,Care work,Urban,,,,,,1.7
2013,Percentage,Care work,Rural areas,,,,,,1.1
2022,Percentage,Care work,Rural areas,,,,,,1.6
2013,Percentage,Care work,,15 years and older,,,,,1.3
2022,Percentage,Care work,,15 years and older,,,,,1.8
2013,Percentage,Care work,,25 to under 45 years,,,,,3.4
2022,Percentage,Care work,,25 to under 45 years,,,,,4.6
2013,Percentage,Care work,,45 to under 55 years,,,,,0.8
2022,Percentage,Care work,,45 to under 55 years,,,,,1.5
2022,Percentage,Care work,,55 to under 65 years,,,,,0.3
2013,Percentage,Care work,,,Female,,,,1.6
2022,Percentage,Care work,,,Female,,,,2.2
2013,Percentage,Care work,,,Male,,,,0.8
2022,Percentage,Care work,,,Male,,,,1.2
2013,Percentage,Care work,Urban,,Female,,,,1.6
2022,Percentage,Care work,Urban,,Female,,,,2.2
2013,Percentage,Care work,Rural areas,,Female,,,,1.5
2022,Percentage,Care work,Rural areas,,Female,,,,2.1
2013,Percentage,Care work,,15 years and older,Female,,,,1.7
2022,Percentage,Care work,,15 years and older,Female,,,,2.3
2013,Percentage,Care work,,25 to under 45 years,Female,,,,5.0
2022,Percentage,Care work,,25 to under 45 years,Female,,,,6.4
2013,Percentage,Care work,,45 to under 55 years,Female,,,,0.9
2022,Percentage,Care work,,45 to under 55 years,Female,,,,1.7
2022,Percentage,Care work,,55 to under 65 years,Female,,,,0.3
2013,Percentage,Care work,Urban,,Male,,,,0.8
2022,Percentage,Care work,Urban,,Male,,,,1.2
2013,Percentage,Care work,Rural areas,,Male,,,,0.6
2022,Percentage,Care work,Rural areas,,Male,,,,1.0
2013,Percentage,Care work,,15 years and older,Male,,,,0.8
2022,Percentage,Care work,,15 years and older,Male,,,,1.2
2013,Percentage,Care work,,25 to under 45 years,Male,,,,1.9
2022,Percentage,Care work,,25 to under 45 years,Male,,,,2.8
2013,Percentage,Care work,,45 to under 55 years,Male,,,,0.7
2022,Percentage,Care work,,45 to under 55 years,Male,,,,1.4
2013,Percentage,Care work,,55 to under 65 years,Male,,,,0.3
2022,Percentage,Care work,,55 to under 65 years,Male,,,,0.3
2013,Percentage,Care work,Urban,15 years and older,,,,,1.3
2022,Percentage,Care work,Urban,15 years and older,,,,,1.8
2013,Percentage,Care work,Urban,25 to under 45 years,,,,,3.5
2022,Percentage,Care work,Urban,25 to under 45 years,,,,,4.7
2013,Percentage,Care work,Urban,45 to under 55 years,,,,,0.9
2022,Percentage,Care work,Urban,45 to under 55 years,,,,,1.5
2013,Percentage,Care work,Rural areas,15 years and older,,,,,1.1
2022,Percentage,Care work,Rural areas,15 years and older,,,,,1.6
2013,Percentage,Care work,Rural areas,25 to under 45 years,,,,,3.3
2022,Percentage,Care work,Rural areas,25 to under 45 years,,,,,4.3
2022,Percentage,Care work,Rural areas,45 to under 55 years,,,,,1.4
2013,Percentage,Care work,Urban,15 years and older,Female,,,,1.7
2022,Percentage,Care work,Urban,15 years and older,Female,,,,2.3
2013,Percentage,Care work,Urban,25 to under 45 years,Female,,,,5.0
2022,Percentage,Care work,Urban,25 to under 45 years,Female,,,,6.4
2013,Percentage,Care work,Rural areas,15 years and older,Female,,,,1.6
2022,Percentage,Care work,Rural areas,15 years and older,Female,,,,2.2
2013,Percentage,Care work,Rural areas,25 to under 45 years,Female,,,,5.0
2022,Percentage,Care work,Rural areas,25 to under 45 years,Female,,,,6.2
2013,Percentage,Care work,Rural areas,45 to under 55 years,Female,,,,0.6
2022,Percentage,Care work,Rural areas,45 to under 55 years,Female,,,,1.5
2013,Percentage,Care work,Urban,15 years and older,Male,,,,0.8
2022,Percentage,Care work,Urban,15 years and older,Male,,,,1.3
2013,Percentage,Care work,Urban,25 to under 45 years,Male,,,,2.0
2022,Percentage,Care work,Urban,25 to under 45 years,Male,,,,2.9
2013,Percentage,Care work,Urban,45 to under 55 years,Male,,,,0.7
2022,Percentage,Care work,Urban,45 to under 55 years,Male,,,,1.4
2013,Percentage,Care work,Rural areas,15 years and older,Male,,,,0.6
2022,Percentage,Care work,Rural areas,15 years and older,Male,,,,1.1
2013,Percentage,Care work,Rural areas,25 to under 45 years,Male,,,,1.7
2022,Percentage,Care work,Rural areas,25 to under 45 years,Male,,,,2.3
2022,Percentage,Care work,Rural areas,45 to under 55 years,Male,,,,1.2
2013,Houres per day,Domestic and care work,,,,,,,3.0
2022,Houres per day,Domestic and care work,,,,,,,3.0
2013,Houres per day,Domestic and care work,Urban,,,,,,3.0
2022,Houres per day,Domestic and care work,Urban,,,,,,3.0
2013,Houres per day,Domestic and care work,Rural areas,,,,,,3.0
2022,Houres per day,Domestic and care work,Rural areas,,,,,,3.1
2013,Houres per day,Domestic and care work,,15 years and older,,,,,3.1
2022,Houres per day,Domestic and care work,,15 years and older,,,,,3.2
2013,Houres per day,Domestic and care work,,15 to under 25 years,,,,,1.3
2022,Houres per day,Domestic and care work,,15 to under 25 years,,,,,1.4
2013,Houres per day,Domestic and care work,,25 to under 45 years,,,,,3.3
2022,Houres per day,Domestic and care work,,25 to under 45 years,,,,,3.3
2013,Houres per day,Domestic and care work,,45 to under 55 years,,,,,3.1
2022,Houres per day,Domestic and care work,,45 to under 55 years,,,,,3.1
2013,Houres per day,Domestic and care work,,55 to under 65 years,,,,,3.2
2022,Houres per day,Domestic and care work,,55 to under 65 years,,,,,3.2
2013,Houres per day,Domestic and care work,,65 years and older,,,,,3.7
2022,Houres per day,Domestic and care work,,65 years and older,,,,,3.7
2013,Houres per day,Domestic and care work,,,Female,,,,3.6
2022,Houres per day,Domestic and care work,,,Female,,,,3.6
2013,Houres per day,Domestic and care work,,,Male,,,,2.3
2022,Houres per day,Domestic and care work,,,Male,,,,2.4
2013,Houres per day,Domestic and care work,Urban,,Female,,,,3.6
2022,Houres per day,Domestic and care work,Urban,,Female,,,,3.6
2013,Houres per day,Domestic and care work,Rural areas,,Female,,,,3.7
2022,Houres per day,Domestic and care work,Rural areas,,Female,,,,3.7
2013,Houres per day,Domestic and care work,,15 years and older,Female,,,,3.8
2022,Houres per day,Domestic and care work,,15 years and older,Female,,,,3.8
2013,Houres per day,Domestic and care work,,15 to under 25 years,Female,,,,1.6
2022,Houres per day,Domestic and care work,,15 to under 25 years,Female,,,,1.7
2013,Houres per day,Domestic and care work,,25 to under 45 years,Female,,,,4.3
2022,Houres per day,Domestic and care work,,25 to under 45 years,Female,,,,4.2
2013,Houres per day,Domestic and care work,,45 to under 55 years,Female,,,,3.8
2022,Houres per day,Domestic and care work,,45 to under 55 years,Female,,,,3.8
2013,Houres per day,Domestic and care work,,55 to under 65 years,Female,,,,3.8
2022,Houres per day,Domestic and care work,,55 to under 65 years,Female,,,,3.7
2013,Houres per day,Domestic and care work,,65 years and older,Female,,,,4.2
2022,Houres per day,Domestic and care work,,65 years and older,Female,,,,4.0
2013,Houres per day,Domestic and care work,Urban,,Male,,,,2.3
2022,Houres per day,Domestic and care work,Urban,,Male,,,,2.4
2013,Houres per day,Domestic and care work,Rural areas,,Male,,,,2.3
2022,Houres per day,Domestic and care work,Rural areas,,Male,,,,2.5
2013,Houres per day,Domestic and care work,,15 years and older,Male,,,,2.4
2022,Houres per day,Domestic and care work,,15 years and older,Male,,,,2.5
2013,Houres per day,Domestic and care work,,15 to under 25 years,Male,,,,1.0
2022,Houres per day,Domestic and care work,,15 to under 25 years,Male,,,,1.0
2013,Houres per day,Domestic and care work,,25 to under 45 years,Male,,,,2.3
2022,Houres per day,Domestic and care work,,25 to under 45 years,Male,,,,2.4
2013,Houres per day,Domestic and care work,,45 to under 55 years,Male,,,,2.5
2022,Houres per day,Domestic and care work,,45 to under 55 years,Male,,,,2.5
2013,Houres per day,Domestic and care work,,55 to under 65 years,Male,,,,2.6
2022,Houres per day,Domestic and care work,,55 to under 65 years,Male,,,,2.6
2013,Houres per day,Domestic and care work,,65 years and older,Male,,,,3.3
2022,Houres per day,Domestic and care work,,65 years and older,Male,,,,3.3
2013,Houres per day,Domestic and care work,Urban,15 years and older,,,,,3.1
2022,Houres per day,Domestic and care work,Urban,15 years and older,,,,,3.1
2013,Houres per day,Domestic and care work,Urban,15 to under 25 years,,,,,1.3
2022,Houres per day,Domestic and care work,Urban,15 to under 25 years,,,,,1.4
2013,Houres per day,Domestic and care work,Urban,25 to under 45 years,,,,,3.2
2022,Houres per day,Domestic and care work,Urban,25 to under 45 years,,,,,3.3
2013,Houres per day,Domestic and care work,Urban,45 to under 55 years,,,,,3.1
2022,Houres per day,Domestic and care work,Urban,45 to under 55 years,,,,,3.1
2013,Houres per day,Domestic and care work,Urban,55 to under 65 years,,,,,3.2
2022,Houres per day,Domestic and care work,Urban,55 to under 65 years,,,,,3.1
2013,Houres per day,Domestic and care work,Urban,65 years and older,,,,,3.7
2022,Houres per day,Domestic and care work,Urban,65 years and older,,,,,3.6
2013,Houres per day,Domestic and care work,Rural areas,15 years and older,,,,,3.1
2022,Houres per day,Domestic and care work,Rural areas,15 years and older,,,,,3.2
2013,Houres per day,Domestic and care work,Rural areas,15 to under 25 years,,,,,1.3
2022,Houres per day,Domestic and care work,Rural areas,15 to under 25 years,,,,,1.2
2013,Houres per day,Domestic and care work,Rural areas,25 to under 45 years,,,,,3.5
2022,Houres per day,Domestic and care work,Rural areas,25 to under 45 years,,,,,3.3
2013,Houres per day,Domestic and care work,Rural areas,45 to under 55 years,,,,,3.2
2022,Houres per day,Domestic and care work,Rural areas,45 to under 55 years,,,,,3.2
2013,Houres per day,Domestic and care work,Rural areas,55 to under 65 years,,,,,3.3
2022,Houres per day,Domestic and care work,Rural areas,55 to under 65 years,,,,,3.4
2013,Houres per day,Domestic and care work,Rural areas,65 years and older,,,,,3.7
2022,Houres per day,Domestic and care work,Rural areas,65 years and older,,,,,3.9
2013,Houres per day,Domestic and care work,Urban,15 years and older,Female,,,,3.8
