Year,Units,type of flow,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,million eur,private concessional flows (net disbursements),,,,1244.7
2016,million eur,private concessional flows (net disbursements),,,,1287.2
2017,million eur,private concessional flows (net disbursements),,,,1322.1
2018,million eur,private concessional flows (net disbursements),,,,1155.1
2019,million eur,private concessional flows (net disbursements),,,,1364.3
2020,million eur,private concessional flows (net disbursements),,,,1328.4
2021,million eur,private concessional flows (net disbursements),,,,1279.4
2022,million eur,private concessional flows (net disbursements),,,,1722.5
2023,million eur,private concessional flows (net disbursements),,,,1458.4
2024,million eur,private concessional flows (net disbursements),,,,1715.1
2010,"million usd, constant prices (2023)",,,,,46398.0
2011,"million usd, constant prices (2023)",,,,,58935.0
2012,"million usd, constant prices (2023)",,,,,38823.0
2013,"million usd, constant prices (2023)",,,,,56360.0
2014,"million usd, constant prices (2023)",,,,,55250.0
2015,"million usd, constant prices (2023)",,,,,58399.3
2016,"million usd, constant prices (2023)",,,,,59759.0
2017,"million usd, constant prices (2023)",,,,,63102.0
2018,"million usd, constant prices (2023)",,,,,57236.0
2019,"million usd, constant prices (2023)",,,,,48013.0
2020,"million usd, constant prices (2023)",,,,,49103.0
2021,"million usd, constant prices (2023)",,,,,71254.0
2022,"million usd, constant prices (2023)",,,,,56348.0
2023,"million usd, constant prices (2023)",,,,,74355.0
2024,"million usd, constant prices (2023)",,,,,65300.3
2010,"million usd, constant prices (2023)",oda (net disbursements),,,,14470.0
2011,"million usd, constant prices (2023)",oda (net disbursements),,,,14778.0
2012,"million usd, constant prices (2023)",oda (net disbursements),,,,14470.0
2013,"million usd, constant prices (2023)",oda (net disbursements),,,,15103.0
2014,"million usd, constant prices (2023)",oda (net disbursements),,,,17269.0
2015,"million usd, constant prices (2023)",oda (net disbursements),,,,21998.0
2016,"million usd, constant prices (2023)",oda (net disbursements),,,,30045.0
2017,"million usd, constant prices (2023)",oda (net disbursements),,,,29362.0
2018,"million usd, constant prices (2023)",oda (net disbursements),,,,28264.0
2019,"million usd, constant prices (2023)",oda (net disbursements),,,,27450.0
2020,"million usd, constant prices (2023)",oda (net disbursements),,,,32208.0
2021,"million usd, constant prices (2023)",oda (net disbursements),,,,33420.0
2022,"million usd, constant prices (2023)",oda (net disbursements),,,,39775.0
2023,"million usd, constant prices (2023)",oda (net disbursements),,,,41253.0
2024,"million usd, constant prices (2023)",oda (net disbursements),,,,32138.4
2010,"million usd, constant prices (2023)",oof (net disbursements),,,,76.0
2011,"million usd, constant prices (2023)",oof (net disbursements),,,,-151.0
2012,"million usd, constant prices (2023)",oof (net disbursements),,,,-102.0
2013,"million usd, constant prices (2023)",oof (net disbursements),,,,-90.0
2014,"million usd, constant prices (2023)",oof (net disbursements),,,,160.0
2015,"million usd, constant prices (2023)",oof (net disbursements),,,,1624.0
2016,"million usd, constant prices (2023)",oof (net disbursements),,,,-556.0
2017,"million usd, constant prices (2023)",oof (net disbursements),,,,-419.0
2018,"million usd, constant prices (2023)",oof (net disbursements),,,,-129.0
2019,"million usd, constant prices (2023)",oof (net disbursements),,,,16.0
2020,"million usd, constant prices (2023)",oof (net disbursements),,,,464.0
2021,"million usd, constant prices (2023)",oof (net disbursements),,,,1310.0
2022,"million usd, constant prices (2023)",oof (net disbursements),,,,252.0
2023,"million usd, constant prices (2023)",oof (net disbursements),,,,38.0
2024,"million usd, constant prices (2023)",oof (net disbursements),,,,160.5
2010,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,4131.0
2011,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10778.0
2012,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,7014.0
2013,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,5754.0
2014,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,-167.0
2015,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,2288.3
2016,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,4190.0
2017,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,7.0
2018,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,1529.0
2019,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,-2216.0
2020,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,-1343.0
2021,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,-1297.0
2022,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,-1499.0
2023,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,10484.0
2024,"million usd, constant prices (2023)",officially supported export credits (net disbursements),,,,1504.7
2010,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,26089.0
2011,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,31855.0
2012,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,15876.0
2013,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,34091.0
2014,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,36401.0
2015,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,30795.3
2016,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,24351.0
2017,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,32402.0
2018,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,26072.0
2019,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,21026.0
2020,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,16110.0
2021,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,36263.0
2022,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,15843.0
2023,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,20396.0
2024,"million usd, constant prices (2023)",private sector flows at market terms (net disbursement),,,,28438.6
2010,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1631.0
2011,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1675.0
2012,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1565.0
2013,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1503.0
2014,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1588.0
2015,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1693.0
2016,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1729.0
2017,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1750.0
2018,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1501.0
2019,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1738.0
2020,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1663.0
2021,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1558.0
2022,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1977.0
2023,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1577.0
2024,"million usd, constant prices (2023)",private concessional flows (net disbursements),,,,1795.6
