Year,time series,disease,Value
2018,inpatient treatment,yaws,2.0
2019,inpatient treatment,yaws,0.0
2020,inpatient treatment,yaws,0.0
2021,inpatient treatment,yaws,0.0
2022,inpatient treatment,yaws,
2010,inpatient treatment,dengue,0.0
2011,inpatient treatment,dengue,0.0
2012,inpatient treatment,dengue,0.0
2013,inpatient treatment,dengue,0.0
2014,inpatient treatment,dengue,0.0
2015,inpatient treatment,dengue,0.0
2016,inpatient treatment,dengue,260.0
2017,inpatient treatment,dengue,217.0
2018,inpatient treatment,dengue,174.0
2019,inpatient treatment,dengue,354.0
2020,inpatient treatment,dengue,50.0
2021,inpatient treatment,dengue,22.0
2022,inpatient treatment,dengue,
2010,inpatient treatment,dracunculiasis,0.0
2011,inpatient treatment,dracunculiasis,0.0
2012,inpatient treatment,dracunculiasis,0.0
2013,inpatient treatment,dracunculiasis,1.0
2014,inpatient treatment,dracunculiasis,0.0
2015,inpatient treatment,dracunculiasis,0.0
2016,inpatient treatment,dracunculiasis,0.0
2017,inpatient treatment,dracunculiasis,0.0
2018,inpatient treatment,dracunculiasis,0.0
2019,inpatient treatment,dracunculiasis,0.0
2020,inpatient treatment,dracunculiasis,0.0
2021,inpatient treatment,dracunculiasis,0.0
2022,inpatient treatment,dracunculiasis,
2010,people requiring interventions,rabies,0.0
2011,people requiring interventions,rabies,0.0
2012,people requiring interventions,rabies,0.0
2013,people requiring interventions,rabies,0.0
2014,people requiring interventions,rabies,0.0
2015,people requiring interventions,rabies,0.0
2016,people requiring interventions,rabies,0.0
2017,people requiring interventions,rabies,0.0
2018,people requiring interventions,rabies,0.0
2019,people requiring interventions,rabies,0.0
2020,people requiring interventions,rabies,0.0
2021,people requiring interventions,rabies,0.0
2022,people requiring interventions,rabies,
