Year,Units,age group,sex,typ of victim-suspect relationship,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.95
2018,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.02
2019,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.8
2020,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.87
2021,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.78
2022,"per 100,000 inhabitants",21 to under 60 years,,,,,,0.79
2023,"per 100,000 inhabitants",21 to under 60 years,,,,,,1.0
2024,"per 100,000 inhabitants",21 to under 60 years,,,|,,,0.98
2010,"per 100,000 inhabitants",60 years and older,,,,,,0.98
2011,"per 100,000 inhabitants",60 years and older,,,,,,0.86
2012,"per 100,000 inhabitants",60 years and older,,,,,,0.83
2013,"per 100,000 inhabitants",60 years and older,,,|,,,0.98
2014,"per 100,000 inhabitants",60 years and older,,,,,,0.97
2015,"per 100,000 inhabitants",60 years and older,,,,,,1.1
2016,"per 100,000 inhabitants",60 years and older,,,,,,1.29
2017,"per 100,000 inhabitants",60 years and older,,,,,,1.37
2018,"per 100,000 inhabitants",60 years and older,,,,,,1.01
2019,"per 100,000 inhabitants",60 years and older,,,,,,0.86
2020,"per 100,000 inhabitants",60 years and older,,,,,,1.23
2021,"per 100,000 inhabitants",60 years and older,,,,,,1.01
2022,"per 100,000 inhabitants",60 years and older,,,,,,1.08
2023,"per 100,000 inhabitants",60 years and older,,,,,,0.94
2024,"per 100,000 inhabitants",60 years and older,,,|,,,1.07
2010,"per 100,000 inhabitants",,female,,,,,0.94
2011,"per 100,000 inhabitants",,female,,,,,0.81
2012,"per 100,000 inhabitants",,female,,,,,0.71
2013,"per 100,000 inhabitants",,female,,|,,,0.8
2014,"per 100,000 inhabitants",,female,,,,,0.82
2015,"per 100,000 inhabitants",,female,,,,,0.79
2016,"per 100,000 inhabitants",,female,,,,,1.13
2017,"per 100,000 inhabitants",,female,,,,,0.91
2018,"per 100,000 inhabitants",,female,,,,,0.87
2019,"per 100,000 inhabitants",,female,,,,,0.66
2020,"per 100,000 inhabitants",,female,,,,,0.85
2021,"per 100,000 inhabitants",,female,,,,,0.8
2022,"per 100,000 inhabitants",,female,,,,,0.83
2023,"per 100,000 inhabitants",,female,,,,,0.87
2024,"per 100,000 inhabitants",,female,,|,,,0.8
2010,"per 100,000 inhabitants",,male,,,,,1.0
2011,"per 100,000 inhabitants",,male,,,,,1.0
2012,"per 100,000 inhabitants",,male,,,,,0.9
2013,"per 100,000 inhabitants",,male,,|,,,0.9
2014,"per 100,000 inhabitants",,male,,,,,0.95
2015,"per 100,000 inhabitants",,male,,,,,0.86
2016,"per 100,000 inhabitants",,male,,,,,1.22
2017,"per 100,000 inhabitants",,male,,,,,1.06
2018,"per 100,000 inhabitants",,male,,,,,1.03
2019,"per 100,000 inhabitants",,male,,,,,0.85
2020,"per 100,000 inhabitants",,male,,,,,1.04
2021,"per 100,000 inhabitants",,male,,,,,0.87
2022,"per 100,000 inhabitants",,male,,,,,0.82
2023,"per 100,000 inhabitants",,male,,,,,0.95
2024,"per 100,000 inhabitants",,male,,|,,,1.07
2010,"per 100,000 inhabitants",13 years and younger,female,,,,,0.74
2011,"per 100,000 inhabitants",13 years and younger,female,,,,,0.49
2012,"per 100,000 inhabitants",13 years and younger,female,,,,,0.8
2013,"per 100,000 inhabitants",13 years and younger,female,,|,,,0.77
2014,"per 100,000 inhabitants",13 years and younger,female,,,,,0.5
2015,"per 100,000 inhabitants",13 years and younger,female,,,,,0.52
2016,"per 100,000 inhabitants",13 years and younger,female,,,,,0.61
2017,"per 100,000 inhabitants",13 years and younger,female,,,,,0.56
2018,"per 100,000 inhabitants",13 years and younger,female,,,,,0.59
2019,"per 100,000 inhabitants",13 years and younger,female,,,,,0.33
2020,"per 100,000 inhabitants",13 years and younger,female,,,,,0.81
2021,"per 100,000 inhabitants",13 years and younger,female,,,,,0.82
2022,"per 100,000 inhabitants",13 years and younger,female,,,,,0.51
2023,"per 100,000 inhabitants",13 years and younger,female,,,,,0.72
2024,"per 100,000 inhabitants",13 years and younger,female,,|,,,0.38
2010,"per 100,000 inhabitants",13 years and younger,male,,,,,0.76
2011,"per 100,000 inhabitants",13 years and younger,male,,,,,0.94
2012,"per 100,000 inhabitants",13 years and younger,male,,,,,0.99
2013,"per 100,000 inhabitants",13 years and younger,male,,|,,,0.57
2014,"per 100,000 inhabitants",13 years and younger,male,,,,,0.77
2015,"per 100,000 inhabitants",13 years and younger,male,,,,,0.73
2016,"per 100,000 inhabitants",13 years and younger,male,,,,,0.73
2017,"per 100,000 inhabitants",13 years and younger,male,,,,,0.74
2018,"per 100,000 inhabitants",13 years and younger,male,,,,,0.75
2019,"per 100,000 inhabitants",13 years and younger,male,,,,,0.53
2020,"per 100,000 inhabitants",13 years and younger,male,,,,,0.68
2021,"per 100,000 inhabitants",13 years and younger,male,,,,,0.72
2022,"per 100,000 inhabitants",13 years and younger,male,,,,,0.43
2023,"per 100,000 inhabitants",13 years and younger,male,,,,,0.58
2024,"per 100,000 inhabitants",13 years and younger,male,,|,,,0.65
2010,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.89
2011,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.77
2012,"per 100,000 inhabitants",14 to under 18 years,female,,‒,,,0.0
2013,"per 100,000 inhabitants",14 to under 18 years,female,,|,,,0.26
2014,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.32
2015,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.58
2016,"per 100,000 inhabitants",14 to under 18 years,female,,,,,1.43
2017,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.07
2018,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.53
2019,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.27
2020,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.27
2021,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.48
2022,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.82
2023,"per 100,000 inhabitants",14 to under 18 years,female,,,,,0.53
2024,"per 100,000 inhabitants",14 to under 18 years,female,,|,,,0.47
2010,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.48
2011,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.91
2012,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.28
2013,"per 100,000 inhabitants",14 to under 18 years,male,,|,,,0.49
2014,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.61
2015,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.3
2016,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.78
2017,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.18
2018,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.37
2019,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.44
2020,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.51
2021,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.45
2022,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.13
2023,"per 100,000 inhabitants",14 to under 18 years,male,,,,,0.56
2024,"per 100,000 inhabitants",14 to under 18 years,male,,|,,,0.5
2010,"per 100,000 inhabitants",18 to under 21 years,female,,,,,1.37
2011,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.75
2012,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.79
2013,"per 100,000 inhabitants",18 to under 21 years,female,,|,,,0.5
2014,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.76
2015,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.75
2016,"per 100,000 inhabitants",18 to under 21 years,female,,,,,1.45
2017,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.56
2018,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.96
2019,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.41
2020,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.5
2021,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.34
2022,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.69
2023,"per 100,000 inhabitants",18 to under 21 years,female,,,,,0.76
2024,"per 100,000 inhabitants",18 to under 21 years,female,,|,,,1.12
2010,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.31
2011,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.36
2012,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.98
2013,"per 100,000 inhabitants",18 to under 21 years,male,,|,,,0.71
2014,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.88
2015,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.7
2016,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.82
2017,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.65
2018,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.01
2019,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.81
2020,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.13
2021,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.18
2022,"per 100,000 inhabitants",18 to under 21 years,male,,,,,1.21
2023,"per 100,000 inhabitants",18 to under 21 years,male,,,,,0.71
2024,"per 100,000 inhabitants",18 to under 21 years,male,,|,,,1.11
2010,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.92
2011,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.83
2012,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.64
2013,"per 100,000 inhabitants",21 to under 60 years,female,,|,,,0.74
2014,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.84
2015,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.62
2016,"per 100,000 inhabitants",21 to under 60 years,female,,,,,1.1
2017,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.82
2018,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.86
2019,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.67
2020,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.67
2021,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.66
2022,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.65
2023,"per 100,000 inhabitants",21 to under 60 years,female,,,,,0.87
2024,"per 100,000 inhabitants",21 to under 60 years,female,,|,,,0.73
2010,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.1
2011,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.09
2012,"per 100,000 inhabitants",21 to under 60 years,male,,,,,0.98
2013,"per 100,000 inhabitants",21 to under 60 years,male,,|,,,1.0
2014,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.03
2015,"per 100,000 inhabitants",21 to under 60 years,male,,,,,0.87
2016,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.31
2017,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.07
2018,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.18
2019,"per 100,000 inhabitants",21 to under 60 years,male,,,,,0.93
2020,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.07
2021,"per 100,000 inhabitants",21 to under 60 years,male,,,,,0.9
2022,"per 100,000 inhabitants",21 to under 60 years,male,,,,,0.92
2023,"per 100,000 inhabitants",21 to under 60 years,male,,,,,1.13
2024,"per 100,000 inhabitants",21 to under 60 years,male,,|,,,1.23
2010,"per 100,000 inhabitants",60 years and older,female,,,,,1.02
2011,"per 100,000 inhabitants",60 years and older,female,,,,,0.93
2012,"per 100,000 inhabitants",60 years and older,female,,,,,0.89
2013,"per 100,000 inhabitants",60 years and older,female,,|,,,1.01
2014,"per 100,000 inhabitants",60 years and older,female,,,,,0.99
2015,"per 100,000 inhabitants",60 years and older,female,,,,,1.16
2016,"per 100,000 inhabitants",60 years and older,female,,,,,1.31
2017,"per 100,000 inhabitants",60 years and older,female,,,,,1.33
2018,"per 100,000 inhabitants",60 years and older,female,,,,,1.04
2019,"per 100,000 inhabitants",60 years and older,female,,,,,0.82
2020,"per 100,000 inhabitants",60 years and older,female,,,,,1.24
2021,"per 100,000 inhabitants",60 years and older,female,,,,,1.08
2022,"per 100,000 inhabitants",60 years and older,female,,,,,1.24
2023,"per 100,000 inhabitants",60 years and older,female,,,,,0.99
2024,"per 100,000 inhabitants",60 years and older,female,,|,,,1.08
2010,"per 100,000 inhabitants",60 years and older,male,,,,,0.93
2011,"per 100,000 inhabitants",60 years and older,male,,,,,0.77
2012,"per 100,000 inhabitants",60 years and older,male,,,,,0.76
2013,"per 100,000 inhabitants",60 years and older,male,,|,,,0.94
2014,"per 100,000 inhabitants",60 years and older,male,,,,,0.95
2015,"per 100,000 inhabitants",60 years and older,male,,,,,1.03
2016,"per 100,000 inhabitants",60 years and older,male,,,,,1.27
2017,"per 100,000 inhabitants",60 years and older,male,,,,,1.41
2018,"per 100,000 inhabitants",60 years and older,male,,,,,0.97
2019,"per 100,000 inhabitants",60 years and older,male,,,,,0.9
2020,"per 100,000 inhabitants",60 years and older,male,,,,,1.21
2021,"per 100,000 inhabitants",60 years and older,male,,,,,0.92
2022,"per 100,000 inhabitants",60 years and older,male,,,,,0.89
2023,"per 100,000 inhabitants",60 years and older,male,,,,,0.88
2024,"per 100,000 inhabitants",60 years and older,male,,|,,,1.06
2010,number,,,,,,,793.0
2011,number,,,,,,,738.0
2012,number,,,,,,,659.0
2013,number,,,,,,,682.0
2014,number,,,,,,,716.0
2015,number,,,,,,,682.0
2016,number,,,,,,,963.0
2017,number,,,,,,,813.0
2018,number,,,,,,,788.0
2019,number,,,,,,,623.0
2020,number,,,,,,,782.0
2021,number,,,,,,,695.0
2022,number,,,,,,,686.0
2023,number,,,,,,,770.0
2024,number,,,,,,,779.0
2010,number,13 years and younger,,,,,,77.0
2011,number,13 years and younger,,,,,,73.0
2012,number,13 years and younger,,,,,,90.0
2013,number,13 years and younger,,,,,,66.0
2014,number,13 years and younger,,,,,,63.0
2015,number,13 years and younger,,,,,,62.0
2016,number,13 years and younger,,,,,,68.0
2017,number,13 years and younger,,,,,,67.0
2018,number,13 years and younger,,,,,,70.0
2019,number,13 years and younger,,,,,,46.0
2020,number,13 years and younger,,,,,,79.0
2021,number,13 years and younger,,,,,,83.0
2022,number,13 years and younger,,,,,,51.0
2023,number,13 years and younger,,,,,,72.0
2024,number,13 years and younger,,,,,,56.0
2010,number,14 to under 18 years,,,,,,22.0
2011,number,14 to under 18 years,,,,,,27.0
2012,number,14 to under 18 years,,,,,,6.0
2013,number,14 to under 18 years,,,,,,12.0
2014,number,14 to under 18 years,,,,,,15.0
2015,number,14 to under 18 years,,,,,,14.0
2016,number,14 to under 18 years,,,,,,35.0
2017,number,14 to under 18 years,,,,,,4.0
2018,number,14 to under 18 years,,,,,,14.0
2019,number,14 to under 18 years,,,,,,11.0
2020,number,14 to under 18 years,,,,,,12.0
2021,number,14 to under 18 years,,,,,,14.0
2022,number,14 to under 18 years,,,,,,14.0
2023,number,14 to under 18 years,,,,,,17.0
2024,number,14 to under 18 years,,,,,,15.0
2010,number,18 to under 21 years,,,,,,38.0
2011,number,18 to under 21 years,,,,,,29.0
2012,number,18 to under 21 years,,,,,,23.0
2013,number,18 to under 21 years,,,,,,15.0
2014,number,18 to under 21 years,,,,,,20.0
2015,number,18 to under 21 years,,,,,,18.0
2016,number,18 to under 21 years,,,,,,43.0
2017,number,18 to under 21 years,,,,,,16.0
2018,number,18 to under 21 years,,,,,,26.0
2019,number,18 to under 21 years,,,,,,16.0
2020,number,18 to under 21 years,,,,,,21.0
2021,number,18 to under 21 years,,,,,,19.0
2022,number,18 to under 21 years,,,,,,23.0
2023,number,18 to under 21 years,,,,,,18.0
2024,number,18 to under 21 years,,,,,,27.0
2010,number,21 to under 60 years,,,,,,448.0
2011,number,21 to under 60 years,,,,,,424.0
2012,number,21 to under 60 years,,,,,,359.0
2013,number,21 to under 60 years,,,,,,377.0
2014,number,21 to under 60 years,,,,,,405.0
2015,number,21 to under 60 years,,,,,,343.0
2016,number,21 to under 60 years,,,,,,527.0
2017,number,21 to under 60 years,,,,,,414.0
2018,number,21 to under 60 years,,,,,,445.0
2019,number,21 to under 60 years,,,,,,349.0
2020,number,21 to under 60 years,,,,,,378.0
2021,number,21 to under 60 years,,,,,,336.0
2022,number,21 to under 60 years,,,,,,334.0
2023,number,21 to under 60 years,,,,,,430.0
2024,number,21 to under 60 years,,,,,,412.0
2010,number,60 years and older,,,,,,208.0
2011,number,60 years and older,,,,,,185.0
2012,number,60 years and older,,,,,,181.0
2013,number,60 years and older,,,,,,212.0
2014,number,60 years and older,,,,,,213.0
2015,number,60 years and older,,,,,,245.0
2016,number,60 years and older,,,,,,290.0
2017,number,60 years and older,,,,,,312.0
2018,number,60 years and older,,,,,,233.0
2019,number,60 years and older,,,,,,201.0
2020,number,60 years and older,,,,,,292.0
2021,number,60 years and older,,,,,,243.0
2022,number,60 years and older,,,,,,264.0
2023,number,60 years and older,,,,,,233.0
2024,number,60 years and older,,,,,,269.0
2010,number,,female,,,,,393.0
2011,number,,female,,,,,338.0
2012,number,,female,,,,,296.0
2013,number,,female,,,,,328.0
2014,number,,female,,,,,339.0
2015,number,,female,,,,,327.0
2016,number,,female,,,,,469.0
2017,number,,female,,,,,380.0
2018,number,,female,,,,,367.0
2019,number,,female,,,,,276.0
2020,number,,female,,,,,357.0
2021,number,,female,,,,,337.0
2022,number,,female,,,,,349.0
2023,number,,female,,,,,374.0
2024,number,,female,,,,,338.0
2010,number,,male,,,,,400.0
2011,number,,male,,,,,400.0
2012,number,,male,,,,,363.0
2013,number,,male,,,,,354.0
2014,number,,male,,,,,377.0
2015,number,,male,,,,,355.0
2016,number,,male,,,,,494.0
2017,number,,male,,,,,433.0
2018,number,,male,,,,,421.0
2019,number,,male,,,,,347.0
2020,number,,male,,,,,425.0
2021,number,,male,,,,,358.0
2022,number,,male,,,,,337.0
2023,number,,male,,,,,396.0
2024,number,,male,,,,,441.0
2010,number,13 years and younger,female,,,,,37.0
2011,number,13 years and younger,female,,,,,24.0
2012,number,13 years and younger,female,,,,,39.0
2013,number,13 years and younger,female,,,,,37.0
2014,number,13 years and younger,female,,,,,24.0
2015,number,13 years and younger,female,,,,,25.0
2016,number,13 years and younger,female,,,,,30.0
2017,number,13 years and younger,female,,,,,28.0
2018,number,13 years and younger,female,,,,,30.0
2019,number,13 years and younger,female,,,,,17.0
2020,number,13 years and younger,female,,,,,43.0
2021,number,13 years and younger,female,,,,,43.0
2022,number,13 years and younger,female,,,,,27.0
2023,number,13 years and younger,female,,,,,39.0
2024,number,13 years and younger,female,,,,,20.0
2010,number,13 years and younger,male,,,,,40.0
2011,number,13 years and younger,male,,,,,49.0
2012,number,13 years and younger,male,,,,,51.0
2013,number,13 years and younger,male,,,,,29.0
2014,number,13 years and younger,male,,,,,39.0
2015,number,13 years and younger,male,,,,,37.0
2016,number,13 years and younger,male,,,,,38.0
2017,number,13 years and younger,male,,,,,39.0
2018,number,13 years and younger,male,,,,,40.0
2019,number,13 years and younger,male,,,,,29.0
2020,number,13 years and younger,male,,,,,36.0
2021,number,13 years and younger,male,,,,,40.0
2022,number,13 years and younger,male,,,,,24.0
2023,number,13 years and younger,male,,,,,33.0
2024,number,13 years and younger,male,,,,,36.0
2010,number,14 to under 18 years,female,,,,,14.0
2011,number,14 to under 18 years,female,,,,,12.0
2012,number,14 to under 18 years,female,,‒,,,0.0
2013,number,14 to under 18 years,female,,,,,4.0
2014,number,14 to under 18 years,female,,,,,5.0
2015,number,14 to under 18 years,female,,,,,9.0
2016,number,14 to under 18 years,female,,,,,22.0
2017,number,14 to under 18 years,female,,,,,1.0
2018,number,14 to under 18 years,female,,,,,8.0
2019,number,14 to under 18 years,female,,,,,4.0
2020,number,14 to under 18 years,female,,,,,4.0
2021,number,14 to under 18 years,female,,,,,7.0
2022,number,14 to under 18 years,female,,,,,12.0
2023,number,14 to under 18 years,female,,,,,8.0
2024,number,14 to under 18 years,female,,,,,7.0
2010,number,14 to under 18 years,male,,,,,8.0
2011,number,14 to under 18 years,male,,,,,15.0
2012,number,14 to under 18 years,male,,,,,6.0
2013,number,14 to under 18 years,male,,,,,8.0
2014,number,14 to under 18 years,male,,,,,10.0
2015,number,14 to under 18 years,male,,,,,5.0
2016,number,14 to under 18 years,male,,,,,13.0
2017,number,14 to under 18 years,male,,,,,3.0
2018,number,14 to under 18 years,male,,,,,6.0
2019,number,14 to under 18 years,male,,,,,7.0
2020,number,14 to under 18 years,male,,,,,8.0
2021,number,14 to under 18 years,male,,,,,7.0
2022,number,14 to under 18 years,male,,,,,2.0
2023,number,14 to under 18 years,male,,,,,9.0
2024,number,14 to under 18 years,male,,,,,8.0
2010,number,18 to under 21 years,female,,,,,19.0
2011,number,18 to under 21 years,female,,,,,10.0
2012,number,18 to under 21 years,female,,,,,10.0
2013,number,18 to under 21 years,female,,,,,6.0
2014,number,18 to under 21 years,female,,,,,9.0
2015,number,18 to under 21 years,female,,,,,9.0
2016,number,18 to under 21 years,female,,,,,18.0
2017,number,18 to under 21 years,female,,,,,7.0
2018,number,18 to under 21 years,female,,,,,12.0
2019,number,18 to under 21 years,female,,,,,5.0
2020,number,18 to under 21 years,female,,,,,6.0
2021,number,18 to under 21 years,female,,,,,4.0
2022,number,18 to under 21 years,female,,,,,8.0
2023,number,18 to under 21 years,female,,,,,9.0
2024,number,18 to under 21 years,female,,,,,13.0
2010,number,18 to under 21 years,male,,,,,19.0
2011,number,18 to under 21 years,male,,,,,19.0
2012,number,18 to under 21 years,male,,,,,13.0
2013,number,18 to under 21 years,male,,,,,9.0
2014,number,18 to under 21 years,male,,,,,11.0
2015,number,18 to under 21 years,male,,,,,9.0
2016,number,18 to under 21 years,male,,,,,25.0
2017,number,18 to under 21 years,male,,,,,9.0
2018,number,18 to under 21 years,male,,,,,14.0
2019,number,18 to under 21 years,male,,,,,11.0
2020,number,18 to under 21 years,male,,,,,15.0
2021,number,18 to under 21 years,male,,,,,15.0
2022,number,18 to under 21 years,male,,,,,15.0
2023,number,18 to under 21 years,male,,,,,9.0
2024,number,18 to under 21 years,male,,,,,14.0
2010,number,21 to under 60 years,female,,,,,202.0
2011,number,21 to under 60 years,female,,,,,180.0
2012,number,21 to under 60 years,female,,,,,139.0
2013,number,21 to under 60 years,female,,,,,159.0
2014,number,21 to under 60 years,female,,,,,180.0
2015,number,21 to under 60 years,female,,,,,141.0
2016,number,21 to under 60 years,female,,,,,236.0
2017,number,21 to under 60 years,female,,,,,176.0
2018,number,21 to under 60 years,female,,,,,184.0
2019,number,21 to under 60 years,female,,,,,144.0
2020,number,21 to under 60 years,female,,,,,142.0
2021,number,21 to under 60 years,female,,,,,140.0
2022,number,21 to under 60 years,female,,,,,136.0
2023,number,21 to under 60 years,female,,,,,184.0
2024,number,21 to under 60 years,female,,,,,150.0
2010,number,21 to under 60 years,male,,,,,246.0
2011,number,21 to under 60 years,male,,,,,244.0
2012,number,21 to under 60 years,male,,,,,220.0
2013,number,21 to under 60 years,male,,,,,218.0
2014,number,21 to under 60 years,male,,,,,225.0
2015,number,21 to under 60 years,male,,,,,202.0
2016,number,21 to under 60 years,male,,,,,291.0
2017,number,21 to under 60 years,male,,,,,238.0
2018,number,21 to under 60 years,male,,,,,261.0
2019,number,21 to under 60 years,male,,,,,205.0
