Year,type of violence,sex,age group,type of physical violence,type of psychological violence,type of sexual violence,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,(a) physical violence,,35 to under 45 years,,,,|,r,,2.2
2021,(a) physical violence,,35 to under 45 years,,,,…,,,
2022,(a) physical violence,,35 to under 45 years,,,,…,,,
2023,(a) physical violence,,35 to under 45 years,,,,…,,,
2024,(a) physical violence,,35 to under 45 years,,,,…,,,
2010,(a) physical violence,,45 to under 55 years,,,,.,,,
2011,(a) physical violence,,45 to under 55 years,,,,.,,,
2012,(a) physical violence,,45 to under 55 years,,,,r,,,
2013,(a) physical violence,,45 to under 55 years,,,,.,,,
2014,(a) physical violence,,45 to under 55 years,,,,.,,,
2015,(a) physical violence,,45 to under 55 years,,,,.,,,
2016,(a) physical violence,,45 to under 55 years,,,,.,,,
2017,(a) physical violence,,45 to under 55 years,,,,,,,
2018,(a) physical violence,,45 to under 55 years,,,,.,,,
2019,(a) physical violence,,45 to under 55 years,,,,.,,,
2020,(a) physical violence,,45 to under 55 years,,,,|,r,,1.5
2021,(a) physical violence,,45 to under 55 years,,,,…,,,
2022,(a) physical violence,,45 to under 55 years,,,,…,,,
2023,(a) physical violence,,45 to under 55 years,,,,…,,,
2024,(a) physical violence,,45 to under 55 years,,,,…,,,
2010,(a) physical violence,,55 to under 65 years,,,,.,,,
2011,(a) physical violence,,55 to under 65 years,,,,.,,,
2012,(a) physical violence,,55 to under 65 years,,,,r,,,
2013,(a) physical violence,,55 to under 65 years,,,,.,,,
2014,(a) physical violence,,55 to under 65 years,,,,.,,,
2015,(a) physical violence,,55 to under 65 years,,,,.,,,
2016,(a) physical violence,,55 to under 65 years,,,,.,,,
2017,(a) physical violence,,55 to under 65 years,,,,r,,,
2018,(a) physical violence,,55 to under 65 years,,,,.,,,
2019,(a) physical violence,,55 to under 65 years,,,,.,,,
2020,(a) physical violence,,55 to under 65 years,,,,|,r,,1.3
2021,(a) physical violence,,55 to under 65 years,,,,…,,,
2022,(a) physical violence,,55 to under 65 years,,,,…,,,
2023,(a) physical violence,,55 to under 65 years,,,,…,,,
2024,(a) physical violence,,55 to under 65 years,,,,…,,,
2010,(a) physical violence,,65 to under 75 years,,,,.,,,
2011,(a) physical violence,,65 to under 75 years,,,,.,,,
2012,(a) physical violence,,65 to under 75 years,,,,.,,,
2013,(a) physical violence,,65 to under 75 years,,,,.,,,
2014,(a) physical violence,,65 to under 75 years,,,,.,,,
2015,(a) physical violence,,65 to under 75 years,,,,.,,,
2016,(a) physical violence,,65 to under 75 years,,,,.,,,
2017,(a) physical violence,,65 to under 75 years,,,,r,,,
2018,(a) physical violence,,65 to under 75 years,,,,.,,,
2019,(a) physical violence,,65 to under 75 years,,,,.,,,
2020,(a) physical violence,,65 to under 75 years,,,,|,r,,1.2
2021,(a) physical violence,,65 to under 75 years,,,,…,,,
2022,(a) physical violence,,65 to under 75 years,,,,…,,,
2023,(a) physical violence,,65 to under 75 years,,,,…,,,
2024,(a) physical violence,,65 to under 75 years,,,,…,,,
2010,(a) physical violence,,75 years and older,,,,.,,,
2011,(a) physical violence,,75 years and older,,,,.,,,
2012,(a) physical violence,,75 years and older,,,,.,,,
2013,(a) physical violence,,75 years and older,,,,.,,,
2014,(a) physical violence,,75 years and older,,,,.,,,
2015,(a) physical violence,,75 years and older,,,,.,,,
2016,(a) physical violence,,75 years and older,,,,.,,,
2017,(a) physical violence,,75 years and older,,,,.,,,
2018,(a) physical violence,,75 years and older,,,,.,,,
2019,(a) physical violence,,75 years and older,,,,.,,,
2020,(a) physical violence,,75 years and older,,,,,,,1.0
2021,(a) physical violence,,75 years and older,,,,…,,,
2022,(a) physical violence,,75 years and older,,,,…,,,
2023,(a) physical violence,,75 years and older,,,,…,,,
2024,(a) physical violence,,75 years and older,,,,…,,,
2010,(a) physical violence,,,physical assault,,,.,,,
2011,(a) physical violence,,,physical assault,,,.,,,
2012,(a) physical violence,,,physical assault,,,,,,2.7
2013,(a) physical violence,,,physical assault,,,.,,,
2014,(a) physical violence,,,physical assault,,,.,,,
2015,(a) physical violence,,,physical assault,,,.,,,
2016,(a) physical violence,,,physical assault,,,.,,,
2017,(a) physical violence,,,physical assault,,,,,,3.0
2018,(a) physical violence,,,physical assault,,,.,,,
2019,(a) physical violence,,,physical assault,,,.,,,
2020,(a) physical violence,,,physical assault,,,|,,,2.0
2021,(a) physical violence,,,physical assault,,,.,,,
2022,(a) physical violence,,,physical assault,,,.,,,
2023,(a) physical violence,,,physical assault,,,.,,,
2024,(a) physical violence,,,physical assault,,,,,,2.6
2010,(a) physical violence,female,,physical assault,,,.,,,
2011,(a) physical violence,female,,physical assault,,,.,,,
2012,(a) physical violence,female,,physical assault,,,,,,1.5
2013,(a) physical violence,female,,physical assault,,,.,,,
2014,(a) physical violence,female,,physical assault,,,.,,,
2015,(a) physical violence,female,,physical assault,,,.,,,
2016,(a) physical violence,female,,physical assault,,,.,,,
2017,(a) physical violence,female,,physical assault,,,,,,2.0
2018,(a) physical violence,female,,physical assault,,,.,,,
2019,(a) physical violence,female,,physical assault,,,.,,,
2020,(a) physical violence,female,,physical assault,,,|,,,1.3
2021,(a) physical violence,female,,physical assault,,,.,,,
2022,(a) physical violence,female,,physical assault,,,.,,,
2023,(a) physical violence,female,,physical assault,,,.,,,
2024,(a) physical violence,female,,physical assault,,,,,,2.0
2010,(a) physical violence,male,,physical assault,,,.,,,
2011,(a) physical violence,male,,physical assault,,,.,,,
2012,(a) physical violence,male,,physical assault,,,,,,4.0
2013,(a) physical violence,male,,physical assault,,,.,,,
2014,(a) physical violence,male,,physical assault,,,.,,,
2015,(a) physical violence,male,,physical assault,,,.,,,
2016,(a) physical violence,male,,physical assault,,,.,,,
2017,(a) physical violence,male,,physical assault,,,,,,4.0
2018,(a) physical violence,male,,physical assault,,,.,,,
2019,(a) physical violence,male,,physical assault,,,.,,,
2020,(a) physical violence,male,,physical assault,,,|,,,2.8
2021,(a) physical violence,male,,physical assault,,,.,,,
2022,(a) physical violence,male,,physical assault,,,.,,,
2023,(a) physical violence,male,,physical assault,,,.,,,
2024,(a) physical violence,male,,physical assault,,,,,,3.1
2010,(a) physical violence,,,robbery,,,.,,,
2011,(a) physical violence,,,robbery,,,.,,,
2012,(a) physical violence,,,robbery,,,,,,0.7
2013,(a) physical violence,,,robbery,,,.,,,
2014,(a) physical violence,,,robbery,,,.,,,
2015,(a) physical violence,,,robbery,,,.,,,
2016,(a) physical violence,,,robbery,,,.,,,
2017,(a) physical violence,,,robbery,,,,,,1.0
2018,(a) physical violence,,,robbery,,,.,,,
2019,(a) physical violence,,,robbery,,,.,,,
2020,(a) physical violence,,,robbery,,,|,r,,0.6
2021,(a) physical violence,,,robbery,,,.,,,
2022,(a) physical violence,,,robbery,,,.,,,
2023,(a) physical violence,,,robbery,,,.,,,
2024,(a) physical violence,,,robbery,,,,,,1.0
2010,(a) physical violence,female,,robbery,,,.,,,
2011,(a) physical violence,female,,robbery,,,.,,,
2012,(a) physical violence,female,,robbery,,,,,,0.6
2013,(a) physical violence,female,,robbery,,,.,,,
2014,(a) physical violence,female,,robbery,,,.,,,
2015,(a) physical violence,female,,robbery,,,.,,,
2016,(a) physical violence,female,,robbery,,,.,,,
2017,(a) physical violence,female,,robbery,,,,,,0.8
2018,(a) physical violence,female,,robbery,,,.,,,
2019,(a) physical violence,female,,robbery,,,.,,,
2020,(a) physical violence,female,,robbery,,,|,,,0.5
2021,(a) physical violence,female,,robbery,,,.,,,
2022,(a) physical violence,female,,robbery,,,.,,,
2023,(a) physical violence,female,,robbery,,,.,,,
2024,(a) physical violence,female,,robbery,,,,,,0.8
2010,(a) physical violence,male,,robbery,,,.,,,
2011,(a) physical violence,male,,robbery,,,.,,,
2012,(a) physical violence,male,,robbery,,,,,,0.8
2013,(a) physical violence,male,,robbery,,,.,,,
2014,(a) physical violence,male,,robbery,,,.,,,
2015,(a) physical violence,male,,robbery,,,.,,,
2016,(a) physical violence,male,,robbery,,,.,,,
2017,(a) physical violence,male,,robbery,,,,,,1.3
2018,(a) physical violence,male,,robbery,,,.,,,
2019,(a) physical violence,male,,robbery,,,.,,,
2020,(a) physical violence,male,,robbery,,,|,,,0.7
2021,(a) physical violence,male,,robbery,,,.,,,
2022,(a) physical violence,male,,robbery,,,.,,,
2023,(a) physical violence,male,,robbery,,,.,,,
2024,(a) physical violence,male,,robbery,,,,,,1.1
2010,(b) psychological violence,,,,,,.,,,
2011,(b) psychological violence,,,,,,.,,,
2012,(b) psychological violence,,,,,,.,,,
2013,(b) psychological violence,,,,,,.,,,
2014,(b) psychological violence,,,,,,.,,,
2015,(b) psychological violence,,,,,,.,,,
2016,(b) psychological violence,,,,,,.,,,
2017,(b) psychological violence,,,,,,.,,,
2018,(b) psychological violence,,,,,,.,,,
2019,(b) psychological violence,,,,,,.,,,
2020,(b) psychological violence,,,,,,,,,6.8
2021,(b) psychological violence,,,,,,…,,,
2022,(b) psychological violence,,,,,,…,,,
2023,(b) psychological violence,,,,,,…,,,
2024,(b) psychological violence,,,,,,…,,,
2010,(b) psychological violence,female,,,,,.,,,
2011,(b) psychological violence,female,,,,,.,,,
2012,(b) psychological violence,female,,,,,.,,,
2013,(b) psychological violence,female,,,,,.,,,
2014,(b) psychological violence,female,,,,,.,,,
2015,(b) psychological violence,female,,,,,.,,,
2016,(b) psychological violence,female,,,,,.,,,
2017,(b) psychological violence,female,,,,,.,,,
2018,(b) psychological violence,female,,,,,.,,,
2019,(b) psychological violence,female,,,,,.,,,
2020,(b) psychological violence,female,,,,,,,,6.0
2021,(b) psychological violence,female,,,,,…,,,
2022,(b) psychological violence,female,,,,,…,,,
2023,(b) psychological violence,female,,,,,…,,,
2024,(b) psychological violence,female,,,,,…,,,
2010,(b) psychological violence,male,,,,,.,,,
2011,(b) psychological violence,male,,,,,.,,,
2012,(b) psychological violence,male,,,,,.,,,
2013,(b) psychological violence,male,,,,,.,,,
2014,(b) psychological violence,male,,,,,.,,,
2015,(b) psychological violence,male,,,,,.,,,
2016,(b) psychological violence,male,,,,,.,,,
2017,(b) psychological violence,male,,,,,.,,,
2018,(b) psychological violence,male,,,,,.,,,
2019,(b) psychological violence,male,,,,,.,,,
2020,(b) psychological violence,male,,,,,,,,7.6
2021,(b) psychological violence,male,,,,,…,,,
2022,(b) psychological violence,male,,,,,…,,,
2023,(b) psychological violence,male,,,,,…,,,
2024,(b) psychological violence,male,,,,,…,,,
2010,(b) psychological violence,,16 to under 25 years,,,,.,,,
2011,(b) psychological violence,,16 to under 25 years,,,,.,,,
2012,(b) psychological violence,,16 to under 25 years,,,,.,,,
2013,(b) psychological violence,,16 to under 25 years,,,,.,,,
2014,(b) psychological violence,,16 to under 25 years,,,,.,,,
2015,(b) psychological violence,,16 to under 25 years,,,,.,,,
2016,(b) psychological violence,,16 to under 25 years,,,,.,,,
2017,(b) psychological violence,,16 to under 25 years,,,,.,,,
2018,(b) psychological violence,,16 to under 25 years,,,,.,,,
2019,(b) psychological violence,,16 to under 25 years,,,,.,,,
2020,(b) psychological violence,,16 to under 25 years,,,,,,,5.7
2021,(b) psychological violence,,16 to under 25 years,,,,…,,,
2022,(b) psychological violence,,16 to under 25 years,,,,…,,,
2023,(b) psychological violence,,16 to under 25 years,,,,…,,,
2024,(b) psychological violence,,16 to under 25 years,,,,…,,,
2010,(b) psychological violence,,25 to under 35 years,,,,.,,,
2011,(b) psychological violence,,25 to under 35 years,,,,.,,,
2012,(b) psychological violence,,25 to under 35 years,,,,.,,,
2013,(b) psychological violence,,25 to under 35 years,,,,.,,,
2014,(b) psychological violence,,25 to under 35 years,,,,.,,,
2015,(b) psychological violence,,25 to under 35 years,,,,.,,,
2016,(b) psychological violence,,25 to under 35 years,,,,.,,,
2017,(b) psychological violence,,25 to under 35 years,,,,.,,,
2018,(b) psychological violence,,25 to under 35 years,,,,.,,,
2019,(b) psychological violence,,25 to under 35 years,,,,.,,,
2020,(b) psychological violence,,25 to under 35 years,,,,,,,3.7
2021,(b) psychological violence,,25 to under 35 years,,,,…,,,
2022,(b) psychological violence,,25 to under 35 years,,,,…,,,
2023,(b) psychological violence,,25 to under 35 years,,,,…,,,
2024,(b) psychological violence,,25 to under 35 years,,,,…,,,
2010,(b) psychological violence,,35 to under 45 years,,,,.,,,
2011,(b) psychological violence,,35 to under 45 years,,,,.,,,
2012,(b) psychological violence,,35 to under 45 years,,,,.,,,
2013,(b) psychological violence,,35 to under 45 years,,,,.,,,
2014,(b) psychological violence,,35 to under 45 years,,,,.,,,
2015,(b) psychological violence,,35 to under 45 years,,,,.,,,
2016,(b) psychological violence,,35 to under 45 years,,,,.,,,
2017,(b) psychological violence,,35 to under 45 years,,,,.,,,
2018,(b) psychological violence,,35 to under 45 years,,,,.,,,
2019,(b) psychological violence,,35 to under 45 years,,,,.,,,
2020,(b) psychological violence,,35 to under 45 years,,,,,,,2.2
2021,(b) psychological violence,,35 to under 45 years,,,,…,,,
2022,(b) psychological violence,,35 to under 45 years,,,,…,,,
2023,(b) psychological violence,,35 to under 45 years,,,,…,,,
2024,(b) psychological violence,,35 to under 45 years,,,,…,,,
2010,(b) psychological violence,,45 to under 55 years,,,,.,,,
2011,(b) psychological violence,,45 to under 55 years,,,,.,,,
2012,(b) psychological violence,,45 to under 55 years,,,,.,,,
2013,(b) psychological violence,,45 to under 55 years,,,,.,,,
2014,(b) psychological violence,,45 to under 55 years,,,,.,,,
2015,(b) psychological violence,,45 to under 55 years,,,,.,,,
2016,(b) psychological violence,,45 to under 55 years,,,,.,,,
2017,(b) psychological violence,,45 to under 55 years,,,,.,,,
2018,(b) psychological violence,,45 to under 55 years,,,,.,,,
2019,(b) psychological violence,,45 to under 55 years,,,,.,,,
2020,(b) psychological violence,,45 to under 55 years,,,,,,,1.5
2021,(b) psychological violence,,45 to under 55 years,,,,…,,,
2022,(b) psychological violence,,45 to under 55 years,,,,…,,,
2023,(b) psychological violence,,45 to under 55 years,,,,…,,,
2024,(b) psychological violence,,45 to under 55 years,,,,…,,,
2010,(b) psychological violence,,55 to under 65 years,,,,.,,,
2011,(b) psychological violence,,55 to under 65 years,,,,.,,,
2012,(b) psychological violence,,55 to under 65 years,,,,.,,,
2013,(b) psychological violence,,55 to under 65 years,,,,.,,,
2014,(b) psychological violence,,55 to under 65 years,,,,.,,,
2015,(b) psychological violence,,55 to under 65 years,,,,.,,,
2016,(b) psychological violence,,55 to under 65 years,,,,.,,,
2017,(b) psychological violence,,55 to under 65 years,,,,.,,,
2018,(b) psychological violence,,55 to under 65 years,,,,.,,,
2019,(b) psychological violence,,55 to under 65 years,,,,.,,,
2020,(b) psychological violence,,55 to under 65 years,,,,,,,1.3
2021,(b) psychological violence,,55 to under 65 years,,,,…,,,
2022,(b) psychological violence,,55 to under 65 years,,,,…,,,
2023,(b) psychological violence,,55 to under 65 years,,,,…,,,
2024,(b) psychological violence,,55 to under 65 years,,,,…,,,
2010,(b) psychological violence,,65 to under 75 years,,,,.,,,
2011,(b) psychological violence,,65 to under 75 years,,,,.,,,
2012,(b) psychological violence,,65 to under 75 years,,,,.,,,
2013,(b) psychological violence,,65 to under 75 years,,,,.,,,
2014,(b) psychological violence,,65 to under 75 years,,,,.,,,
2015,(b) psychological violence,,65 to under 75 years,,,,.,,,
2016,(b) psychological violence,,65 to under 75 years,,,,.,,,
2017,(b) psychological violence,,65 to under 75 years,,,,.,,,
2018,(b) psychological violence,,65 to under 75 years,,,,.,,,
2019,(b) psychological violence,,65 to under 75 years,,,,.,,,
2020,(b) psychological violence,,65 to under 75 years,,,,,,,1.2
2021,(b) psychological violence,,65 to under 75 years,,,,…,,,
2022,(b) psychological violence,,65 to under 75 years,,,,…,,,
2023,(b) psychological violence,,65 to under 75 years,,,,…,,,
2024,(b) psychological violence,,65 to under 75 years,,,,…,,,
2010,(b) psychological violence,,75 years and older,,,,.,,,
2011,(b) psychological violence,,75 years and older,,,,.,,,
2012,(b) psychological violence,,75 years and older,,,,.,,,
2013,(b) psychological violence,,75 years and older,,,,.,,,
2014,(b) psychological violence,,75 years and older,,,,.,,,
2015,(b) psychological violence,,75 years and older,,,,.,,,
2016,(b) psychological violence,,75 years and older,,,,.,,,
2017,(b) psychological violence,,75 years and older,,,,.,,,
2018,(b) psychological violence,,75 years and older,,,,.,,,
2019,(b) psychological violence,,75 years and older,,,,.,,,
2020,(b) psychological violence,,75 years and older,,,,,,,1.0
2021,(b) psychological violence,,75 years and older,,,,…,,,
2022,(b) psychological violence,,75 years and older,,,,…,,,
2023,(b) psychological violence,,75 years and older,,,,…,,,
2024,(b) psychological violence,,75 years and older,,,,…,,,
2010,(b) psychological violence,,,,personal offense on the internet,,.,,,
2011,(b) psychological violence,,,,personal offense on the internet,,.,,,
2012,(b) psychological violence,,,,personal offense on the internet,,.,,,
2013,(b) psychological violence,,,,personal offense on the internet,,.,,,
2014,(b) psychological violence,,,,personal offense on the internet,,.,,,
2015,(b) psychological violence,,,,personal offense on the internet,,.,,,
2016,(b) psychological violence,,,,personal offense on the internet,,.,,,
2017,(b) psychological violence,,,,personal offense on the internet,,.,,,
2018,(b) psychological violence,,,,personal offense on the internet,,.,,,
2019,(b) psychological violence,,,,personal offense on the internet,,.,,,
2020,(b) psychological violence,,,,personal offense on the internet,,,,,4.6
2021,(b) psychological violence,,,,personal offense on the internet,,.,,,
2022,(b) psychological violence,,,,personal offense on the internet,,.,,,
2023,(b) psychological violence,,,,personal offense on the internet,,.,,,
2024,(b) psychological violence,,,,personal offense on the internet,,,,,5.2
2010,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2011,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2012,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2013,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2014,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2015,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2016,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2017,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2018,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2019,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2020,(b) psychological violence,female,,,personal offense on the internet,,,,,4.5
2021,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2022,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2023,(b) psychological violence,female,,,personal offense on the internet,,.,,,
2024,(b) psychological violence,female,,,personal offense on the internet,,,,,3.9
2010,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2011,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2012,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2013,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2014,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2015,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2016,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2017,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2018,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2019,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2020,(b) psychological violence,male,,,personal offense on the internet,,,,,4.8
2021,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2022,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2023,(b) psychological violence,male,,,personal offense on the internet,,.,,,
2024,(b) psychological violence,male,,,personal offense on the internet,,,,,6.1
2010,(b) psychological violence,,,,threat of violence offline,,.,,,
2011,(b) psychological violence,,,,threat of violence offline,,.,,,
2012,(b) psychological violence,,,,threat of violence offline,,.,,,
2013,(b) psychological violence,,,,threat of violence offline,,.,,,
2014,(b) psychological violence,,,,threat of violence offline,,.,,,
2015,(b) psychological violence,,,,threat of violence offline,,.,,,
2016,(b) psychological violence,,,,threat of violence offline,,.,,,
2017,(b) psychological violence,,,,threat of violence offline,,.,,,
2018,(b) psychological violence,,,,threat of violence offline,,.,,,
2019,(b) psychological violence,,,,threat of violence offline,,.,,,
2020,(b) psychological violence,,,,threat of violence offline,,,,,3.3
2021,(b) psychological violence,,,,threat of violence offline,,.,,,
2022,(b) psychological violence,,,,threat of violence offline,,.,,,
2023,(b) psychological violence,,,,threat of violence offline,,.,,,
2024,(b) psychological violence,,,,threat of violence offline,,,,,4.6
2010,(b) psychological violence,female,,,threat of violence offline,,.,,,
2011,(b) psychological violence,female,,,threat of violence offline,,.,,,
2012,(b) psychological violence,female,,,threat of violence offline,,.,,,
2013,(b) psychological violence,female,,,threat of violence offline,,.,,,
2014,(b) psychological violence,female,,,threat of violence offline,,.,,,
2015,(b) psychological violence,female,,,threat of violence offline,,.,,,
2016,(b) psychological violence,female,,,threat of violence offline,,.,,,
2017,(b) psychological violence,female,,,threat of violence offline,,.,,,
2018,(b) psychological violence,female,,,threat of violence offline,,.,,,
2019,(b) psychological violence,female,,,threat of violence offline,,.,,,
2020,(b) psychological violence,female,,,threat of violence offline,,,,,2.6
2021,(b) psychological violence,female,,,threat of violence offline,,.,,,
2022,(b) psychological violence,female,,,threat of violence offline,,.,,,
2023,(b) psychological violence,female,,,threat of violence offline,,.,,,
2024,(b) psychological violence,female,,,threat of violence offline,,,,,3.0
2010,(b) psychological violence,male,,,threat of violence offline,,.,,,
2011,(b) psychological violence,male,,,threat of violence offline,,.,,,
2012,(b) psychological violence,male,,,threat of violence offline,,.,,,
2013,(b) psychological violence,male,,,threat of violence offline,,.,,,
2014,(b) psychological violence,male,,,threat of violence offline,,.,,,
2015,(b) psychological violence,male,,,threat of violence offline,,.,,,
2016,(b) psychological violence,male,,,threat of violence offline,,.,,,
2017,(b) psychological violence,male,,,threat of violence offline,,.,,,
2018,(b) psychological violence,male,,,threat of violence offline,,.,,,
2019,(b) psychological violence,male,,,threat of violence offline,,.,,,
2020,(b) psychological violence,male,,,threat of violence offline,,,,,4.0
2021,(b) psychological violence,male,,,threat of violence offline,,.,,,
2022,(b) psychological violence,male,,,threat of violence offline,,.,,,
2023,(b) psychological violence,male,,,threat of violence offline,,.,,,
2024,(b) psychological violence,male,,,threat of violence offline,,,,,6.1
2010,(b) psychological violence,,,,threat of violence online,,.,,,
2011,(b) psychological violence,,,,threat of violence online,,.,,,
2012,(b) psychological violence,,,,threat of violence online,,.,,,
2013,(b) psychological violence,,,,threat of violence online,,.,,,
2014,(b) psychological violence,,,,threat of violence online,,.,,,
2015,(b) psychological violence,,,,threat of violence online,,.,,,
2016,(b) psychological violence,,,,threat of violence online,,.,,,
2017,(b) psychological violence,,,,threat of violence online,,.,,,
2018,(b) psychological violence,,,,threat of violence online,,.,,,
2019,(b) psychological violence,,,,threat of violence online,,.,,,
2020,(b) psychological violence,,,,threat of violence online,,,,,1.6
2021,(b) psychological violence,,,,threat of violence online,,.,,,
2022,(b) psychological violence,,,,threat of violence online,,.,,,
2023,(b) psychological violence,,,,threat of violence online,,.,,,
2024,(b) psychological violence,,,,threat of violence online,,,,,3.0
2010,(b) psychological violence,female,,,threat of violence online,,.,,,
2011,(b) psychological violence,female,,,threat of violence online,,.,,,
2012,(b) psychological violence,female,,,threat of violence online,,.,,,
2013,(b) psychological violence,female,,,threat of violence online,,.,,,
2014,(b) psychological violence,female,,,threat of violence online,,.,,,
2015,(b) psychological violence,female,,,threat of violence online,,.,,,
2016,(b) psychological violence,female,,,threat of violence online,,.,,,
