Year,Units,type of disease,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2018,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2917.0
2019,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2157.0
2020,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1762.0
2021,attributable deaths,chronic obstructive pulmonary disease (copd),r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1915.0
2022,attributable deaths,chronic obstructive pulmonary disease (copd),,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1888.0
2023,attributable deaths,chronic obstructive pulmonary disease (copd),,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1414.0
2010,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,5722.0
2011,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,5571.0
2012,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4347.0
2013,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4799.0
2014,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4738.0
2015,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4183.0
2016,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,4086.0
2017,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3816.0
2018,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3954.0
2019,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2558.0
2020,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2248.0
2021,attributable deaths,lung cancer,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2504.0
2022,attributable deaths,lung cancer,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2209.0
2023,attributable deaths,lung cancer,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1587.0
2010,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3971.0
2011,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3743.0
2012,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2953.0
2013,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3224.0
2014,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3091.0
2015,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2820.0
2016,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2766.0
2017,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2578.0
2018,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2695.0
2019,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2045.0
2020,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1791.0
2021,attributable deaths,stroke,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1840.0
2022,attributable deaths,stroke,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1777.0
2023,attributable deaths,stroke,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1312.0
2010,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,20954.0
2011,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,19059.0
2012,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15135.0
2013,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,16453.0
2014,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,15225.0
2015,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,14205.0
2016,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13053.0
2017,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,12653.0
2018,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,13080.0
2019,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9607.0
2020,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8687.0
2021,attributable deaths,ischemic heart diseases,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,9628.0
2022,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,8771.0
2023,attributable deaths,ischemic heart diseases,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,6104.0
2010,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3461.0
2011,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3418.0
2012,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2937.0
2013,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,3158.0
2014,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2921.0
2015,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2873.0
2016,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2627.0
2017,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2728.0
2018,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2798.0
2019,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2130.0
2020,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2073.0
2021,attributable deaths,diabetes mellitus type 2,r,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,2299.0
2022,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1886.0
2023,attributable deaths,diabetes mellitus type 2,,,,attributable deaths due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,1329.0
2010,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,569664.0
2011,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,530867.0
2012,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,420885.0
2013,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,463638.0
2014,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,441793.0
2015,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,407680.0
2016,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,385002.0
2017,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,370220.0
2018,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,395679.0
2019,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,292504.0
2020,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,259962.0
2021,dalys,,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,284414.0
2022,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,252864.0
2023,dalys,,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older,184165.0
2010,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66424.0
2011,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63077.0
2012,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47972.0
2013,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,56426.0
2014,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,53325.0
2015,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51205.0
2016,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48305.0
2017,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48406.0
2018,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51739.0
2019,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,38537.0
2020,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,32168.0
2021,dalys,chronic obstructive pulmonary disease (copd),r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,35278.0
2022,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,33261.0
2023,dalys,chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,24924.0
2010,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,94139.0
2011,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,91468.0
2012,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,71168.0
2013,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78925.0
2014,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77413.0
2015,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68534.0
2016,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66403.0
2017,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61698.0
2018,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,64046.0
2019,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,43246.0
2020,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,37771.0
2021,dalys,lung cancer,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,41526.0
2022,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36083.0
2023,dalys,lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,26021.0
2010,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,66616.0
2011,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,62435.0
2012,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,48512.0
2013,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52989.0
2014,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,51339.0
2015,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,46528.0
2016,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,45160.0
2017,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,42271.0
2018,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,47695.0
2019,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,36242.0
2020,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31966.0
2021,dalys,stroke,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,34077.0
2022,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,31025.0
2023,dalys,stroke,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,22952.0
2010,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,245246.0
2011,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,220119.0
2012,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,174295.0
2013,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,189410.0
2014,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,176540.0
2015,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,163375.0
2016,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,150936.0
2017,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,144459.0
2018,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,151706.0
2019,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,111394.0
2020,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,100090.0
2021,dalys,ischemic heart diseases,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,109710.0
2022,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97540.0
2023,dalys,ischemic heart diseases,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,69579.0
2010,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,97239.0
2011,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,93768.0
2012,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78938.0
2013,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,85888.0
2014,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,83176.0
2015,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78038.0
2016,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,74198.0
2017,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,73386.0
2018,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,80493.0
2019,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63085.0
2020,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,57967.0
2021,dalys,diabetes mellitus type 2,r,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,63823.0
2022,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,54955.0
2023,dalys,diabetes mellitus type 2,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,40689.0
2010,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,107.9
2011,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,104.2
2012,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,78.8
2013,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,92.1
2014,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,86.5
2015,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,82.3
2016,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77.1
2017,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,77.0
2018,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,82.1
2019,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,61.0
2020,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,50.9
2021,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,55.8
2022,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,52.9
2023,"dalys per 100,000 inhabitants",chronic obstructive pulmonary disease (copd),,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,39.3
2010,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,152.9
2011,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,151.0
2012,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,116.9
2013,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,128.9
2014,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,125.6
2015,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,110.2
2016,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,106.0
2017,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,98.2
2018,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,101.6
2019,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,68.5
2020,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,59.7
2021,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,65.6
2022,"dalys per 100,000 inhabitants",lung cancer,,,,dalys due to long-term exposure to fine particulate matter (pm2.5) in the population aged 25 years and older by type of disease,57.4
