Year,sex,age,migratory status,income quintile,urbanisation,education level,country of origin,marital status,Value
2019,,55 to under 60 years,,,,,,,6.0
2020,,55 to under 60 years,,,,,,,
2021,,55 to under 60 years,,,,,,,8.0
2010,,60 to under 65 years,,,,,,,
2011,,60 to under 65 years,,,,,,,
2012,,60 to under 65 years,,,,,,,
2013,,60 to under 65 years,,,,,,,
2014,,60 to under 65 years,,,,,,,
2015,,60 to under 65 years,,,,,,,14.0
2016,,60 to under 65 years,,,,,,,
2017,,60 to under 65 years,,,,,,,14.0
2018,,60 to under 65 years,,,,,,,
2019,,60 to under 65 years,,,,,,,9.0
2020,,60 to under 65 years,,,,,,,
2021,,60 to under 65 years,,,,,,,7.0
2010,,65 years and over,,,,,,,
2011,,65 years and over,,,,,,,
2012,,65 years and over,,,,,,,
2013,,65 years and over,,,,,,,
2014,,65 years and over,,,,,,,
2015,,65 years and over,,,,,,,14.0
2016,,65 years and over,,,,,,,
2017,,65 years and over,,,,,,,13.0
2018,,65 years and over,,,,,,,
2019,,65 years and over,,,,,,,11.0
2020,,65 years and over,,,,,,,
2021,,65 years and over,,,,,,,10.0
2010,,,no migrant background,,,,,,
2011,,,no migrant background,,,,,,
2012,,,no migrant background,,,,,,
2013,,,no migrant background,,,,,,
2014,,,no migrant background,,,,,,
2015,,,no migrant background,,,,,,9.0
2016,,,no migrant background,,,,,,
2017,,,no migrant background,,,,,,7.0
2018,,,no migrant background,,,,,,
2019,,,no migrant background,,,,,,8.0
2020,,,no migrant background,,,,,,
2021,,,no migrant background,,,,,,7.0
2010,,,migrant background,,,,,,
2011,,,migrant background,,,,,,
2012,,,migrant background,,,,,,
2013,,,migrant background,,,,,,
2014,,,migrant background,,,,,,
2015,,,migrant background,,,,,,14.0
2016,,,migrant background,,,,,,
2017,,,migrant background,,,,,,13.0
2018,,,migrant background,,,,,,
2019,,,migrant background,,,,,,15.0
2020,,,migrant background,,,,,,
2021,,,migrant background,,,,,,11.0
2010,,,not classified,,,,,,
2011,,,not classified,,,,,,
2012,,,not classified,,,,,,
2013,,,not classified,,,,,,
2014,,,not classified,,,,,,
2015,,,not classified,,,,,,14.0
2016,,,not classified,,,,,,
2017,,,not classified,,,,,,7.0
2018,,,not classified,,,,,,
2019,,,not classified,,,,,,17.0
2020,,,not classified,,,,,,
2021,,,not classified,,,,,,26.0
2010,,,,poorest,,,,,
2011,,,,poorest,,,,,
2012,,,,poorest,,,,,
2013,,,,poorest,,,,,
2014,,,,poorest,,,,,
2015,,,,poorest,,,,,
2016,,,,poorest,,,,,
2017,,,,poorest,,,,,
2018,,,,poorest,,,,,
2019,,,,poorest,,,,,17.0
2020,,,,poorest,,,,,
2021,,,,poorest,,,,,14.0
2010,,,,second,,,,,
2011,,,,second,,,,,
2012,,,,second,,,,,
2013,,,,second,,,,,
2014,,,,second,,,,,
2015,,,,second,,,,,
2016,,,,second,,,,,
2017,,,,second,,,,,
2018,,,,second,,,,,
2019,,,,second,,,,,6.0
2020,,,,second,,,,,
2021,,,,second,,,,,8.0
2010,,,,middle,,,,,
2011,,,,middle,,,,,
2012,,,,middle,,,,,
2013,,,,middle,,,,,
2014,,,,middle,,,,,
2015,,,,middle,,,,,
2016,,,,middle,,,,,
2017,,,,middle,,,,,
2018,,,,middle,,,,,
2019,,,,middle,,,,,6.0
2020,,,,middle,,,,,
2021,,,,middle,,,,,5.0
2010,,,,fourth,,,,,
2011,,,,fourth,,,,,
2012,,,,fourth,,,,,
2013,,,,fourth,,,,,
2014,,,,fourth,,,,,
2015,,,,fourth,,,,,
2016,,,,fourth,,,,,
2017,,,,fourth,,,,,
2018,,,,fourth,,,,,
2019,,,,fourth,,,,,5.0
2020,,,,fourth,,,,,
2021,,,,fourth,,,,,5.0
2010,,,,richest,,,,,
2011,,,,richest,,,,,
2012,,,,richest,,,,,
2013,,,,richest,,,,,
2014,,,,richest,,,,,
2015,,,,richest,,,,,
2016,,,,richest,,,,,
2017,,,,richest,,,,,
2018,,,,richest,,,,,
2019,,,,richest,,,,,4.0
2020,,,,richest,,,,,
2021,,,,richest,,,,,4.0
2010,,,,not classified,,,,,
2011,,,,not classified,,,,,
2012,,,,not classified,,,,,
2013,,,,not classified,,,,,
2014,,,,not classified,,,,,
2015,,,,not classified,,,,,
2016,,,,not classified,,,,,
2017,,,,not classified,,,,,
2018,,,,not classified,,,,,
2019,,,,not classified,,,,,11.0
2020,,,,not classified,,,,,
2021,,,,not classified,,,,,12.0
2010,,,,,urban,,,,
2011,,,,,urban,,,,
2012,,,,,urban,,,,
2013,,,,,urban,,,,
2014,,,,,urban,,,,
2015,,,,,urban,,,,12.0
2016,,,,,urban,,,,
2017,,,,,urban,,,,10.0
2018,,,,,urban,,,,
2019,,,,,urban,,,,8.0
2020,,,,,urban,,,,
2021,,,,,urban,,,,7.0
2010,,,,,rural areas,,,,
2011,,,,,rural areas,,,,
2012,,,,,rural areas,,,,
2013,,,,,rural areas,,,,
2014,,,,,rural areas,,,,
2015,,,,,rural areas,,,,13.0
2016,,,,,rural areas,,,,
2017,,,,,rural areas,,,,10.0
2018,,,,,rural areas,,,,
2019,,,,,rural areas,,,,10.0
2020,,,,,rural areas,,,,
2021,,,,,rural areas,,,,8.0
2010,,,,,not classified,,,,
2011,,,,,not classified,,,,
2012,,,,,not classified,,,,
2013,,,,,not classified,,,,
2014,,,,,not classified,,,,
2015,,,,,not classified,,,,
2016,,,,,not classified,,,,
2017,,,,,not classified,,,,
2018,,,,,not classified,,,,
2019,,,,,not classified,,,,15.0
2020,,,,,not classified,,,,
2021,,,,,not classified,,,,14.0
2010,,,,,,primary school completed,,,
2011,,,,,,primary school completed,,,
2012,,,,,,primary school completed,,,
2013,,,,,,primary school completed,,,
2014,,,,,,primary school completed,,,
2015,,,,,,primary school completed,,,39.0
2016,,,,,,primary school completed,,,
2017,,,,,,primary school completed,,,16.0
2018,,,,,,primary school completed,,,
2019,,,,,,primary school completed,,,40.0
2020,,,,,,primary school completed,,,
2021,,,,,,primary school completed,,,36.0
2010,,,,,,lower secondary school completed,,,
2011,,,,,,lower secondary school completed,,,
2012,,,,,,lower secondary school completed,,,
2013,,,,,,lower secondary school completed,,,
2014,,,,,,lower secondary school completed,,,
2015,,,,,,lower secondary school completed,,,16.0
2016,,,,,,lower secondary school completed,,,
2017,,,,,,lower secondary school completed,,,12.0
2018,,,,,,lower secondary school completed,,,
2019,,,,,,lower secondary school completed,,,11.0
2020,,,,,,lower secondary school completed,,,
2021,,,,,,lower secondary school completed,,,10.0
2010,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2011,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2012,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2013,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2014,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2015,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,10.0
2016,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2017,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,9.0
2018,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2019,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,5.0
2020,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,
2021,,,,,,upper secondary school completed and post-secondary non-tertiary education,,,5.0
2010,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2011,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2012,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2013,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2014,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2015,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,8.0
2016,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2017,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,8.0
2018,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2019,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,6.0
2020,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,
2021,,,,,,bachelor/equivalent degree completed and masters/equivalent degree or above,,,6.0
2010,,,,,,not classified,,,
2011,,,,,,not classified,,,
2012,,,,,,not classified,,,
2013,,,,,,not classified,,,
2014,,,,,,not classified,,,
2015,,,,,,not classified,,,4.0
2016,,,,,,not classified,,,
2017,,,,,,not classified,,,13.0
2018,,,,,,not classified,,,
2019,,,,,,not classified,,,21.0
2020,,,,,,not classified,,,
2021,,,,,,not classified,,,21.0
2010,,,,,,,germany,,
2011,,,,,,,germany,,
2012,,,,,,,germany,,
2013,,,,,,,germany,,
2014,,,,,,,germany,,
2015,,,,,,,germany,,12.0
2016,,,,,,,germany,,
2017,,,,,,,germany,,10.0
2018,,,,,,,germany,,
2019,,,,,,,germany,,8.0
2020,,,,,,,germany,,
2021,,,,,,,germany,,7.0
2010,,,,,,,other country within eu,,
2011,,,,,,,other country within eu,,
2012,,,,,,,other country within eu,,
2013,,,,,,,other country within eu,,
2014,,,,,,,other country within eu,,
2015,,,,,,,other country within eu,,23.0
2016,,,,,,,other country within eu,,
2017,,,,,,,other country within eu,,24.0
2018,,,,,,,other country within eu,,
2019,,,,,,,other country within eu,,16.0
2020,,,,,,,other country within eu,,
2021,,,,,,,other country within eu,,13.0
2010,,,,,,,other country outside eu,,
2011,,,,,,,other country outside eu,,
2012,,,,,,,other country outside eu,,
2013,,,,,,,other country outside eu,,
2014,,,,,,,other country outside eu,,
2015,,,,,,,other country outside eu,,25.0
2016,,,,,,,other country outside eu,,
2017,,,,,,,other country outside eu,,13.0
2018,,,,,,,other country outside eu,,
2019,,,,,,,other country outside eu,,23.0
2020,,,,,,,other country outside eu,,
2021,,,,,,,other country outside eu,,32.0
2010,,,,,,,multiple citizenships,,
2011,,,,,,,multiple citizenships,,
2012,,,,,,,multiple citizenships,,
2013,,,,,,,multiple citizenships,,
2014,,,,,,,multiple citizenships,,
2015,,,,,,,multiple citizenships,,23.0
2016,,,,,,,multiple citizenships,,
2017,,,,,,,multiple citizenships,,7.0
2018,,,,,,,multiple citizenships,,
2019,,,,,,,multiple citizenships,,12.0
2020,,,,,,,multiple citizenships,,
2021,,,,,,,multiple citizenships,,16.0
2010,,,,,,,not classified,,
2011,,,,,,,not classified,,
2012,,,,,,,not classified,,
2013,,,,,,,not classified,,
2014,,,,,,,not classified,,
2015,,,,,,,not classified,,16.0
2016,,,,,,,not classified,,
2017,,,,,,,not classified,,1.0
2018,,,,,,,not classified,,
2019,,,,,,,not classified,,37.0
2020,,,,,,,not classified,,
2021,,,,,,,not classified,,19.0
2010,,,,,,,,never married,
2011,,,,,,,,never married,
2012,,,,,,,,never married,
2013,,,,,,,,never married,
2014,,,,,,,,never married,
2015,,,,,,,,never married,11.0
2016,,,,,,,,never married,
2017,,,,,,,,never married,7.0
2018,,,,,,,,never married,
2019,,,,,,,,never married,7.0
2020,,,,,,,,never married,
2021,,,,,,,,never married,11.0
2010,,,,,,,,married,
2011,,,,,,,,married,
2012,,,,,,,,married,
2013,,,,,,,,married,
2014,,,,,,,,married,
2015,,,,,,,,married,11.0
2016,,,,,,,,married,
2017,,,,,,,,married,8.0
2018,,,,,,,,married,
2019,,,,,,,,married,6.0
2020,,,,,,,,married,
2021,,,,,,,,married,6.0
2010,,,,,,,,cohabiting,
2011,,,,,,,,cohabiting,
2012,,,,,,,,cohabiting,
2013,,,,,,,,cohabiting,
2014,,,,,,,,cohabiting,
2015,,,,,,,,cohabiting,8.0
2016,,,,,,,,cohabiting,
2017,,,,,,,,cohabiting,8.0
2018,,,,,,,,cohabiting,
2019,,,,,,,,cohabiting,10.0
2020,,,,,,,,cohabiting,
2021,,,,,,,,cohabiting,5.0
2010,,,,,,,,separated,
2011,,,,,,,,separated,
2012,,,,,,,,separated,
2013,,,,,,,,separated,
2014,,,,,,,,separated,
2015,,,,,,,,separated,13.0
2016,,,,,,,,separated,
2017,,,,,,,,separated,12.0
2018,,,,,,,,separated,
2019,,,,,,,,separated,18.0
2020,,,,,,,,separated,
2021,,,,,,,,separated,12.0
2010,,,,,,,,divorced,
2011,,,,,,,,divorced,
2012,,,,,,,,divorced,
2013,,,,,,,,divorced,
2014,,,,,,,,divorced,
2015,,,,,,,,divorced,19.0
2016,,,,,,,,divorced,
2017,,,,,,,,divorced,15.0
2018,,,,,,,,divorced,
2019,,,,,,,,divorced,12.0
2020,,,,,,,,divorced,
2021,,,,,,,,divorced,10.0
2010,,,,,,,,widowed,
2011,,,,,,,,widowed,
2012,,,,,,,,widowed,
2013,,,,,,,,widowed,
2014,,,,,,,,widowed,
2015,,,,,,,,widowed,18.0
2016,,,,,,,,widowed,
2017,,,,,,,,widowed,14.0
2018,,,,,,,,widowed,
2019,,,,,,,,widowed,11.0
2020,,,,,,,,widowed,
2021,,,,,,,,widowed,10.0
2010,,,,,,,,not classified,
2011,,,,,,,,not classified,
2012,,,,,,,,not classified,
2013,,,,,,,,not classified,
2014,,,,,,,,not classified,
2015,,,,,,,,not classified,15.0
2016,,,,,,,,not classified,
2017,,,,,,,,not classified,11.0
2018,,,,,,,,not classified,
2019,,,,,,,,not classified,13.0
2020,,,,,,,,not classified,
2021,,,,,,,,not classified,10.0
