Year,degree of urbanisation,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,towns and suburbs,,,,,housing cost overburden rate,14.5
2012,towns and suburbs,,,,,housing cost overburden rate,15.5
2013,towns and suburbs,,,,,housing cost overburden rate,16.1
2014,towns and suburbs,,,,,housing cost overburden rate,14.9
2015,towns and suburbs,,,,,housing cost overburden rate,14.5
2016,towns and suburbs,,,,,housing cost overburden rate,14.5
2017,towns and suburbs,,,,,housing cost overburden rate,13.4
2018,towns and suburbs,,,,,housing cost overburden rate,13.3
2019,towns and suburbs,,,,,housing cost overburden rate,12.7
2020,towns and suburbs,,|,,,housing cost overburden rate,7.8
2021,towns and suburbs,,,,,housing cost overburden rate,10.7
2022,towns and suburbs,,,,,housing cost overburden rate,11.5
2023,towns and suburbs,,,,,housing cost overburden rate,12.7
2024,towns and suburbs,,,,,housing cost overburden rate,11.6
2010,rural areas,,,,,housing cost overburden rate,12.3
2011,rural areas,,,,,housing cost overburden rate,13.6
2012,rural areas,,,,,housing cost overburden rate,13.9
2013,rural areas,,,,,housing cost overburden rate,13.3
2014,rural areas,,,,,housing cost overburden rate,12.7
2015,rural areas,,,,,housing cost overburden rate,12.0
2016,rural areas,,,,,housing cost overburden rate,12.2
2017,rural areas,,,,,housing cost overburden rate,11.0
2018,rural areas,,,,,housing cost overburden rate,10.4
2019,rural areas,,,,,housing cost overburden rate,12.4
2020,rural areas,,|,,,housing cost overburden rate,6.8
2021,rural areas,,,,,housing cost overburden rate,8.6
2022,rural areas,,,,,housing cost overburden rate,10.5
2023,rural areas,,,,,housing cost overburden rate,11.3
2024,rural areas,,,,,housing cost overburden rate,10.5
2010,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.3
2011,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2012,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2013,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2015,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.8
2016,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2017,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.5
2018,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2019,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2020,,,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.0
2021,,,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2022,,,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2023,,,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",16.0
2010,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2011,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",14.1
2012,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2013,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.6
2015,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2016,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.5
2017,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2018,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.7
2019,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.3
2020,,female,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2021,,female,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2022,,female,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2023,,female,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",16.3
2010,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.0
2011,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.4
2012,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2013,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.1
2014,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.1
2015,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.4
2016,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.7
2017,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",12.2
2018,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",13.2
2019,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.7
2020,,male,|,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",11.8
2021,,male,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2022,,male,.,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",
2023,,male,,,,"population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor",15.8
2010,,,,,,"population having neither a bath, nor a shower in their dwelling",0.5
2011,,,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,,0,|,,"population having neither a bath, nor a shower in their dwelling",0.0
2010,,female,,,,"population having neither a bath, nor a shower in their dwelling",0.5
2011,,female,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,female,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,female,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,female,0,|,,"population having neither a bath, nor a shower in their dwelling",0.0
2010,,male,,,,"population having neither a bath, nor a shower in their dwelling",0.6
2011,,male,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2012,,male,,,,"population having neither a bath, nor a shower in their dwelling",0.1
2013,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2014,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2015,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2016,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2017,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2018,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2019,,male,0,,,"population having neither a bath, nor a shower in their dwelling",0.0
2020,,male,0,|,,"population having neither a bath, nor a shower in their dwelling",0.0
2010,,,,,,population not having indoor flushing toilet for the sole use of their household,1.6
2011,,,,,,population not having indoor flushing toilet for the sole use of their household,0.9
2012,,,,,,population not having indoor flushing toilet for the sole use of their household,0.9
2013,,,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2014,,,0,,,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,,0,,,population not having indoor flushing toilet for the sole use of their household,0.0
2019,,,,,,population not having indoor flushing toilet for the sole use of their household,0.2
2020,,,|,,,population not having indoor flushing toilet for the sole use of their household,0.0
2010,,female,,,,population not having indoor flushing toilet for the sole use of their household,1.7
2011,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.9
2012,,female,,,,population not having indoor flushing toilet for the sole use of their household,1.0
2013,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.2
2014,,female,0,,,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2019,,female,,,,population not having indoor flushing toilet for the sole use of their household,0.2
2020,,female,|,,,population not having indoor flushing toilet for the sole use of their household,0.0
2010,,male,,,,population not having indoor flushing toilet for the sole use of their household,1.6
2011,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.8
2012,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.9
2013,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2014,,male,0,,,population not having indoor flushing toilet for the sole use of their household,0.0
2015,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2016,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2017,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.1
2018,,male,0,,,population not having indoor flushing toilet for the sole use of their household,0.0
2019,,male,,,,population not having indoor flushing toilet for the sole use of their household,0.3
2020,,male,|,,,population not having indoor flushing toilet for the sole use of their household,0.0
2010,,,,,,population considering their dwelling as too dark,4.2
2011,,,,,,population considering their dwelling as too dark,4.1
2012,,,,,,population considering their dwelling as too dark,3.9
2013,,,,,,population considering their dwelling as too dark,4.4
2014,,,,,,population considering their dwelling as too dark,4.4
2015,,,,,,population considering their dwelling as too dark,4.0
2016,,,,,,population considering their dwelling as too dark,3.9
2017,,,,,,population considering their dwelling as too dark,4.0
2018,,,,,,population considering their dwelling as too dark,4.4
2019,,,,,,population considering their dwelling as too dark,4.0
2020,,,.,,,population considering their dwelling as too dark,
2021,,,.,,,population considering their dwelling as too dark,
2022,,,.,,,population considering their dwelling as too dark,
2023,,,,,,population considering their dwelling as too dark,7.1
2010,,female,,,,population considering their dwelling as too dark,3.9
2011,,female,,,,population considering their dwelling as too dark,3.9
2012,,female,,,,population considering their dwelling as too dark,3.9
2013,,female,,,,population considering their dwelling as too dark,4.5
2014,,female,,,,population considering their dwelling as too dark,4.3
2015,,female,,,,population considering their dwelling as too dark,3.9
2016,,female,,,,population considering their dwelling as too dark,3.8
2017,,female,,,,population considering their dwelling as too dark,3.9
2018,,female,,,,population considering their dwelling as too dark,4.4
2019,,female,,,,population considering their dwelling as too dark,4.2
2020,,female,.,,,population considering their dwelling as too dark,
2021,,female,.,,,population considering their dwelling as too dark,
2022,,female,.,,,population considering their dwelling as too dark,
2023,,female,,,,population considering their dwelling as too dark,7.1
2010,,male,,,,population considering their dwelling as too dark,4.5
2011,,male,,,,population considering their dwelling as too dark,4.2
2012,,male,,,,population considering their dwelling as too dark,3.9
2013,,male,,,,population considering their dwelling as too dark,4.3
2014,,male,,,,population considering their dwelling as too dark,4.5
2015,,male,,,,population considering their dwelling as too dark,4.1
2016,,male,,,,population considering their dwelling as too dark,3.9
2017,,male,,,,population considering their dwelling as too dark,4.0
2018,,male,,,,population considering their dwelling as too dark,4.4
2019,,male,,,,population considering their dwelling as too dark,3.8
2020,,male,.,,,population considering their dwelling as too dark,
2021,,male,.,,,population considering their dwelling as too dark,
2022,,male,.,,,population considering their dwelling as too dark,
2023,,male,,,,population considering their dwelling as too dark,7.2
