Year,Units,timeseries,COMMENT_OBS_0,Value
2021,million hours,hours worked by employees,p,53392.0
2022,million hours,hours worked by employees,p,54177.0
2023,million hours,hours worked by employees,p,54592.0
2010,million hours,hours worked by persons employed,r,58581.0
2011,million hours,hours worked by persons employed,r,59328.0
2012,million hours,hours worked by persons employed,r,59143.0
2013,million hours,hours worked by persons employed,r,59148.0
2014,million hours,hours worked by persons employed,r,59859.0
2015,million hours,hours worked by persons employed,r,60460.0
2016,million hours,hours worked by persons employed,r,60978.0
2017,million hours,hours worked by persons employed,r,61484.0
2018,million hours,hours worked by persons employed,r,61964.0
2019,million hours,hours worked by persons employed,r,62141.0
2020,million hours,hours worked by persons employed,,59066.0
2021,million hours,hours worked by persons employed,p,60456.0
2022,million hours,hours worked by persons employed,p,61211.0
2023,million hours,hours worked by persons employed,p,61437.0
2010,2020 = 100,labour productivity per hour worked by employee,,94.2
2011,2020 = 100,labour productivity per hour worked by employee,,96.2
2012,2020 = 100,labour productivity per hour worked by employee,,96.8
2013,2020 = 100,labour productivity per hour worked by employee,,96.9
2014,2020 = 100,labour productivity per hour worked by employee,,97.4
2015,2020 = 100,labour productivity per hour worked by employee,,97.6
2016,2020 = 100,labour productivity per hour worked by employee,,98.1
2017,2020 = 100,labour productivity per hour worked by employee,,99.8
2018,2020 = 100,labour productivity per hour worked by employee,,99.2
2019,2020 = 100,labour productivity per hour worked by employee,,99.8
2020,2020 = 100,labour productivity per hour worked by employee,,100.0
2021,2020 = 100,labour productivity per hour worked by employee,p,101.0
2022,2020 = 100,labour productivity per hour worked by employee,p,103.6
2023,2020 = 100,labour productivity per hour worked by employee,p,99.9
2010,2020 = 100,labour productivity per hour worked by persons employed,,90.2
2011,2020 = 100,labour productivity per hour worked by persons employed,,92.4
2012,2020 = 100,labour productivity per hour worked by persons employed,,93.1
2013,2020 = 100,labour productivity per hour worked by persons employed,,93.4
2014,2020 = 100,labour productivity per hour worked by persons employed,,94.3
2015,2020 = 100,labour productivity per hour worked by persons employed,,94.9
2016,2020 = 100,labour productivity per hour worked by persons employed,,96.3
2017,2020 = 100,labour productivity per hour worked by persons employed,,98.1
2018,2020 = 100,labour productivity per hour worked by persons employed,,98.4
2019,2020 = 100,labour productivity per hour worked by persons employed,,99.1
2020,2020 = 100,labour productivity per hour worked by persons employed,,100.0
2021,2020 = 100,labour productivity per hour worked by persons employed,p,101.3
2022,2020 = 100,labour productivity per hour worked by persons employed,p,101.4
2023,2020 = 100,labour productivity per hour worked by persons employed,p,100.8
2010,"number in 1,000",persons employed,r,41099.0
2011,"number in 1,000",persons employed,r,41570.0
2012,"number in 1,000",persons employed,r,42065.0
2013,"number in 1,000",persons employed,r,42378.0
2014,"number in 1,000",persons employed,r,42756.0
2015,"number in 1,000",persons employed,r,43137.0
2016,"number in 1,000",persons employed,r,43686.0
2017,"number in 1,000",persons employed,r,44290.0
2018,"number in 1,000",persons employed,r,44878.0
2019,"number in 1,000",persons employed,r,45291.0
2020,"number in 1,000",persons employed,,44966.0
2021,"number in 1,000",persons employed,p,45053.0
2022,"number in 1,000",persons employed,p,45675.0
2023,"number in 1,000",persons employed,p,46011.0
2010,2020 = 100,real gdp per capita,,92.6
2011,2020 = 100,real gdp per capita,,96.1
2012,2020 = 100,real gdp per capita,,96.4
2013,2020 = 100,real gdp per capita,,96.5
2014,2020 = 100,real gdp per capita,,98.2
2015,2020 = 100,real gdp per capita,,98.9
2016,2020 = 100,real gdp per capita,,100.4
2017,2020 = 100,real gdp per capita,,102.7
2018,2020 = 100,real gdp per capita,,103.6
2019,2020 = 100,real gdp per capita,,104.4
2020,2020 = 100,real gdp per capita,,100.0
2021,2020 = 100,real gdp per capita,p,103.6
2022,2020 = 100,real gdp per capita,p,104.3
2023,2020 = 100,real gdp per capita,p,103.1
2010,billion eur,trade balance,r,133.5
2011,billion eur,trade balance,r,133.3
2012,billion eur,trade balance,r,169.1
2013,billion eur,trade balance,r,165.5
2014,billion eur,trade balance,r,195.2
2015,billion eur,trade balance,r,228.9
2016,billion eur,trade balance,r,232.1
2017,billion eur,trade balance,r,236.0
2018,billion eur,trade balance,r,205.4
2019,billion eur,trade balance,r,199.3
2020,billion eur,trade balance,,184.4
2021,billion eur,trade balance,p,189.7
2022,billion eur,trade balance,p,98.7
2023,billion eur,trade balance,p,167.7
