Year,completeness of disaggregation,goal,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2024,partially disaggregated,5 - gender equality,,,,17
2025,partially disaggregated,5 - gender equality,r,,,50
2026,partially disaggregated,5 - gender equality,,,,50
2024,not disaggregated,5 - gender equality,,,,83
2025,not disaggregated,5 - gender equality,,,,50
2026,not disaggregated,5 - gender equality,,,,50
2024,fully disaggregated,8 - decent work and economic growth,,,,17
2025,fully disaggregated,8 - decent work and economic growth,,,,17
2026,fully disaggregated,8 - decent work and economic growth,,,,17
2024,partially disaggregated,8 - decent work and economic growth,,,,50
2025,partially disaggregated,8 - decent work and economic growth,,,,50
2026,partially disaggregated,8 - decent work and economic growth,,,,50
2024,not disaggregated,8 - decent work and economic growth,,,,33
2025,not disaggregated,8 - decent work and economic growth,,,,33
2026,not disaggregated,8 - decent work and economic growth,,,,33
2024,fully disaggregated,"9 - industry, innovation and infrastructure",,,,100
2025,fully disaggregated,"9 - industry, innovation and infrastructure",,,,100
2026,fully disaggregated,"9 - industry, innovation and infrastructure",,,,100
2024,partially disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2025,partially disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2026,partially disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2024,not disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2025,not disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2026,not disaggregated,"9 - industry, innovation and infrastructure",-,,,0
2024,fully disaggregated,10 - reduced inequalities,,,,33
2025,fully disaggregated,10 - reduced inequalities,,,,33
2026,fully disaggregated,10 - reduced inequalities,,,,33
2024,partially disaggregated,10 - reduced inequalities,,,,67
2025,partially disaggregated,10 - reduced inequalities,,,,67
2026,partially disaggregated,10 - reduced inequalities,,,,67
2024,not disaggregated,10 - reduced inequalities,-,,,0
2025,not disaggregated,10 - reduced inequalities,-,,,0
2026,not disaggregated,10 - reduced inequalities,-,,,0
2024,fully disaggregated,11 - sustainable cities and communities,-,,,0
2025,fully disaggregated,11 - sustainable cities and communities,r,,,17
2026,fully disaggregated,11 - sustainable cities and communities,,,,17
2024,partially disaggregated,11 - sustainable cities and communities,,,,40
2025,partially disaggregated,11 - sustainable cities and communities,,,,33
2026,partially disaggregated,11 - sustainable cities and communities,,,,33
2024,not disaggregated,11 - sustainable cities and communities,,,,60
2025,not disaggregated,11 - sustainable cities and communities,,,,50
2026,not disaggregated,11 - sustainable cities and communities,,,,50
2024,fully disaggregated,12 - responsible consumption and production,,,,100
2025,fully disaggregated,12 - responsible consumption and production,,,,100
2026,fully disaggregated,12 - responsible consumption and production,,,,100
2024,partially disaggregated,12 - responsible consumption and production,-,,,0
2025,partially disaggregated,12 - responsible consumption and production,-,,,0
2026,partially disaggregated,12 - responsible consumption and production,-,,,0
2024,not disaggregated,12 - responsible consumption and production,-,,,0
2025,not disaggregated,12 - responsible consumption and production,-,,,0
2026,not disaggregated,12 - responsible consumption and production,-,,,0
2024,fully disaggregated,15 - life on land,-,,,0
2025,fully disaggregated,15 - life on land,-,,,0
2026,fully disaggregated,15 - life on land,-,,,0
2024,partially disaggregated,15 - life on land,-,,,0
2025,partially disaggregated,15 - life on land,-,,,0
2026,partially disaggregated,15 - life on land,-,,,0
2024,not disaggregated,15 - life on land,,,,100
2025,not disaggregated,15 - life on land,,,,100
2026,not disaggregated,15 - life on land,,,,100
2024,fully disaggregated,16 - peace and justice,,,,25
2025,fully disaggregated,16 - peace and justice,r,,,38
2026,fully disaggregated,16 - peace and justice,,,,38
2024,partially disaggregated,16 - peace and justice,,,,25
2025,partially disaggregated,16 - peace and justice,r,,,13
2026,partially disaggregated,16 - peace and justice,,,,13
2024,not disaggregated,16 - peace and justice,,,,50
2025,not disaggregated,16 - peace and justice,,,,50
2026,not disaggregated,16 - peace and justice,,,,50
2024,fully disaggregated,17 - partnerships for the goals,,,,50
2025,fully disaggregated,17 - partnerships for the goals,,,,50
2026,fully disaggregated,17 - partnerships for the goals,,,,50
2024,partially disaggregated,17 - partnerships for the goals,-,,,0
2025,partially disaggregated,17 - partnerships for the goals,-,,,0
2026,partially disaggregated,17 - partnerships for the goals,-,,,0
2024,not disaggregated,17 - partnerships for the goals,,,,50
2025,not disaggregated,17 - partnerships for the goals,,,,50
2026,not disaggregated,17 - partnerships for the goals,,,,50
