Year,Units,type of biomass,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2015,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,894.6
2016,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,899.8
2017,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,904.5
2018,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,907.6
2019,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,910.4
2020,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,911.7
2021,million tonnes carbon,standig wood,r,,,above-ground biomass stock in forest,912.4
2022,million tonnes carbon,standig wood,,,,above-ground biomass stock in forest,914.0
2010,million tonnes carbon,other woody biomass,,,,above-ground biomass stock in forest,252.2
2011,million tonnes carbon,other woody biomass,,,,above-ground biomass stock in forest,254.4
2012,million tonnes carbon,other woody biomass,,,,above-ground biomass stock in forest,256.6
2013,million tonnes carbon,other woody biomass,,,,above-ground biomass stock in forest,258.8
2014,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,492.6
2015,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,494.7
2016,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,497.2
2017,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,499.4
2018,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,500.6
2019,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,501.6
2020,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,501.7
2021,million tonnes carbon,other woody biomass,r,,,above-ground biomass stock in forest,501.4
2022,million tonnes carbon,other woody biomass,,,,above-ground biomass stock in forest,501.7
2010,million tonnes carbon,other biomass in forests,,,,above-ground biomass stock in forest,243.8
2011,million tonnes carbon,other biomass in forests,,,,above-ground biomass stock in forest,246.0
2012,million tonnes carbon,other biomass in forests,,,,above-ground biomass stock in forest,248.0
2013,million tonnes carbon,other biomass in forests,,,,above-ground biomass stock in forest,250.0
2014,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,253.9
2015,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,255.1
2016,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,256.5
2017,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,257.8
2018,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,258.6
2019,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,259.3
2020,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,259.5
2021,million tonnes carbon,other biomass in forests,r,,,above-ground biomass stock in forest,259.6
2022,million tonnes carbon,other biomass in forests,,,,above-ground biomass stock in forest,260.0
