Year,Units,type of classification,level of risk of extinction,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,percentage,national classification,phenotypic conservation populations,.,,,
2015,percentage,national classification,phenotypic conservation populations,,,,6.5
2016,percentage,national classification,phenotypic conservation populations,.,,,
2017,percentage,national classification,phenotypic conservation populations,,,,6.5
2018,percentage,national classification,phenotypic conservation populations,.,,,
2019,percentage,national classification,phenotypic conservation populations,,,,7.5
2020,percentage,national classification,phenotypic conservation populations,.,,,
2021,percentage,national classification,phenotypic conservation populations,,,,8.6
2022,percentage,national classification,phenotypic conservation populations,.,,,
2023,percentage,national classification,phenotypic conservation populations,,,,8.4
2010,number,fao classification,at risk,.,,,
2011,number,fao classification,at risk,.,,,
2012,number,fao classification,at risk,.,,,
2013,number,fao classification,at risk,.,,,
2014,number,fao classification,at risk,.,,,
2015,number,fao classification,at risk,,,,35.0
2016,number,fao classification,at risk,.,,,
2017,number,fao classification,at risk,.,,,
2018,number,fao classification,at risk,.,,,
2019,number,fao classification,at risk,,,,70.0
2020,number,fao classification,at risk,.,,,
2021,number,fao classification,at risk,.,,,
2022,number,fao classification,at risk,.,,,
2023,number,fao classification,at risk,,,,73.0
2010,number,fao classification,not at risk,.,,,
2011,number,fao classification,not at risk,.,,,
2012,number,fao classification,not at risk,.,,,
2013,number,fao classification,not at risk,.,,,
2014,number,fao classification,not at risk,.,,,
2015,number,fao classification,not at risk,,,,42.0
2016,number,fao classification,not at risk,.,,,
2017,number,fao classification,not at risk,.,,,
2018,number,fao classification,not at risk,.,,,
2019,number,fao classification,not at risk,,,,10.0
2020,number,fao classification,not at risk,.,,,
2021,number,fao classification,not at risk,.,,,
2022,number,fao classification,not at risk,.,,,
2023,number,fao classification,not at risk,,,,10.0
2010,number,national classification,not at risk,.,,,
2011,number,national classification,not at risk,,,,22.0
2012,number,national classification,not at risk,.,,,
2013,number,national classification,not at risk,,,,23.0
2014,number,national classification,not at risk,.,,,
2015,number,national classification,not at risk,,,,22.0
2016,number,national classification,not at risk,.,,,
2017,number,national classification,not at risk,,,,23.0
2018,number,national classification,not at risk,.,,,
2019,number,national classification,not at risk,,,,24.0
2020,number,national classification,not at risk,.,,,
2021,number,national classification,not at risk,,,,23.0
2022,number,national classification,not at risk,.,,,
2023,number,national classification,not at risk,,,,24.0
2010,number,national classification,monitoring population,.,,,
2011,number,national classification,monitoring population,,,,29.0
2012,number,national classification,monitoring population,.,,,
2013,number,national classification,monitoring population,,,,32.0
2014,number,national classification,monitoring population,.,,,
2015,number,national classification,monitoring population,,,,36.0
2016,number,national classification,monitoring population,.,,,
2017,number,national classification,monitoring population,,,,36.0
2018,number,national classification,monitoring population,.,,,
2019,number,national classification,monitoring population,,,,36.0
2020,number,national classification,monitoring population,.,,,
2021,number,national classification,monitoring population,,,,36.0
2022,number,national classification,monitoring population,.,,,
2023,number,national classification,monitoring population,,,,36.0
2010,number,national classification,conservation population,.,,,
2011,number,national classification,conservation population,,,,18.0
2012,number,national classification,conservation population,.,,,
2013,number,national classification,conservation population,,,,15.0
2014,number,national classification,conservation population,.,,,
2015,number,national classification,conservation population,,,,14.0
2016,number,national classification,conservation population,.,,,
2017,number,national classification,conservation population,,,,13.0
2018,number,national classification,conservation population,.,,,
2019,number,national classification,conservation population,,,,14.0
2020,number,national classification,conservation population,.,,,
2021,number,national classification,conservation population,,,,15.0
2022,number,national classification,conservation population,.,,,
2023,number,national classification,conservation population,,,,16.0
2010,number,national classification,phenotypic conservation populations,.,,,
2011,number,national classification,phenotypic conservation populations,,,,5.0
2012,number,national classification,phenotypic conservation populations,.,,,
2013,number,national classification,phenotypic conservation populations,,,,5.0
2014,number,national classification,phenotypic conservation populations,.,,,
2015,number,national classification,phenotypic conservation populations,,,,5.0
2016,number,national classification,phenotypic conservation populations,.,,,
2017,number,national classification,phenotypic conservation populations,,,,5.0
2018,number,national classification,phenotypic conservation populations,.,,,
2019,number,national classification,phenotypic conservation populations,,,,6.0
2020,number,national classification,phenotypic conservation populations,.,,,
2021,number,national classification,phenotypic conservation populations,,,,7.0
2022,number,national classification,phenotypic conservation populations,.,,,
2023,number,national classification,phenotypic conservation populations,,,,7.0
