Year,Units,sex,region,GeoCode,Series,Value
2014,%,,saxony,code14,gender pay gap,11.0
2015,%,,saxony,code14,gender pay gap,11.0
2016,%,,saxony,code14,gender pay gap,10.0
2017,%,,saxony,code14,gender pay gap,9.0
2018,%,,saxony,code14,gender pay gap,8.0
2019,%,,saxony,code14,gender pay gap,7.0
2020,%,,saxony,code14,gender pay gap,7.0
2021,%,,saxony,code14,gender pay gap,6.0
2010,%,,saxony-anhalt,code15,gender pay gap,4.0
2011,%,,saxony-anhalt,code15,gender pay gap,5.0
2012,%,,saxony-anhalt,code15,gender pay gap,5.0
2013,%,,saxony-anhalt,code15,gender pay gap,4.0
2014,%,,saxony-anhalt,code15,gender pay gap,5.0
2015,%,,saxony-anhalt,code15,gender pay gap,4.0
2016,%,,saxony-anhalt,code15,gender pay gap,4.0
2017,%,,saxony-anhalt,code15,gender pay gap,6.0
2018,%,,saxony-anhalt,code15,gender pay gap,8.0
2019,%,,saxony-anhalt,code15,gender pay gap,7.0
2020,%,,saxony-anhalt,code15,gender pay gap,8.0
2021,%,,saxony-anhalt,code15,gender pay gap,7.0
2010,%,,schleswig-holstein,code01,gender pay gap,18.0
2011,%,,schleswig-holstein,code01,gender pay gap,17.0
2012,%,,schleswig-holstein,code01,gender pay gap,18.0
2013,%,,schleswig-holstein,code01,gender pay gap,18.0
2014,%,,schleswig-holstein,code01,gender pay gap,17.0
2015,%,,schleswig-holstein,code01,gender pay gap,16.0
2016,%,,schleswig-holstein,code01,gender pay gap,16.0
2017,%,,schleswig-holstein,code01,gender pay gap,14.0
2018,%,,schleswig-holstein,code01,gender pay gap,14.0
2019,%,,schleswig-holstein,code01,gender pay gap,13.0
2020,%,,schleswig-holstein,code01,gender pay gap,13.0
2021,%,,schleswig-holstein,code01,gender pay gap,12.0
2010,%,,thuringia,code16,gender pay gap,6.0
2011,%,,thuringia,code16,gender pay gap,7.0
2012,%,,thuringia,code16,gender pay gap,8.0
2013,%,,thuringia,code16,gender pay gap,9.0
2014,%,,thuringia,code16,gender pay gap,8.0
2015,%,,thuringia,code16,gender pay gap,9.0
2016,%,,thuringia,code16,gender pay gap,7.0
2017,%,,thuringia,code16,gender pay gap,6.0
2018,%,,thuringia,code16,gender pay gap,6.0
2019,%,,thuringia,code16,gender pay gap,6.0
2020,%,,thuringia,code16,gender pay gap,5.0
2021,%,,thuringia,code16,gender pay gap,5.0
