Year,Units,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,number,15 to under 25 years,female,r,,,3099.66
2022,number,15 to under 25 years,female,r,,,3129.768
2023,number,15 to under 25 years,female,,,,3154.819
2024,number,15 to under 25 years,female,p,,,3155.497
2010,percentage,15 to under 25 years,male,,,,74.952
2011,percentage,15 to under 25 years,male,,,,75.838
2012,percentage,15 to under 25 years,male,,,,77.082
2013,percentage,15 to under 25 years,male,,,,78.24
2014,percentage,15 to under 25 years,male,,,,78.471
2015,percentage,15 to under 25 years,male,,,,79.403
2016,percentage,15 to under 25 years,male,,,,78.808
2017,percentage,15 to under 25 years,male,,,,79.046
2018,percentage,15 to under 25 years,male,,,,78.651
2019,percentage,15 to under 25 years,male,,,,78.103
2020,percentage,15 to under 25 years,male,|,,,79.082
2021,percentage,15 to under 25 years,male,r,,,76.073
2022,percentage,15 to under 25 years,male,r,,,76.2
2023,percentage,15 to under 25 years,male,,,,75.226
2024,percentage,15 to under 25 years,male,p,,,75.829
2010,number,15 to under 25 years,male,,,,3447.33
2011,number,15 to under 25 years,male,,,,3363.98
2012,number,15 to under 25 years,male,,,,3384.796
2013,number,15 to under 25 years,male,,,,3437.589
2014,number,15 to under 25 years,male,,,,3426.025
2015,number,15 to under 25 years,male,,,,3447.811
2016,number,15 to under 25 years,male,,,,3502.483
2017,number,15 to under 25 years,male,,,,3524.012
2018,number,15 to under 25 years,male,,,,3463.814
2019,number,15 to under 25 years,male,,,,3418.042
2020,number,15 to under 25 years,male,|,,,3436.322
2021,number,15 to under 25 years,male,r,,,3164.199
2022,number,15 to under 25 years,male,r,,,3188.24
2023,number,15 to under 25 years,male,,,,3201.397
2024,number,15 to under 25 years,male,p,,,3251.394
2010,percentage,15 to under 65 years,,,,,29.846
2011,percentage,15 to under 65 years,,,,,30.334
2012,percentage,15 to under 65 years,,,,,29.247
2013,percentage,15 to under 65 years,,,,,29.169
2014,percentage,15 to under 65 years,,,,,29.027
2015,percentage,15 to under 65 years,,,,,29.427
2016,percentage,15 to under 65 years,,,,,29.875
2017,percentage,15 to under 65 years,,,,,29.18
2018,percentage,15 to under 65 years,,,,,28.855
2019,percentage,15 to under 65 years,,,,,29.156
2020,percentage,15 to under 65 years,,|,,,27.809
2021,percentage,15 to under 65 years,,r,,,25.034
2022,percentage,15 to under 65 years,,r,,,26.394
2023,percentage,15 to under 65 years,,,,,26.572
2024,percentage,15 to under 65 years,,p,,,28.948
2010,number,15 to under 65 years,,,,,15981.51
2011,number,15 to under 65 years,,,,,15869.1
2012,number,15 to under 65 years,,,,,15319.632
2013,number,15 to under 65 years,,,,,15330.249
2014,number,15 to under 65 years,,,,,15299.075
2015,number,15 to under 65 years,,,,,15578.819
2016,number,15 to under 65 years,,,,,16064.831
2017,number,15 to under 65 years,,,,,15690.778
2018,number,15 to under 65 years,,,,,15436.899
2019,number,15 to under 65 years,,,,,15604.334
2020,number,15 to under 65 years,,|,,,14803.204
2021,number,15 to under 65 years,,r,,,13047.309
2022,number,15 to under 65 years,,r,,,13858.195
2023,number,15 to under 65 years,,,,,14039.497
2024,number,15 to under 65 years,,p,,,15295.587
2010,percentage,15 to under 65 years,female,,,,29.312
2011,percentage,15 to under 65 years,female,,,,29.642
2012,percentage,15 to under 65 years,female,,,,28.629
2013,percentage,15 to under 65 years,female,,,,28.556
2014,percentage,15 to under 65 years,female,,,,28.463
2015,percentage,15 to under 65 years,female,,,,28.771
2016,percentage,15 to under 65 years,female,,,,29.119
2017,percentage,15 to under 65 years,female,,,,28.47
2018,percentage,15 to under 65 years,female,,,,28.314
2019,percentage,15 to under 65 years,female,,,,28.859
2020,percentage,15 to under 65 years,female,|,,,27.693
2021,percentage,15 to under 65 years,female,r,,,25.188
2022,percentage,15 to under 65 years,female,r,,,26.829
2023,percentage,15 to under 65 years,female,,,,27.084
2024,percentage,15 to under 65 years,female,p,,,29.36
2010,number,15 to under 65 years,female,,,,7797.92
2011,number,15 to under 65 years,female,,,,7737.98
2012,number,15 to under 65 years,female,,,,7474.009
2013,number,15 to under 65 years,female,,,,7473.806
2014,number,15 to under 65 years,female,,,,7457.472
2015,number,15 to under 65 years,female,,,,7556.339
2016,number,15 to under 65 years,female,,,,7725.175
2017,number,15 to under 65 years,female,,,,7535.23
2018,number,15 to under 65 years,female,,,,7472.145
2019,number,15 to under 65 years,female,,,,7631.708
2020,number,15 to under 65 years,female,|,,,7274.901
2021,number,15 to under 65 years,female,r,,,6482.78
2022,number,15 to under 65 years,female,r,,,6965.017
2023,number,15 to under 65 years,female,,,,7068.351
2024,number,15 to under 65 years,female,p,,,7644.484
2010,percentage,15 to under 65 years,male,,,,30.374
2011,percentage,15 to under 65 years,male,,,,31.023
2012,percentage,15 to under 65 years,male,,,,29.862
2013,percentage,15 to under 65 years,male,,,,29.777
2014,percentage,15 to under 65 years,male,,,,29.586
2015,percentage,15 to under 65 years,male,,,,30.073
2016,percentage,15 to under 65 years,male,,,,30.611
2017,percentage,15 to under 65 years,male,,,,29.868
2018,percentage,15 to under 65 years,male,,,,29.383
2019,percentage,15 to under 65 years,male,,,,29.445
2020,percentage,15 to under 65 years,male,|,,,27.923
2021,percentage,15 to under 65 years,male,r,,,24.883
2022,percentage,15 to under 65 years,male,r,,,25.968
2023,percentage,15 to under 65 years,male,,,,26.073
2024,percentage,15 to under 65 years,male,p,,,28.549
2010,number,15 to under 65 years,male,,,,8183.59
2011,number,15 to under 65 years,male,,,,8131.12
2012,number,15 to under 65 years,male,,,,7845.624
2013,number,15 to under 65 years,male,,,,7856.444
2014,number,15 to under 65 years,male,,,,7841.603
2015,number,15 to under 65 years,male,,,,8022.479
2016,number,15 to under 65 years,male,,,,8339.656
2017,number,15 to under 65 years,male,,,,8155.546
2018,number,15 to under 65 years,male,,,,7964.755
2019,number,15 to under 65 years,male,,,,7972.625
2020,number,15 to under 65 years,male,|,,,7528.302
2021,number,15 to under 65 years,male,r,,,6564.529
2022,number,15 to under 65 years,male,r,,,6893.178
2023,number,15 to under 65 years,male,,,,6971.146
2024,number,15 to under 65 years,male,p,,,7651.104
2010,percentage,25 to under 55 years,,,,,23.367
2011,percentage,25 to under 55 years,,,,,24.092
2012,percentage,25 to under 55 years,,,,,22.708
2013,percentage,25 to under 55 years,,,,,22.553
2014,percentage,25 to under 55 years,,,,,22.407
2015,percentage,25 to under 55 years,,,,,22.911
2016,percentage,25 to under 55 years,,,,,23.594
2017,percentage,25 to under 55 years,,,,,22.651
2018,percentage,25 to under 55 years,,,,,22.363
2019,percentage,25 to under 55 years,,,,,22.85
2020,percentage,25 to under 55 years,,|,,,21.078
2021,percentage,25 to under 55 years,,r,,,18.238
2022,percentage,25 to under 55 years,,r,,,19.858
2023,percentage,25 to under 55 years,,,,,20.074
2024,percentage,25 to under 55 years,,p,,,23.108
2010,number,25 to under 55 years,,,,,8072.49
2011,number,25 to under 55 years,,,,,8081.67
2012,number,25 to under 55 years,,,,,7601.539
2013,number,25 to under 55 years,,,,,7533.867
2014,number,25 to under 55 years,,,,,7492.14
2015,number,25 to under 55 years,,,,,7671.548
2016,number,25 to under 55 years,,,,,8003.358
2017,number,25 to under 55 years,,,,,7637.577
2018,number,25 to under 55 years,,,,,7406.939
2019,number,25 to under 55 years,,,,,7507.174
2020,number,25 to under 55 years,,|,,,6793.113
2021,number,25 to under 55 years,,r,,,5721.079
2022,number,25 to under 55 years,,r,,,6249.186
2023,number,25 to under 55 years,,,,,6332.13
2024,number,25 to under 55 years,,p,,,7276.211
2010,percentage,25 to under 55 years,female,,,,22.763
2011,percentage,25 to under 55 years,female,,,,23.319
2012,percentage,25 to under 55 years,female,,,,22.135
2013,percentage,25 to under 55 years,female,,,,22.083
2014,percentage,25 to under 55 years,female,,,,21.947
2015,percentage,25 to under 55 years,female,,,,22.374
2016,percentage,25 to under 55 years,female,,,,22.928
2017,percentage,25 to under 55 years,female,,,,21.988
2018,percentage,25 to under 55 years,female,,,,21.743
2019,percentage,25 to under 55 years,female,,,,22.475
2020,percentage,25 to under 55 years,female,|,,,20.892
2021,percentage,25 to under 55 years,female,r,,,18.319
2022,percentage,25 to under 55 years,female,r,,,20.309
2023,percentage,25 to under 55 years,female,,,,20.495
2024,percentage,25 to under 55 years,female,p,,,23.671
2010,number,25 to under 55 years,female,,,,3895.33
2011,number,25 to under 55 years,female,,,,3894.46
2012,number,25 to under 55 years,female,,,,3682.614
2013,number,25 to under 55 years,female,,,,3662.473
2014,number,25 to under 55 years,female,,,,3641.728
2015,number,25 to under 55 years,female,,,,3706.575
2016,number,25 to under 55 years,female,,,,3832.687
2017,number,25 to under 55 years,female,,,,3646.93
2018,number,25 to under 55 years,female,,,,3549.924
2019,number,25 to under 55 years,female,,,,3645.427
2020,number,25 to under 55 years,female,|,,,3317.206
2021,number,25 to under 55 years,female,r,,,2830.308
2022,number,25 to under 55 years,female,r,,,3152.998
2023,number,25 to under 55 years,female,,,,3185.152
2024,number,25 to under 55 years,female,p,,,3663.485
2010,percentage,25 to under 55 years,male,,,,23.959
2011,percentage,25 to under 55 years,male,,,,24.859
2012,percentage,25 to under 55 years,male,,,,23.274
2013,percentage,25 to under 55 years,male,,,,23.018
2014,percentage,25 to under 55 years,male,,,,22.861
2015,percentage,25 to under 55 years,male,,,,23.437
2016,percentage,25 to under 55 years,male,,,,24.241
2017,percentage,25 to under 55 years,male,,,,23.293
2018,percentage,25 to under 55 years,male,,,,22.965
2019,percentage,25 to under 55 years,male,,,,23.216
2020,percentage,25 to under 55 years,male,|,,,21.259
2021,percentage,25 to under 55 years,male,r,,,18.159
2022,percentage,25 to under 55 years,male,r,,,19.418
2023,percentage,25 to under 55 years,male,,,,19.665
2024,percentage,25 to under 55 years,male,p,,,22.564
2010,number,25 to under 55 years,male,,,,4177.17
2011,number,25 to under 55 years,male,,,,4187.21
2012,number,25 to under 55 years,male,,,,3918.925
2013,number,25 to under 55 years,male,,,,3871.395
2014,number,25 to under 55 years,male,,,,3850.412
2015,number,25 to under 55 years,male,,,,3964.973
2016,number,25 to under 55 years,male,,,,4170.671
2017,number,25 to under 55 years,male,,,,3990.645
2018,number,25 to under 55 years,male,,,,3857.016
2019,number,25 to under 55 years,male,,,,3861.746
2020,number,25 to under 55 years,male,|,,,3475.906
2021,number,25 to under 55 years,male,r,,,2890.772
2022,number,25 to under 55 years,male,r,,,3096.188
2023,number,25 to under 55 years,male,,,,3146.978
2024,number,25 to under 55 years,male,p,,,3612.726
2010,percentage,55 to under 65 years,,,,,10.584
2011,percentage,55 to under 65 years,,,,,10.946
2012,percentage,55 to under 65 years,,,,,10.169
2013,percentage,55 to under 65 years,,,,,10.162
2014,percentage,55 to under 65 years,,,,,10.446
2015,percentage,55 to under 65 years,,,,,11.034
2016,percentage,55 to under 65 years,,,,,11.763
2017,percentage,55 to under 65 years,,,,,11.193
2018,percentage,55 to under 65 years,,,,,11.048
2019,percentage,55 to under 65 years,,,,,11.615
2020,percentage,55 to under 65 years,,|,,,10.307
2021,percentage,55 to under 65 years,,r,,,8.375
2022,percentage,55 to under 65 years,,r,,,9.997
2023,percentage,55 to under 65 years,,,,,10.359
2024,percentage,55 to under 65 years,,p,,,12.334
2010,number,55 to under 65 years,,,,,1054.18
2011,number,55 to under 65 years,,,,,1101.5
2012,number,55 to under 65 years,,,,,1051.761
2013,number,55 to under 65 years,,,,,1078.975
2014,number,55 to under 65 years,,,,,1129.07
2015,number,55 to under 65 years,,,,,1222.063
2016,number,55 to under 65 years,,,,,1335.488
2017,number,55 to under 65 years,,,,,1294.215
2018,number,55 to under 65 years,,,,,1319.774
2019,number,55 to under 65 years,,,,,1423.738
2020,number,55 to under 65 years,,|,,,1299.728
2021,number,55 to under 65 years,,r,,,1062.372
2022,number,55 to under 65 years,,r,,,1291.002
2023,number,55 to under 65 years,,,,,1351.151
2024,number,55 to under 65 years,,p,,,1612.485
2010,percentage,55 to under 65 years,female,,,,9.801
2011,percentage,55 to under 65 years,female,,,,10.161
2012,percentage,55 to under 65 years,female,,,,9.622
2013,percentage,55 to under 65 years,female,,,,9.759
2014,percentage,55 to under 65 years,female,,,,10.229
2015,percentage,55 to under 65 years,female,,,,10.823
2016,percentage,55 to under 65 years,female,,,,11.618
2017,percentage,55 to under 65 years,female,,,,11.171
2018,percentage,55 to under 65 years,female,,,,11.192
2019,percentage,55 to under 65 years,female,,,,11.805
2020,percentage,55 to under 65 years,female,|,,,10.775
2021,percentage,55 to under 65 years,female,r,,,8.663
2022,percentage,55 to under 65 years,female,r,,,10.5
2023,percentage,55 to under 65 years,female,,,,11.095
2024,percentage,55 to under 65 years,female,p,,,12.56
2010,number,55 to under 65 years,female,,,,495.08
2011,number,55 to under 65 years,female,,,,521.57
2012,number,55 to under 65 years,female,,,,509.859
2013,number,55 to under 65 years,female,,,,531.515
2014,number,55 to under 65 years,female,,,,563.904
2015,number,55 to under 65 years,female,,,,612.367
2016,number,55 to under 65 years,female,,,,668.985
2017,number,55 to under 65 years,female,,,,653.326
2018,number,55 to under 65 years,female,,,,675.849
2019,number,55 to under 65 years,female,,,,730.901
2020,number,55 to under 65 years,female,|,,,683.654
2021,number,55 to under 65 years,female,r,,,552.813
2022,number,55 to under 65 years,female,r,,,682.252
2023,number,55 to under 65 years,female,,,,728.38
2024,number,55 to under 65 years,female,p,,,825.502
2010,percentage,55 to under 65 years,male,,,,11.389
2011,percentage,55 to under 65 years,male,,,,11.763
2012,percentage,55 to under 65 years,male,,,,10.743
2013,percentage,55 to under 65 years,male,,,,10.586
2014,percentage,55 to under 65 years,male,,,,10.672
2015,percentage,55 to under 65 years,male,,,,11.255
2016,percentage,55 to under 65 years,male,,,,11.913
2017,percentage,55 to under 65 years,male,,,,11.216
2018,percentage,55 to under 65 years,male,,,,10.9
2019,percentage,55 to under 65 years,male,,,,11.422
2020,percentage,55 to under 65 years,male,|,,,9.833
2021,percentage,55 to under 65 years,male,r,,,8.084
2022,percentage,55 to under 65 years,male,r,,,9.488
2023,percentage,55 to under 65 years,male,,,,9.613
2024,percentage,55 to under 65 years,male,p,,,12.105
2010,number,55 to under 65 years,male,,,,559.09
2011,number,55 to under 65 years,male,,,,579.93
2012,number,55 to under 65 years,male,,,,541.903
2013,number,55 to under 65 years,male,,,,547.46
2014,number,55 to under 65 years,male,,,,565.166
2015,number,55 to under 65 years,male,,,,609.695
2016,number,55 to under 65 years,male,,,,666.502
2017,number,55 to under 65 years,male,,,,640.889
2018,number,55 to under 65 years,male,,,,643.925
2019,number,55 to under 65 years,male,,,,692.837
2020,number,55 to under 65 years,male,|,,,616.074
2021,number,55 to under 65 years,male,r,,,509.559
2022,number,55 to under 65 years,male,r,,,608.75
2023,number,55 to under 65 years,male,,,,622.771
2024,number,55 to under 65 years,male,p,,,786.984
