Year,Units,'time series ',type of receiver/provider,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2026,"yes=1, no=0",,,,,,(2) contracting party to the nagoya protocol,1
2007,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2008,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2009,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2010,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2011,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2012,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2013,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2014,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2015,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,0
2016,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2017,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2018,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2019,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2020,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2021,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2022,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2023,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2024,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2025,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2026,"yes=1, no=0",,,,,,(3) existence of framework or measures reported through the online reporting system on compliance of the itpgrfa,1
2007,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,0
2008,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,0
2009,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,0
2010,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2011,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2012,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2013,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2014,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2015,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2016,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2017,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2018,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2019,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2020,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2021,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2022,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2023,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2024,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2025,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2026,"yes=1, no=0",,,,,,(4) existence of framework or measures reported to the access and benefit-sharing clearing-house,1
2007,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),35
2008,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),409
2009,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),905
2010,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),1495
2011,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),2687
2012,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),3916
2013,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),5034
2014,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),6089
2015,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),7311
2016,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),8367
2017,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),8754
2018,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),9153
2019,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),9518
2020,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),9903
2021,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),10564
2022,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),11398
2023,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),13261
2024,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),15195
2025,cumulative number,[a] germany as receiver,,,,,(5) standard material transfer agreements (smtas),16574
2026,cumulative number,[a] germany as receiver,,p,,,(5) standard material transfer agreements (smtas),16677
2007,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[a] germany as receiver,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),5
2017,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),6
2018,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),19
2019,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),30
2020,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),38
2021,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),38
2022,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),38
2023,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),38
2024,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),41
2025,cumulative number,[a] germany as receiver,commercial company,,,,(5) standard material transfer agreements (smtas),44
2026,cumulative number,[a] germany as receiver,commercial company,p,,,(5) standard material transfer agreements (smtas),44
2007,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[a] germany as receiver,gene bank,-,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),1
2020,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),3
2021,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),4
2022,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),4
2023,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),5
2024,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),7
2025,cumulative number,[a] germany as receiver,gene bank,,,,(5) standard material transfer agreements (smtas),10
2026,cumulative number,[a] germany as receiver,gene bank,p,,,(5) standard material transfer agreements (smtas),10
2007,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,national agricultural research centre,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2015,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2016,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2017,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2018,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2019,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),1
2020,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),2
2021,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),2
2022,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),2
2023,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),4
2024,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),4
2025,cumulative number,[a] germany as receiver,national agricultural research centre,,,,(5) standard material transfer agreements (smtas),5
2026,cumulative number,[a] germany as receiver,national agricultural research centre,p,,,(5) standard material transfer agreements (smtas),5
2007,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[a] germany as receiver,non-governmental organization,-,,,(5) standard material transfer agreements (smtas),0
2020,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),1
2021,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),1
2022,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),1
2023,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),1
2024,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),1
2025,cumulative number,[a] germany as receiver,non-governmental organization,,,,(5) standard material transfer agreements (smtas),6
2026,cumulative number,[a] germany as receiver,non-governmental organization,p,,,(5) standard material transfer agreements (smtas),6
2007,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[a] germany as receiver,other,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),2
2017,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),3
2018,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),3
2019,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),3
2020,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),4
2021,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),4
2022,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),4
2023,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),4
2024,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),5
2025,cumulative number,[a] germany as receiver,other,,,,(5) standard material transfer agreements (smtas),5
2026,cumulative number,[a] germany as receiver,other,p,,,(5) standard material transfer agreements (smtas),5
2007,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,university,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),1
2015,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),3
2016,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),5
2017,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),8
2018,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),8
2019,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),8
2020,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),8
2021,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),9
2022,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),9
2023,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),11
2024,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),13
2025,cumulative number,[a] germany as receiver,university,,,,(5) standard material transfer agreements (smtas),13
2026,cumulative number,[a] germany as receiver,university,p,,,(5) standard material transfer agreements (smtas),13
2007,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),2
2008,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),23
2009,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),54
2010,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),84
2011,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),382
2012,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),1299
2013,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),2107
2014,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),2843
2015,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),3604
2016,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4214
2017,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4328
2018,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4441
2019,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4575
2020,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4678
2021,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4800
2022,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4877
2023,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4918
2024,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4932
2025,cumulative number,[a] germany as receiver,individual,,,,(5) standard material transfer agreements (smtas),4935
2026,cumulative number,[a] germany as receiver,individual,p,,,(5) standard material transfer agreements (smtas),4935
2007,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2014,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2015,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2016,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2017,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2018,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2019,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2020,cumulative number,[a] germany as receiver,increase project,-,,,(5) standard material transfer agreements (smtas),0
2021,cumulative number,[a] germany as receiver,increase project,,,,(5) standard material transfer agreements (smtas),226
2022,cumulative number,[a] germany as receiver,increase project,,,,(5) standard material transfer agreements (smtas),706
2023,cumulative number,[a] germany as receiver,increase project,,,,(5) standard material transfer agreements (smtas),2396
2024,cumulative number,[a] germany as receiver,increase project,,,,(5) standard material transfer agreements (smtas),4291
2025,cumulative number,[a] germany as receiver,increase project,,,,(5) standard material transfer agreements (smtas),5655
2026,cumulative number,[a] germany as receiver,increase project,p,,,(5) standard material transfer agreements (smtas),5758
2007,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),33
2008,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),386
2009,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),851
2010,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),1411
2011,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),2305
2012,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),2617
2013,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),2927
2014,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),3244
2015,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),3703
2016,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),4140
2017,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),4408
2018,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),4681
2019,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),4900
2020,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5169
2021,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5480
2022,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5757
2023,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5884
2024,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5901
2025,cumulative number,[a] germany as receiver,unknown,,,,(5) standard material transfer agreements (smtas),5901
2026,cumulative number,[a] germany as receiver,unknown,p,,,(5) standard material transfer agreements (smtas),5901
2007,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),42
2008,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),591
2009,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),1295
2010,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),2132
2011,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),3566
2012,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),5022
2013,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),6314
2014,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),7675
2015,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),9241
2016,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),10567
2017,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),11135
2018,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),11709
2019,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),12296
2020,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),12812
2021,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),13415
2022,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),13908
2023,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),14176
2024,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),14332
2025,cumulative number,[b] germany as provider,,,,,(5) standard material transfer agreements (smtas),14490
2026,cumulative number,[b] germany as provider,,p,,,(5) standard material transfer agreements (smtas),14610
2007,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2008,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2009,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2010,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2011,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2012,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
2013,cumulative number,[b] germany as provider,commercial company,-,,,(5) standard material transfer agreements (smtas),0
