Year,Zeitreihe,Art der Erkrankung,Value
2012,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,119
2013,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,132
2014,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,131
2015,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,157
2016,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,181
2017,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,141
2018,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,176
2019,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,150
2020,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,170
2021,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Echinokokkose,152
2010,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,2
2011,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,2
2012,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,5
2013,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,1
2014,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,2
2015,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,0
2016,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,2
2017,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,1
2018,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,0
2019,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,1
2020,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,0
2021,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Lepra,0
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,406
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,428
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,427
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,418
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,496
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,580
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,1031
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,899
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,764
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,981
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,628
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,,576
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,30
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,20
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,16
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,30
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,26
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,29
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,28
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,22
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,18
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,22
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,28
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Buruli-Ulkus,25
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,323
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,373
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,359
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,332
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,387
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,439
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,577
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,531
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,494
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,529
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,498
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Echinokokkose,468
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,1
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,0
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,3
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,0
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,2
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,0
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,1
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,2
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,1
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,3
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,1
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Afrikanische Trypanosomiasis,0
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,4
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,7
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,11
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,6
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,11
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,5
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,8
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,3
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,2
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,7
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,2
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Lepra,5
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,42
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,25
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,38
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,47
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,66
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,106
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,154
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,123
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,70
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,64
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,49
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Leishmaniose,56
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,4
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,2
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,2
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,3
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,3
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,2
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Tollwut,0
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,2
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,3
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,2
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,1
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,1
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,2
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Frambösie,0
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,0
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,260
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,217
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,174
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,354
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,50
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Dengue,22
2010,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2011,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2012,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2013,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,1
2014,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2015,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2016,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2017,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2018,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2019,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2020,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2021,Stationäre Behandlung bei vernachlässigten Tropenkrankheiten,Drakunkulose,0
2010,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2011,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2012,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2013,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2014,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2015,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2016,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2017,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2018,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2019,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2020,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
2021,Personen mit Behandlungsbedarf bei vernachlässigten Tropenkrankheiten,Tollwut,0
