Year,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,,25 bis unter 35 Jahre,,,,7.3
2023,,25 bis unter 35 Jahre,,,,6.5
2024,,25 bis unter 35 Jahre,,,,7.2
2010,,35 bis unter 45 Jahre,,,,11.5
2011,,35 bis unter 45 Jahre,,,,11.3
2012,,35 bis unter 45 Jahre,,,,11.2
2013,,35 bis unter 45 Jahre,,,,11.1
2014,,35 bis unter 45 Jahre,,,,10.9
2015,,35 bis unter 45 Jahre,,,,11.0
2016,,35 bis unter 45 Jahre,,,,9.8
2017,,35 bis unter 45 Jahre,,,,9.2
2018,,35 bis unter 45 Jahre,,,,9.1
2019,,35 bis unter 45 Jahre,,,,9.2
2020,,35 bis unter 45 Jahre,,,,9.7
2021,,35 bis unter 45 Jahre,,,,8.7
2022,,35 bis unter 45 Jahre,,,,9.1
2023,,35 bis unter 45 Jahre,,,,9.1
2024,,35 bis unter 45 Jahre,,,,8.8
2010,,45 bis unter 55 Jahre,,,,15.5
2011,,45 bis unter 55 Jahre,,,,15.8
2012,,45 bis unter 55 Jahre,,,,15.1
2013,,45 bis unter 55 Jahre,,,,15.4
2014,,45 bis unter 55 Jahre,,,,15.8
2015,,45 bis unter 55 Jahre,,,,14.7
2016,,45 bis unter 55 Jahre,,,,14.9
2017,,45 bis unter 55 Jahre,,,,13.7
2018,,45 bis unter 55 Jahre,,,,13.8
2019,,45 bis unter 55 Jahre,,,,12.6
2020,,45 bis unter 55 Jahre,,,,12.2
2021,,45 bis unter 55 Jahre,,,,12.0
2022,,45 bis unter 55 Jahre,,,,12.9
2023,,45 bis unter 55 Jahre,,,,11.9
2024,,45 bis unter 55 Jahre,,,,11.4
2010,,55 bis unter 65 Jahre,,,,15.7
2011,,55 bis unter 65 Jahre,,,,16.6
2012,,55 bis unter 65 Jahre,,,,16.0
2013,,55 bis unter 65 Jahre,,,,16.1
2014,,55 bis unter 65 Jahre,,,,16.0
2015,,55 bis unter 65 Jahre,,,,16.1
2016,,55 bis unter 65 Jahre,,,,15.6
2017,,55 bis unter 65 Jahre,,,,14.5
2018,,55 bis unter 65 Jahre,,,,14.5
2019,,55 bis unter 65 Jahre,,,,14.3
2020,,55 bis unter 65 Jahre,,,,14.5
2021,,55 bis unter 65 Jahre,,,,14.6
2022,,55 bis unter 65 Jahre,,,,16.0
2023,,55 bis unter 65 Jahre,,,,16.2
2024,,55 bis unter 65 Jahre,,,,15.6
2010,,65 bis unter 75 Jahre,,,,17.4
2011,,65 bis unter 75 Jahre,,,,18.3
2012,,65 bis unter 75 Jahre,,,,17.1
2013,,65 bis unter 75 Jahre,,,,17.7
2014,,65 bis unter 75 Jahre,,,,17.9
2015,,65 bis unter 75 Jahre,,,,17.0
2016,,65 bis unter 75 Jahre,,,,15.9
2017,,65 bis unter 75 Jahre,,,,14.9
2018,,65 bis unter 75 Jahre,,,,15.1
2019,,65 bis unter 75 Jahre,,,,14.6
2020,,65 bis unter 75 Jahre,,,,14.3
2021,,65 bis unter 75 Jahre,,,,15.4
2022,,65 bis unter 75 Jahre,,,,16.8
2023,,65 bis unter 75 Jahre,,,,18.4
2024,,65 bis unter 75 Jahre,,,,17.8
2010,,75 Jahre und älter,,,,25.1
2011,,75 Jahre und älter,,,,26.6
2012,,75 Jahre und älter,,,,26.1
2013,,75 Jahre und älter,,,,26.6
2014,,75 Jahre und älter,,,,26.4
2015,,75 Jahre und älter,,,,26.9
2016,,75 Jahre und älter,,,,25.8
2017,,75 Jahre und älter,,,,25.0
2018,,75 Jahre und älter,,,,26.0
2019,,75 Jahre und älter,,,,25.1
2020,,75 Jahre und älter,,,,26.2
2021,,75 Jahre und älter,,,,27.6
2022,,75 Jahre und älter,,,,32.0
2023,,75 Jahre und älter,,,,33.4
2024,,75 Jahre und älter,,,,35.2
