Year,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2015,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.97
2016,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.71
2017,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.5
2018,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.24
2019,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,|,,,1.38
2020,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.68
2021,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.34
2022,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,|,,,1.23
2023,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.54
2024,Anteil der notleidenden Kredite an den Bruttokrediten insgesamt,,,,1.77
2010,Gesamtkapitalrentabilität,,,,0.37
2011,Gesamtkapitalrentabilität,,,,0.53
2012,Gesamtkapitalrentabilität,,,,0.45
2013,Gesamtkapitalrentabilität,,,,0.36
2014,Gesamtkapitalrentabilität,,,,0.37
2015,Gesamtkapitalrentabilität,,,,0.4
2016,Gesamtkapitalrentabilität,,,,0.37
2017,Gesamtkapitalrentabilität,,,,0.37
2018,Gesamtkapitalrentabilität,,,,0.32
2019,Gesamtkapitalrentabilität,|,,,0.24
2020,Gesamtkapitalrentabilität,,,,0.16
2021,Gesamtkapitalrentabilität,,,,0.34
2022,Gesamtkapitalrentabilität,|,,,0.35
2023,Gesamtkapitalrentabilität,,,,0.51
2024,Gesamtkapitalrentabilität,,,,0.58
2010,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,136.99
2011,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,137.86
2012,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,144.17
2013,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,140.5
2014,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,145.48
2015,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,146.5
2016,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,146.62
2017,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,151.25
2018,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,151.7
2019,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,|,,,161.25
2020,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,169.64
2021,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,33.72
2022,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,|,,,33.67
2023,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,35.66
2024,Relation zwischen liquiden Aktiva und kurzfristigen Verbindlichkeiten,,,,33.46
2010,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,4.4
2011,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,4.48
2012,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.93
2013,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.84
2014,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.95
2015,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,4.62
2016,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,4.0
2017,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.67
2018,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.19
2019,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,|,,,3.72
2020,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,3.4
2021,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,4.35
2022,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,|,,,3.63
2023,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,,,,2.7
2024,Relation zwischen offener Fremdwährungsposition und regulatorischen Eigenmitteln,…,,,
