Year,Units,Zeitreihe,Geschlecht,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,,,,0.6
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,|,,,1.0
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,65 bis unter 75 Jahre,…,,,
2010,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2011,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2012,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2013,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2014,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2015,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2016,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2017,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,,,,0.2
2018,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2019,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,.,,,
2020,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,|,,,0.9
2021,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
2022,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
2023,Prozent,"Bevölkerung, die körperlicher Gewalt ausgesetzt war",,75 Jahre und älter,…,,,
2010,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2011,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2012,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2013,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2014,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2015,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2016,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2017,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2018,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2019,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2020,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2021,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.2
2022,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,,,,1.4
2023,Prozent,"Bevölkerung, die Opfer einer Straftat war",,,p,,,1.5
2010,Anzahl,Opfer von Straftaten,,,,,,932126.0
2011,Anzahl,Opfer von Straftaten,,,,,,964945.0
2012,Anzahl,Opfer von Straftaten,,,,,,976090.0
2013,Anzahl,Opfer von Straftaten,,,,,,955737.0
2014,Anzahl,Opfer von Straftaten,,,,,,947568.0
2015,Anzahl,Opfer von Straftaten,,,,,,946133.0
2016,Anzahl,Opfer von Straftaten,,,,,,1017602.0
2017,Anzahl,Opfer von Straftaten,,,,,,1008510.0
2018,Anzahl,Opfer von Straftaten,,,,,,1025241.0
2019,Anzahl,Opfer von Straftaten,,,,,,1013048.0
2020,Anzahl,Opfer von Straftaten,,,,,,1011462.0
2021,Anzahl,Opfer von Straftaten,,,,,,985790.0
2022,Anzahl,Opfer von Straftaten,,,,,,1151908.0
2023,Anzahl,Opfer von Straftaten,,,,,,1249329.0
2010,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,72232.0
2011,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,70429.0
2012,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,67579.0
2013,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,65334.0
2014,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,64584.0
2015,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,62342.0
2016,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,67519.0
2017,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,68820.0
2018,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,70590.0
2019,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,72772.0
2020,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,70106.0
2021,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,71931.0
2022,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,88101.0
2023,Anzahl,Opfer von Straftaten,,13 Jahre und jünger,,,,99092.0
2010,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,99135.0
2011,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,92128.0
2012,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,88020.0
2013,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,81633.0
2014,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,77948.0
2015,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,74650.0
2016,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,82930.0
2017,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,84071.0
2018,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,84175.0
2019,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,83713.0
2020,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,76630.0
2021,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,73160.0
2022,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,94157.0
2023,Anzahl,Opfer von Straftaten,,14 bis unter 18 Jahre,,,,106354.0
2010,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,109139.0
2011,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,104427.0
2012,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,99541.0
2013,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,89880.0
2014,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,83802.0
2015,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,80941.0
2016,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,88459.0
2017,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,88834.0
2018,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,89688.0
2019,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,85885.0
2020,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,78631.0
2021,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,71267.0
2022,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,83451.0
2023,Anzahl,Opfer von Straftaten,,18 bis unter 21 Jahre,,,,85135.0
2010,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,600019.0
2011,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,644770.0
2012,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,666152.0
2013,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,662202.0
2014,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,663253.0
2015,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,668823.0
2016,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,716502.0
2017,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,704139.0
2018,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,715629.0
2019,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,704911.0
2020,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,713436.0
2021,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,694085.0
2022,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,802068.0
2023,Anzahl,Opfer von Straftaten,,21 bis unter 60 Jahre,,,,865752.0
2010,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,51601.0
2011,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,53191.0
2012,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,54798.0
2013,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,56688.0
2014,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,57981.0
2015,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,59377.0
2016,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,62192.0
2017,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,62646.0
2018,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,65159.0
2019,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,65767.0
2020,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,72659.0
2021,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,75347.0
2022,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,84131.0
2023,Anzahl,Opfer von Straftaten,,60 Jahre und älter,,,,92996.0
2010,Anzahl,Opfer von Straftaten,Weiblich,,,,,382263.0
2011,Anzahl,Opfer von Straftaten,Weiblich,,,,,384661.0
2012,Anzahl,Opfer von Straftaten,Weiblich,,,,,391566.0
2013,Anzahl,Opfer von Straftaten,Weiblich,,,,,388258.0
2014,Anzahl,Opfer von Straftaten,Weiblich,,,,,384786.0
2015,Anzahl,Opfer von Straftaten,Weiblich,,,,,381892.0
2016,Anzahl,Opfer von Straftaten,Weiblich,,,,,403500.0
2017,Anzahl,Opfer von Straftaten,Weiblich,,,,,404035.0
2018,Anzahl,Opfer von Straftaten,Weiblich,,,,,414147.0
2019,Anzahl,Opfer von Straftaten,Weiblich,,,,,409968.0
2020,Anzahl,Opfer von Straftaten,Weiblich,,,,,416931.0
2021,Anzahl,Opfer von Straftaten,Weiblich,,,,,412503.0
2022,Anzahl,Opfer von Straftaten,Weiblich,,,,,472191.0
2023,Anzahl,Opfer von Straftaten,Weiblich,,,,,507927.0
2010,Anzahl,Opfer von Straftaten,Männlich,,,,,549863.0
2011,Anzahl,Opfer von Straftaten,Männlich,,,,,580284.0
2012,Anzahl,Opfer von Straftaten,Männlich,,,,,584524.0
2013,Anzahl,Opfer von Straftaten,Männlich,,,,,567479.0
2014,Anzahl,Opfer von Straftaten,Männlich,,,,,562782.0
2015,Anzahl,Opfer von Straftaten,Männlich,,,,,564241.0
2016,Anzahl,Opfer von Straftaten,Männlich,,,,,614102.0
2017,Anzahl,Opfer von Straftaten,Männlich,,,,,604475.0
2018,Anzahl,Opfer von Straftaten,Männlich,,,,,611094.0
2019,Anzahl,Opfer von Straftaten,Männlich,,,,,603080.0
2020,Anzahl,Opfer von Straftaten,Männlich,,,,,594531.0
2021,Anzahl,Opfer von Straftaten,Männlich,,,,,573287.0
2022,Anzahl,Opfer von Straftaten,Männlich,,,,,679717.0
2023,Anzahl,Opfer von Straftaten,Männlich,,,,,741402.0
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,,,,3.7
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",,,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2013,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2014,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2015,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2016,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2017,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2018,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2019,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,.,,,
2020,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,,,,6.0
2021,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,…,,,
2022,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,…,,,
2023,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Weiblich,,…,,,
2010,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2011,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
2012,Prozent,"Bevölkerung, die sexueller Gewalt ausgesetzt war",Männlich,,.,,,
