Year,Themenbereich,Verstädterungsgrad,Geschlecht,Series,Value
2013,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.0
2014,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.1
2015,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,3.9
2016,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,3.5
2017,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,3.9
2018,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.2
2019,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,4.0
2020,Wohnverhältnisse,Ländliche Gebiete,,Überbelegungsquote,5.5
2010,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,16.2
2011,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,18.0
2012,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,19.8
2013,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,18.9
2014,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,19.3
2015,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,19.1
2016,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,19.6
2017,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,17.9
2018,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,17.6
2019,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,16.2
2020,Wohnverhältnisse,Städte,,Quote der Überbelastung durch Wohnkosten,11.4
2010,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,13.0
2011,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,14.5
2012,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,15.5
2013,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,16.1
2014,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,14.9
2015,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,14.5
2016,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,14.5
2017,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,13.4
2018,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,13.3
2019,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,12.7
2020,Wohnverhältnisse,Kleinere Städte und Vororte,,Quote der Überbelastung durch Wohnkosten,7.8
2010,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,12.3
2011,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,13.6
2012,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,13.9
2013,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,13.3
2014,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,12.7
2015,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,12.0
2016,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,12.2
2017,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,11.0
2018,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,10.4
2019,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,12.4
2020,Wohnverhältnisse,Ländliche Gebiete,,Quote der Überbelastung durch Wohnkosten,6.8
2010,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.3
2011,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.7
2012,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.5
2013,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.1
2014,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.3
2015,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.8
2016,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.1
2017,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.5
2018,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.4
2019,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.0
2020,Deprivation der Unterkunft,,,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.0
2010,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.7
2011,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",14.1
2012,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.7
2013,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.1
2014,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.6
2015,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.1
2016,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.5
2017,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.7
2018,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.7
2019,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.3
2020,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.2
2010,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.0
2011,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.4
2012,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.2
2013,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.1
2014,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.1
2015,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.4
2016,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.7
2017,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",12.2
2018,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",13.2
2019,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",11.7
2020,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die in einer Wohnung mit undichtem Dach, Feuchtigkeit in den Wänden, in den Böden, im Fundament oder Fäulnis in den Fensterrahmen oder im Boden lebt",11.8
2010,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.5
2011,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2012,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2013,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2014,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2015,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2016,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2017,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2018,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2019,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2020,Deprivation der Unterkunft,,,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2010,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.5
2011,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2012,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2013,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2014,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2015,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2016,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2017,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2018,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2019,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2020,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2010,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.6
2011,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2012,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.1
2013,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2014,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2015,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2016,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2017,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2018,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2019,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2020,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die weder ein Bad, noch eine Dusche in ihrer Wohnung hat",0.0
2010,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",1.6
2011,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.9
2012,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.9
2013,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2014,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2015,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2016,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2017,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2018,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2019,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.2
2020,Deprivation der Unterkunft,,,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2010,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",1.7
2011,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.9
2012,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",1.0
2013,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.2
2014,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2015,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2016,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2017,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2018,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2019,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.2
2020,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2010,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",1.6
2011,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.8
2012,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.9
2013,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2014,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2015,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2016,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2017,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.1
2018,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2019,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.3
2020,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die kein WC für den alleinigen Gebrauch ihres Haushalts hat",0.0
2010,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.2
2011,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.1
2012,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2013,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.4
2014,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.4
2015,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.0
2016,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2017,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.0
2018,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.4
2019,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.0
2020,Deprivation der Unterkunft,,,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",
2010,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2011,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2012,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2013,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.5
2014,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.3
2015,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2016,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.8
2017,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2018,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.4
2019,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.2
2020,Deprivation der Unterkunft,,Weiblich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",
2010,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.5
2011,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.2
2012,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2013,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.3
2014,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.5
2015,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.1
2016,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.9
2017,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.0
2018,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",4.4
2019,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",3.8
2020,Deprivation der Unterkunft,,Männlich,"Bevölkerung, die ihre Unterkunft als zu dunkel betrachtet",
