Year,Units,Zeitreihe,Darstellung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2025,Prozent,Bevölkerungsentwicklung,Jährliche Werte,,,,-0.132
2010,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,
2011,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,
2012,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,-11.779
2013,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,8.03
2014,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,2.841
2015,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,1.081
2016,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,|,r,,0.968
2017,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.991
2018,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,1.194
2019,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,3.495
2020,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,18.468
2021,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,x,r,,
2022,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,1.34
2023,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,1.057
2024,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.849
2025,Keine Einheit,Verhältnis der Flächennutzungsrate zur Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,…,,,
2010,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,,,,
2011,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,98.347
2012,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,99.037
2013,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,99.568
2014,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,99.966
2015,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,100.0
2016,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,|,,,99.984
2017,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,99.981
2018,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,100.059
2019,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,100.39
2020,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,100.84
2021,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,101.348
2022,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,101.442
2023,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,101.462
2024,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,r,,,101.392
2025,2015 = 100,Verhältnis der Siedlungs- und Verkehrsfläche zur Bevölkerung,Gleitender Vierjahresdurchschnitt,…,,,
2010,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,
2011,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,
2012,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.647
2013,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.614
2014,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.619
2015,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.482
2016,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,|,,,0.455
2017,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.464
2018,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.469
2019,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.464
2020,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.474
2021,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.452
2022,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.372
2023,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.4
2024,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,,,,0.393
2025,Prozent,Flächennutzungssrate,Gleitender Vierjahresdurchschnitt,…,,,
2010,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2011,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,.,,,
2012,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,-0.055
2013,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.076
2014,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.218
2015,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.445
2016,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,|,r,,0.47
2017,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.468
2018,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.393
2019,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.133
2020,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.026
2021,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,-0.052
2022,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.277
2023,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.379
2024,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,r,,,0.462
2025,Prozent,Bevölkerungsentwicklung,Gleitender Vierjahresdurchschnitt,,,,0.463
