Year,Units,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2021,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.36
2022,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.4
2023,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.47
2024,Je 100 000 Einwohner/-innen,25 bis unter 35 Jahre,,,,,2.38
2010,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.46
2011,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.82
2012,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.36
2013,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.37
2014,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.91
2015,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,3.24
2016,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.68
2017,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.55
2018,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.69
2019,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.34
2020,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.1
2021,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,1.78
2022,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,1.99
2023,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.24
2024,Je 100 000 Einwohner/-innen,35 bis unter 45 Jahre,,,,,2.27
2010,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.45
2011,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.84
2012,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.35
2013,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,4.05
2014,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.95
2015,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.92
2016,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.43
2017,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.42
2018,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,3.26
2019,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.9
2020,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.49
2021,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.55
2022,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.74
2023,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.43
2024,Je 100 000 Einwohner/-innen,45 bis unter 55 Jahre,,,,,2.7
2010,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.8
2011,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.36
2012,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.2
2013,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.78
2014,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.96
2015,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.99
2016,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.43
2017,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.63
2018,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,4.2
2019,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.65
2020,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.35
2021,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.05
2022,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.3
2023,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.2
2024,Je 100 000 Einwohner/-innen,55 bis unter 65 Jahre,,,,,3.22
2010,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.68
2011,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,5.32
2012,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,5.06
2013,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.82
2014,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.54
2015,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.19
2016,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.15
2017,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.89
2018,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.14
2019,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.86
2020,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.45
2021,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.48
2022,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.86
2023,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,3.73
2024,Je 100 000 Einwohner/-innen,65 bis unter 75 Jahre,,,,,4.41
2010,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.8
2011,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,9.16
2012,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,8.8
2013,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,8.12
2014,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.85
2015,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,8.1
2016,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,8.03
2017,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.22
2018,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.34
2019,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.07
2020,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,6.09
2021,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,5.68
2022,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,6.98
2023,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.21
2024,Je 100 000 Einwohner/-innen,75 Jahre und älter,,,,,7.23
2010,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.49
2011,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.66
2012,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.45
2013,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.21
2014,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.04
2015,Je 100 000 Einwohner/-innen,,Weiblich,,,,2.05
2016,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.93
2017,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.82
2018,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.75
2019,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.6
2020,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.42
2021,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.17
2022,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.43
2023,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.5
2024,Je 100 000 Einwohner/-innen,,Weiblich,,,,1.54
2010,Je 100 000 Einwohner/-innen,,Männlich,,,,6.99
2011,Je 100 000 Einwohner/-innen,,Männlich,,,,7.92
2012,Je 100 000 Einwohner/-innen,,Männlich,,,,7.22
2013,Je 100 000 Einwohner/-innen,,Männlich,,,,6.52
2014,Je 100 000 Einwohner/-innen,,Männlich,,,,6.51
2015,Je 100 000 Einwohner/-innen,,Männlich,,,,6.32
2016,Je 100 000 Einwohner/-innen,,Männlich,,,,5.65
2017,Je 100 000 Einwohner/-innen,,Männlich,,,,5.37
2018,Je 100 000 Einwohner/-innen,,Männlich,,,,5.73
2019,Je 100 000 Einwohner/-innen,,Männlich,,,,5.19
2020,Je 100 000 Einwohner/-innen,,Männlich,,,,4.69
2021,Je 100 000 Einwohner/-innen,,Männlich,,,,4.45
2022,Je 100 000 Einwohner/-innen,,Männlich,,,,4.78
2023,Je 100 000 Einwohner/-innen,,Männlich,,,,4.61
2024,Je 100 000 Einwohner/-innen,,Männlich,,,,4.97
2010,Anzahl,,,,,,3839.0
2011,Anzahl,,,,,,4197.0
2012,Anzahl,,,,,,3847.0
2013,Anzahl,,,,,,3482.0
2014,Anzahl,,,,,,3422.0
2015,Anzahl,,,,,,3377.0
2016,Anzahl,,,,,,3094.0
2017,Anzahl,,,,,,2934.0
2018,Anzahl,,,,,,3050.0
2019,Anzahl,,,,,,2774.0
2020,Anzahl,,,,,,2491.0
2021,Anzahl,,,,,,2292.0
2022,Anzahl,,,,,,2544.0
2023,Anzahl,,,,,,2533.0
2024,Anzahl,,,,,,2703.0
2010,Anzahl,14 Jahre und jünger,,,,,102.0
2011,Anzahl,14 Jahre und jünger,,,,,89.0
2012,Anzahl,14 Jahre und jünger,,,,,75.0
2013,Anzahl,14 Jahre und jünger,,,,,54.0
2014,Anzahl,14 Jahre und jünger,,,,,74.0
2015,Anzahl,14 Jahre und jünger,,,,,63.0
2016,Anzahl,14 Jahre und jünger,,,,,66.0
2017,Anzahl,14 Jahre und jünger,,,,,48.0
2018,Anzahl,14 Jahre und jünger,,,,,59.0
2019,Anzahl,14 Jahre und jünger,,,,,44.0
2020,Anzahl,14 Jahre und jünger,,,,,36.0
2021,Anzahl,14 Jahre und jünger,,,,,35.0
2022,Anzahl,14 Jahre und jünger,,,,,41.0
2023,Anzahl,14 Jahre und jünger,,,,,25.0
2024,Anzahl,14 Jahre und jünger,,,,,52.0
2010,Anzahl,15 bis unter 25 Jahre,,,,,796.0
2011,Anzahl,15 bis unter 25 Jahre,,,,,852.0
2012,Anzahl,15 bis unter 25 Jahre,,,,,754.0
2013,Anzahl,15 bis unter 25 Jahre,,,,,583.0
2014,Anzahl,15 bis unter 25 Jahre,,,,,589.0
2015,Anzahl,15 bis unter 25 Jahre,,,,,518.0
2016,Anzahl,15 bis unter 25 Jahre,,,,,467.0
2017,Anzahl,15 bis unter 25 Jahre,,,,,415.0
2018,Anzahl,15 bis unter 25 Jahre,,,,,402.0
2019,Anzahl,15 bis unter 25 Jahre,,,,,375.0
2020,Anzahl,15 bis unter 25 Jahre,,,,,346.0
2021,Anzahl,15 bis unter 25 Jahre,,,,,297.0
2022,Anzahl,15 bis unter 25 Jahre,,,,,288.0
2023,Anzahl,15 bis unter 25 Jahre,,,,,282.0
2024,Anzahl,15 bis unter 25 Jahre,,,,,335.0
2010,Anzahl,25 bis unter 35 Jahre,,,,,510.0
2011,Anzahl,25 bis unter 35 Jahre,,,,,546.0
2012,Anzahl,25 bis unter 35 Jahre,,,,,483.0
2013,Anzahl,25 bis unter 35 Jahre,,,,,437.0
2014,Anzahl,25 bis unter 35 Jahre,,,,,426.0
2015,Anzahl,25 bis unter 35 Jahre,,,,,408.0
2016,Anzahl,25 bis unter 35 Jahre,,,,,344.0
2017,Anzahl,25 bis unter 35 Jahre,,,,,337.0
2018,Anzahl,25 bis unter 35 Jahre,,,,,333.0
2019,Anzahl,25 bis unter 35 Jahre,,,,,305.0
2020,Anzahl,25 bis unter 35 Jahre,,,,,291.0
2021,Anzahl,25 bis unter 35 Jahre,,,,,240.0
2022,Anzahl,25 bis unter 35 Jahre,,,,,245.0
2023,Anzahl,25 bis unter 35 Jahre,,,,,254.0
2024,Anzahl,25 bis unter 35 Jahre,,,,,244.0
2010,Anzahl,35 bis unter 45 Jahre,,,,,410.0
2011,Anzahl,35 bis unter 45 Jahre,,,,,422.0
2012,Anzahl,35 bis unter 45 Jahre,,,,,357.0
2013,Anzahl,35 bis unter 45 Jahre,,,,,347.0
2014,Anzahl,35 bis unter 45 Jahre,,,,,292.0
2015,Anzahl,35 bis unter 45 Jahre,,,,,321.0
2016,Anzahl,35 bis unter 45 Jahre,,,,,264.0
2017,Anzahl,35 bis unter 45 Jahre,,,,,251.0
2018,Anzahl,35 bis unter 45 Jahre,,,,,268.0
2019,Anzahl,35 bis unter 45 Jahre,,,,,236.0
2020,Anzahl,35 bis unter 45 Jahre,,,,,214.0
2021,Anzahl,35 bis unter 45 Jahre,,,,,184.0
2022,Anzahl,35 bis unter 45 Jahre,,,,,210.0
2023,Anzahl,35 bis unter 45 Jahre,,,,,243.0
2024,Anzahl,35 bis unter 45 Jahre,,,,,250.0
2010,Anzahl,45 bis unter 55 Jahre,,,,,588.0
2011,Anzahl,45 bis unter 55 Jahre,,,,,639.0
2012,Anzahl,45 bis unter 55 Jahre,,,,,583.0
2013,Anzahl,45 bis unter 55 Jahre,,,,,547.0
2014,Anzahl,45 bis unter 55 Jahre,,,,,535.0
2015,Anzahl,45 bis unter 55 Jahre,,,,,529.0
2016,Anzahl,45 bis unter 55 Jahre,,,,,457.0
2017,Anzahl,45 bis unter 55 Jahre,,,,,446.0
2018,Anzahl,45 bis unter 55 Jahre,,,,,412.0
2019,Anzahl,45 bis unter 55 Jahre,,,,,353.0
2020,Anzahl,45 bis unter 55 Jahre,,,,,291.0
2021,Anzahl,45 bis unter 55 Jahre,,,,,287.0
2022,Anzahl,45 bis unter 55 Jahre,,,,,298.0
2023,Anzahl,45 bis unter 55 Jahre,,,,,258.0
2024,Anzahl,45 bis unter 55 Jahre,,,,,279.0
2010,Anzahl,55 bis unter 65 Jahre,,,,,377.0
2011,Anzahl,55 bis unter 65 Jahre,,,,,442.0
2012,Anzahl,55 bis unter 65 Jahre,,,,,438.0
2013,Anzahl,55 bis unter 65 Jahre,,,,,403.0
2014,Anzahl,55 bis unter 65 Jahre,,,,,431.0
2015,Anzahl,55 bis unter 65 Jahre,,,,,443.0
2016,Anzahl,55 bis unter 65 Jahre,,,,,389.0
2017,Anzahl,55 bis unter 65 Jahre,,,,,421.0
2018,Anzahl,55 bis unter 65 Jahre,,,,,499.0
2019,Anzahl,55 bis unter 65 Jahre,,,,,444.0
2020,Anzahl,55 bis unter 65 Jahre,,,,,416.0
2021,Anzahl,55 bis unter 65 Jahre,,,,,385.0
2022,Anzahl,55 bis unter 65 Jahre,,,,,424.0
2023,Anzahl,55 bis unter 65 Jahre,,,,,416.0
2024,Anzahl,55 bis unter 65 Jahre,,,,,420.0
2010,Anzahl,65 bis unter 75 Jahre,,,,,443.0
2011,Anzahl,65 bis unter 75 Jahre,,,,,482.0
2012,Anzahl,65 bis unter 75 Jahre,,,,,448.0
2013,Anzahl,65 bis unter 75 Jahre,,,,,417.0
2014,Anzahl,65 bis unter 75 Jahre,,,,,385.0
2015,Anzahl,65 bis unter 75 Jahre,,,,,349.0
2016,Anzahl,65 bis unter 75 Jahre,,,,,341.0
2017,Anzahl,65 bis unter 75 Jahre,,,,,320.0
2018,Anzahl,65 bis unter 75 Jahre,,,,,344.0
2019,Anzahl,65 bis unter 75 Jahre,,,,,325.0
2020,Anzahl,65 bis unter 75 Jahre,,,,,299.0
2021,Anzahl,65 bis unter 75 Jahre,,,,,312.0
2022,Anzahl,65 bis unter 75 Jahre,,,,,356.0
2023,Anzahl,65 bis unter 75 Jahre,,,,,353.0
2024,Anzahl,65 bis unter 75 Jahre,,,,,426.0
2010,Anzahl,75 Jahre und älter,,,,,578.0
2011,Anzahl,75 Jahre und älter,,,,,689.0
2012,Anzahl,75 Jahre und älter,,,,,687.0
2013,Anzahl,75 Jahre und älter,,,,,658.0
2014,Anzahl,75 Jahre und älter,,,,,663.0
2015,Anzahl,75 Jahre und älter,,,,,713.0
2016,Anzahl,75 Jahre und älter,,,,,731.0
2017,Anzahl,75 Jahre und älter,,,,,670.0
2018,Anzahl,75 Jahre und älter,,,,,687.0
2019,Anzahl,75 Jahre und älter,,,,,667.0
2020,Anzahl,75 Jahre und älter,,,,,571.0
2021,Anzahl,75 Jahre und älter,,,,,524.0
2022,Anzahl,75 Jahre und älter,,,,,638.0
2023,Anzahl,75 Jahre und älter,,,,,658.0
2024,Anzahl,75 Jahre und älter,,,,,664.0
2010,Anzahl,,Weiblich,,,,1038.0
2011,Anzahl,,Weiblich,,,,1092.0
2012,Anzahl,,Weiblich,,,,1008.0
2013,Anzahl,,Weiblich,,,,909.0
2014,Anzahl,,Weiblich,,,,839.0
2015,Anzahl,,Weiblich,,,,846.0
2016,Anzahl,,Weiblich,,,,803.0
2017,Anzahl,,Weiblich,,,,755.0
2018,Anzahl,,Weiblich,,,,727.0
2019,Anzahl,,Weiblich,,,,666.0
2020,Anzahl,,Weiblich,,,,592.0
2021,Anzahl,,Weiblich,,,,488.0
2022,Anzahl,,Weiblich,,,,600.0
2023,Anzahl,,Weiblich,,,,635.0
2024,Anzahl,,Weiblich,,,,653.0
2010,Anzahl,,Männlich,,,,2801.0
2011,Anzahl,,Männlich,,,,3103.0
2012,Anzahl,,Männlich,,,,2837.0
2013,Anzahl,,Männlich,,,,2569.0
2014,Anzahl,,Männlich,,,,2577.0
2015,Anzahl,,Männlich,,,,2529.0
2016,Anzahl,,Männlich,,,,2282.0
2017,Anzahl,,Männlich,,,,2174.0
2018,Anzahl,,Männlich,,,,2322.0
2019,Anzahl,,Männlich,,,,2103.0
2020,Anzahl,,Männlich,,,,1898.0
2021,Anzahl,,Männlich,,,,1797.0
2022,Anzahl,,Männlich,,,,1944.0
2023,Anzahl,,Männlich,,,,1894.0
2024,Anzahl,,Männlich,,,,2048.0
