Year,Units,type of financial flow,type of official development assistance,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2012,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,320.4
2013,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,500.4
2014,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,939.5
2015,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,896.5
2016,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,850.9
2017,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,853.0
2018,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,738.5
2019,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,1189.0
2020,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,1255.6
2021,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,1468.6
2022,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,1197.3
2023,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,612.6
2024,"Millionen USD, konstante Preise (2024)",official development assistance,commitments,,,,523.7
2010,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,310.9
2011,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,375.5
2012,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,325.9
2013,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,457.2
2014,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,385.9
2015,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,685.3
2016,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,723.8
2017,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,783.3
2018,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,651.2
2019,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,709.9
2020,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,1038.2
2021,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,908.9
2022,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,1528.5
2023,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,738.0
2024,"Millionen USD, konstante Preise (2024)",official development assistance,gross disbursements,,,,613.3
2010,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2011,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2012,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2013,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2014,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2015,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2016,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2017,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2018,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2024,"Millionen USD, konstante Preise (2024)",other official flows,commitments,,,,
2010,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2011,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2012,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2013,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2014,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2015,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2016,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2017,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2018,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,60.1
2019,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,1.9
2020,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,79.7
2021,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,5.5
2022,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,8.6
2023,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
2024,"Millionen USD, konstante Preise (2024)",other official flows,gross disbursements,,,,
