Year,Units,Wirtschaftszweig,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2012,Euro pro m³,,s,,,Wassernutzungseffizienz,75.3
2013,Euro pro m³,,,,,Wassernutzungseffizienz,81.3
2014,Euro pro m³,,s,,,Wassernutzungseffizienz,85.9
2015,Euro pro m³,,s,,,Wassernutzungseffizienz,90.0
2016,Euro pro m³,,,,,Wassernutzungseffizienz,94.7
2017,Euro pro m³,,s,,,Wassernutzungseffizienz,103.8
2018,Euro pro m³,,s,,,Wassernutzungseffizienz,111.9
2019,Euro pro m³,,,,,Wassernutzungseffizienz,122.5
2020,Euro pro m³,,s,,,Wassernutzungseffizienz,125.0
2021,Euro pro m³,,s,,,Wassernutzungseffizienz,140.5
2022,Euro pro m³,,,,,Wassernutzungseffizienz,157.1
2010,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",,,,Wassernutzungseffizienz,3.4
2011,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,4.5
2012,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,5.0
2013,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",,,,Wassernutzungseffizienz,5.1
2014,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,5.5
2015,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,4.9
2016,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",,,,Wassernutzungseffizienz,5.5
2017,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,5.7
2018,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,4.8
2019,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",,,,Wassernutzungseffizienz,4.1
2020,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,2.6
2021,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",s,,,Wassernutzungseffizienz,4.3
2022,Euro pro m³,"Land- und Forstwirtschaft, Fischerei",,,,Wassernutzungseffizienz,5.5
2010,Euro pro m³,MIMEC,,,,Wassernutzungseffizienz,25.6
2011,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,29.0
2012,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,32.1
2013,Euro pro m³,MIMEC,,,,Wassernutzungseffizienz,34.7
2014,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,36.8
2015,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,38.5
2016,Euro pro m³,MIMEC,,,,Wassernutzungseffizienz,41.1
2017,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,45.8
2018,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,50.4
2019,Euro pro m³,MIMEC,,,,Wassernutzungseffizienz,55.9
2020,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,56.6
2021,Euro pro m³,MIMEC,s,,,Wassernutzungseffizienz,63.8
2022,Euro pro m³,MIMEC,,,,Wassernutzungseffizienz,73.9
2010,Euro pro m³,Dienstleistungen,,,,Wassernutzungseffizienz,289.6
2011,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,302.8
2012,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,309.4
2013,Euro pro m³,Dienstleistungen,,,,Wassernutzungseffizienz,322.4
2014,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,340.4
2015,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,359.4
2016,Euro pro m³,Dienstleistungen,,,,Wassernutzungseffizienz,376.7
2017,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,403.5
2018,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,429.6
2019,Euro pro m³,Dienstleistungen,,,,Wassernutzungseffizienz,469.1
2020,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,470.0
2021,Euro pro m³,Dienstleistungen,s,,,Wassernutzungseffizienz,518.9
2022,Euro pro m³,Dienstleistungen,,,,Wassernutzungseffizienz,576.4
