Year,Units,Zeitreihe,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2010,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,49385.0
2011,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50163.0
2012,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50098.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,50243.0
2014,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,51075.0
2015,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,51811.0
2016,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,52493.0
2017,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53225.0
2018,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53913.0
2019,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,54333.0
2020,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,52028.0
2021,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,,,,53379.0
2022,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,54340.0
2023,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,54782.0
2024,Millionen Stunden,Geleistete Arbeitsstunden der Arbeitnehmer,p,,,54874.0
2010,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,58581.0
2011,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59328.0
2012,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59143.0
2013,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59148.0
2014,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59859.0
2015,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60460.0
2016,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60978.0
2017,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,61484.0
2018,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,61964.0
2019,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,62141.0
2020,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,59066.0
2021,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,,,,60410.0
2022,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61297.0
2023,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61496.0
2024,Millionen Stunden,Geleistete Arbeitsstunden der Erwerbstätigen,p,,,61364.0
2010,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,94.2
2011,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,96.2
2012,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,96.8
2013,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,96.9
2014,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,97.4
2015,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,97.6
2016,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,98.1
2017,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,99.8
2018,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,99.3
2019,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,r,,,99.9
2020,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,100.0
2021,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,,,,101.3
2022,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,103.9
2023,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,99.6
2024,2020 = 100,Arbeitsproduktivität je geleisteter Arbeitnehmerstunde,p,,,98.9
2010,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,90.2
2011,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,92.4
2012,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,93.1
2013,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,93.4
2014,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,94.4
2015,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,95.0
2016,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,96.2
2017,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,98.1
2018,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,r,,,98.5
2019,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,99.1
2020,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,100.0
2021,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,,,,101.6
2022,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,101.9
2023,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,100.7
2024,2020 = 100,Arbeitsproduktivität je geleisteter Erwerbstätigenstunde,p,,,100.4
2010,Anzahl in 1 000,Erwerbstätige,,,,41099.0
2011,Anzahl in 1 000,Erwerbstätige,,,,41570.0
2012,Anzahl in 1 000,Erwerbstätige,,,,42065.0
2013,Anzahl in 1 000,Erwerbstätige,,,,42378.0
2014,Anzahl in 1 000,Erwerbstätige,,,,42756.0
2015,Anzahl in 1 000,Erwerbstätige,,,,43137.0
2016,Anzahl in 1 000,Erwerbstätige,,,,43686.0
2017,Anzahl in 1 000,Erwerbstätige,,,,44290.0
2018,Anzahl in 1 000,Erwerbstätige,,,,44878.0
2019,Anzahl in 1 000,Erwerbstätige,,,,45291.0
2020,Anzahl in 1 000,Erwerbstätige,,,,44966.0
2021,Anzahl in 1 000,Erwerbstätige,,,,45041.0
2022,Anzahl in 1 000,Erwerbstätige,p,,,45629.0
2023,Anzahl in 1 000,Erwerbstätige,p,,,45935.0
2024,Anzahl in 1 000,Erwerbstätige,p,,,45987.0
2010,2020 = 100,Reales BIP pro Kopf,r,,,91.5
2011,2020 = 100,Reales BIP pro Kopf,r,,,94.9
2012,2020 = 100,Reales BIP pro Kopf,r,,,95.2
2013,2020 = 100,Reales BIP pro Kopf,r,,,95.4
2014,2020 = 100,Reales BIP pro Kopf,r,,,97.2
2015,2020 = 100,Reales BIP pro Kopf,r,,,98.0
2016,2020 = 100,Reales BIP pro Kopf,r,,,99.7
2017,2020 = 100,Reales BIP pro Kopf,r,,,102.3
2018,2020 = 100,Reales BIP pro Kopf,r,,,103.3
2019,2020 = 100,Reales BIP pro Kopf,r,,,104.2
2020,2020 = 100,Reales BIP pro Kopf,,,,100.0
2021,2020 = 100,Reales BIP pro Kopf,,,,104.1
2022,2020 = 100,Reales BIP pro Kopf,p,,,105.3
2023,2020 = 100,Reales BIP pro Kopf,p,,,103.4
2024,2020 = 100,Reales BIP pro Kopf,p,,,102.6
2010,Milliarden EUR,Außenbeitrag,,,,133.5
2011,Milliarden EUR,Außenbeitrag,,,,133.3
2012,Milliarden EUR,Außenbeitrag,,,,169.1
2013,Milliarden EUR,Außenbeitrag,,,,165.5
2014,Milliarden EUR,Außenbeitrag,,,,195.2
2015,Milliarden EUR,Außenbeitrag,,,,228.9
2016,Milliarden EUR,Außenbeitrag,r,,,232.1
2017,Milliarden EUR,Außenbeitrag,r,,,231.7
2018,Milliarden EUR,Außenbeitrag,r,,,201.5
2019,Milliarden EUR,Außenbeitrag,r,,,198.3
2020,Milliarden EUR,Außenbeitrag,r,,,183.1
2021,Milliarden EUR,Außenbeitrag,,,,188.5
2022,Milliarden EUR,Außenbeitrag,p,,,98.6
2023,Milliarden EUR,Außenbeitrag,p,,,167.6
2024,Milliarden EUR,Außenbeitrag,p,,,163.5
