Year,Units,Zeitreihe,Aufgabenbereich,Gerichtsebene,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2017,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,52.1
2018,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,52.4
2019,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,52.6
2020,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,52.9
2021,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,53.6
2022,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,53.6
2023,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,53.4
2024,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,53.7
2025,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2026,Prozent,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2010,Prozent,Öffentlicher Dienst,Polizei,,,,,22.7
2011,Prozent,Öffentlicher Dienst,Polizei,,,,,22.4
2012,Prozent,Öffentlicher Dienst,Polizei,,,,,22.9
2013,Prozent,Öffentlicher Dienst,Polizei,,,,,23.3
2014,Prozent,Öffentlicher Dienst,Polizei,,,,,23.7
2015,Prozent,Öffentlicher Dienst,Polizei,,,,,24.2
2016,Prozent,Öffentlicher Dienst,Polizei,,,,,24.8
2017,Prozent,Öffentlicher Dienst,Polizei,,,,,25.6
2018,Prozent,Öffentlicher Dienst,Polizei,,,,,26.5
2019,Prozent,Öffentlicher Dienst,Polizei,,,,,27.4
2020,Prozent,Öffentlicher Dienst,Polizei,,,,,28.4
2021,Prozent,Öffentlicher Dienst,Polizei,,,,,29.4
2022,Prozent,Öffentlicher Dienst,Polizei,,,,,30.2
2023,Prozent,Öffentlicher Dienst,Polizei,,,,,31.2
2024,Prozent,Öffentlicher Dienst,Polizei,,,,,32.0
2025,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2026,Prozent,Öffentlicher Dienst,Polizei,,…,,,
2010,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,60.6
2011,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,61.0
2012,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,61.4
2013,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,61.7
2014,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,61.9
2015,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,62.2
2016,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,62.5
2017,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,62.7
2018,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,62.8
2019,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.0
2020,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.1
2021,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.2
2022,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.1
2023,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.3
2024,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,63.6
2025,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2026,Prozent,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2010,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.0
2011,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.4
2012,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.0
2013,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,56.9
2014,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,58.1
2015,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,58.4
2016,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,58.6
2017,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.9
2018,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.3
2019,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,57.9
2020,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,58.6
2021,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,59.4
2022,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,59.4
2023,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,59.3
2024,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,59.5
2025,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2026,Prozent,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2010,Prozent,Justiz,,,,,,38.5
2011,Prozent,Justiz,,,,,,39.3
2012,Prozent,Justiz,,,,,,40.2
2013,Prozent,Justiz,,,,,,41.1
2014,Prozent,Justiz,,,,,,41.4
2015,Prozent,Justiz,,,,,,43.4
2016,Prozent,Justiz,,,,,,44.5
2017,Prozent,Justiz,,,,,,45.4
2018,Prozent,Justiz,,,,,,45.7
2019,Prozent,Justiz,,,,,,46.5
2020,Prozent,Justiz,,,,,,47.5
2021,Prozent,Justiz,,,,,,48.4
2022,Prozent,Justiz,,,,,,49.1
2023,Prozent,Justiz,,,,,,49.9
2024,Prozent,Justiz,,,,,,
2025,Prozent,Justiz,,,,,,
2026,Prozent,Justiz,,,…,,,
2010,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,23.0
2011,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,23.0
2012,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,25.5
2013,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,24.3
2014,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,27.2
2015,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,27.2
2016,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,31.7
2017,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,31.7
2018,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,34.6
2019,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,34.6
2020,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,39.0
2021,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,39.0
2022,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,39.4
2023,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,39.4
2024,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,
2025,Prozent,Justiz,,Oberste/Verfassungsgerichte,,,,
2026,Prozent,Justiz,,Oberste/Verfassungsgerichte,…,,,
2010,Prozent,Justiz,,Übergeordnete Gerichte,,,,29.3
2011,Prozent,Justiz,,Übergeordnete Gerichte,,,,30.5
2012,Prozent,Justiz,,Übergeordnete Gerichte,,,,31.1
2013,Prozent,Justiz,,Übergeordnete Gerichte,,,,31.7
2014,Prozent,Justiz,,Übergeordnete Gerichte,,,,32.5
2015,Prozent,Justiz,,Übergeordnete Gerichte,,,,34.1
2016,Prozent,Justiz,,Übergeordnete Gerichte,,,,35.3
2017,Prozent,Justiz,,Übergeordnete Gerichte,,,,36.6
2018,Prozent,Justiz,,Übergeordnete Gerichte,,,,37.1
2019,Prozent,Justiz,,Übergeordnete Gerichte,,,,37.8
2020,Prozent,Justiz,,Übergeordnete Gerichte,,,,39.0
2021,Prozent,Justiz,,Übergeordnete Gerichte,,,,40.2
2022,Prozent,Justiz,,Übergeordnete Gerichte,,,,41.1
2023,Prozent,Justiz,,Übergeordnete Gerichte,,,,42.4
2024,Prozent,Justiz,,Übergeordnete Gerichte,,,,
2025,Prozent,Justiz,,Übergeordnete Gerichte,,,,
2026,Prozent,Justiz,,Übergeordnete Gerichte,…,,,
2010,Prozent,Justiz,,Untergeordnete Gerichte,,,,40.7
2011,Prozent,Justiz,,Untergeordnete Gerichte,,,,41.5
2012,Prozent,Justiz,,Untergeordnete Gerichte,,,,42.4
2013,Prozent,Justiz,,Untergeordnete Gerichte,,,,43.5
2014,Prozent,Justiz,,Untergeordnete Gerichte,,,,43.6
2015,Prozent,Justiz,,Untergeordnete Gerichte,,,,45.7
2016,Prozent,Justiz,,Untergeordnete Gerichte,,,,46.7
2017,Prozent,Justiz,,Untergeordnete Gerichte,,,,47.5
2018,Prozent,Justiz,,Untergeordnete Gerichte,,,,47.7
2019,Prozent,Justiz,,Untergeordnete Gerichte,,,,48.5
2020,Prozent,Justiz,,Untergeordnete Gerichte,,,,49.4
2021,Prozent,Justiz,,Untergeordnete Gerichte,,,,50.3
2022,Prozent,Justiz,,Untergeordnete Gerichte,,,,51.0
2023,Prozent,Justiz,,Untergeordnete Gerichte,,,,51.7
2024,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2025,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2026,Prozent,Justiz,,Untergeordnete Gerichte,…,,,
2010,Keine Einheit,Deutscher Bundestag,,,,,,0.66
2011,Keine Einheit,Deutscher Bundestag,,,,,,0.67
2012,Keine Einheit,Deutscher Bundestag,,,,,,0.66
2013,Keine Einheit,Deutscher Bundestag,,,,,,0.66
2014,Keine Einheit,Deutscher Bundestag,,,,,,0.73
2015,Keine Einheit,Deutscher Bundestag,,,,,,0.73
2016,Keine Einheit,Deutscher Bundestag,,,,,,0.75
2017,Keine Einheit,Deutscher Bundestag,,,,,,0.75
2018,Keine Einheit,Deutscher Bundestag,,,,,,0.63
2019,Keine Einheit,Deutscher Bundestag,,,,,,0.63
2020,Keine Einheit,Deutscher Bundestag,,,,,,0.63
2021,Keine Einheit,Deutscher Bundestag,,,,,,0.64
2022,Keine Einheit,Deutscher Bundestag,,,,,,0.71
2023,Keine Einheit,Deutscher Bundestag,,,,,,0.71
2024,Keine Einheit,Deutscher Bundestag,,,,,,0.71
2025,Keine Einheit,Deutscher Bundestag,,,,,,0.72
2026,Keine Einheit,Deutscher Bundestag,,,…,,,
2010,Keine Einheit,Bundesrat,,,,,,0.38
2011,Keine Einheit,Bundesrat,,,,,,0.5
2012,Keine Einheit,Bundesrat,,,,,,0.55
2013,Keine Einheit,Bundesrat,,,,,,0.58
2014,Keine Einheit,Bundesrat,,,,,,0.7
2015,Keine Einheit,Bundesrat,,,,,,0.82
2016,Keine Einheit,Bundesrat,,,,,,0.76
2017,Keine Einheit,Bundesrat,,,,,,0.79
2018,Keine Einheit,Bundesrat,,,,,,0.79
2019,Keine Einheit,Bundesrat,,,,,,0.73
2020,Keine Einheit,Bundesrat,,,,,,0.7
2021,Keine Einheit,Bundesrat,,,,,,0.68
2022,Keine Einheit,Bundesrat,,,,,,0.65
2023,Keine Einheit,Bundesrat,,,,,,0.76
2024,Keine Einheit,Bundesrat,,,,,,0.76
2025,Keine Einheit,Bundesrat,,,,,,0.7
2026,Keine Einheit,Bundesrat,,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,,,,,,1.02
2011,Keine Einheit,Öffentlicher Dienst,,,,,,1.01
2012,Keine Einheit,Öffentlicher Dienst,,,,,,1.02
2013,Keine Einheit,Öffentlicher Dienst,,,,,,1.03
2014,Keine Einheit,Öffentlicher Dienst,,,,,,1.04
2015,Keine Einheit,Öffentlicher Dienst,,,,,,1.05
2016,Keine Einheit,Öffentlicher Dienst,,,,,,1.06
2017,Keine Einheit,Öffentlicher Dienst,,,,,,1.07
2018,Keine Einheit,Öffentlicher Dienst,,,,,,1.07
2019,Keine Einheit,Öffentlicher Dienst,,,,,,1.08
2020,Keine Einheit,Öffentlicher Dienst,,,,,,1.09
2021,Keine Einheit,Öffentlicher Dienst,,,,,,1.1
2022,Keine Einheit,Öffentlicher Dienst,,,,,,1.1
2023,Keine Einheit,Öffentlicher Dienst,,,p,,,1.05
2024,Keine Einheit,Öffentlicher Dienst,,,p,,,1.06
2025,Keine Einheit,Öffentlicher Dienst,,,…,,,
2026,Keine Einheit,Öffentlicher Dienst,,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,0.99
2011,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,0.99
2012,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.0
2013,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.01
2014,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.02
2015,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.03
2016,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.05
2017,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.06
2018,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.06
2019,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.07
2020,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.07
2021,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.09
2022,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,,,,1.08
2023,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,p,,,1.08
2024,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,p,,,1.09
2025,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2026,Keine Einheit,Öffentlicher Dienst,"Politische Führung und zentrale Verwaltung, Auswärtige Angelegenheiten",,…,,,
2010,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.46
2011,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.45
2012,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.46
2013,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.47
2014,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.48
2015,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.49
2016,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.5
2017,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.52
2018,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.54
2019,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.56
2020,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.58
2021,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.59
2022,Keine Einheit,Öffentlicher Dienst,Polizei,,,,,0.61
2023,Keine Einheit,Öffentlicher Dienst,Polizei,,p,,,0.63
2024,Keine Einheit,Öffentlicher Dienst,Polizei,,p,,,0.65
2025,Keine Einheit,Öffentlicher Dienst,Polizei,,…,,,
2026,Keine Einheit,Öffentlicher Dienst,Polizei,,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.22
2011,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.22
2012,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.23
2013,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.24
2014,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.25
2015,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.26
2016,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.27
2017,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.27
2018,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.27
2019,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.28
2020,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.28
2021,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.28
2022,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,,,,1.27
2023,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,p,,,1.28
2024,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,p,,,1.29
2025,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2026,Keine Einheit,Öffentlicher Dienst,"Bildungswesen, Wissenschaft, Forschung, kulturelle Angelegenheiten",,…,,,
2010,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.15
2011,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.15
2012,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.15
2013,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.15
2014,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.17
2015,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.18
2016,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.19
2017,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,r,,,1.17
2018,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.16
2019,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.17
2020,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.19
2021,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.2
2022,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,,,,1.2
2023,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,p,,,1.2
2024,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,p,,,1.2
2025,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2026,Keine Einheit,Öffentlicher Dienst,"Gesundheit, Umwelt, Sport und Erholung",,…,,,
2010,Keine Einheit,Justiz,,,,,,0.78
2011,Keine Einheit,Justiz,,,,,,0.79
2012,Keine Einheit,Justiz,,,,,,0.81
2013,Keine Einheit,Justiz,,,,,,0.83
2014,Keine Einheit,Justiz,,,,,,0.83
2015,Keine Einheit,Justiz,,,,,,0.88
2016,Keine Einheit,Justiz,,,,,,0.9
2017,Keine Einheit,Justiz,,,,,,0.92
2018,Keine Einheit,Justiz,,,,,,0.93
2019,Keine Einheit,Justiz,,,,,,0.94
2020,Keine Einheit,Justiz,,,,,,0.96
2021,Keine Einheit,Justiz,,,,,,0.98
2022,Keine Einheit,Justiz,,,,,,0.99
2023,Keine Einheit,Justiz,,,,,,1.01
2024,Keine Einheit,Justiz,,,…,,,
2025,Keine Einheit,Justiz,,,…,,,
2026,Keine Einheit,Justiz,,,…,,,
2010,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.47
2011,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.46
2012,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.51
2013,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.49
2014,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.55
2015,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.55
2016,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.64
2017,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.64
2018,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.7
2019,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.7
2020,Keine Einheit,Justiz,,Oberste/Verfassungsgerichte,,,,0.79
