Year,Units,Zeitreihe,Art des Empfängers/Bereitstellers,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2025,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2026,"ja=1, nein=0",,,,,,2) Vertragspartei des Nagoya-Protokolls,1
2007,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2008,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2009,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2010,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2011,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2012,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2013,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2014,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2015,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",0
2016,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2017,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2018,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2019,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2020,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2021,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2022,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2023,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2024,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2025,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2026,"ja=1, nein=0",,,,,,"3) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die über das Online-Berichtssystem zur Einhaltung des ITPGRFA gemeldet wurden",1
2007,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",0
2008,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",0
2009,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",0
2010,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2011,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2012,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2013,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2014,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2015,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2016,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2017,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2018,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2019,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2020,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2021,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2022,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2023,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2024,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2025,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2026,"ja=1, nein=0",,,,,,"4) Vorhandensein von Rahmenbedingungen oder Maßnahmen, die dem ABS Clearing-House gemeldet wurden",1
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,35
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,409
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,905
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1495
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,2687
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,3916
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5034
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,6089
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,7311
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,8367
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,8754
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,9153
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,9518
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,9903
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,10564
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,11398
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,13261
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,15195
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,,,,,5) Standardisierte Materialübertragungs-vereinbarungen,16574
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,16677
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,6
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,19
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,30
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,38
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,38
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,38
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,38
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,41
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,,,,5) Standardisierte Materialübertragungs-vereinbarungen,44
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,Kommerzielles Unternehmen,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,44
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,3
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,7
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,,,,5) Standardisierte Materialübertragungs-vereinbarungen,10
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,Genbank,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,10
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,2
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,2
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,2
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nationales Agrarforschungszentrum,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,,,,5) Standardisierte Materialübertragungs-vereinbarungen,6
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,Nichtregierungsorganisation,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,6
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2015,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2016,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,2
2017,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,3
2018,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,3
2019,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,3
2020,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2021,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2022,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2023,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,4
2024,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2025,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2026,Kumulierte Anzahl,[a] Deutschland als Empfänger,Sonstige,p,,,5) Standardisierte Materialübertragungs-vereinbarungen,5
2007,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2008,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2009,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2010,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2011,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2012,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2013,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,-,,,5) Standardisierte Materialübertragungs-vereinbarungen,0
2014,Kumulierte Anzahl,[a] Deutschland als Empfänger,Universität,,,,5) Standardisierte Materialübertragungs-vereinbarungen,1
