Year,Zeitreihe,Rechtsvorschrift,Value
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen über den internationalen Handel mit gefährdeten Arten freilebender Tiere und Pflanzen,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ramsar-Konvention,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Übereinkommen zur Erhaltung wandernder wild lebender Tierarten,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Welterbekonvention,1
2010,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2011,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2012,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2013,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2014,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2015,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2016,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2017,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2018,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2019,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2020,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2021,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2022,(1) (a) national legislation considered relevant to the prevention of introduction of invasive alien species and control,Ballastwasser-Übereinkommen,1
2010,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2011,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2012,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2013,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2014,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2015,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2016,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2017,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2018,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2019,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2020,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2021,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
2022,(1) (b) national biodiversity strategy and action plan (nbsap) targets alignment to aichi biodiversity target 9 set out in the strategic plan for biodiversity 2011-2020,,1
