Year,Geschlecht,Altersklasse,Unsicherheitsgefühl,Series,Value
2020,Männlich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),36.2
2012,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),45.1
2017,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),40.0
2020,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),47.1
2012,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),18.4
2017,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.1
2020,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),14.0
2012,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),7.4
2017,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.6
2020,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.7
2012,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),40.3
2017,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),38.8
2020,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),32.5
2012,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),39.2
2017,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),40.7
2020,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),38.2
2012,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),15.1
2017,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),15.0
2020,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),20.9
2012,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.4
2017,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.5
2020,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.3
2012,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.6
2017,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),39.2
2020,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),32.3
2012,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.2
2017,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),42.9
2020,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.0
2012,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),9.4
2017,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),12.9
2020,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),19.2
2012,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.8
2017,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.0
2020,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.4
2012,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),46.7
2017,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),40.1
2020,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),31.3
2012,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.7
2017,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.4
2020,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),45.5
2012,,35 bis unter 45 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.6
2017,,35 bis unter 45 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),13.3
2020,,35 bis unter 45 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),18.9
2012,,35 bis unter 45 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),3.1
2017,,35 bis unter 45 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.2
2020,,35 bis unter 45 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),4.3
2012,,45 bis unter 55 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),45.6
2017,,45 bis unter 55 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),39.9
2020,,45 bis unter 55 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),28.3
2012,,45 bis unter 55 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.1
2017,,45 bis unter 55 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),42.6
2020,,45 bis unter 55 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),46.9
2012,,45 bis unter 55 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.4
2017,,45 bis unter 55 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),12.0
2020,,45 bis unter 55 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),20.0
2012,,45 bis unter 55 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),2.9
2017,,45 bis unter 55 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.5
2020,,45 bis unter 55 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),4.8
2012,,55 bis unter 65 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.7
2017,,55 bis unter 65 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),37.6
2020,,55 bis unter 65 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),24.1
2012,,55 bis unter 65 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),43.2
2017,,55 bis unter 65 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),42.9
2020,,55 bis unter 65 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),50.3
2012,,55 bis unter 65 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),11.1
2017,,55 bis unter 65 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),13.9
2020,,55 bis unter 65 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),20.8
2012,,55 bis unter 65 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),4.1
2017,,55 bis unter 65 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.6
2020,,55 bis unter 65 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),4.8
2012,,65 bis unter 75 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),35.1
2017,,65 bis unter 75 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),32.8
2020,,65 bis unter 75 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),18.9
2012,,65 bis unter 75 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),42.3
2017,,65 bis unter 75 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),41.4
2020,,65 bis unter 75 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),49.4
2012,,65 bis unter 75 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),16.6
2017,,65 bis unter 75 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),18.4
2020,,65 bis unter 75 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),26.1
2012,,65 bis unter 75 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),6.1
2017,,65 bis unter 75 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),7.3
2020,,65 bis unter 75 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),5.7
2012,,75 Jahre und älter,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),26.4
2017,,75 Jahre und älter,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),25.9
2020,,75 Jahre und älter,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),11.6
2012,,75 Jahre und älter,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),38.0
2017,,75 Jahre und älter,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),40.3
2020,,75 Jahre und älter,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),48.4
2012,,75 Jahre und älter,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),24.5
2017,,75 Jahre und älter,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),23.1
2020,,75 Jahre und älter,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),31.8
2012,,75 Jahre und älter,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),11.1
2017,,75 Jahre und älter,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),10.7
2020,,75 Jahre und älter,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (nach Einbruch der Dunkelheit),8.2
2019,,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),63.2
2021,,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),34.1
2021,,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.4
2021,,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),60.9
2021,Weiblich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),36.3
2021,Weiblich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.6
2021,Weiblich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Weiblich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Weiblich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.3
2021,Weiblich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),66.4
2021,Männlich,,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),31.3
2021,Männlich,,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),2.1
2021,Männlich,,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.2
2021,Männlich,,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),75.5
2021,,16 bis unter 25 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),22.2
2021,,16 bis unter 25 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),1.7
2021,,16 bis unter 25 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.6
2021,,16 bis unter 25 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),71.0
2021,,25 bis unter 35 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),25.4
2021,,25 bis unter 35 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),3.4
2021,,25 bis unter 35 Jahre,Eher unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),0.2
2021,,25 bis unter 35 Jahre,Sehr unsicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),70.7
2021,,35 bis unter 45 Jahre,Sehr sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2019,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
2020,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),27.6
2021,,35 bis unter 45 Jahre,Eher sicher,(Un)Sicherheitsgefühl der Bevölkerung in ihrer Wohnumgebung (tagsüber),
